gene_id,H_value,p_value,stat_test_adj_p,cluster1_mean,cluster1_sd,cluster1_sem,cluster1_penetrance,cluster2_mean,cluster2_sd,cluster2_sem,cluster2_penetrance,cluster3_mean,cluster3_sd,cluster3_sem,cluster3_penetrance,cluster1_cluster2_differential,cluster2_cluster1_differential,cluster1_cluster2_sd,cluster2_cluster1_sd,cluster1_cluster3_differential,cluster3_cluster1_differential,cluster1_cluster3_sd,cluster3_cluster1_sd,cluster2_cluster3_differential,cluster3_cluster2_differential,cluster2_cluster3_sd,cluster3_cluster2_sd,limma_test,C1_vs_C2,C1_vs_C3,C2_vs_C3
DPM1,13.4045864045864,0.000381394049510882,0.00554173936226114,0.00259325401386201,0.284188059076365,0.0759524536054309,0.357142857142857,0.522012614052125,0.383329257542756,0.115578119857712,1,-0.107760045861166,0.413508157849634,0.124677400667117,0.454545454545455,-0.519419360038263,0.519419360038263,0.477183583759828,0.477183583759828,0.110353299875028,-0.110353299875028,0.501748791258923,0.501748791258923,0.62977265991329,-0.62977265991329,0.563853098152772,0.563853098152772,limma_multi(mod_F),TRUE,FALSE,TRUE
FGR,25.6790686790687,2.67852573850945e-08,5.7823357677455e-06,0.124017949015783,0.564946700798146,0.150988356869639,0.785714285714286,-0.953150009866794,0.794060801736497,0.239418340008068,0.0909090909090909,1.49397012237249,0.914417956978985,0.275707387714786,1,1.07716795888258,-1.07716795888258,0.974524156497477,0.974524156497477,-1.3699521733567,1.3699521733567,1.07486044433142,1.07486044433142,-2.44712013223928,2.44712013223928,1.21107091324168,1.21107091324168,limma_multi(mod_F),TRUE,TRUE,TRUE
CFH,11.6929331929332,0.000237316060814112,0.00394395803816446,0.740808371493283,0.962394584571054,0.257210771882252,0.714285714285714,-0.77553215058722,1.27964808451417,0.385828414548227,0.181818181818182,1.10873806075351,0.85233895152524,0.256989863310377,1,1.5163405220805,-1.5163405220805,1.60115663088046,1.60115663088046,-0.367929689260223,0.367929689260223,1.28556797747098,1.28556797747098,-1.88427021134073,1.88427021134073,1.53752427899137,1.53752427899137,limma_multi(mod_F),TRUE,TRUE,TRUE
CYP51A1,8.17918567918567,0.00811127579138048,0.0484341379177097,-0.06586238426281,0.655390110551243,0.175160374883046,0.5,0.361358144544761,0.732330501777978,0.220805954266386,0.727272727272727,-0.632015852849641,0.765725855879898,0.230875032384307,0.181818181818182,-0.427220528807571,0.427220528807571,0.982773707850772,0.982773707850772,0.566153468586831,-0.566153468586831,1.00790489797965,1.00790489797965,0.993373997394401,-0.993373997394401,1.05954898433125,1.05954898433125,limma_multi(mod_F),TRUE,TRUE,TRUE
BAD,13.6501111501111,0.000299433540417709,0.00464183148823308,-0.160565737620197,0.458777697065198,0.122613497079367,0.357142857142857,0.541827128746509,0.413412317365204,0.124648503673792,0.909090909090909,-0.0468502762869521,0.311667656490617,0.0939713341698865,0.272727272727273,-0.702392866366706,0.702392866366706,0.617565154031309,0.617565154031309,-0.113715461333245,0.113715461333245,0.55462933877212,0.55462933877212,0.588677405033461,-0.588677405033461,0.517732046769003,0.517732046769003,limma_multi(mod_F),TRUE,FALSE,TRUE
CYP26B1,8.71504621504622,0.00708157210939828,0.0437679636419603,0.397888023844897,0.493073584646044,0.131779458586713,0.785714285714286,-0.470853062229843,1.16057650367577,0.349926982108643,0.272727272727273,0.616623150973176,0.742781315649852,0.223956993208827,0.818181818181818,0.86874108607474,-0.86874108607474,1.26097556707495,1.26097556707495,-0.218735127128279,0.218735127128279,0.891541161559142,0.891541161559142,-1.08747621320302,1.08747621320302,1.37791941120038,1.37791941120038,limma_multi(mod_F),TRUE,TRUE,TRUE
DBNDD1,13.4165204165204,0.00072890648560679,0.00882401013310168,-0.487210395166921,0.724519035605209,0.19363585724504,0.285714285714286,0.601352549945835,0.713446950446339,0.215112349313981,0.818181818181818,-0.855967209822469,1.10932446169274,0.334473910017983,0.363636363636364,-1.08856294511276,1.08856294511276,1.01682564093137,1.01682564093137,0.368756814655549,-0.368756814655549,1.32496361997762,1.32496361997762,1.4573197597683,-1.4573197597683,1.3189417395818,1.3189417395818,limma_multi(mod_F),TRUE,TRUE,TRUE
CASP10,17.2569907569907,6.2819189814994e-06,0.000269899327166071,0.351925712474061,0.68551496261285,0.183211580257459,0.571428571428571,-0.877058969723331,0.818682050897712,0.24684192594785,0.0909090909090909,0.675009799230836,0.456601768675974,0.137670613210078,0.909090909090909,1.22898468219739,-1.22898468219739,1.06778793045631,1.06778793045631,-0.323084086756775,0.323084086756775,0.823660087125827,0.823660087125827,-1.55206876895417,1.55206876895417,0.9374035820393,0.9374035820393,limma_multi(mod_F),TRUE,TRUE,TRUE
CFLAR,12.2437697437697,0.00019940051755992,0.00349215012375635,0.390825284156765,0.321239792002534,0.0858549457622861,0.928571428571429,-0.19330827175515,0.583148874227586,0.175826001157369,0.363636363636364,0.64913032661252,0.384489405255672,0.115927917554542,0.909090909090909,0.584133555911915,-0.584133555911915,0.66577594840812,0.66577594840812,-0.258305042455754,0.258305042455754,0.501026053933018,0.501026053933018,-0.842438598367669,0.842438598367669,0.698494604321867,0.698494604321867,limma_multi(mod_F),TRUE,TRUE,TRUE
TFPI,12.7044577044577,0.000467702118373919,0.00647135776083625,0.74087228419416,1.11531890987347,0.298081516981194,0.714285714285714,-0.691069594238714,1.15448291462819,0.348089695881601,0.272727272727273,0.967715263813208,0.5347002742771,0.161218198643387,1,1.43194187843287,-1.43194187843287,1.60523115808588,1.60523115808588,-0.226842979619048,0.226842979619048,1.23686727421876,1.23686727421876,-1.65878485805192,1.65878485805192,1.27229524226117,1.27229524226117,limma_multi(mod_F),TRUE,TRUE,TRUE
RBM5,10.3694278694279,0.00248936746000488,0.0207915744113159,0.144683964058102,0.4433709350366,0.118495866725754,0.642857142857143,-0.288856642312272,0.533916587419105,0.160981908165105,0.363636363636364,0.540128234316769,0.595365633300409,0.179509492611798,0.909090909090909,0.433540606370373,-0.433540606370373,0.694006274003695,0.694006274003695,-0.395444270258667,0.395444270258667,0.742319354018488,0.742319354018488,-0.828984876629041,0.828984876629041,0.799704420168139,0.799704420168139,limma_multi(mod_F),TRUE,TRUE,TRUE
MTMR7,10.4007254007254,0.00391595331748505,0.0288159681338134,-0.129667102712315,0.285245940876335,0.0762351844090872,0.357142857142857,-0.31864110214133,0.359154507519373,0.108289158473331,0.181818181818182,0.153085126562607,0.268473151108035,0.0809477007736128,0.636363636363636,0.188973999429014,-0.188973999429014,0.458647148751531,0.458647148751531,-0.282752229274922,0.282752229274922,0.391718112489458,0.391718112489458,-0.471726228703936,0.471726228703936,0.448408065424075,0.448408065424075,limma_multi(mod_F),TRUE,TRUE,TRUE
POLDIP2,9.27401427401428,0.00835822001885682,0.0493515218305707,0.115500750088088,0.487469792116158,0.130281782035756,0.642857142857143,0.549064580892748,0.415360793963819,0.125235991472919,0.818181818181818,-0.124574950267997,0.554039970000689,0.167049336304732,0.363636363636364,-0.43356383080466,0.43356383080466,0.640430626522518,0.640430626522518,0.240075700356085,-0.240075700356085,0.73796143976778,0.73796143976778,0.673639531160745,-0.673639531160745,0.692448465606371,0.692448465606371,limma_multi(mod_F),TRUE,TRUE,TRUE
PLXND1,16.3894933894934,2.95149251200263e-05,0.000875761228386082,0.151594242635843,0.48510821257961,0.129650623355943,0.714285714285714,-0.619688895258376,0.532534606446203,0.160565225223785,0.181818181818182,0.582334205759708,0.625271907980652,0.18852657370195,0.818181818181818,0.771283137894219,-0.771283137894219,0.720363161866983,0.720363161866983,-0.430739963123865,0.430739963123865,0.791387981221568,0.791387981221568,-1.20202310101808,1.20202310101808,0.821314839737222,0.821314839737222,limma_multi(mod_F),TRUE,TRUE,TRUE
CD38,18.6460161460161,1.80151142498693e-06,0.00010735993156908,0.056658396157444,0.469075599296537,0.125365727218807,0.5,-1.30073344849606,1.30592165268511,0.393750193414304,0.181818181818182,0.817759234027171,0.446143374439286,0.13451728870165,1,1.35739184465351,-1.35739184465351,1.3876106373213,1.3876106373213,-0.761100837869727,0.761100837869727,0.647360663317967,0.647360663317967,-2.11849268252323,2.11849268252323,1.38002727274061,1.38002727274061,limma_multi(mod_F),TRUE,TRUE,TRUE
FKBP4,12.012519012519,0.0010846093045552,0.0115480596110568,-0.305994397180751,0.734213543822207,0.196226823550845,0.357142857142857,0.48846827115393,0.710263530260434,0.214152512013373,0.818181818181818,-0.829940922397931,0.873893646522115,0.263488848380848,0.0909090909090909,-0.794462668334681,0.794462668334681,1.02153992107503,1.02153992107503,0.52394652521718,-0.52394652521718,1.14138496282529,1.14138496282529,1.31840919355186,-1.31840919355186,1.1261280512667,1.1261280512667,limma_multi(mod_F),TRUE,TRUE,TRUE
RBM6,10.7985257985258,0.00126402010284042,0.0128689168891684,-0.0430729372144428,0.464966771286545,0.124267596742052,0.428571428571429,-0.467826349416016,0.49797146135637,0.150144044874913,0.272727272727273,0.341258481480941,0.471031226217519,0.142021258354957,0.818181818181818,0.424753412201573,-0.424753412201573,0.681299988790572,0.681299988790572,-0.384331418695384,0.384331418695384,0.661864423029833,0.661864423029833,-0.809084830896957,0.809084830896957,0.685453129249096,0.685453129249096,limma_multi(mod_F),TRUE,TRUE,TRUE
NDUFAB1,17.9299754299755,1.71777345199632e-05,0.000587095559780841,-0.211532784866078,0.367429276010842,0.0981996046216405,0.285714285714286,0.456384875362869,0.242499733572074,0.0731164207290654,1,-0.32784223958662,0.456682346123542,0.137694908224637,0.272727272727273,-0.667917660228948,0.667917660228948,0.440239018775458,0.440239018775458,0.116309454720541,-0.116309454720541,0.586142506674575,0.586142506674575,0.784227114949489,-0.784227114949489,0.517073385549314,0.517073385549314,limma_multi(mod_F),TRUE,FALSE,TRUE
PDK4,11.9226629226629,0.00251526802878485,0.0209417593140387,1.74052317961797,1.81888909540857,0.486118558539861,0.785714285714286,-0.227923921570887,0.830526776240311,0.250413245012052,0.454545454545455,1.51309051255089,1.17471622931007,0.354190269796599,0.909090909090909,1.96844710118886,-1.96844710118886,1.99953301234271,1.99953301234271,0.227432667067084,-0.227432667067084,2.16525189315254,2.16525189315254,-1.74101443412177,1.74101443412177,1.43865664613089,1.43865664613089,limma_multi(mod_F),TRUE,TRUE,TRUE
SKAP2,17.6144846144846,2.61376547637881e-05,0.00080725288201854,0.379696089999395,0.396179927392217,0.105883539415618,0.857142857142857,-0.302314743262412,0.731846694523175,0.220660080890474,0.454545454545455,0.827708696749205,0.285767725437461,0.0861622111335782,1,0.682010833261807,-0.682010833261807,0.832200768536656,0.832200768536656,-0.44801260674981,0.44801260674981,0.488489229942895,0.488489229942895,-1.13002344001162,1.13002344001162,0.785660726513804,0.785660726513804,limma_multi(mod_F),TRUE,TRUE,TRUE
SLC25A5,11.944424944425,0.000625127257829368,0.00789092617341177,-0.265833926016808,0.552897502457748,0.147768073157135,0.285714285714286,0.526113106394397,0.585151081635369,0.176429689405013,0.818181818181818,-0.268577251484262,0.39209362467427,0.118220675975908,0.0909090909090909,-0.791947032411206,0.791947032411206,0.805044990396846,0.805044990396846,0.00274332546745337,-0.00274332546745337,0.677814914806559,0.677814914806559,0.794690357878659,-0.794690357878659,0.704371492075915,0.704371492075915,limma_multi(mod_F),TRUE,FALSE,TRUE
POLR2J,10.8153738153738,0.00355306920675236,0.0269615251571209,-0.138298766445908,0.562981269948886,0.150463073379973,0.428571428571429,0.431419372576098,0.409187892675575,0.123374791705554,0.909090909090909,-0.172270034934209,0.303730888702634,0.0915783086425303,0.272727272727273,-0.569718139022005,0.569718139022005,0.695976035381634,0.695976035381634,0.0339712684883011,-0.0339712684883011,0.639687707452122,0.639687707452122,0.603689407510307,-0.603689407510307,0.509595117975408,0.509595117975408,limma_multi(mod_F),TRUE,FALSE,TRUE
MEOX1,10.6034281034281,0.00284251588028956,0.0228741977799186,0.98195681060863,1.47791079796485,0.394988275299868,0.857142857142857,-0.488461576949912,1.22994943257845,0.370843707179386,0.272727272727273,1.39905545582729,1.01031535121149,0.304621539991333,0.909090909090909,1.47041838755854,-1.47041838755854,1.92275737768475,1.92275737768475,-0.417098645218657,0.417098645218657,1.7902394911393,1.7902394911393,-1.8875170327772,1.8875170327772,1.59170120173155,1.59170120173155,limma_multi(mod_F),TRUE,TRUE,TRUE
CIAPIN1,9.11846261846263,0.00332553712532738,0.0256676626864014,-0.00341467155076752,0.302256197803375,0.0807813668006573,0.428571428571429,0.452959467191793,0.523833107171871,0.157941624477739,0.727272727272727,-0.199545099451551,0.479623745361165,0.144612000355268,0.363636363636364,-0.45637413874256,0.45637413874256,0.604780896920438,0.604780896920438,0.196130427900783,-0.196130427900783,0.566919523587629,0.566919523587629,0.652504566643343,-0.652504566643343,0.710239439403085,0.710239439403085,limma_multi(mod_F),TRUE,TRUE,TRUE
