signature_direction,gene,survival_direction,coefficient,hazard_ratio,conf_low,conf_high,p_value,fdr_all_genes,fdr_within_signature
Dys-CIM,CLIC1,Detrimental,1.8324402633926378,6.249117560078929,2.021810658957817,19.315097636203333,0.0014590454146632746,0.09635652633977744,0.03199524574816548
Dys-CIM,DCTN5,Detrimental,1.8783403661007938,6.542637463809036,2.031884285733641,21.067196239170567,0.0016425643528883212,0.09635652633977744,0.03199524574816548
Dys-CIM,SLC25A3,Detrimental,1.5580145784839707,4.749382352237942,1.7638501032713496,12.78829345300614,0.002049996480634998,0.09635652633977744,0.03199524574816548
Dys-CIM,DEPDC1B,Detrimental,2.1432060134890856,8.526730668122276,2.122137435286651,34.260333321378965,0.0025250818042224133,0.09635652633977744,0.03199524574816548
Dys-CIM,RPUSD3,Detrimental,1.697364429709384,5.459539413568853,1.811369819548351,16.455265118496758,0.0025668701441646778,0.09635652633977744,0.03199524574816548
Dys-CIM,PGK1,Detrimental,1.2241162072370584,3.4011588345308654,1.5345997913124925,7.538044435555235,0.002572495503195214,0.09635652633977744,0.03199524574816548
Dys-CIM,DARS1,Detrimental,1.3387185178485104,3.8141526037493283,1.5958378470513408,9.116064086064851,0.0026009699883542937,0.09635652633977744,0.03199524574816548
Dys-CIM,HDHD5,Detrimental,1.540490948119292,4.66688090505417,1.7078203034870065,12.752967825414384,0.002669204930891487,0.09635652633977744,0.03199524574816548
Dys-CIM,PTGES3,Detrimental,1.743702845502737,5.718478911718296,1.832729257213604,17.842788799849213,0.0026695339948621054,0.09635652633977744,0.03199524574816548
Dys-CIM,MRPL4,Detrimental,2.0615314800619315,7.857994962439479,2.038006148441188,30.29828191487722,0.002753819054312725,0.09635652633977744,0.03199524574816548
Dys-CIM,GPN1,Detrimental,1.7754656997475697,5.90302953566956,1.8449383776599637,18.887220365150608,0.002770832699235692,0.09635652633977744,0.03199524574816548
Dys-CIM,BFAR,Detrimental,2.370995030217326,10.708041810101754,2.2631239212645977,50.6654356526866,0.0027905934984148034,0.09635652633977744,0.03199524574816548
Dys-CIM,TBC1D7,Detrimental,2.6998908826903145,14.878108177158365,2.511414815084962,88.14079681366296,0.0029350910666180374,0.09635652633977744,0.03199524574816548
Dys-CIM,GLRX3,Detrimental,1.512994296724387,4.5403054826839675,1.6733956862939356,12.31888790256457,0.002968877516256769,0.09635652633977744,0.03199524574816548
Dys-CIM,ASCC1,Detrimental,1.8950776988449445,6.6530653200414545,1.9044782571330172,23.24168206539244,0.0029841931750847566,0.09635652633977744,0.03199524574816548
