gene,endpoint,n_patients,n_events,coefficient,hazard_ratio,conf_low,conf_high,p_value,ph_p_value,model_status,warning_text,signature_direction,signature_r_rb,signature_correlation_p_value,signature_correlation_padj,fdr_all_genes,fdr_within_signature,association_direction,fdr_supported,nominal_p_below_0_05,expected_survival_direction,observed_survival_direction,direction_concordant
F9,RFS,20,6,-33.079453100693115,4.3030466463266765e-15,0,Inf,0.9980685850287471,0.9999863133195149,warning,Ran out of iterations and did not converge,Fun-CIM,0.314,0.00742246177065261,0.0200029054497248,0.9989700239648559,0.9989700239648559,Higher change associated with lower relapse hazard,FALSE,FALSE,Beneficial (HR < 1),Beneficial,TRUE
LCE5A,RFS,20,6,4.04626146585823,57.18327530496732,0,Inf,0.9989700239648559,0.9999940530448321,warning,Loglik converged before variable  1 ; coefficient may be infinite. ,Fun-CIM,0.343,0.00461646909913421,0.013345792486588,0.9989700239648559,0.9989700239648559,Higher change associated with higher relapse hazard,FALSE,FALSE,Beneficial (HR < 1),Detrimental,FALSE
