signature_direction,gene,survival_direction,coefficient,hazard_ratio,conf_low,conf_high,p_value,fdr_all_genes,fdr_within_signature
Fun-CIM,P2RX1,Beneficial,-1.6226785278797455,0.1973693311805936,0.06777128819865663,0.5747958158400034,0.002927201116918166,0.09635652633977744,0.36402283562939186
Fun-CIM,FCRL5,Beneficial,-1.5213325191448681,0.21842064326263133,0.07855689698604941,0.6072996672938068,0.0035470997130591566,0.09635652633977744,0.36402283562939186
Fun-CIM,IRF4,Beneficial,-1.6115670258383101,0.1995746303100002,0.06717559826793926,0.5929241285578968,0.003722163021282143,0.09635652633977744,0.36402283562939186
Fun-CIM,BOLL,Beneficial,-1.3201562124023714,0.26709357537776224,0.10938994227624585,0.6521529907011175,0.0037491840396276887,0.09635652633977744,0.36402283562939186
Fun-CIM,TSHR,Beneficial,-1.3893371130412113,0.24924046813918443,0.09699200797317256,0.6404735014396452,0.003911268956685715,0.09635652633977744,0.36402283562939186
Fun-CIM,TENT5C,Beneficial,-1.6943031170734328,0.18372722078821463,0.05728601745118578,0.5892483569367528,0.004379056298050429,0.09635652633977744,0.36402283562939186
Fun-CIM,AGAP5,Beneficial,-1.6293741008854257,0.1960522446595585,0.06321188221233995,0.6080578728368887,0.004781411347607341,0.09635652633977744,0.36402283562939186
Fun-CIM,MIXL1,Beneficial,-1.088872654070256,0.3365957397329929,0.1575691849815093,0.7190282288995531,0.004927634701741514,0.09635652633977744,0.36402283562939186
Fun-CIM,GNB3,Beneficial,-1.954646787109363,0.14161448792394427,0.03566066899617183,0.5623748447375966,0.005469360587395472,0.09635652633977744,0.36402283562939186
Fun-CIM,TLR9,Beneficial,-1.5129273528176916,0.22026424212238394,0.07568561047214321,0.6410245759410907,0.005505610072813728,0.09635652633977744,0.36402283562939186
Fun-CIM,ADAD2,Beneficial,-2.181614422841916,0.11285918104558011,0.02374033608401741,0.5365212481070994,0.006092305415787466,0.09635652633977744,0.36402283562939186
Fun-CIM,LINC00937,Beneficial,-1.5158860187218615,0.21961351693321163,0.07426333958659091,0.6494469153725281,0.0061399205034798465,0.09635652633977744,0.36402283562939186
Fun-CIM,CLK1,Beneficial,-1.7342213252388257,0.17653761216280597,0.05046756140472859,0.6175358515584078,0.006639097271765268,0.09635652633977744,0.36402283562939186
Fun-CIM,RYR3,Beneficial,-2.572248696500267,0.0763636335720019,0.011876482681708746,0.4910043392982052,0.006746327458357878,0.09635652633977744,0.36402283562939186
Fun-CIM,MEF2B,Beneficial,-1.4156292861053006,0.24277279182488293,0.08667192386792573,0.6800198474913406,0.0070646817349011,0.09635652633977744,0.36402283562939186
