gene,endpoint,n_patients,n_events,coefficient,hazard_ratio,conf_low,conf_high,p_value,ph_p_value,model_status,warning_text,signature_direction,signature_r_rb,signature_correlation_p_value,signature_correlation_padj,fdr_all_genes,fdr_within_signature,association_direction,fdr_supported,nominal_p_below_0_05,expected_survival_direction,observed_survival_direction,direction_concordant
CLIC1,RFS,20,6,1.8324402633926378,6.249117560078929,2.021810658957817,19.315097636203333,0.0014590454146632746,0.8074384375971524,converged,NA,Dys-CIM,-0.449,4.2586237401857e-4,0.00539538784613176,0.09635652633977744,0.03199524574816548,Higher change associated with higher relapse hazard,FALSE,TRUE,Detrimental (HR > 1),Detrimental,TRUE
DCTN5,RFS,20,6,1.8783403661007938,6.542637463809036,2.031884285733641,21.067196239170567,0.0016425643528883212,0.28254504565388794,converged,NA,Dys-CIM,-0.355,0.00359322444434429,0.0259901953882654,0.09635652633977744,0.03199524574816548,Higher change associated with higher relapse hazard,FALSE,TRUE,Detrimental (HR > 1),Detrimental,TRUE
SLC25A3,RFS,20,6,1.5580145784839707,4.749382352237942,1.7638501032713496,12.78829345300614,0.002049996480634998,0.8874556350554481,converged,NA,Dys-CIM,-0.494,5.81091384742858e-5,0.00135872838491345,0.09635652633977744,0.03199524574816548,Higher change associated with higher relapse hazard,FALSE,TRUE,Detrimental (HR > 1),Detrimental,TRUE
DEPDC1B,RFS,20,6,2.1432060134890856,8.526730668122276,2.122137435286651,34.260333321378965,0.0025250818042224133,0.5357539993149762,converged,NA,Dys-CIM,-0.411,1.4454212857698e-4,0.00263853703259242,0.09635652633977744,0.03199524574816548,Higher change associated with higher relapse hazard,FALSE,TRUE,Detrimental (HR > 1),Detrimental,TRUE
RPUSD3,RFS,20,6,1.697364429709384,5.459539413568853,1.811369819548351,16.455265118496758,0.0025668701441646778,0.8044067315562838,converged,NA,Dys-CIM,-0.425,2.4320923112111e-4,0.00379120272041734,0.09635652633977744,0.03199524574816548,Higher change associated with higher relapse hazard,FALSE,TRUE,Detrimental (HR > 1),Detrimental,TRUE
PGK1,RFS,20,6,1.2241162072370584,3.4011588345308654,1.5345997913124925,7.538044435555235,0.002572495503195214,0.9904670116068216,converged,NA,Dys-CIM,-0.491,8.08771462168436e-5,0.00168097598019322,0.09635652633977744,0.03199524574816548,Higher change associated with higher relapse hazard,FALSE,TRUE,Detrimental (HR > 1),Detrimental,TRUE
DARS1,RFS,20,6,1.3387185178485104,3.8141526037493283,1.5958378470513408,9.116064086064851,0.0026009699883542937,0.8307213549782765,converged,NA,Dys-CIM,-0.492,1.0791914258861e-4,0.00209257849653528,0.09635652633977744,0.03199524574816548,Higher change associated with higher relapse hazard,FALSE,TRUE,Detrimental (HR > 1),Detrimental,TRUE
HDHD5,RFS,20,6,1.540490948119292,4.66688090505417,1.7078203034870065,12.752967825414384,0.002669204930891487,0.670957667803519,converged,NA,Dys-CIM,-0.503,5.03363893083823e-6,2.8583878214402e-4,0.09635652633977744,0.03199524574816548,Higher change associated with higher relapse hazard,FALSE,TRUE,Detrimental (HR > 1),Detrimental,TRUE
PTGES3,RFS,20,6,1.743702845502737,5.718478911718296,1.832729257213604,17.842788799849213,0.0026695339948621054,0.7411426768120467,converged,NA,Dys-CIM,-0.401,9.7259928045171e-4,0.00981862130741733,0.09635652633977744,0.03199524574816548,Higher change associated with higher relapse hazard,FALSE,TRUE,Detrimental (HR > 1),Detrimental,TRUE
MRPL4,RFS,20,6,2.0615314800619315,7.857994962439479,2.038006148441188,30.29828191487722,0.002753819054312725,0.828892220240036,converged,NA,Dys-CIM,-0.407,1.5127934435321e-4,0.00270263098338885,0.09635652633977744,0.03199524574816548,Higher change associated with higher relapse hazard,FALSE,TRUE,Detrimental (HR > 1),Detrimental,TRUE
GPN1,RFS,20,6,1.7754656997475697,5.90302953566956,1.8449383776599637,18.887220365150608,0.002770832699235692,0.9435788669140336,converged,NA,Dys-CIM,-0.419,3.4100481596218e-4,0.00473535071947492,0.09635652633977744,0.03199524574816548,Higher change associated with higher relapse hazard,FALSE,TRUE,Detrimental (HR > 1),Detrimental,TRUE
BFAR,RFS,20,6,2.370995030217326,10.708041810101754,2.2631239212645977,50.6654356526866,0.0027905934984148034,0.6394881769293247,converged,NA,Dys-CIM,-0.367,0.00162764612276277,0.0146212278824452,0.09635652633977744,0.03199524574816548,Higher change associated with higher relapse hazard,FALSE,TRUE,Detrimental (HR > 1),Detrimental,TRUE
P2RX1,RFS,20,6,-1.6226785278797455,0.1973693311805936,0.06777128819865663,0.5747958158400034,0.002927201116918166,0.7121154276020648,converged,NA,Fun-CIM,0.529,4.10436508736811e-7,1.88332298743899e-5,0.09635652633977744,0.36402283562939186,Higher change associated with lower relapse hazard,FALSE,TRUE,Beneficial (HR < 1),Beneficial,TRUE
TBC1D7,RFS,20,6,2.6998908826903145,14.878108177158365,2.511414815084962,88.14079681366296,0.0029350910666180374,0.4987995473179462,converged,NA,Dys-CIM,-0.572,1.81608676607866e-7,5.13162859375334e-5,0.09635652633977744,0.03199524574816548,Higher change associated with higher relapse hazard,FALSE,TRUE,Detrimental (HR > 1),Detrimental,TRUE
GLRX3,RFS,20,6,1.512994296724387,4.5403054826839675,1.6733956862939356,12.31888790256457,0.002968877516256769,0.6151589625780208,converged,NA,Dys-CIM,-0.556,3.09498415338107e-7,5.13162859375334e-5,0.09635652633977744,0.03199524574816548,Higher change associated with higher relapse hazard,FALSE,TRUE,Detrimental (HR > 1),Detrimental,TRUE
ASCC1,RFS,20,6,1.8950776988449445,6.6530653200414545,1.9044782571330172,23.24168206539244,0.0029841931750847566,0.37567717124616823,converged,NA,Dys-CIM,-0.383,0.00127648327993835,0.0120888950289704,0.09635652633977744,0.03199524574816548,Higher change associated with higher relapse hazard,FALSE,TRUE,Detrimental (HR > 1),Detrimental,TRUE
MGAT4B,RFS,20,6,1.8230993591389777,6.1910169299434035,1.8450403585297641,20.77390364370586,0.0031612589231843303,0.22694035773990184,converged,NA,Dys-CIM,-0.371,0.00227879847757874,0.0183457700220263,0.09635652633977744,0.03199524574816548,Higher change associated with higher relapse hazard,FALSE,TRUE,Detrimental (HR > 1),Detrimental,TRUE
ARHGEF18,RFS,20,6,1.6136464298607593,5.021086928362411,1.715127248111379,14.699383949461149,0.003236450961598108,0.36167502416197,converged,NA,Fun-CIM,0.365,0.0038395853702332702,0.0116609416820248,0.09635652633977744,0.36402283562939186,Higher change associated with higher relapse hazard,FALSE,TRUE,Beneficial (HR < 1),Detrimental,FALSE
YWHAQ,RFS,20,6,1.9341348045039801,6.918055994442533,1.9066601000468046,25.101222153370394,0.003267225193262439,0.38980050425632606,converged,NA,Dys-CIM,-0.563,6.42201934023681e-6,3.3478723773693e-4,0.09635652633977744,0.03199524574816548,Higher change associated with higher relapse hazard,FALSE,TRUE,Detrimental (HR > 1),Detrimental,TRUE
TTLL12,RFS,20,6,1.8302625697957444,6.235523703781254,1.836718214370533,21.169145901753453,0.0033367914540363363,0.951698002131169,converged,NA,Dys-CIM,-0.487,4.80982528908272e-5,0.00120434995427426,0.09635652633977744,0.03199524574816548,Higher change associated with higher relapse hazard,FALSE,TRUE,Detrimental (HR > 1),Detrimental,TRUE
MAPKAP1,RFS,20,6,2.4194440833320696,11.239609291650508,2.2312994808105944,56.61670166438762,0.003358556885549197,0.9115494787413684,converged,NA,Dys-CIM,-0.529,4.94123320469928e-5,0.00121807144115843,0.09635652633977744,0.03199524574816548,Higher change associated with higher relapse hazard,FALSE,TRUE,Detrimental (HR > 1),Detrimental,TRUE
ECT2,RFS,20,6,2.086000122286535,8.052641081545744,1.996606822796805,32.477615346102375,0.0033704994046661746,0.4309755228088565,converged,NA,Dys-CIM,-0.451,8.30079030106682e-5,0.00170300084886403,0.09635652633977744,0.03199524574816548,Higher change associated with higher relapse hazard,FALSE,TRUE,Detrimental (HR > 1),Detrimental,TRUE
COA1,RFS,20,6,1.3810465171083117,3.979063607463549,1.5742117715298745,10.057698385048802,0.0035111179462826866,0.8149741774231449,converged,NA,Dys-CIM,-0.484,2.0909664659093e-4,0.00339248640897544,0.09635652633977744,0.03199524574816548,Higher change associated with higher relapse hazard,FALSE,TRUE,Detrimental (HR > 1),Detrimental,TRUE
GDI2,RFS,20,6,1.8524133048863376,6.375186240962173,1.8368662161022224,22.12627095575675,0.0035260837071266027,0.5179213187724325,converged,NA,Dys-CIM,-0.572,1.50457624265663e-5,5.6958957757715e-4,0.09635652633977744,0.03199524574816548,Higher change associated with higher relapse hazard,FALSE,TRUE,Detrimental (HR > 1),Detrimental,TRUE
FCRL5,RFS,20,6,-1.5213325191448681,0.21842064326263133,0.07855689698604941,0.6072996672938068,0.0035470997130591566,0.4350189027220782,converged,NA,Fun-CIM,0.543,4.09360649697757e-8,4.79988112665488e-6,0.09635652633977744,0.36402283562939186,Higher change associated with lower relapse hazard,FALSE,TRUE,Beneficial (HR < 1),Beneficial,TRUE
PDCD10,RFS,20,6,2.1033687609925367,8.193726176400585,1.9821521466313774,33.87083517676996,0.0036742431729229943,0.3554116829032824,converged,NA,Dys-CIM,-0.392,0.00186348031973583,0.0157184812115648,0.09635652633977744,0.03199524574816548,Higher change associated with higher relapse hazard,FALSE,TRUE,Detrimental (HR > 1),Detrimental,TRUE
IRF4,RFS,20,6,-1.6115670258383101,0.1995746303100002,0.06717559826793926,0.5929241285578968,0.003722163021282143,0.8182326181394769,converged,NA,Fun-CIM,0.502,3.73643079761074e-7,1.82797691329264e-5,0.09635652633977744,0.36402283562939186,Higher change associated with lower relapse hazard,FALSE,TRUE,Beneficial (HR < 1),Beneficial,TRUE
EIPR1,RFS,20,6,1.6126110066144077,5.015890668863015,1.686027939439898,14.922148449298529,0.003742820080543902,0.7232460937198096,converged,NA,Dys-CIM,-0.393,4.1219951792092e-4,0.00528808468297911,0.09635652633977744,0.03199524574816548,Higher change associated with higher relapse hazard,FALSE,TRUE,Detrimental (HR > 1),Detrimental,TRUE
BOLL,RFS,20,6,-1.3201562124023714,0.26709357537776224,0.10938994227624585,0.6521529907011175,0.0037491840396276887,0.4081361559825254,converged,NA,Fun-CIM,0.434,0.00109134626348135,0.00437374470622855,0.09635652633977744,0.36402283562939186,Higher change associated with lower relapse hazard,FALSE,TRUE,Beneficial (HR < 1),Beneficial,TRUE
STAU2,RFS,20,6,1.7143786189297456,5.553223771918641,1.7392303884257199,17.731000140191814,0.003799803569649643,0.4838978844275646,converged,NA,Dys-CIM,-0.39,0.00271917330349343,0.0209877939444396,0.09635652633977744,0.03199524574816548,Higher change associated with higher relapse hazard,FALSE,TRUE,Detrimental (HR > 1),Detrimental,TRUE
TUBB,RFS,20,6,1.5968867587383941,4.937636417658322,1.6722349088084223,14.579442914726767,0.003843790039767011,0.8972582892435685,converged,NA,Dys-CIM,-0.466,1.62590575713499e-5,5.8754321678287e-4,0.09635652633977744,0.03199524574816548,Higher change associated with higher relapse hazard,FALSE,TRUE,Detrimental (HR > 1),Detrimental,TRUE
FOXK2,RFS,20,6,1.7232829918147898,5.602892553597133,1.7397017713732306,18.044704836033283,0.0038785113797616755,0.49582713523159505,converged,NA,Dys-CIM,-0.456,1.8749893612773e-4,0.0031715245579053,0.09635652633977744,0.03199524574816548,Higher change associated with higher relapse hazard,FALSE,TRUE,Detrimental (HR > 1),Detrimental,TRUE
NOA1,RFS,20,6,1.81670818760672,6.151575252305011,1.7923413146333065,21.11309814476574,0.003884570601997644,0.4874026100509769,converged,NA,Dys-CIM,-0.482,5.62089260753534e-5,0.00132963091674006,0.09635652633977744,0.03199524574816548,Higher change associated with higher relapse hazard,FALSE,TRUE,Detrimental (HR > 1),Detrimental,TRUE
SET,RFS,20,6,2.287946279397841,9.854678129062943,2.0842258534052687,46.5950851097844,0.003895736773299528,0.5393942960567043,converged,NA,Dys-CIM,-0.392,7.795009517519e-4,0.00834617180663658,0.09635652633977744,0.03199524574816548,Higher change associated with higher relapse hazard,FALSE,TRUE,Detrimental (HR > 1),Detrimental,TRUE
DAZAP1,RFS,20,6,2.3093106600300755,10.06748234450586,2.0978552030929793,48.3132489828208,0.003903482509776314,0.2154595930795128,converged,NA,Dys-CIM,-0.521,3.91823863851651e-5,0.00102975197276715,0.09635652633977744,0.03199524574816548,Higher change associated with higher relapse hazard,FALSE,TRUE,Detrimental (HR > 1),Detrimental,TRUE
TSHR,RFS,20,6,-1.3893371130412113,0.24924046813918443,0.09699200797317256,0.6404735014396452,0.003911268956685715,0.9050336011846916,converged,NA,Fun-CIM,0.444,9.14136563684856e-5,6.9190773765173e-4,0.09635652633977744,0.36402283562939186,Higher change associated with lower relapse hazard,FALSE,TRUE,Beneficial (HR < 1),Beneficial,TRUE
TPM3,RFS,20,6,2.467381626846306,11.791531765477373,2.202731320538854,63.121734403017676,0.003944910703298805,0.9001054924117882,converged,NA,Dys-CIM,-0.443,3.36776743556933e-5,9.4082886133341e-4,0.09635652633977744,0.03199524574816548,Higher change associated with higher relapse hazard,FALSE,TRUE,Detrimental (HR > 1),Detrimental,TRUE
CHCHD3,RFS,20,6,2.2299350442901575,9.29926201969973,2.034244437664415,42.51026696197645,0.004030712463328898,0.8601344661739839,converged,NA,Dys-CIM,-0.568,1.32323592765503e-5,5.5366976972934e-4,0.09635652633977744,0.03199524574816548,Higher change associated with higher relapse hazard,FALSE,TRUE,Detrimental (HR > 1),Detrimental,TRUE
UBL4A,RFS,20,6,1.5766551522769257,4.838743851729468,1.652155236921189,14.171454073698891,0.004030929835575305,0.19973614469298184,converged,NA,Dys-CIM,-0.396,6.8845717484697e-4,0.00768173268776623,0.09635652633977744,0.03199524574816548,Higher change associated with higher relapse hazard,FALSE,TRUE,Detrimental (HR > 1),Detrimental,TRUE
ENO1,RFS,20,6,1.3157922650219878,3.7277031444642685,1.5191633562884637,9.146989147499038,0.004065837027812639,0.1814428040493104,converged,NA,Dys-CIM,-0.506,5.5907172650124e-6,3.0652553280585e-4,0.09635652633977744,0.03199524574816548,Higher change associated with higher relapse hazard,FALSE,TRUE,Detrimental (HR > 1),Detrimental,TRUE
NSMF,RFS,20,6,1.3929258919258722,4.0266142723724565,1.5566643067953916,10.415619107919,0.004070804738348785,0.976674325410398,converged,NA,Dys-CIM,-0.417,3.4995213247524e-4,0.00476838031366263,0.09635652633977744,0.03199524574816548,Higher change associated with higher relapse hazard,FALSE,TRUE,Detrimental (HR > 1),Detrimental,TRUE
XPO5,RFS,20,6,1.4114654801860507,4.101962346010927,1.5651420605243331,10.75052259630325,0.004088466133968708,0.7747257204841564,converged,NA,Dys-CIM,-0.541,2.19982471654474e-5,7.2117964934147e-4,0.09635652633977744,0.03199524574816548,Higher change associated with higher relapse hazard,FALSE,TRUE,Detrimental (HR > 1),Detrimental,TRUE
HEBP2,RFS,20,6,1.9498719079092255,7.027787318961122,1.8525930801435297,26.65981813811174,0.004152195612515148,0.13880509304152527,converged,NA,Dys-CIM,-0.489,5.91549209932055e-5,0.00137308502743353,0.09635652633977744,0.03199524574816548,Higher change associated with higher relapse hazard,FALSE,TRUE,Detrimental (HR > 1),Detrimental,TRUE
PPP2R1A,RFS,20,6,1.5974928044459504,4.940629757973623,1.65507352848672,14.748482158187308,0.004197523666629378,0.6409093210499494,converged,NA,Dys-CIM,-0.385,0.00182580582144863,0.0155409538225454,0.09635652633977744,0.03199524574816548,Higher change associated with higher relapse hazard,FALSE,TRUE,Detrimental (HR > 1),Detrimental,TRUE
EIF5AL1,RFS,20,6,2.33788773570812,10.359331789913854,2.0861918081086763,51.44098194442212,0.004245671220069415,0.5979647403908137,converged,NA,Dys-CIM,-0.338,0.00535008234025705,0.0355925979958524,0.09635652633977744,0.03199524574816548,Higher change associated with higher relapse hazard,FALSE,TRUE,Detrimental (HR > 1),Detrimental,TRUE
TENT5C,RFS,20,6,-1.6943031170734328,0.18372722078821463,0.05728601745118578,0.5892483569367528,0.004379056298050429,0.4907768405740303,converged,NA,Fun-CIM,0.536,7.25567714772334e-8,6.80655596862265e-6,0.09635652633977744,0.36402283562939186,Higher change associated with lower relapse hazard,FALSE,TRUE,Beneficial (HR < 1),Beneficial,TRUE
RAD23B,RFS,20,6,2.2999981305287935,9.974163808385242,2.0473454547152627,48.59167437883017,0.0044149146738514215,0.4653200828209007,converged,NA,Dys-CIM,-0.402,0.0019044336618913,0.0159554163964725,0.09635652633977744,0.03199524574816548,Higher change associated with higher relapse hazard,FALSE,TRUE,Detrimental (HR > 1),Detrimental,TRUE
ELOVL1,RFS,20,6,2.2345832783472304,9.342587782259587,2.004110170154966,43.55246920506218,0.004439713588659347,0.3334901675120604,converged,NA,Dys-CIM,-0.446,6.01206941700646e-5,0.00138538990913627,0.09635652633977744,0.03199524574816548,Higher change associated with higher relapse hazard,FALSE,TRUE,Detrimental (HR > 1),Detrimental,TRUE
YWHAZ,RFS,20,6,2.412348501053357,11.160139993036188,2.114547387092993,58.90089076480381,0.004479538728496013,0.7436679822969117,converged,NA,Dys-CIM,-0.592,1.47475040953149e-6,1.3399160863743e-4,0.09635652633977744,0.03199524574816548,Higher change associated with higher relapse hazard,FALSE,TRUE,Detrimental (HR > 1),Detrimental,TRUE
CUL2,RFS,20,6,1.5308004053503381,4.621874715446466,1.6057570677737527,13.303211496929354,0.004540179959235451,0.6528019748760587,converged,NA,Dys-CIM,-0.492,2.2495626240957e-4,0.00355900952468886,0.09635652633977744,0.03199524574816548,Higher change associated with higher relapse hazard,FALSE,TRUE,Detrimental (HR > 1),Detrimental,TRUE
GOT2,RFS,20,6,1.6241181585333213,5.073942650709617,1.6517449097525172,15.586483040258024,0.004563018481814686,0.10981897906233656,converged,NA,Dys-CIM,-0.407,5.7645419810922e-4,0.00681416849309618,0.09635652633977744,0.03199524574816548,Higher change associated with higher relapse hazard,FALSE,TRUE,Detrimental (HR > 1),Detrimental,TRUE
SLC25A15,RFS,20,6,2.690771963062016,14.743052620725965,2.2864206475085234,95.0645721356418,0.004660218558166774,0.5883129414822985,converged,NA,Dys-CIM,-0.418,6.6863760771266e-4,0.00759381283045092,0.09635652633977744,0.03199524574816548,Higher change associated with higher relapse hazard,FALSE,TRUE,Detrimental (HR > 1),Detrimental,TRUE
NME2,RFS,20,6,1.8331578597599005,6.253603513498077,1.7559679009055102,22.271225393054547,0.004672771324011766,0.1845997192974599,converged,NA,Dys-CIM,-0.492,9.13569643146845e-7,9.68383821735655e-5,0.09635652633977744,0.03199524574816548,Higher change associated with higher relapse hazard,FALSE,TRUE,Detrimental (HR > 1),Detrimental,TRUE
PSMD14,RFS,20,6,1.551091510959374,4.716615611565007,1.6084503146782834,13.830991622335816,0.004715854086287332,0.692388654513409,converged,NA,Dys-CIM,-0.649,1.74110515478692e-7,5.13162859375334e-5,0.09635652633977744,0.03199524574816548,Higher change associated with higher relapse hazard,FALSE,TRUE,Detrimental (HR > 1),Detrimental,TRUE
AGAP5,RFS,20,6,-1.6293741008854257,0.1960522446595585,0.06321188221233995,0.6080578728368887,0.004781411347607341,0.06314038157951395,converged,NA,Fun-CIM,0.48,1.2054147243743e-5,1.6594020880996e-4,0.09635652633977744,0.36402283562939186,Higher change associated with lower relapse hazard,FALSE,TRUE,Beneficial (HR < 1),Beneficial,TRUE
PREP,RFS,20,6,1.002939708071243,2.7262845405455276,1.3578362741871675,5.47387600207314,0.004801238717118574,0.7551168512106995,converged,NA,Dys-CIM,-0.505,4.94098773532126e-5,0.00121807144115843,0.09635652633977744,0.03199524574816548,Higher change associated with higher relapse hazard,FALSE,TRUE,Detrimental (HR > 1),Detrimental,TRUE
TBRG4,RFS,20,6,0.9261602869229029,2.5247960493310893,1.3257474947809431,4.8083025733125515,0.004833999232066492,0.4147228275997066,converged,NA,Dys-CIM,-0.406,1.6499368299971e-4,0.00286710334392945,0.09635652633977744,0.03199524574816548,Higher change associated with higher relapse hazard,FALSE,TRUE,Detrimental (HR > 1),Detrimental,TRUE
PTGES2,RFS,20,6,2.114563880224511,8.285971302062924,1.8990187274778703,36.15410391965734,0.004905237338108566,0.5659868148948506,converged,NA,Dys-CIM,-0.565,1.46317093339953e-7,5.13162859375334e-5,0.09635652633977744,0.03199524574816548,Higher change associated with higher relapse hazard,FALSE,TRUE,Detrimental (HR > 1),Detrimental,TRUE
MIXL1,RFS,20,6,-1.088872654070256,0.3365957397329929,0.1575691849815093,0.7190282288995531,0.004927634701741514,0.5794095378598322,converged,NA,Fun-CIM,0.555,8.19778542854956e-7,2.74410080660922e-5,0.09635652633977744,0.36402283562939186,Higher change associated with lower relapse hazard,FALSE,TRUE,Beneficial (HR < 1),Beneficial,TRUE
PRIM2,RFS,20,6,1.138375788178676,3.121693953120462,1.4106341640448614,6.9082214122803185,0.004971808984436573,0.871284118084915,converged,NA,Dys-CIM,-0.421,8.2592124469636e-4,0.00866808435027868,0.09635652633977744,0.03199524574816548,Higher change associated with higher relapse hazard,FALSE,TRUE,Detrimental (HR > 1),Detrimental,TRUE
ENOPH1,RFS,20,6,1.7346285914815471,5.666822706677854,1.6822731699765399,19.088980411764844,0.005119938539881806,0.2761086887138464,converged,NA,Dys-CIM,-0.437,6.26411429968018e-5,0.00141275769311936,0.09635652633977744,0.03199524574816548,Higher change associated with higher relapse hazard,FALSE,TRUE,Detrimental (HR > 1),Detrimental,TRUE
DNAAF5,RFS,20,6,1.4059070396601097,4.079225082675301,1.521920276235171,10.933606401703564,0.005192558170906568,0.977308871187052,converged,NA,Dys-CIM,-0.391,8.8397729958224e-4,0.00903873894749691,0.09635652633977744,0.03199524574816548,Higher change associated with higher relapse hazard,FALSE,TRUE,Detrimental (HR > 1),Detrimental,TRUE
PCMT1,RFS,20,6,1.3680950597678116,3.92786122336608,1.5028808512317402,10.265679928903365,0.005253330477116641,0.5832904326146374,converged,NA,Dys-CIM,-0.505,2.092173885111e-5,7.0691112963578e-4,0.09635652633977744,0.03199524574816548,Higher change associated with higher relapse hazard,FALSE,TRUE,Detrimental (HR > 1),Detrimental,TRUE
UBE2F,RFS,20,6,3.1928199782982687,24.35701694638498,2.5636049879521763,231.41797481069358,0.005444037929834301,0.9899527081208294,converged,NA,Dys-CIM,-0.318,0.00747979723743992,0.046456553154412,0.09635652633977744,0.03199524574816548,Higher change associated with higher relapse hazard,FALSE,TRUE,Detrimental (HR > 1),Detrimental,TRUE
GNB3,RFS,20,6,-1.954646787109363,0.14161448792394427,0.03566066899617183,0.5623748447375966,0.005469360587395472,0.13054837151387955,converged,NA,Fun-CIM,0.512,1.07918440885829e-5,1.5717080847339e-4,0.09635652633977744,0.36402283562939186,Higher change associated with lower relapse hazard,FALSE,TRUE,Beneficial (HR < 1),Beneficial,TRUE
IAH1,RFS,20,6,2.5317693684682356,12.57573757659673,2.104779752674872,75.13811143158432,0.005504032587871581,0.1166399868875273,converged,NA,Dys-CIM,-0.421,6.874979030042e-4,0.00768173268776623,0.09635652633977744,0.03199524574816548,Higher change associated with higher relapse hazard,FALSE,TRUE,Detrimental (HR > 1),Detrimental,TRUE
TLR9,RFS,20,6,-1.5129273528176916,0.22026424212238394,0.07568561047214321,0.6410245759410907,0.005505610072813728,0.4214977036858244,converged,NA,Fun-CIM,0.447,4.73872637440268e-5,4.2329072670226e-4,0.09635652633977744,0.36402283562939186,Higher change associated with lower relapse hazard,FALSE,TRUE,Beneficial (HR < 1),Beneficial,TRUE
VTA1,RFS,20,6,1.8089309808461367,6.103918737158672,1.7003273247154387,21.91214797778543,0.005537675671967773,0.7221030919167576,converged,NA,Dys-CIM,-0.38,0.00202088823182593,0.0166057482615154,0.09635652633977744,0.03199524574816548,Higher change associated with higher relapse hazard,FALSE,TRUE,Detrimental (HR > 1),Detrimental,TRUE
PRKAG1,RFS,20,6,2.040535215620195,7.6947264347572455,1.819547442753242,32.54040730928144,0.005544095490984257,0.5632242933378415,converged,NA,Dys-CIM,-0.468,2.9177936185936e-4,0.00427244095542427,0.09635652633977744,0.03199524574816548,Higher change associated with higher relapse hazard,FALSE,TRUE,Detrimental (HR > 1),Detrimental,TRUE
MZT1,RFS,20,6,1.3187654886013522,3.7388029322487477,1.4723202021111002,9.494298418338904,0.005545021958191913,0.9762697521673672,converged,NA,Dys-CIM,-0.418,4.5869873155775e-4,0.00578834113632407,0.09635652633977744,0.03199524574816548,Higher change associated with higher relapse hazard,FALSE,TRUE,Detrimental (HR > 1),Detrimental,TRUE
GPI,RFS,20,6,3.098931424754226,22.174243769081684,2.4736023192970853,198.77774325113896,0.005617606483711942,0.0938150580718447,converged,NA,Dys-CIM,-0.397,3.6249827088149e-4,0.00483668876523455,0.09635652633977744,0.03199524574816548,Higher change associated with higher relapse hazard,FALSE,TRUE,Detrimental (HR > 1),Detrimental,TRUE
R3HDM4,RFS,20,6,2.0070705411482597,7.441485859088623,1.7905764543441012,30.9261923201712,0.005754415054138683,0.013348499837635357,converged,NA,Dys-CIM,-0.414,4.8774829642047e-4,0.00605874836959802,0.09635652633977744,0.03199524574816548,Higher change associated with higher relapse hazard,FALSE,TRUE,Detrimental (HR > 1),Detrimental,TRUE
IPO5,RFS,20,6,1.8946231183830928,6.650041653837398,1.7307670069904408,25.55113069474907,0.00580289296519021,0.3122449903384672,converged,NA,Dys-CIM,-0.462,4.124040884839e-4,0.00528808468297911,0.09635652633977744,0.03199524574816548,Higher change associated with higher relapse hazard,FALSE,TRUE,Detrimental (HR > 1),Detrimental,TRUE
SLC35B2,RFS,20,6,1.975819158093489,7.2125254331898345,1.7715898513460415,29.363750918354707,0.005809756276389523,0.7454875304987988,converged,NA,Dys-CIM,-0.452,2.45868301945757e-5,7.818612001875e-4,0.09635652633977744,0.03199524574816548,Higher change associated with higher relapse hazard,FALSE,TRUE,Detrimental (HR > 1),Detrimental,TRUE
PKN1,RFS,20,6,1.4632906202777372,4.320152144532922,1.5261410536592,12.229350954921737,0.00584707328134505,0.8026921583112729,converged,NA,Dys-CIM,-0.396,2.7619111280274e-4,0.00412341661367484,0.09635652633977744,0.03199524574816548,Higher change associated with higher relapse hazard,FALSE,TRUE,Detrimental (HR > 1),Detrimental,TRUE
DCPS,RFS,20,6,1.5306939888198272,4.621382897744023,1.5554846455250682,13.730241535332954,0.005866466392945609,0.2693856255533674,converged,NA,Dys-CIM,-0.318,0.00611352393174185,0.0395142400466241,0.09635652633977744,0.03199524574816548,Higher change associated with higher relapse hazard,FALSE,TRUE,Detrimental (HR > 1),Detrimental,TRUE
RITA1,RFS,20,6,2.262796730366794,9.609927996235685,1.9187001586650623,48.131916639381295,0.005910705502485227,0.8187012043272746,converged,NA,Dys-CIM,-0.421,2.7936613205743e-4,0.00415132850440491,0.09635652633977744,0.03199524574816548,Higher change associated with higher relapse hazard,FALSE,TRUE,Detrimental (HR > 1),Detrimental,TRUE
ADAD2,RFS,20,6,-2.181614422841916,0.11285918104558011,0.02374033608401741,0.5365212481070994,0.006092305415787466,0.4720448721342917,converged,NA,Fun-CIM,0.371,9.3177631962308e-4,0.00389648238600741,0.09635652633977744,0.36402283562939186,Higher change associated with lower relapse hazard,FALSE,TRUE,Beneficial (HR < 1),Beneficial,TRUE
LINC00937,RFS,20,6,-1.5158860187218615,0.21961351693321163,0.07426333958659091,0.6494469153725281,0.0061399205034798465,0.6024186726185464,converged,NA,Fun-CIM,0.407,0.00137935336831116,0.00524504299512183,0.09635652633977744,0.36402283562939186,Higher change associated with lower relapse hazard,FALSE,TRUE,Beneficial (HR < 1),Beneficial,TRUE
ZW10,RFS,20,6,1.5125699970927822,4.5383794413784955,1.537432032444539,13.396942121192595,0.006167238045934275,0.41588382601837387,converged,NA,Dys-CIM,-0.339,0.00315328547634248,0.0234286163896474,0.09635652633977744,0.03199524574816548,Higher change associated with higher relapse hazard,FALSE,TRUE,Detrimental (HR > 1),Detrimental,TRUE
