gene,endpoint,n_patients,n_events,coefficient,hazard_ratio,conf_low,conf_high,p_value,ph_p_value,model_status,warning_text,signature_direction,signature_r_rb,signature_correlation_p_value,signature_correlation_padj,fdr_all_genes,fdr_within_signature,association_direction,fdr_supported,nominal_p_below_0_05,expected_survival_direction,observed_survival_direction,direction_concordant
EPPIN,RFS,20,6,-0.5840518491029723,0.5576343327302872,0.3076270168609993,1.0108216508826908,0.05429227347426061,0.33622143326828385,converged,NA,Fun-CIM,0.31,0.00778196036575055,0.0208656272875942,0.1928221990776498,0.46406639361322743,Higher change associated with lower relapse hazard,FALSE,FALSE,Beneficial (HR < 1),Beneficial,TRUE
PAIP1,RFS,20,6,0.7888087403124913,2.20077317171665,0.9846398456892479,4.918958515189259,0.05457525379199175,0.9922256396209329,converged,NA,Dys-CIM,-0.614,1.01325744107752e-6,9.76411715947432e-5,0.19336351881803773,0.07437034584535825,Higher change associated with higher relapse hazard,FALSE,FALSE,Detrimental (HR > 1),Detrimental,TRUE
DMGDH,RFS,20,6,0.8373346308191143,2.3102012242831247,0.9824693597790913,5.432260704679159,0.05493093759037941,0.021056777093481305,converged,NA,Fun-CIM,0.338,0.00445675533402828,0.0130142166778787,0.19336906710088386,0.46406639361322743,Higher change associated with higher relapse hazard,FALSE,FALSE,Beneficial (HR < 1),Detrimental,FALSE
LY6G5B,RFS,20,6,-1.1448900784957865,0.31825889936471774,0.09884377890174259,1.024735478046923,0.05498331254052647,0.008670054434864015,converged,NA,Fun-CIM,0.421,1.7598274153192e-4,0.00111701620373556,0.19336906710088386,0.46406639361322743,Higher change associated with lower relapse hazard,FALSE,FALSE,Beneficial (HR < 1),Beneficial,TRUE
CALHM5,RFS,20,6,0.6790422389788279,1.9719881341141134,0.9851794126904458,3.9472375802769095,0.05513720243164036,0.3545246397626486,converged,NA,Fun-CIM,0.355,0.00194205907187437,0.0068543261360272,0.19336906710088386,0.46406639361322743,Higher change associated with higher relapse hazard,FALSE,FALSE,Beneficial (HR < 1),Detrimental,FALSE
PEX7,RFS,20,6,0.8796545607278258,2.410067030805049,0.9808303197892154,5.921944882598775,0.055140723648854494,0.38219544075350154,converged,NA,Dys-CIM,-0.386,7.3451051629552e-4,0.00803475479970439,0.19336906710088386,0.07468773139067326,Higher change associated with higher relapse hazard,FALSE,FALSE,Detrimental (HR > 1),Detrimental,TRUE
NDUFAF2,RFS,20,6,0.8374598903200885,2.3104906170598474,0.9814343826663993,5.439351815878012,0.05522965252104921,0.10904901116290436,converged,NA,Dys-CIM,-0.547,8.4659652093183e-6,3.9715082128927e-4,0.19336906710088386,0.07468773139067326,Higher change associated with higher relapse hazard,FALSE,FALSE,Detrimental (HR > 1),Detrimental,TRUE
ASL,RFS,20,6,0.8271856844368359,2.286873691097181,0.9811971421232746,5.330010712949458,0.055365532224926954,0.8486158856861992,converged,NA,Dys-CIM,-0.486,1.4185444443296e-4,0.00263703924348131,0.19338762553093589,0.07468773139067326,Higher change associated with higher relapse hazard,FALSE,FALSE,Detrimental (HR > 1),Detrimental,TRUE
DOCK3,RFS,20,6,-0.9381897224406628,0.39133562061351457,0.1496980501061624,1.023016451131853,0.055677518494565176,0.31944238944904224,converged,NA,Fun-CIM,0.508,1.11355731840918e-5,1.5974406003685e-4,0.1934698595150292,0.46406639361322743,Higher change associated with lower relapse hazard,FALSE,FALSE,Beneficial (HR < 1),Beneficial,TRUE
LGALS4,RFS,20,6,-1.336001605421364,0.26289472675866205,0.06688732355792064,1.0332845400468609,0.05573801175610488,0.03323748945737878,converged,NA,Fun-CIM,0.386,0.00113642466466493,0.00450602298458166,0.1934698595150292,0.46406639361322743,Higher change associated with lower relapse hazard,FALSE,FALSE,Beneficial (HR < 1),Beneficial,TRUE
DCC,RFS,20,6,-1.161939624866641,0.3128787245999176,0.09510717210745871,1.0292924722508272,0.055819274664208746,0.12114318967544986,converged,NA,Fun-CIM,0.401,2.1600223719903e-4,0.00129846335405089,0.1934698595150292,0.46406639361322743,Higher change associated with lower relapse hazard,FALSE,FALSE,Beneficial (HR < 1),Beneficial,TRUE
APOL3,RFS,20,6,-0.9871971273529015,0.3726196341011369,0.13542937547207534,1.0252235988956042,0.05591161368834065,0.563763423821468,converged,NA,Fun-CIM,0.657,1.98311015513132e-9,9.00898613331085e-7,0.1934698595150292,0.46406639361322743,Higher change associated with lower relapse hazard,FALSE,FALSE,Beneficial (HR < 1),Beneficial,TRUE
