"","gene_id","NEO11 _Patient_11_T1_B_Rep1","NEO11 _Patient_11_T4_S_Rep1","NEO15 _Patient_15_T1_B_Rep1","NEO15 _Patient_15_T4_S_Rep1","NEO16 _Patient_16_T1_B_Rep1","NEO16 _Patient_16_T4_S_Rep1","NEO18 _Patient_18_T1_B_Rep1","NEO18 _Patient_18_T4_S_Rep1","NEO19 _Patient_19_T1_B_Rep1","NEO19 _Patient_19_T4_S_Rep1","NEO21 _Patient_21_T1_B_Rep1","NEO21 _Patient_21_T4_S_Rep1","NEO22 _Patient_22_T1_B_Rep1","NEO22 _Patient_22_T4_S_Rep1","NEO27 _Patient_27_T1_B_Rep1","NEO27 _Patient_27_T4_S_Rep1","NEO3 _Patient_3_T1_B_Rep1","NEO3 _Patient_3_T4_S_Rep1","NEO33 _Patient_33_T1_B_Rep1","NEO33 _Patient_33_T4_S_Rep1","NEO34 _Patient_34_T1_B_Rep1","NEO34 _Patient_34_T4_S_Rep1","NEO42 _Patient_42_T1_B_Rep1","NEO42 _Patient_42_T4_S_Rep1","NEO43 _Patient_43_T1_B_Rep1","NEO43 _Patient_43_T4_S_Rep1","NEO45 _Patient_45_T1_B_Rep1","NEO45 _Patient_45_T4_S_Rep1","NEO46 _Patient_46_T1_B_Rep1","NEO46 _Patient_46_T4_S_Rep1","NEO47 _Patient_47_T1_B_Rep1","NEO47 _Patient_47_T4_S_Rep1","NEO49 _Patient_49_T1_B_Rep1","NEO49 _Patient_49_T4_S_Rep1","NEO51 _Patient_51_T1_B_Rep1","NEO51 _Patient_51_T4_S_Rep1","NEO8 _Patient_8_T1_B_Rep1","NEO8 _Patient_8_T4_S_Rep1"
"34254","SPTBN4",0.243,0,0.11,0,0,0.1167,0.03044,0.00739,0.0774,0.05335,0.04719,0.2239,0.1422,0.3328,0.1167,0.008891,0.01586,0,0.2892,1.199,0.5991,0.1411,0.1065,0.01096,0.0354,0.02898,0.08433,0.07811,0.1882,0.01497,0.07657,0.04837,0.0697,0.007312,0.01124,0.04957,0.08382,0.08836
"34255","SHKBP1",8.872,3.914,22.68,5.945,8.448,12.48,12.41,6.125,7.777,22.23,5.579,5.31,4.256,6.758,12.48,7.015,3.41,11.64,9.137,11.71,7.428,12.51,54.06,9.761,31.93,13.15,42.32,16.74,11.75,22.03,12.33,10.14,21.19,4.116,8.718,27.25,9.66,9.547
"34256","LTBP4",18.02,0.1995,12.53,1.387,0.1169,2.648,1.762,0.8848,16.46,0.5585,1.143,1.67,2.909,1.791,2.648,0.4014,0.7783,0.1321,3.901,4.661,2.165,2.174,5.672,1.441,9.103,0.474,7.615,1.303,18.27,2.292,2.505,2.672,1.614,0.02871,1.059,4.573,17.96,1.626
"34257","NUMBL",6.389,0.4424,16.2,0.8616,1.728,7.753,1.501,1.994,20.44,5.315,1.05,1.3,1.926,1.558,7.753,1.006,2.255,1.042,6.153,4.695,1.411,3.276,23.26,5.15,14.07,3.223,11.84,6.309,6.155,6.908,1.963,6.016,4.126,1.125,2.935,4.639,10.46,2.147
"34258","COQ8B",6.763,1.38,11.9,5.41,4.264,8.733,6.29,5.007,6.267,6.29,3.419,2.195,2.576,7.412,8.733,6.214,3.075,5.642,10.81,12.9,8.732,7.355,12.96,4.295,10.56,10.29,11.72,10.26,3.572,10.78,5.221,5.271,6.891,2.306,3.831,6.601,7.756,7.248
"34259","ITPKC",5.909,1.283,3.675,2.259,1.258,4.393,4.398,2.227,33.03,4.642,3.373,1.74,1.658,4.371,4.393,2.348,3.327,1.255,5.161,6.764,4.479,3.407,13.75,5.107,4.455,4.292,8.019,3.156,10.15,5.444,2.578,3.93,4.852,1.386,6.146,2.272,9.563,3.673
"34260","ACTMAP",0.8722,0.04844,0.6991,0.2602,0.2422,0.8902,0.4255,0.4132,0.6558,1.627,0.14,0.1423,0.3013,0.2456,0.8902,0.1808,0.04031,0.6274,1.621,1.775,1.192,0.883,1.817,0.6683,7.063,0.6138,2.444,1.191,0.9565,3.92,0.5515,0.7202,1.134,0.1115,0.657,0.9765,0.4261,0.2246
"34261","SNRPA",39.64,5.746,78.33,16.64,52.98,44.65,42.83,35.71,102.9,82.82,13.11,18.76,25.02,25.18,44.65,16.76,16.21,16.91,40.99,72.14,38.84,57.46,81.65,84.51,169.9,47.65,73.46,42.31,73.5,92.68,49.17,67.78,77.3,36.63,49.32,61.55,24.17,24.42
"34262","MIA",42.76,149.2,3.269,12.17,8.022,3.854,96.46,14.49,94.03,2.818,7.011,5.322,79.36,8.932,3.854,1.233,8.796,0.4445,21.15,7.377,6.191,6.881,43.98,88.32,18.58,1.148,26.73,46.93,2.711,113.9,1.769,91.57,102.7,64.45,275.8,65.29,53.37,14
"34263","MIA-RAB4B",21.17,59.17,6.964,7.62,6.398,6.967,44.02,8.732,40.78,6.55,7.906,4.983,34.29,14.66,6.967,4.571,5.294,7.575,12.69,6.609,6.063,10.5,29.17,39.17,14.67,5.929,24.2,31.57,6.825,51.12,8.519,41.52,47.06,27.32,110.3,30.52,24.53,9.746
