"","gene_id","NEO11 _Patient_11_T1_B_Rep1","NEO11 _Patient_11_T4_S_Rep1","NEO15 _Patient_15_T1_B_Rep1","NEO15 _Patient_15_T4_S_Rep1","NEO16 _Patient_16_T1_B_Rep1","NEO16 _Patient_16_T4_S_Rep1","NEO18 _Patient_18_T1_B_Rep1","NEO18 _Patient_18_T4_S_Rep1","NEO19 _Patient_19_T1_B_Rep1","NEO19 _Patient_19_T4_S_Rep1","NEO21 _Patient_21_T1_B_Rep1","NEO21 _Patient_21_T4_S_Rep1","NEO22 _Patient_22_T1_B_Rep1","NEO22 _Patient_22_T4_S_Rep1","NEO27 _Patient_27_T1_B_Rep1","NEO27 _Patient_27_T4_S_Rep1","NEO3 _Patient_3_T1_B_Rep1","NEO3 _Patient_3_T4_S_Rep1","NEO33 _Patient_33_T1_B_Rep1","NEO33 _Patient_33_T4_S_Rep1","NEO34 _Patient_34_T1_B_Rep1","NEO34 _Patient_34_T4_S_Rep1","NEO42 _Patient_42_T1_B_Rep1","NEO42 _Patient_42_T4_S_Rep1","NEO43 _Patient_43_T1_B_Rep1","NEO43 _Patient_43_T4_S_Rep1","NEO45 _Patient_45_T1_B_Rep1","NEO45 _Patient_45_T4_S_Rep1","NEO46 _Patient_46_T1_B_Rep1","NEO46 _Patient_46_T4_S_Rep1","NEO47 _Patient_47_T1_B_Rep1","NEO47 _Patient_47_T4_S_Rep1","NEO49 _Patient_49_T1_B_Rep1","NEO49 _Patient_49_T4_S_Rep1","NEO51 _Patient_51_T1_B_Rep1","NEO51 _Patient_51_T4_S_Rep1","NEO8 _Patient_8_T1_B_Rep1","NEO8 _Patient_8_T4_S_Rep1"
"1","DDX11L1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","WASH7P",13.74,2.189,13.39,4.705,8.93,11.29,9.478,7.998,14.51,12.8,3.71,5.28,9.533,10.84,11.29,3.978,4.219,10.99,24.84,38.35,18.43,9.78,49.1,25.04,29.64,5.782,39.37,18.81,23.27,35.76,11.81,14,11.97,4.952,11.21,15.51,11.01,10.62
"3","MIR6859-1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","MIR1302-2HG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","MIR1302-2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","FAM138A",0,0,0,0,0,0,0,0,0,0,0,0.106,0,0,0,0,0,0,0,0,0.08219,0,0,0,0.1675,0,0,0,0,0,0,0.06541,0,0,0,0,0.1133,0
"7","OR4F5",0.1666,0.37,0.3205,0.1193,0,0.1511,0,0.2583,0,0,0,0.6522,0,0.2502,0.1511,0,0.2772,0.2614,0,0.1356,1.416,0.1265,0.3544,0.1276,1.444,0,0.1965,0.1517,0,0.1745,0,0.08052,0,0.0852,0.1309,0,0,0.2574
"8","LOC100996442",0,0.01388,0.1202,0,0.02603,0.02835,0.06652,0.01615,0,0.1166,0,0.02447,0.02591,0.1173,0.02835,0,0.01733,0,0.09723,0.1526,0.1898,0.07118,0.06648,0.04789,0.07737,0.02111,0.07373,0,0.03738,0.03272,0,0.1057,0,0.1119,0,0.08125,0.05234,0.02414
"9","LOC729737",0.3911,0.2358,1.612,0.2201,0.256,0.5829,0.565,0.3321,0.857,0.9035,0.1383,0.08751,0.4632,0.6923,0.5322,0.1216,0.3874,0.3508,1.883,2.411,2.121,0.4667,1.813,0.6208,2.559,0.4907,1.813,0.407,0.2005,3.979,0.2244,1.418,0.4903,0.2715,0.2415,0.5812,0.8891,0.1511
"10","DDX11L17",0,0,0,0,0,0,0,0.04918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3037,0,0.1178,0,0.1123,0,0,0.1993,0,0.09199,0,0,0,0,0,0
"11","WASH9P",5.21,1.196,6.014,1.99,1.881,2.6,4.529,4.892,3.134,3.78,1.72,2.312,2.304,2.935,2.679,2.106,1.975,2.044,6.935,12.58,5.01,1.78,19.77,9.249,8.17,3.696,8.298,4.428,5.818,7.275,4.418,4.239,3.641,2.265,2.867,5.043,1.673,3.22
"12","MIR6859-2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","LOC107985721",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","LOC112268260",0.02319,0,0.02231,0,0,0.02104,0,0.01199,0,0,0,0.01816,0.01923,0.03484,0.02104,0,0.01287,0,0,0,0,0.01761,0.02467,0,0,0,0.02736,0,0,0.02429,0,0,0,0,0.01823,0,0,0.01792
"15","OR4F29",0.1629,0.1447,0.4699,0.1166,1.492,1.625,0.3467,0.4209,0.5878,0.8103,1.344,1.658,0.135,0.6115,2.068,0.2026,0.9936,1.278,0.6757,0.2652,0.6923,0.4946,0,0.1248,0.6048,0.2201,0.1921,0.8898,0.7794,0,0.1454,0.7084,0.3176,0.4998,0.512,0.5647,0.4092,0.2516
"16","LOC100132287",0.14,0.03109,0.3702,0.02506,0.08746,0.254,0.149,0.5426,0.1263,0.2176,0.2888,0.6303,0.2611,0.3942,0.2857,0.04352,0.09705,0.1098,0.6533,0.6552,0.34,0.07971,1.117,0.1609,2.426,0.2601,1.527,0.3824,0.2512,2.199,0.1249,0.389,0.1706,1.02,0.1375,0.273,0.5276,0.1081
"17","LOC105378947",0.06527,0,0,0.04674,0,0,0.06947,0,0,0,0,0.05111,0,0,0,0,0,0,0,0,0.03964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","LOC101928626",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","MIR12136",2.154,0,2.072,0,0,1.954,0,0,3.887,0,1.185,0,1.786,0,1.954,0,0,0,0,0,1.308,0,4.582,0,2.666,0,2.541,0,2.577,2.256,0,1.041,0,0,0,1.867,1.804,1.664
"20","OR4F16",0.05291,0.01175,0.07634,0.03789,0.2425,0.264,0.02816,0.0547,0.09549,0.09873,0.1892,0.2693,0.04387,0.1391,0.288,0.01645,0.1614,0.1246,0.1098,0.06462,0.1285,0.08035,0,0.02027,0.131,0.03575,0,0.1686,0.1899,0,0,0.1407,0.05159,0.09472,0.08319,0.09173,0.06648,0.04088
"21","LOC100133331",0.1432,0,0.4475,0.1025,0.1193,0.1948,0,0.05549,0.2583,0,0.05907,0.1682,0.05934,0.1075,0.1623,0.04451,0.0397,0,0.631,1.34,0.4781,0.163,1.332,0.2468,1.019,0.09672,0.5489,0.3585,0.3854,1.349,0.03194,0.1903,0.1396,0.03661,0.1125,0.09306,0.2098,0.08294
"22","LOC107984841",1.982,1.174,4.289,0.3548,1.238,2.996,1.934,3.926,2.086,3.697,0.636,1.423,2.465,4.093,2.847,0.9243,2.29,1.555,6.509,8.873,5.115,0.627,8.608,1.645,17.79,4.128,7.014,2.256,1.185,16.95,1.179,8.78,1.61,2.281,1.428,1.861,5.256,1.148
"23","LOC107984847",19.55,0.8405,23.66,4.29,4.466,10.01,7.384,5.378,32.43,5.098,5.204,7.654,8.104,7.577,10.01,2.941,4.722,6.433,22.89,25.41,18.96,9.337,36.22,12.32,42.94,1.917,30.13,21.25,14.71,73.31,7.88,17.22,5.841,4.677,2.726,14.21,31.69,3.654
"24","LOC107984849",4.915,0.2426,12.08,1.955,0.91,2.973,0.5813,1.411,3.942,2.038,1.202,2.994,2.717,3.691,2.973,1.019,2.121,1.714,9.63,1.779,3.317,1.659,18.01,2.511,18.93,1.845,28.99,4.973,6.534,46.33,1.95,3.168,1.065,1.397,0.8586,3.787,6.404,2.11
"25","LOC100288069",5.131,0.1487,2.897,1.677,1.673,3.542,3.562,6.111,3.019,3.746,2.148,4.979,2.312,4.691,3.542,1.249,1.423,1.576,9.139,13.89,8.738,3.642,8.543,2.564,8.837,1.055,6.974,4.469,2.802,20.09,2.39,4.852,4.35,8.728,2.455,8.605,5.979,2.671
"26","LINC01409",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02423,0.01808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27","FAM87B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03802,0,0,0,0,0,0
"28","LINC00115",2.206,0.5675,6.143,1.912,1.161,3.476,3.213,1.5,2.095,2.6,1.725,2.273,1.54,2.267,3.476,1.516,1.61,2.551,4.516,3.214,3.949,4.761,4.323,2.313,6.037,1.255,6.164,5.498,5.696,8.391,4.457,5.893,1.472,2.019,1.278,3.321,4.571,2.691
"29","LINC01128",0.7619,0.05887,1.498,0.3321,0.2622,0.9466,0.2821,0.3339,2.182,0.3296,0.4738,0.5966,0.3845,0.5722,0.9466,0.5253,0.5145,0.156,1.237,0.7955,0.9556,1.245,1.427,0.7488,1.763,0.4812,1.407,0.4977,1.05,1.839,0.5914,1.025,0.4683,0.1017,0.2213,0.8327,1.054,0.1663
"30","LOC107984850",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31","FAM41C",0.08964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32","LOC284600",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01916,0,0,0,0,0,0
"33","LINC02593",0,0,0.1953,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05632,0,0,0.08267,0,0.0771,0,0,0.1257,0,0,0,0,0,0,0,0,0,0,0,0,0
"34","LOC107985728",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35","SAMD11",0.7775,0.05314,6.5,0.3854,0,1.411,0.3183,1.082,0.3238,0.4463,2.534,2.81,0.843,1.662,1.411,0.6694,1.36,0,0.7133,2.142,0.4722,0.5449,1.463,0.7791,3.998,1.616,0.7055,0.4357,0.1431,0.3132,0.8541,0.5203,0.05831,0.2753,0.2821,0.2592,2.955,0.8316
"36","NOC2L",7.876,1.134,10.14,2.661,6.839,12.53,12.52,8.257,12.41,17.32,3.479,2.519,3.587,6.707,12.53,8.589,1.969,6.181,6.961,6.412,4.851,9.644,38.88,10.29,106.5,15.03,53.85,7.778,6.437,160.9,6.337,8.928,10.76,3.546,6.278,7.356,9.384,3.685
"37","KLHL17",0.6533,0.08293,0.4937,0.1003,0.3888,0.6774,0.4967,0.7718,0.08421,0.5804,0,0.2193,0.1161,0.6659,0.6774,0.3192,0.3106,0,0.9196,2.887,1.105,0.7441,2.184,0.4649,3.524,0.6621,2.147,0.8074,0.1675,5.083,0.5832,0.9699,0.455,0.3819,0.4402,0.7281,0.5081,0.6129
"38","PLEKHN1",0.2291,0.1696,0.6978,0.1094,0.1272,0.9006,2.642,0.7697,0.8957,1.14,0.4201,0.299,0.09497,0.8889,0.9006,0.19,0.2541,0,2.455,1.679,1.554,0.5798,6.336,1.083,1.418,0.4386,5.946,0.6606,0.3198,10.08,0.03408,0.7567,1.08,0.07812,1.171,0.7943,0.3838,0.236
"39","PERM1",0.4653,0.01879,0.04069,0.03029,0,0.1535,0,0.08746,0.07634,0.05262,0.1164,0.1988,0.03507,0.6989,0.1535,0.3157,0.1642,0,0.4388,0.3788,0.6166,0.1927,0.135,0.1297,0.3142,0.05716,0.04991,0.1156,0,0.1772,0,0,0.04125,0.02164,0.133,0,0.07086,0.03268
"40","HES4",4.619,0.7431,6.359,1.426,1.261,6.286,5.765,3.787,9.917,8.223,2.717,2.495,1.849,7.836,6.286,6.538,2.872,0.375,6.154,4.085,5.176,2.419,6.608,4.394,5.522,7.103,11.09,1.958,0.8576,27.28,0.6398,3.657,4.66,1.874,2.442,1.381,4.336,4.307
"41","ISG15",57.38,104.9,235.8,56.21,947.8,147.2,382.3,180.2,49.82,1396,40.94,62.98,67.87,1131,147.2,766.5,49,1110,82.29,43.97,1122,58.33,54.39,347.3,78.16,89.7,886.2,1649,147.1,391.2,69,447.4,140,530.3,198.3,106.1,91.08,345.7
"42","AGRN",1.298,0.3595,2.172,0.5929,0.2038,3.312,1.823,1.469,2.105,2.27,0.4866,0.4568,0.39,0.3674,3.312,0.9478,0.6471,0.3248,1.922,1.792,2.297,0.5143,7.146,2.696,9.015,1.805,20.11,1.028,0.6529,23.37,0.03359,1.646,1.394,0.8373,1.139,1.011,1.119,0.7268
"43","LOC100288175",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44","LOC112267874",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45","LOC105378948",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04386,0
"46","RNF223",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47","C1ORF159",3.207,0.2794,5.262,2.116,1.572,4.107,4.217,3.737,5.9,3.207,1.488,0.7878,1.355,2.786,4.107,1.369,0.9766,1.086,6.228,6.45,4.697,3.581,8.963,4.674,14.4,3.993,10.9,1.775,1.053,15.67,2.357,3.921,4.598,1.865,2.323,4.142,3.476,1.02
"48","LINC01342",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2937,0,0.1147,0,0,0,0.2337,0,0,0,0,0,0,0,0,0,0,0,0,0
"49","MIR200B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50","MIR200A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51","MIR429",0,0.8186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52","TTLL10-AS1",0,0,0,0,0,0,0,0,0,0.04555,0,0,0,0,0,0.02277,0,0,0,0,0,0,0,0,0,0.02474,0,0,0,0.03835,0,0,0.03571,0,0,0,0,0
"53","TTLL10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02214,0.01974,0,0,0,0,0,0,0,0,0,0,0,0,0.03728,0,0,0.03471,0,0,0,0,0
"54","TNFRSF18",0.6846,0.3042,0.9579,0.5348,0.2593,0.9599,1.126,0.6755,0.6739,0.7742,1.575,1.17,0.4644,1.963,0.9599,0.8902,0.1036,1.172,3.002,1.976,2.419,2.552,2.383,1.288,2.543,4.163,3.01,0.8501,0.5213,12.51,1.333,1.173,2.185,0.2228,0.09784,2.859,0.3649,0.6251
"55","TNFRSF4",0.4999,0.5182,1.122,0.3878,0.6247,2.343,2.882,1.055,1.729,1.554,0.5042,0.1631,0.8289,0.438,2.343,2.072,0.2311,2.681,1.059,0.78,0.3542,0.4428,0.5317,2.745,0.1031,0.9288,3.194,2.731,0.4486,2.53,2.38,2.96,4.874,1.3,0.5239,8.088,1.151,0.8689
"56","SDF4",53.17,25.89,95.05,27.93,22.04,31.46,58.15,28.84,58.92,43.88,30.35,41.75,44.14,44.13,31.46,35.52,28.45,42.22,44.31,57.26,35.73,60.85,108.7,24.07,54.47,44.86,131.5,56.62,51.47,120.7,50.91,40.44,50.08,52.58,18.13,68.33,69.36,29.98
"57","B3GALT6",8.886,2.01,13.16,4.607,6.268,11.23,11.9,8.143,18.59,7.663,11.49,8.538,6.193,11.42,11.23,4.475,4.475,10.44,9.358,4.128,9.502,17.34,29.4,15,23.55,6.151,34.8,17.03,17.28,52.01,12.02,11.57,9.409,4.796,6.042,10.54,10.68,9.687
"58","C1QTNF12",0.8178,0.0519,1.348,0.08366,0.1947,0.106,0.1244,0.6038,0.4216,0,0.06427,0.09148,0.1937,0.08773,0.106,0.07265,0.324,0,0.1212,0.4755,0.1419,0.0887,3.852,0.08952,0.7231,0.3157,0.5513,0,0,1.346,0.2086,0.05647,0.2278,1.016,0.3673,0,0.3914,0
"59","UBE2J2",9.908,2.663,13.8,5.403,5.993,15.77,9.458,9.805,9.481,13.55,5.024,5.053,4.619,9.665,15.77,8.639,5.691,8.577,8.594,8.583,6.724,21.55,16.58,14.05,24.05,17.58,36.11,12.04,12.07,48.41,8.813,13.84,13.61,5.031,5.682,11.25,10.34,5.693
"60","LINC01786",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0707
"61","SCNN1D",0.1502,0.02225,0.1445,0.03586,0,0.2726,0.1599,0.05176,0.2711,0.1246,0,0.1568,0,0.376,0.2726,0.03114,0,0,0.6752,2.079,0.4257,0.2281,0.1598,0.1918,0.3719,0.03383,0.1772,0.0456,0,0.3671,0.0447,0.1452,0,0.05122,0.03936,0.3038,0.1258,0.1547
"62","ACAP3",2.191,0.5225,3.083,1.123,0.7108,3.975,1.865,2.062,1.872,2.036,0.888,1.715,1.396,3.204,3.975,2.323,2.11,1.665,5.178,7.359,3.473,1.698,5.568,2.792,7.45,1.153,4.461,1.848,1.821,10.17,1.544,2.251,1.911,1.734,1.323,2.678,2.627,2.227
"63","MIR6726",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64","SNORD167",0,0,0,0,0,0,0,0,0,0,1.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"65","PUSL1",6.823,1.347,8.855,6.204,7.128,13.76,6.456,5.71,10.36,11.99,3.218,3.223,4.669,9.841,13.76,4.849,5.226,5.439,14.27,16.93,11.97,12.01,23.39,13.53,22.79,9.439,20.7,4.931,3.758,45.59,6.477,8.69,9.715,5.872,6.3,6.947,6.44,4.434
"66","INTS11",10.82,1.318,9.12,5.623,6.445,16.83,9.411,8.117,14.28,10.64,4.864,4.464,5.498,7.688,16.83,5.426,4.001,7.577,16.8,26.19,13.32,14.62,22.03,12.08,32.62,10.96,27.65,16.74,16.63,48.67,9.865,14.06,8.224,3.511,6.355,10.44,11.11,6.471
"67","MIR6727",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"68","CPTP",3.419,0.2458,5.224,1.188,1.257,3.741,3.533,2.235,2.632,4.566,1.466,0.4332,0.6671,1.435,3.741,0.8756,0.7252,1.421,3.442,3.07,2.413,5.842,13.16,4.354,8.653,5.028,15.13,4.442,3.911,21.75,2.155,3.403,2.746,0.463,1.858,4.577,1.474,0.7381
"69","TAS1R3",0.212,0.07534,1.264,0.06072,0.106,0.2692,0.4513,0.241,0.2295,0.05273,0.1633,0.0664,0.0703,0.3821,0.2692,0.29,0.09406,0.2662,0.1319,0,0.05149,0.1288,3.202,1.364,0.7348,1.604,1.15,0.3088,0.4058,2.62,1.211,0.4713,0.7854,0.04337,0,0.8085,0.1065,0.03275
"70","DVL1",11.07,2.012,17.69,4.553,3.506,11.29,14.27,9.812,6.769,13.14,6.921,5.123,3.489,10.86,11.29,12.52,3.907,3.087,16.2,21.38,12.39,11.98,32.94,9.955,24.41,20.8,50.51,8.206,11.93,80.77,5.798,11.19,10.53,7.697,6.652,9.794,12.18,8.128
"71","MIR6808",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72","MXRA8",12.47,1.249,21.39,5.88,0.1842,18.02,2.084,4.864,9.86,2.121,2.78,4.526,3.09,3.036,18.02,5.597,2.715,0.1983,3.571,3.445,2.282,4.005,36.52,8.591,0.7429,1.472,38.64,3.02,3.476,6.483,3.129,5.816,3.172,1.163,7.075,8.432,14.65,7.734
"73","AURKAIP1",40.7,35.98,59.97,65.82,82.85,76.38,76.89,77.44,60.06,58.58,65.37,50.43,50.15,85.59,76.38,135.1,51.27,61.13,63.75,72.65,58.83,122.8,101.9,80.3,102.8,124.3,129.6,49.36,40.56,250.6,52.98,81.63,53.35,80.48,49.73,41.8,56.62,48.8
"74","CCNL2",6.572,0.5606,12.29,1.563,1.818,7.25,4.225,4.348,5.313,1.7,3.688,4.776,2.092,4.087,7.25,1.994,3.106,3.92,14.17,7.983,10.35,8.084,10.79,3.485,13.51,3.357,17.43,7.493,3.208,24.03,5.233,7.395,3.871,3.899,3.1,4.535,5.791,3.026
"75","MRPL20-AS1",5.424,0.9328,6.311,3.571,3.353,5.556,4.377,4.612,2.526,5.006,4.187,4.453,3.989,6.701,5.556,4.135,3.057,1.648,5.762,5.413,4.41,8.835,18.15,6.1,10.51,2.246,12.18,2.549,5.443,16.31,6.091,5.159,8.104,4.072,2.751,5.763,5.715,4.393
"76","MRPL20",178.7,147.9,166.9,204.7,188.5,156.8,204.5,97.34,167.9,125.8,239.3,197.3,200.1,297.2,156.8,290.8,183,162.4,133.1,132.7,119.1,420.7,132.8,148,216.7,193.8,236,134.5,177.2,415.9,125.1,147.8,121.1,138,90.3,115,191.7,131.9
"77","LOC107984868",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78","ANKRD65",1.694,0,0.7927,0.459,0.4577,0.04154,1.17,0.5679,1.074,0.5695,0.2015,0.5737,1.329,0.3782,0.04154,0.2847,0.2286,0.4311,1.662,0.5964,0.3893,0.3476,0.7305,0.1403,0.2267,0.5568,0.7022,0.1668,0.1643,0.5274,1.962,0.7303,0.4911,1.171,0.07198,0.3969,2.646,0.6013
"79","ANKRD65-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80","TMEM278",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"81","LINC01770",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"82","LOC107985729",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"83","VWA1",1.974,0.5142,2.161,1.048,0.1985,4.478,3.189,1.865,2.519,3.515,0.5244,0.2932,0.5363,1.969,4.478,2.075,0.4154,0.3206,3.037,2.051,2.233,3.257,5.758,4.904,1.306,2.852,12.45,1.86,0.8553,20.64,0.6989,2.369,3.087,0.1567,4.362,1.593,3.051,1.315
"84","ATAD3C",0.6728,0.07033,0.03807,0.17,0,1.831,1.222,1.473,0.7856,3.495,0.1524,0.155,0.1969,1.189,1.831,0.6153,0.3951,0,2.812,1.611,5.456,0.09015,8.883,1.425,0.04899,0.2139,8.824,1.045,0,7.833,0.07065,0.6695,0.7332,1.66,1.244,0.1715,0.2652,0.8867
"85","ATAD3B",1.073,0.3143,0.9387,0.6115,1.138,1.372,1.195,2.371,1.365,2.185,0.1208,0.4203,0.4855,0.6962,1.372,0.8496,0.4466,1.11,1.911,3.496,2,1.167,2.076,1.047,5.135,1.879,4.461,1.177,0.4087,11.91,0.6098,2.123,1.808,1.248,1.131,1.057,1.41,0.8859
"86","ATAD3A",4.028,1.578,4.895,2.695,7.596,6.877,6.488,7.123,7.652,13.19,2.158,2.449,2.725,4.14,6.877,7.12,2.058,9.234,4.371,6.085,3.831,5.876,9.811,9.423,37.21,6.661,27.83,7.868,4.503,77.99,2.697,6.866,6.202,4.067,4.25,5.835,5.949,2.662
"87","TMEM240",4.097,0.246,5.965,2.458,0,1.607,0.4715,0.3434,0.9991,0.1377,1.218,3.382,2.02,0.9148,1.607,0.7575,0.5528,0.1738,0.7465,0.1803,0.1345,0.2522,3.062,0.08485,0.5483,0.3741,4.442,1.412,1.59,0.3479,0.5931,1.07,0.5398,1.982,0.5222,2.112,3.153,1.711
"88","SSU72",177.9,66.19,162,121.7,182.9,262.9,311,167,248.7,326.5,234.8,198.7,215.7,399.9,262.9,249.4,143.9,204.5,138,158.8,151.7,206.8,337.4,233.6,324.1,338.5,384,332.9,193.4,930,207.4,229.1,240.4,126.3,173.9,185.8,221.4,144.5
"89","FNDC10",2.664,0.2239,3.532,1.237,1.62,4.311,2.146,2.568,1.169,3.224,1.228,0.9585,1.015,4.272,4.311,1.164,2.117,1.017,3.622,4.044,2.23,2.733,6.816,3.089,15.06,1.216,14.27,3.212,0.8614,10.48,0.8355,1.357,2.738,1.51,2.83,2.309,1.688,1.557
"90","LOC105378586",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"91","MIB2",0.5207,0.04907,0.6071,0.1921,0.2235,0.7014,0.4199,0.2202,1.167,0.6673,0.1128,0.173,0.1047,0.3792,0.7014,0.1177,0.09627,0.1733,0.5973,0.8221,0.5366,0.5271,1.695,0.6045,1.66,0.3305,2.178,0.4454,0.6041,3.933,0.4084,0.4805,0.5231,0.113,0.3349,0.3556,0.5418,0.2925
"92","MMP23B",1.936,0.2704,9.366,1.426,0.1844,1.004,0.05889,0.4289,0.6989,0.06882,1.461,2.556,2.982,1.039,1.004,0.3441,1.013,0.08683,0.6886,0.8558,0.4032,0.6301,0.5885,0.4663,0.4795,0.1495,0.5222,0.2519,0.331,0.3476,0.5926,1.658,0.3237,0.5942,0.6088,1.151,5.005,0.7266
"93","CDK11B",10.09,2.772,15.07,4.217,7.913,15.2,11.34,6.196,11.01,9.112,7.212,8.069,6.8,7.186,15.2,7.672,5.91,5.336,8.579,8.874,8.195,16.37,21.96,9.185,36.4,9.733,26.3,12.99,8.303,49.11,12.86,16.03,9.774,11.29,6.116,13.28,11.1,6.824
"94","SLC35E2B",12.06,1.505,14.5,3.408,3.541,10.95,7.87,5.355,6.192,6.581,4.104,4.733,3.818,6.401,10.95,3.978,3.266,4.065,17.67,12.33,8.685,22.42,15.45,7.803,16.55,5.085,20.27,9.454,11.55,25.04,8.991,8.089,7.144,4.529,4.054,10.59,7.027,7.474
"95","MMP23A",4.726,0.5249,20.13,3.384,0.4219,2.144,0.1797,0.9596,1.523,0.2099,3.343,6.212,6.437,2.535,2.144,0.9447,2.247,0.2649,1.576,1.924,1.128,1.922,1.616,1.035,1.463,0.2281,1.394,0.6148,0.8078,1.061,1.507,3.508,0.8229,1.209,1.061,2.926,10.04,1.826
"96","CDK11A",3.159,1.27,7.572,1.436,2.882,5.004,4.696,1.529,2.533,3.243,3.696,3.769,2.328,3.238,5.004,2.557,2.892,1.259,3.146,1.959,2.832,7.424,9.227,2.382,16.39,4.675,10.82,3.516,1.5,17.22,4.923,4.58,4.009,3.513,2.01,3.868,3.485,2.479
