scope,cim,cim_class,rho_threshold,gene,n_scope_datasets,k_datasets,all_datasets_contributed,k_concordant,direction_concordant,nki_smc,nki_smc_dir,neo,neo_dir,tnbc_cl,tnbc_cl_dir,fisher_stat,fisher_p,fisher_padj,fisher_sig,stouffer_Z,stouffer_p,stouffer_padj,stouffer_sig,mean_abs_rrb,rank_in_list,in_ora_universe,used_in_ora,analysis_label
"NKI.TNBCCL","Fun","Fun_only",0.3,"ISCU",2,2,"YES",2,"YES","YES","Fun","NO",NA,"YES","Fun",20.1132967657651,0.000474325637956919,0.00199350341790349,"YES",3.48204977535783,0.000248795594865089,0.00144374086071347,"YES",0.424,534,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"NKI.TNBCCL","Fun","Fun_only",0.3,"FAT2",2,2,"YES",2,"YES","YES","Fun","NO",NA,"YES","Fun",24.8908967963975,5.29158438389837e-05,0.000411423920312881,"YES",3.47901781867437,0.000251627561595329,0.001457514837656,"YES",0.487,535,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"NKI.TNBCCL","Fun","Fun_only",0.3,"ZNF10",2,2,"YES",2,"YES","YES","Fun","NO",NA,"YES","Fun",22.0803715773427,0.000193170774572515,0.00104051450016541,"YES",3.47820693086239,0.000252390040418011,0.00145927332459868,"YES",0.462,536,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"NKI.TNBCCL","Fun","Fun_only",0.3,"WIPF3",2,2,"YES",2,"YES","YES","Fun","NO",NA,"YES","Fun",26.1279855720819,2.98186966139238e-05,0.000285774724262131,"YES",3.47742339256244,0.000253128848231235,0.00146088881556321,"YES",0.494,537,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"NKI.TNBCCL","Fun","Fun_only",0.3,"CENPT",2,2,"YES",2,"YES","YES","Fun","NO",NA,"YES","Fun",20.5299323229576,0.000392384398019449,0.0017163444094936,"YES",3.47250356345889,0.000257814083461564,0.00148523330689814,"YES",0.437,538,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"NKI.TNBCCL","Fun","Fun_only",0.3,"NOSTRIN",2,2,"YES",2,"YES","YES","Fun","NO",NA,"YES","Fun",20.7115130503158,0.000361216980212639,0.00161870709204097,"YES",3.47048842662482,0.000259756365314367,0.00149313190270818,"YES",0.441,539,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"NKI.TNBCCL","Fun","Fun_only",0.3,"SYNPO",2,2,"YES",2,"YES","YES","Fun","NO",NA,"YES","Fun",19.5599461344796,0.000609858862716975,0.00240316131776949,"YES",3.46923189674837,0.000260974360913952,0.00149313190270818,"YES",0.401,540,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"NKI.TNBCCL","Fun","Fun_only",0.3,"CD37",2,2,"YES",2,"YES","YES","Fun","NO",NA,"YES","Fun",19.5228108387601,0.000620218167974548,0.00241838117977658,"YES",3.46914034390257,0.000261063313806838,0.00149313190270818,"YES",0.398,541,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"NKI.TNBCCL","Fun","Fun_only",0.3,"HOXB-AS1",2,2,"YES",2,"YES","YES","Fun","NO",NA,"YES","Fun",19.5188751189692,0.000621326233923732,0.00241838117977658,"YES",3.46936360063518,0.000260846446750606,0.00149313190270818,"YES",0.397,542,FALSE,FALSE,"NKI.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"NKI.TNBCCL","Fun","Fun_only",0.3,"PYGM",2,2,"YES",2,"YES","YES","Fun","NO",NA,"YES","Fun",19.5533770869782,0.000611678824114722,0.00240437411703933,"YES",3.46633193550104,0.000263805735389637,0.001506108148185,"YES",0.402,543,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"NKI.TNBCCL","Fun","Fun_only",0.3,"KLRD1",2,2,"YES",2,"YES","YES","Fun","NO",NA,"YES","Fun",20.8705769748761,0.00033593783438781,0.0015416561841193,"YES",3.4583878858082,0.000271709196232523,0.00154845025809933,"YES",0.445,544,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"NKI.TNBCCL","Fun","Fun_only",0.3,"PIGR",2,2,"YES",2,"YES","YES","Fun","NO",NA,"YES","Fun",19.5379926059879,0.000615962169203058,0.00240929852160606,"YES",3.45702930614269,0.00027308272478083,0.00155349385474605,"YES",0.405,545,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"NKI.TNBCCL","Fun","Fun_only",0.3,"GDF5",2,2,"YES",2,"YES","YES","Fun","NO",NA,"YES","Fun",23.5253998900148,9.94184254243942e-05,0.000636541814031571,"YES",3.45603777887191,0.000274089242229733,0.00155585099797741,"YES",0.476,546,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"NKI.TNBCCL","Fun","Fun_only",0.3,"COL4A3",2,2,"YES",2,"YES","YES","Fun","NO",NA,"YES","Fun",21.3153819435637,0.000274180244739255,0.00131905170691502,"YES",3.45565807526734,0.00027447560058658,0.00155585099797741,"YES",0.452,547,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
