Category,gene,METABRIC_OS_HR,METABRIC_OS_CI_lower,METABRIC_OS_CI_upper,METABRIC_OS_p_value,METABRIC_OS_p_adj_BH,SCANB_OS_HR,SCANB_OS_CI_lower,SCANB_OS_CI_upper,SCANB_OS_p_value,SCANB_OS_p_adj_BH,METABRIC_DSS_HR,METABRIC_DSS_CI_lower,METABRIC_DSS_CI_upper,METABRIC_DSS_p_value,METABRIC_DSS_p_adj_BH,METABRIC_RFI_HR,METABRIC_RFI_CI_lower,METABRIC_RFI_CI_upper,METABRIC_RFI_p_value,METABRIC_RFI_p_adj_BH,SCANB_RFI_HR,SCANB_RFI_CI_lower,SCANB_RFI_CI_upper,SCANB_RFI_p_value,SCANB_RFI_p_adj_BH,SCANB_DRFI_HR,SCANB_DRFI_CI_lower,SCANB_DRFI_CI_upper,SCANB_DRFI_p_value,SCANB_DRFI_p_adj_BH
Fun-CIM,PIKFYVE,0.9867,0.864,1.1267,0.8427,0.9029,0.8442,0.7447,0.957,0.008105,0.02149,0.9961,0.866,1.1458,0.9565,0.9645,0.939,0.8193,1.0761,0.3654,0.5386,0.926,0.805,1.0652,0.2818,0.3932,0.9123,0.7827,1.0633,0.24,0.332
Fun-CIM,PKD2,0.984,0.861,1.1245,0.8127,0.8764,0.9159,0.8094,1.0364,0.1634,0.2422,0.9899,0.8592,1.1404,0.8878,0.9272,1.0268,0.8973,1.1751,0.7005,0.7917,1.1047,0.9579,1.2741,0.1711,0.263,1.0663,0.9127,1.2457,0.4185,0.5146
Fun-CIM,PLCL2,0.8581,0.7516,0.9797,0.02361,0.1336,0.8443,0.7459,0.9557,0.007428,0.02021,0.8768,0.7628,1.0079,0.06446,0.2799,0.9284,0.8139,1.0591,0.2689,0.435,0.8989,0.7827,1.0325,0.1316,0.2185,0.8831,0.7586,1.028,0.1088,0.1703
Fun-CIM,POU2AF1,0.8771,0.7578,1.0151,0.07864,0.1996,0.8384,0.7434,0.9455,0.004071,0.01408,0.9038,0.7766,1.0518,0.1913,0.3897,0.9023,0.7821,1.041,0.1586,0.3079,0.7817,0.6823,0.8955,0.0003849,0.003993,0.7213,0.6212,0.8375,0.00001824,0.0002845
Fun-CIM,PPARA,0.9344,0.8073,1.0815,0.3628,0.5031,1.1541,1.0215,1.3037,0.02131,0.04478,0.8727,0.747,1.0195,0.08602,0.2938,0.8815,0.7615,1.0205,0.09132,0.2554,1.1322,0.9918,1.2925,0.0661,0.1233,1.0717,0.9272,1.2387,0.3486,0.4452
Fun-CIM,PRDM1,0.8563,0.7451,0.9841,0.0288,0.1336,0.8357,0.7381,0.9463,0.00465,0.01514,0.8709,0.753,1.0073,0.06261,0.2799,0.8759,0.7635,1.0049,0.05867,0.222,0.8843,0.7693,1.0164,0.08347,0.1506,0.8435,0.7237,0.9832,0.02949,0.06196
Fun-CIM,PRKACB,0.9218,0.7922,1.0726,0.2924,0.4346,0.9475,0.8345,1.0758,0.4053,0.4918,0.94,0.8063,1.0959,0.4293,0.6263,0.9814,0.8549,1.1266,0.7896,0.8628,0.9643,0.835,1.1137,0.6207,0.7156,0.9202,0.7835,1.0808,0.3111,0.4066
Fun-CIM,PTEN,0.9654,0.8359,1.1149,0.6318,0.7446,0.7852,0.6915,0.8917,0.0001934,0.001889,0.9725,0.8347,1.133,0.7204,0.8142,1.0378,0.8938,1.205,0.6263,0.7434,0.9737,0.8462,1.1204,0.7097,0.796,0.8958,0.7691,1.0434,0.1574,0.2312
Fun-CIM,PTGER4,0.8592,0.7471,0.9882,0.03343,0.1419,0.8714,0.7722,0.9834,0.02564,0.05255,0.8748,0.7553,1.0133,0.07444,0.2856,0.8841,0.7704,1.0146,0.07948,0.2366,0.8972,0.7831,1.028,0.1183,0.1984,0.847,0.7296,0.9832,0.02909,0.06196
Fun-CIM,PTK2B,0.9457,0.8225,1.0874,0.433,0.5649,0.9218,0.8114,1.0473,0.2111,0.2968,0.9827,0.8486,1.138,0.8154,0.8852,0.96,0.8327,1.1067,0.5734,0.7102,0.8357,0.7232,0.9657,0.01495,0.05155,0.7808,0.6658,0.9156,0.002331,0.009439
