Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils
NEO43 _Patient_43_B_Rep1	0	0.033055536	0.022706209	0.185724755	0.173502788	0	0.012325308	0.120536992	0	0.090336673	0.028569531	0	0.038505258	0.005132808	0.02010467	0.064600261	0.13980531	0.009746655	0.005045706	0.011989428	0.03533983	0.002972282
NEO43 _Patient_43_S_Rep1	0.00087685	0.03694582	0.020549577	0.122891403	0	0.146744007	0.043143717	0.009314841	0	0.055733133	0	0.062111383	0	0.031575833	0.118917051	0.280769067	0.009525974	0	0.026986151	0.007712817	0.007575096	0.018627279
NEO45 _Patient_45_B_Rep1	0	0.010600181	0.00234523	0.055301377	0	0.112557931	0	0	0.001686709	0	0	0.071807738	0.01249979	0.34282198	0.070962641	0.180916836	0	0	0	0.123200443	0	0.015299144
NEO45 _Patient_45_S_Rep1	0	0.025391745	0.011181455	0.137713439	0	0.231157667	0.052455379	0	0	0	0	0.058470459	0.001502503	0.040529965	0.124270356	0.245420891	0	0.043062196	0.016597236	0	0	0.01224671
NEO46 _Patient_46_B_Rep1	0	0.029963248	0.00525635	0.152081633	0	0.273599331	0	0	0	0	0	0.022992575	0	0.014135409	0.041147142	0.391578402	0.021892619	0	0.026960385	0	0	0.020392906
NEO46 _Patient_46_S_Rep1	0	0.009679598	0.002141614	0.04348182	0	0.120246336	0	0.006276466	0	0	0	0.052251161	0	0.428912242	0.096851153	0.148131284	0	0.001162093	0	0.072325988	0	0.018540246
NEO47 _Patient_47_B_Rep1	0	0.191351353	0	0.204175871	0	0.065407244	0.032483268	0	0	0.156203683	0	0.096515947	0	0.010344895	0.045585969	0.147754151	0.029659823	0	0	0.015586106	0	0.004931691
NEO47 _Patient_47_S_Rep1	0	0.064987627	0	0.142723731	0	0.192143578	0.026388086	0	0	0.090114028	0	0.072464929	0.001527685	0.015068916	0.103151199	0.21577616	0.010093536	0.005071347	0.052674282	0	0	0.007814897
NEO49 _Patient_49_B_Rep1	0	0.081569709	0	0.162159466	0	0	0.046488244	0	0	0.058250801	0	0.111598496	0	0.115127192	0.123286894	0.237074535	0.033862202	0	0.003742761	0.009164215	0	0.017675484
NEO49 _Patient_49_S_Rep1	0	0.028714665	0.003752714	0.071285532	0	0.046880783	0.032505419	0.017323883	0	0.046069814	0	0.106127508	0	0	0.12111435	0.314668588	0.080910329	0.000812706	0	0.10077569	0.002591071	0.026466947
NEO51 _Patient_51_B_Rep1	0	0.03749864	0.001534803	0.081222945	0	0.144149323	0.058739836	0	0	0.017108714	0	0.047998396	0.003692893	0.050514917	0.102913163	0.364773045	0.02220933	0	0.023818733	0.030695511	0	0.013129751
NEO51 _Patient_51_S_Rep1	0	0.056946156	0	0.229187105	0.006159072	0.022109348	0.093124975	0	0	0.024081812	0	0.088497211	0	0.122946944	0.072535329	0.180619824	0.022889576	0	0.079238564	0	0	0.001664083
NEO8 _Patient_8_B_Rep1	0	0.036059108	0.002705315	0.139388978	0	0.226315761	0	0	0	0.009667898	0.00732865	0.060591784	0.044369533	0	0.059167538	0.209575379	0.040772186	0	0.105411273	0.046153112	0	0.012493484
NEO8 _Patient_8_S_Rep1	0	0.084704495	0.001338797	0.093653093	0	0.156882386	0.049478375	0	0	0.020842632	0.014669143	0.024464955	0	0.024776224	0.082648285	0.209075513	0.02423863	0	0.196783919	0	0	0.016443554
