gene,direction,meta_scope_used,rho_threshold,k_datasets,n_scope_datasets,k_concordant,direction_concordant,fisher_padj,stouffer_padj,mean_abs_rrb,r_rb,correlation_p_value,correlation_padj,directional_correlation_strength,passes_fisher,passes_stouffer,passes_k_mode,passes_effect_floor,passes_correlation_threshold,selected_for_analysis,in_expression_matrix
A2M,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.00152860954848846,0.00143230879775008,0.444,0.444,2.4637512967587e-4,0.00143230879775008,0.444,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ABCA5,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.00154948993570737,0.00256874248070237,0.445,0.445,5.2424964464648e-4,0.00256874248070237,0.445,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ABCC3,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,5.4797251268685e-4,7.7608821421314e-4,0.486,0.486,1.0985994669463e-4,7.7608821421314e-4,0.486,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ABHD6,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.00316513138847213,0.00288966416446454,0.414,0.414,6.1235819700908e-4,0.00288966416446454,0.414,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ABO,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,4.5287048377233e-4,7.6276532293146e-4,0.492,0.492,1.0769862578497e-4,7.6276532293146e-4,0.492,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ACBD6,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,2.85355005910076e-5,6.45592893575345e-5,0.614,-0.614,4.46636593039547e-7,6.45592893575345e-5,0.614,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ACSM5,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.00516779919561994,0.00352146401949428,0.373,0.373,7.9562268301911e-4,0.00352146401949428,0.373,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ACTA2,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.00570091865393052,0.00864030739746149,0.388,0.388,0.00263731693394541,0.00864030739746149,0.388,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ACTG1,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,2.1103416487023e-4,9.5182251034145e-4,0.539,-0.539,3.44932662732206e-5,9.5182251034145e-4,0.539,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ACY1,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,9.43011790226881e-5,6.64668604334665e-5,0.499,-0.499,4.80735154078531e-7,6.64668604334665e-5,0.499,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ACY3,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.0147756748873981,0.0119529920884768,0.331,0.331,0.00398755493979274,0.0119529920884768,0.331,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ADA2,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,1.65918305976075e-5,7.75532807464913e-6,0.536,0.536,9.26737317096437e-8,7.75532807464913e-6,0.536,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ADAD2,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.00563796563284628,0.00389648238600741,0.371,0.371,9.3177631962308e-4,0.00389648238600741,0.371,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ADAMDEC1,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,5.1569611962332e-4,3.5572983388699e-4,0.476,0.476,3.71900589620303e-5,3.5572983388699e-4,0.476,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ADAMTSL3,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.0052482031681712,0.00490141894755995,0.39,0.39,0.00127308811783186,0.00490141894755995,0.39,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ADAP2,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,1.7562182318932e-4,1.4213642703396e-4,0.525,0.525,8.81455764561736e-6,1.4213642703396e-4,0.525,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ADCK2,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.0188542029891736,0.0208499804358008,0.348,-0.348,0.00267509182949897,0.0208499804358008,0.348,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ADGRG5,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,5.16981691752217e-5,3.59025475589434e-5,0.558,0.558,1.21933180388864e-6,3.59025475589434e-5,0.558,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ADGRG7,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,9.7385022177375e-4,0.00138118357600161,0.465,0.465,2.3372448646493e-4,0.00138118357600161,0.465,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ADGRL4,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,2.55491485374952e-5,2.19488058608755e-5,0.589,0.589,5.24562655794509e-7,2.19488058608755e-5,0.589,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ADH1C,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.00125634013702436,0.00325464471351541,0.449,0.449,7.1131386034377e-4,0.00325464471351541,0.449,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ADH4,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.0080199720444098,0.00720540554037366,0.368,0.368,0.00206872177935885,0.00720540554037366,0.368,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ADH6,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.00664933074910764,0.00458097248645063,0.363,0.363,0.00115820813808374,0.00458097248645063,0.363,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ADHFE1,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.00157237830031808,9.9516748535704e-4,0.423,0.423,1.530304718049e-4,9.9516748535704e-4,0.423,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ADK,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,7.66588499702477e-5,5.2844952623352e-4,0.567,-0.567,1.24634322224888e-5,5.2844952623352e-4,0.567,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ADPGK-AS1,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.00156591168558645,0.00136301632583937,0.441,0.441,2.2974111655657e-4,0.00136301632583937,0.441,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AGAP5,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,2.9610372898137e-4,1.6594020880996e-4,0.48,0.48,1.2054147243743e-5,1.6594020880996e-4,0.48,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AGTR2,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.0127969369855496,0.0146630663543054,0.347,0.347,0.00517818349556131,0.0146630663543054,0.347,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AIF1,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,5.2247032215025e-4,3.085018361259e-4,0.462,0.462,3.03651178325178e-5,3.085018361259e-4,0.462,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AIM2,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,2.393098755585e-4,1.9023414196742e-4,0.514,0.514,1.53144466489502e-5,1.9023414196742e-4,0.514,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AKAP17A,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,1.779312732123e-4,2.0680040416309e-4,0.53,0.53,1.72983985872272e-5,2.0680040416309e-4,0.53,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AKAP5,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,8.3593499553131e-4,0.00116038879257702,0.47,0.47,1.8391067655937e-4,0.00116038879257702,0.47,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AKAP9,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.00749748645295938,0.00770837032931532,0.374,0.374,0.00228099889304582,0.00770837032931532,0.374,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AKNA,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,1.6717241292855e-4,8.33007679344822e-5,0.477,0.477,4.18826881770396e-6,8.33007679344822e-5,0.477,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AKNAD1,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.004225423390554,0.0077072141308742,0.401,0.401,0.00227338580338365,0.0077072141308742,0.401,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ALAS2,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.00663987912651081,0.00760827823445905,0.381,0.381,0.00223702520415698,0.00760827823445905,0.381,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ALDH1A1,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,4.44516587880635e-5,1.4436919660025e-4,0.566,0.566,9.170621922406e-6,1.4436919660025e-4,0.566,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ALDH1A2,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.00240929852160606,0.00162960229369537,0.411,0.411,2.9261842122765e-4,0.00162960229369537,0.411,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ALDOB,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.00745830906793643,0.0110383539696767,0.375,0.375,0.00358225826940452,0.0110383539696767,0.375,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ALK,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.0119330869937185,0.0109369370835918,0.348,0.348,0.00353902775440752,0.0109369370835918,0.348,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ALKAL2,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,3.2551252066569e-4,1.7511659951152e-4,0.468,0.468,1.29960746807294e-5,1.7511659951152e-4,0.468,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ALPL,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,6.1957304787089e-4,3.4286672511428e-4,0.441,0.441,3.53648697602155e-5,3.4286672511428e-4,0.441,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AMPD1,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,1.46702426251459e-5,9.12443324641172e-6,0.594,0.594,1.20511382499777e-7,9.12443324641172e-6,0.594,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AMY2B,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,2.5208799500976e-4,1.5107874616973e-4,0.493,0.493,9.91092923751506e-6,1.5107874616973e-4,0.493,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AMZ2,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,5.1126754973933e-4,4.1771902282021e-4,0.494,-0.494,9.06371464609907e-6,4.1771902282021e-4,0.494,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ANGPTL1,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,3.448167445662e-4,2.277221972215e-4,0.491,0.491,1.99077895684206e-5,2.277221972215e-4,0.491,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ANKDD1B,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,2.5208799500976e-4,5.7177901954047e-4,0.512,0.512,7.05439908342175e-5,5.7177901954047e-4,0.512,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ANKHD1-EIF4EBP3,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.0131710120731627,0.0128590425929242,0.344,0.344,0.00438744063312038,0.0128590425929242,0.344,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ANKRD12,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.0119908140449457,0.0107182208974057,0.347,0.347,0.00344466092992096,0.0107182208974057,0.347,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ANKRD20A5P,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.0133953782292467,0.0139426784511828,0.344,0.344,0.00484486153728208,0.0139426784511828,0.344,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ANKRD39,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,1.7580531522474e-4,1.4012178055117e-4,0.535,-0.535,1.70730119579892e-6,1.4012178055117e-4,0.535,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ANKRD53,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.0273958393700882,0.0259927917384064,0.303,0.303,0.00984946982540242,0.0259927917384064,0.303,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ANKRD55,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.00199350341790349,0.00167101598538734,0.431,0.431,3.0372554702952e-4,0.00167101598538734,0.431,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ANO10,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.00457406172005641,0.0124681765573447,0.425,-0.425,0.00132523386049765,0.0124681765573447,0.425,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AP1S1,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.00290730117677874,0.00277282813081727,0.435,-0.435,1.5782449423834e-4,0.00277282813081727,0.435,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AP3B2,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,2.7526111861039e-4,2.6695289430932e-4,0.511,0.511,2.50163404101191e-5,2.6695289430932e-4,0.511,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
APEH,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,6.18551913340651e-5,1.1167016351686e-4,0.589,-0.589,1.19395772313631e-6,1.1167016351686e-4,0.589,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
APIP,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.0236489947449394,0.025112302562855002,0.334,-0.334,0.00345096736476969,0.025112302562855002,0.334,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
APOB,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.00623236375540196,0.00770887409302559,0.384,0.384,0.0022835721369906,0.00770887409302559,0.384,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
APOBEC3F,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.00247930639124277,0.00314258432029356,0.426,0.426,6.7990503533395e-4,0.00314258432029356,0.426,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
APOBEC3G,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,1.02339645385533e-5,2.34088563968038e-5,0.616,0.616,6.55153528086647e-7,2.34088563968038e-5,0.616,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
APOBEC3H,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,4.5287048377233e-4,2.526203632744e-4,0.446,0.446,2.27199446215344e-5,2.526203632744e-4,0.446,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
APOC1,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,2.22350453091144e-5,5.24547064372e-4,0.544,0.544,6.36714361155953e-5,5.24547064372e-4,0.544,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
APOD,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.00415343100716935,0.0035361435820674,0.399,0.399,8.0293468164447e-4,0.0035361435820674,0.399,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
APOL1,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,2.32686571492921e-5,1.68373283380086e-5,0.588,0.588,3.28547361089398e-7,1.68373283380086e-5,0.588,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
APOL2,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,4.61276328202051e-6,2.08507080135394e-6,0.626,0.626,7.86819170322241e-9,2.08507080135394e-6,0.626,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
APOL3,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,1.45321495235364e-6,9.00898613331085e-7,0.657,0.657,1.98311015513132e-9,9.00898613331085e-7,0.657,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
APOL6,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,4.55088797809496e-5,4.32079656147863e-5,0.571,0.571,1.61690185791182e-6,4.32079656147863e-5,0.571,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AQP9,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.00164883202439654,0.00210636384441968,0.443,0.443,4.1001233323766e-4,0.00210636384441968,0.443,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ARAP3,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,7.3765856935261e-4,4.2575390759114e-4,0.444,0.444,4.77969009465528e-5,4.2575390759114e-4,0.444,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ARHGAP15,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,5.13911272886775e-5,3.37285705652997e-5,0.558,0.558,1.12428568550999e-6,3.37285705652997e-5,0.558,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ARHGAP20,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.0010966977696925,9.685738774466e-4,0.456,0.456,1.465044135383e-4,9.685738774466e-4,0.456,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ARHGAP23,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.0114677343073614,0.0102391003061869,0.35,0.35,0.00325204129221658,0.0102391003061869,0.35,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ARHGAP6,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,6.8473434404451e-5,6.0084024266804e-5,0.557,0.557,2.66365124547787e-6,6.0084024266804e-5,0.557,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ARHGEF18,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.00925493908260497,0.0116609416820248,0.365,0.365,0.0038395853702332702,0.0116609416820248,0.365,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ARMH1,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,6.3654181403157e-4,3.8388119217966e-4,0.458,0.458,4.22510746109693e-5,3.8388119217966e-4,0.458,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ARSA,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,1.7897713394191e-4,1.1329718666526e-4,0.515,0.515,6.55556048629186e-6,1.1329718666526e-4,0.515,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ASB13,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,2.7275035952679e-4,8.2191403093543e-4,0.536,-0.536,2.76555978962553e-5,8.2191403093543e-4,0.536,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ASCC1,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.0102505823514303,0.0120888950289704,0.383,-0.383,0.00127648327993835,0.0120888950289704,0.383,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ASIP,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.00803118601099767,0.00949558476309707,0.372,0.372,0.00295796197221449,0.00949558476309707,0.372,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ASL,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.00110906551494479,0.00263703924348131,0.486,-0.486,1.4185444443296e-4,0.00263703924348131,0.486,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ASPHD2,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.00259326255642882,0.00200852548353848,0.415,0.415,3.8654641381306e-4,0.00200852548353848,0.415,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ATF7,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.0115386180406496,0.00976580390436398,0.347,0.347,0.0030617944945443,0.00976580390436398,0.347,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ATF7IP2,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.00180101989257534,0.00159623761562053,0.436,0.436,2.8461217863422e-4,0.00159623761562053,0.436,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ATG14,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.00529298472786451,0.00618996991575997,0.392,0.392,0.00168958927260367,0.00618996991575997,0.392,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ATG4A,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.00634861652485223,0.00438697294522005,0.365,0.365,0.00109950233878628,0.00438697294522005,0.365,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ATG5,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,3.1158217563415e-4,0.00213418264734651,0.517,-0.517,1.1140701869796e-4,0.00213418264734651,0.517,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ATOH8,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.00333159800729744,0.00407210611523776,0.414,0.414,9.9241579852492e-4,0.00407210611523776,0.414,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ATP2B2,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,7.7164094559524e-4,7.1748634918867e-4,0.471,0.471,9.61899794673085e-5,7.1748634918867e-4,0.471,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ATP5F1A,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,1.1017733107038e-4,5.256884453485e-4,0.563,-0.563,1.18705217394612e-5,5.256884453485e-4,0.563,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ATP5F1B,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,9.6605745392157e-4,8.008137867091e-4,0.473,-0.473,2.56864799510467e-5,8.008137867091e-4,0.473,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ATP5F1C,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,1.55891589798988e-7,5.66852597764275e-8,0.702,-0.702,1.7825553388813697e-11,5.66852597764275e-8,0.702,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ATP5PO,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,6.8147313690002e-4,5.256884453485e-4,0.456,-0.456,1.19797073329526e-5,5.256884453485e-4,0.456,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ATP6V1H,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.00275096989406063,0.00427244095542427,0.45,-0.45,2.9557767616142e-4,0.00427244095542427,0.45,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ATP8B4,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,9.04704981580903e-5,6.0084024266804e-5,0.541,0.541,2.66183683446917e-6,6.0084024266804e-5,0.541,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ATPAF1,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.00565537887501464,0.00482238163005723,0.393,-0.393,0.00035940391393822003,0.00482238163005723,0.393,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AVPR1A,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.00178713344161337,0.00107651635878581,0.408,0.408,1.6790946979803e-4,0.00107651635878581,0.408,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AVPR2,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.00659905636718717,0.00467256114825003,0.367,0.367,0.00119605810524388,0.00467256114825003,0.367,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AZIN1,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.011532577692154,0.0222430949884472,0.382,-0.382,0.00294476194658373,0.0222430949884472,0.382,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
B3GNT9,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.0147389129281405,0.0122701724240555,0.333,0.333,0.00412864292255956,0.0122701724240555,0.333,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
B9D1,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.00327788289661883,0.00615555270357917,0.442,-0.442,5.0909130850356e-4,0.00615555270357917,0.442,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
BANK1,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,5.4409858382565e-4,3.5848644122309e-4,0.473,0.473,3.83287389986952e-5,3.5848644122309e-4,0.473,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
BASP1-AS1,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.0034584234641825,0.00636205636989669,0.41,0.41,0.00175508997518413,0.00636205636989669,0.41,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
BATF,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.00156909614468765,0.00190992642728738,0.445,0.445,3.6276590002565e-4,0.00190992642728738,0.445,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
BATF3,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.00783480245794295,0.00651261964630605,0.366,0.366,0.00181861831632697,0.00651261964630605,0.366,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
BCAP31,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.00301078237815018,0.00395545686296745,0.444,-0.444,2.586484197956e-4,0.00395545686296745,0.444,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
BCAT2,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,3.7166735320248e-4,3.5803250143483e-4,0.518,-0.518,7.20568556346843e-6,3.5803250143483e-4,0.518,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
BCL6,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,6.73626479879226e-6,3.00341469388927e-6,0.568,0.568,1.79043881489149e-8,3.00341469388927e-6,0.568,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
BDP1,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.0193340928253441,0.0203731514829865,0.324,0.324,0.00758547526913712,0.0203731514829865,0.324,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
BFAR,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.0132106583407079,0.0146212278824452,0.367,-0.367,0.00162764612276277,0.0146212278824452,0.367,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
