gene,direction,meta_scope_used,rho_threshold,k_datasets,n_scope_datasets,k_concordant,direction_concordant,fisher_padj,stouffer_padj,mean_abs_rrb,r_rb,correlation_p_value,correlation_padj,directional_correlation_strength,passes_fisher,passes_stouffer,passes_k_mode,passes_effect_floor,passes_correlation_threshold,selected_for_analysis,in_expression_matrix
EIF3E,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,3.87029563299989e-5,1.4012178055117e-4,0.6,-0.6,1.71847466713706e-6,1.4012178055117e-4,0.6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
EIF3H,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,2.9513276073135e-4,5.256884453485e-4,0.537,-0.537,1.20676907265538e-5,5.256884453485e-4,0.537,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
EIF3M,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,3.22621630824335e-5,5.13162859375334e-5,0.61,-0.61,2.57863947206476e-7,5.13162859375334e-5,0.61,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
EIF4E,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.00628596760126218,0.0148172757663116,0.411,-0.411,0.0016741342622736,0.0148172757663116,0.411,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
EIF5A,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,2.6497326649015e-4,1.9852543979402e-4,0.509,-0.509,2.80932226123625e-6,1.9852543979402e-4,0.509,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
EIF5AL1,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.02589424640244,0.0355925979958524,0.338,-0.338,0.00535008234025705,0.0355925979958524,0.338,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
EIPR1,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.00599950127964964,0.00528808468297911,0.393,-0.393,4.1219951792092e-4,0.00528808468297911,0.393,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ELMO1,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,7.35663580656918e-5,3.77245498676702e-5,0.53,0.53,1.31680032556962e-6,3.77245498676702e-5,0.53,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ELOVL1,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.00169156752921936,0.00138538990913627,0.446,-0.446,6.01206941700646e-5,0.00138538990913627,0.446,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ELP2,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,4.8808087038516e-5,0.00146478816479489,0.543,-0.543,6.72512805220296e-5,0.00146478816479489,0.543,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
