direction,selected_genes,minimum_selected_mean_abs_rrb,maximum_selected_fisher_padj,maximum_selected_stouffer_padj,minimum_k_datasets,genes_failing_fisher_rule,genes_failing_stouffer_rule,genes_failing_k_mode_rule,genes_failing_effect_floor_rule,genes_failing_runtime_rule
Dys-CIM,402,0.312,0.0374679798125309,0.046456553154412,2,0,0,0,0,0
Fun-CIM,1079,0.303,0.0274008407877146,0.0260032093211547,2,0,0,0,0,0
