analysis,sig_mode,group,group_members,cim,rho_threshold,gene
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"ASXL2"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"ATG7"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"ATP2A3"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"ATP8B2"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"ATXN1L"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"B3GAT2"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"BACE1"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"BCL3"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"BCRP3"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"BEAN1"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"BHLHE41"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"BICRAL"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"BLNK"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"BMP1"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"BOD1L1"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"BTBD19"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"BTN2A1"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"BTN2A3P"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"C16ORF86"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"C1R"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"C1RL"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"C1RL-AS1"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"C3ORF80"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"CARD6"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"CBL"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"CBX6"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"CCDC142"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"CCDC159"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"CCDC17"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"CCDC88B"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"CD33"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"CD93"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"CD99L2"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"CDIP1"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"CDKN1A"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"CENPT"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"CEP164"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"CFLAR"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"CHD3"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"CHKB"
