scope,cim,cim_class,rho_threshold,gene,n_scope_datasets,k_datasets,all_datasets_contributed,k_concordant,direction_concordant,nki_smc,nki_smc_dir,neo,neo_dir,tnbc_cl,tnbc_cl_dir,fisher_stat,fisher_p,fisher_padj,fisher_sig,stouffer_Z,stouffer_p,stouffer_padj,stouffer_sig,mean_abs_rrb
"ALL3_NKI.NEO.TNBCCL","Dys","Fun_only",0.3,"KIF24",3,2,"NO",1,"NO","YES","Dys","NO",NA,"YES","Fun",6.83822491917874,0.144688288554916,0.36463646084707,"NO",-0.0969383050020394,0.538612305477021,0.999999999998396,"NO",0.491
"ALL3_NKI.NEO.TNBCCL","Dys","Fun_only",0.3,"JADE1",3,3,"YES",1,"NO","YES","Fun","YES","Fun","YES","Dys",9.55191725207231,0.144834540034279,0.364898465972494,"NO",-2.92098823475373,0.998255384980749,0.999999999998396,"NO",0.524
"ALL3_NKI.NEO.TNBCCL","Dys","none",0.3,"TUBB2A",3,2,"NO",1,"NO","YES","Dys","YES","Fun","NO",NA,6.83445139882268,0.14489964636476,0.364955939428347,"NO",0.252702751324224,0.40024896081433,0.999999999998396,"NO",0.391
"ALL3_NKI.NEO.TNBCCL","Dys","Fun_only",0.3,"ZBTB33",3,2,"NO",1,"NO","NO",NA,"YES","Fun","YES","Dys",6.83318740891982,0.144970506517681,0.365027867155257,"NO",-1.21705231149951,0.888207843352265,0.999999999998396,"NO",0.48
"ALL3_NKI.NEO.TNBCCL","Dys","Fun_only",0.3,"HERPUD2",3,2,"NO",1,"NO","YES","Fun","NO",NA,"YES","Dys",6.83216988769826,0.145027572482611,0.365065030032803,"NO",-1.54741424221459,0.939118305447323,0.999999999998396,"NO",0.392
"ALL3_NKI.NEO.TNBCCL","Dys","Fun_only",0.3,"TECPR1",3,3,"YES",1,"NO","YES","Fun","YES","Fun","YES","Dys",9.54563601877055,0.145136764733885,0.365233345840973,"NO",-3.81436501326567,0.999931733229551,0.999999999998396,"NO",0.584
"ALL3_NKI.NEO.TNBCCL","Dys","none",0.3,"NBPF3",3,2,"NO",1,"NO","NO",NA,"YES","Fun","YES","Dys",6.82940619576213,0.145182673157306,0.365242357631019,"NO",-0.676294598816387,0.750573189340137,0.999999999998396,"NO",0.417
"ALL3_NKI.NEO.TNBCCL","Dys","Fun_only",0.3,"UACA",3,2,"NO",1,"NO","YES","Fun","NO",NA,"YES","Dys",6.82737556786682,0.145296730302702,0.365422758898868,"NO",-1.92829724206198,0.973090917664126,0.999999999998396,"NO",0.422
"ALL3_NKI.NEO.TNBCCL","Dys","Fun_only",0.3,"CHST15",3,3,"YES",1,"NO","YES","Fun","YES","Fun","YES","Dys",9.54037113204708,0.145390512575313,0.365552078383558,"NO",-2.49082405525833,0.993627639256891,0.999999999998396,"NO",0.48
"ALL3_NKI.NEO.TNBCCL","Dys","none",0.3,"FGFR1",3,2,"NO",1,"NO","YES","Fun","NO",NA,"YES","Dys",6.82075105865734,0.1456693881973,0.366146562992863,"NO",-1.18407310667678,0.88180793761197,0.999999999998396,"NO",0.361
