scope,cim,cim_class,rho_threshold,gene,n_scope_datasets,k_datasets,all_datasets_contributed,k_concordant,direction_concordant,nki_smc,nki_smc_dir,neo,neo_dir,tnbc_cl,tnbc_cl_dir,fisher_stat,fisher_p,fisher_padj,fisher_sig,stouffer_Z,stouffer_p,stouffer_padj,stouffer_sig,mean_abs_rrb,rank_in_list,in_ora_universe,used_in_ora,analysis_label
"NKI.NEO","Fun","Fun_only",0.3,"WDR86",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,25.9229665749451,3.27967562232122e-05,0.000135863145923272,"YES",4.17545982089423,1.48692370905729e-05,6.95025353147771e-05,"YES",0.514,967,TRUE,TRUE,"NKI.NEO | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"NKI.NEO","Fun","Fun_only",0.3,"NLRC5",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,25.9410047562682,3.25232856285618e-05,0.000135449360501722,"YES",4.17372485501708,1.49829811960926e-05,6.9961854345391e-05,"YES",0.551,968,TRUE,TRUE,"NKI.NEO | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"NKI.NEO","Fun","Fun_only",0.3,"MTX3",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,25.7685091959956,3.52339954126593e-05,0.000143196070119812,"YES",4.17321818575136,1.50163540599541e-05,7.00295833878238e-05,"YES",0.523,969,TRUE,TRUE,"NKI.NEO | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"NKI.NEO","Fun","Fun_only",0.3,"PWAR5",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,27.2954148770979,1.73238983161121e-05,8.64048537314348e-05,"YES",4.17303446690845,1.50284725411923e-05,7.00295833878238e-05,"YES",0.469,970,FALSE,FALSE,"NKI.NEO | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"NKI.NEO","Fun","Fun_only",0.3,"IL10RB-DT",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,26.007213581613,3.15388049711731e-05,0.000133104947217276,"YES",4.17277430190651,1.50456494735887e-05,7.00374208245324e-05,"YES",0.553,971,FALSE,FALSE,"NKI.NEO | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"NKI.NEO","Fun","Fun_only",0.3,"MILR1",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,25.7210172381507,3.60189658493997e-05,0.000144769971993948,"YES",4.17134604794417,1.51402802788915e-05,7.04054185808535e-05,"YES",0.526,972,TRUE,TRUE,"NKI.NEO | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"NKI.NEO","Fun","Fun_only",0.3,"CLN8",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,27.0151501308115,1.97391983723233e-05,9.4614185199259e-05,"YES",4.16828633195898,1.53449130443059e-05,7.1210479425321e-05,"YES",0.567,973,TRUE,TRUE,"NKI.NEO | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"NKI.NEO","Fun","Fun_only",0.3,"SDC3",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,26.4547449505107,2.56182715906043e-05,0.000115088983041404,"YES",4.16843691269592,1.53347810633508e-05,7.1210479425321e-05,"YES",0.562,974,TRUE,TRUE,"NKI.NEO | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"NKI.NEO","Fun","Fun_only",0.3,"ZNF211",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,25.9475987806558,3.24238827036132e-05,0.000135449121830251,"YES",4.16772446623902,1.53827749449553e-05,7.12445186617874e-05,"YES",0.552,975,TRUE,TRUE,"NKI.NEO | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"NKI.NEO","Fun","Fun_only",0.3,"HPS5",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,25.936938305392,3.25847370953688e-05,0.000135449360501722,"YES",4.16770968529959,1.53837721712178e-05,7.12445186617874e-05,"YES",0.552,976,TRUE,TRUE,"NKI.NEO | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"NKI.NEO","Fun","Fun_only",0.3,"MROH7",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,25.7420933153578,3.56684874234409e-05,0.000144205333769189,"YES",4.16620367845015,1.54857006372977e-05,7.16431595502412e-05,"YES",0.545,977,TRUE,TRUE,"NKI.NEO | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"NKI.NEO","Fun","Fun_only",0.3,"FLNC",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,25.6378225638414,3.74361686324187e-05,0.000149572366459238,"YES",4.16426997236896,1.56175175687475e-05,7.217912005188e-05,"YES",0.527,978,TRUE,TRUE,"NKI.NEO | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"NKI.NEO","Fun","Fun_only",0.3,"GTF2IRD2B",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,25.6198037999902,3.77503414926356e-05,0.000150468733286343,"YES",4.16395649170153,1.56389871047315e-05,7.22045165611711e-05,"YES",0.534,979,TRUE,TRUE,"NKI.NEO | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"NKI.NEO","Fun","Fun_only",0.3,"ZCCHC24",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,25.6667472317653,3.69372672010733e-05,0.000148142367124092,"YES",4.16350105338288,1.56702289544842e-05,7.2274933545172e-05,"YES",0.541,980,TRUE,TRUE,"NKI.NEO | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"NKI.NEO","Fun","Fun_only",0.3,"ARHGEF15",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,26.1367624204233,2.96973898966989e-05,0.000128084162531564,"YES",4.16192818090007,1.57785804760066e-05,7.2700493120846e-05,"YES",0.498,981,TRUE,TRUE,"NKI.NEO | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"NKI.NEO","Fun","Fun_only",0.3,"CEP164",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,26.40202053191,2.62538698118392e-05,0.000116913784777845,"YES",4.16104242418174,1.58399111216043e-05,7.29087558754089e-05,"YES",0.561,982,TRUE,TRUE,"NKI.NEO | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"NKI.NEO","Fun","Fun_only",0.3,"GADD45G",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,26.1157279413111,2.99889367821918e-05,0.000129018038434971,"YES",4.15991844261463,1.5918062798724e-05,7.31939408445906e-05,"YES",0.557,983,TRUE,TRUE,"NKI.NEO | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
