family,dataset,GeneSet,analysis_pool,standalone,n_genes,test,p_value,direction
"zscore","neo","WP_MOLECULAR_PATHWAY_FOR_OXIDATIVE_STRESS","19 a priori immune/stress pathways",FALSE,48,"Fry",0.000261380386305093,"Down"
"zscore","neo","WP_OXIDATIVE_STRESS_RESPONSE","19 a priori immune/stress pathways",FALSE,33,"Fry",0.00078964293841376,"Down"
"zscore","tnbc_cl","GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION","Figure 4F TNBC cell-line immune/stress pathways",FALSE,117,"Fry",0.182958087517368,"Down"
"zscore","tnbc_cl","GOBP_CELLULAR_RESPONSE_TO_STRESS","Figure 4F TNBC cell-line immune/stress pathways",FALSE,1926,"Fry",0.920727020878156,"Down"
"zscore","tnbc_cl","GOBP_CYTOKINE_PRODUCTION_INVOLVED_IN_INFLAMMATORY_RESPONSE","Figure 4F TNBC cell-line immune/stress pathways",FALSE,89,"Fry",0.471507906934077,"Down"
"zscore","tnbc_cl","GOBP_INFLAMMASOME_MEDIATED_SIGNALING_PATHWAY","Figure 4F TNBC cell-line immune/stress pathways",FALSE,60,"Fry",0.14159064205253,"Down"
"zscore","tnbc_cl","GOBP_INFLAMMATORY_CELL_APOPTOTIC_PROCESS","Figure 4F TNBC cell-line immune/stress pathways",FALSE,23,"Fry",0.205533953023574,"Down"
"zscore","tnbc_cl","GOBP_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY","Figure 4F TNBC cell-line immune/stress pathways",FALSE,334,"Fry",0.852071551537089,"Down"
"zscore","tnbc_cl","GOBP_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_IN_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS","Figure 4F TNBC cell-line immune/stress pathways",FALSE,67,"Fry",0.774469262625979,"Down"
"zscore","tnbc_cl","HALLMARK_INFLAMMATORY_RESPONSE","Figure 4F TNBC cell-line immune/stress pathways",FALSE,200,"Fry",0.902925312316157,"Up"
"zscore","tnbc_cl","HALLMARK_UNFOLDED_PROTEIN_RESPONSE","Figure 4F TNBC cell-line immune/stress pathways",FALSE,113,"Fry",0.0771216966239895,"Up"
"zscore","tnbc_cl","REACTOME_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS","Figure 4F TNBC cell-line immune/stress pathways",FALSE,197,"Fry",0.33735373415236,"Down"
