scope,cim,cim_class,rho_threshold,gene,n_scope_datasets,k_datasets,all_datasets_contributed,k_concordant,direction_concordant,nki_smc,nki_smc_dir,neo,neo_dir,tnbc_cl,tnbc_cl_dir,fisher_stat,fisher_p,fisher_padj,fisher_sig,stouffer_Z,stouffer_p,stouffer_padj,stouffer_sig,mean_abs_rrb,rank_in_list,in_ora_universe,used_in_ora,analysis_label
"NKI.TNBCCL","Fun","Fun_only",0.3,"DOCK8",2,2,"YES",2,"YES","YES","Fun","NO",NA,"YES","Fun",48.6294245676838,6.9763397353386e-10,9.86597867708256e-07,"YES",6.2183841632286,2.51150278059186e-10,4.88596678136989e-07,"YES",0.67,1,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.TNBCCL","Fun","Fun_only",0.3,"IQGAP2",2,2,"YES",2,"YES","YES","Fun","NO",NA,"YES","Fun",47.3113256688862,1.31338740642662e-09,9.86597867708256e-07,"YES",6.1339899796742,4.28509594609193e-10,4.88596678136989e-07,"YES",0.656,2,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.TNBCCL","Fun","Fun_only",0.3,"CLIC2",2,2,"YES",2,"YES","YES","Fun","NO",NA,"YES","Fun",47.1535039112399,1.41667819938316e-09,9.86597867708256e-07,"YES",6.12237963571963,4.60940262393386e-10,4.88596678136989e-07,"YES",0.654,3,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.TNBCCL","Fun","Fun_only",0.3,"CCR2",2,2,"YES",2,"YES","YES","Fun","NO",NA,"YES","Fun",46.5731839749472,1.87123432034488e-09,9.86597867708256e-07,"YES",5.97991600479003,1.11626354329669e-09,7.4603685760387e-07,"YES",0.672,4,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.TNBCCL","Fun","Fun_only",0.3,"LYZ",2,2,"YES",2,"YES","YES","Fun","NO",NA,"YES","Fun",46.5111734452181,1.92769711438896e-09,9.86597867708256e-07,"YES",5.97183288183967,1.17301392705011e-09,7.4603685760387e-07,"YES",0.672,5,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.TNBCCL","Fun","Fun_only",0.3,"EGR2",2,2,"YES",2,"YES","YES","Fun","NO",NA,"YES","Fun",44.5395457224786,4.95624398093621e-09,1.57608558593772e-06,"YES",5.93447239067067,1.47395965684469e-09,7.81198618127685e-07,"YES",0.589,6,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.TNBCCL","Fun","Fun_only",0.3,"APOL3",2,2,"YES",2,"YES","YES","Fun","NO",NA,"YES","Fun",44.9292773948966,4.11287250666126e-09,1.45321495235364e-06,"YES",5.88559602152853,1.98311015513132e-09,9.00898613331085e-07,"YES",0.657,7,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.TNBCCL","Fun","Fun_only",0.3,"STAT2",2,2,"YES",2,"YES","YES","Fun","NO",NA,"YES","Fun",45.9838302965376,2.48200721436039e-09,9.86597867708256e-07,"YES",5.80097390129374,3.29654312574391e-09,1.3103758924832e-06,"YES",0.677,8,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.TNBCCL","Fun","Fun_only",0.3,"APOL2",2,2,"YES",2,"YES","YES","Fun","NO",NA,"YES","Fun",41.5877847615908,2.03077628768199e-08,4.61276328202051e-06,"YES",5.65333536988044,7.86819170322241e-09,2.08507080135394e-06,"YES",0.626,9,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.TNBCCL","Fun","Fun_only",0.3,"TSHZ2",2,2,"YES",2,"YES","YES","Fun","NO",NA,"YES","Fun",41.9865701176254,1.67889001099081e-08,4.44905852912565e-06,"YES",5.70139731349739,5.94146546693884e-09,2.08507080135394e-06,"YES",0.624,10,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.TNBCCL","Fun","Fun_only",0.3,"PIK3CG",2,2,"YES",2,"YES","YES","Fun","NO",NA,"YES","Fun",41.2423248504157,2.39453940160151e-08,4.89443036958731e-06,"YES",5.67172318514461,7.06841368447832e-09,2.08507080135394e-06,"YES",0.597,11,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
