gene_id,H_value,p_value,stat_test_adj_p,cluster1_mean,cluster1_sd,cluster1_sem,cluster2_mean,cluster2_sd,cluster2_sem,cluster1_penetrance,cluster2_penetrance,cluster1_cluster2_pval,cluster1_cluster2_differential,cluster2_cluster1_differential,cluster1_cluster2_sd,cluster2_cluster1_sd
A1BG,13,0.0076208621100262,0.0459065798238578,-0.239665284942753,0.467085761873393,0.147705487015496,0.0431688460108586,0.0905645082335484,0.0301881694111828,0.2,0.666666666666667,,-0.282834130953612,0.282834130953612,0.475784656222153,0.475784656222153
A1BG-AS1,24,0.094719521964104,0.256735352238762,-0.278274646646208,0.600850712694893,0.190005678585131,0.113645154071396,0.205925830482306,0.0686419434941021,0.3,0.444444444444444,,-0.391919800717604,0.391919800717604,0.635159056147189,0.635159056147189
A1CF,40.5,0.399075196548237,0.562113974409261,-0.105172011644733,0.332583102899107,0.105172011644733,0,0,0,0,0,,-0.105172011644733,0.105172011644733,0.332583102899107,0.332583102899107
A2M,25,0.112754118946069,0.287510869725033,-1.57367653106557,1.54672863487996,0.489118540842363,-0.353397207264925,1.5888376811615,0.529612560387168,0.2,0.444444444444444,,-1.22027932380065,1.22027932380065,2.21738013137943,2.21738013137943
A2M-AS1,12,0.00567234622962177,0.0373452145680958,-0.942876071167878,0.815765716146223,0.257967770010046,0.33694565280128,1.01744664293877,0.339148880979591,0.1,0.666666666666667,,-1.27982172396916,1.27982172396916,1.30409791613473,1.30409791613473
A2ML1,54,0.496698348091537,0.657380036711989,0.416935241556222,1.81288465548975,0.573284464651729,-0.301731452729202,1.21296689287467,0.404322297624888,0.5,0.333333333333333,,0.718666694285424,-0.718666694285424,2.18124722517192,2.18124722517192
A2MP1,48,0.842105263157895,0.921743320212092,-0.0498162882979416,0.572484008334739,0.181035339036059,-0.0465855147403019,0.352178177706674,0.117392725902225,0.5,0.444444444444444,,-0.0032307735576397,0.0032307735576397,0.672136450917374,0.672136450917374
A3GALT2,49,0.652797538439174,0.785911057915505,-0.0127012198563074,0.0848840539261743,0.0268426947435269,-0.0244122932831977,0.0732368798495931,0.0244122932831977,0.1,0,,0.0117110734268903,-0.0117110734268903,0.112111298186425,0.112111298186425
A4GALT,4,0.000259802117387257,0.00634058257462439,-1.44895290376782,0.820609047855733,0.259499365976623,0.525519123732623,0.782880131745048,0.260960043915016,0.1,0.666666666666667,,-1.97447202750044,1.97447202750044,1.13415189022628,1.13415189022628
A4GNT,37,0.390601413712056,0.562113974409261,0.0202034897230361,0.0927685794612294,0.0293360006395801,0.0155784172024036,0.0309678807883614,0.0103226269294538,0.1,0.222222222222222,,0.0046250725206325,-0.0046250725206325,0.0978009150048025,0.0978009150048025
AA06,36,0.192975591010525,0.402392702375147,-0.0708400302039123,0.149763196829307,0.0473592811648717,0,0,0,0,0,,-0.0708400302039123,0.0708400302039123,0.149763196829307,0.149763196829307
AAAS,10,0.00298772434995345,0.0248009666183238,-0.71481870716932,0.937245900399767,0.296383177291858,0.338467207740891,0.493276757301318,0.164425585767106,0.2,0.777777777777778,,-1.05328591491021,1.05328591491021,1.05912786627011,1.05912786627011
AACS,17,0.02201822944857,0.0951276563197376,-0.773326511228498,0.820291059145231,0.259398809117082,0.315485081600436,0.994088309771793,0.331362769923931,0.2,0.555555555555556,,-1.08881159282893,1.08881159282893,1.28883241320916,1.28883241320916
AACSP1,53,0.495447676453078,0.657380036711989,0.121018384709968,0.6895214821621,0.21804583792474,-0.153147509012858,0.84295414793132,0.280984715977107,0.3,0.222222222222222,,0.274165893722826,-0.274165893722826,1.08904158317194,1.08904158317194
AADAC,62.5,0.164938177051956,0.376487747163432,-0.0819234217429026,0.844385993938387,0.267018296519043,-0.536027664006578,1.03323602727809,0.344412009092698,0.6,0.333333333333333,,0.454104242263675,-0.454104242263675,1.33437790555177,1.33437790555177
AADACL2,48.5,0.777170503034973,0.876456417363401,-0.0262317903401497,0.0735904420640347,0.0232713410941012,-0.0290761607795094,0.0753800291975052,0.0251266763991684,0.2,0,,0.0028443704393597,-0.0028443704393597,0.105345630972512,0.105345630972512
AADACL2-AS1,27,0.130894580656872,0.324050368883106,-0.085522681593286,0.251439886680239,0.0795122736524188,0.0731084396175274,0.148694408504593,0.0495648028348642,0.2,0.444444444444444,,-0.158631121210813,0.158631121210813,0.292116490007501,0.292116490007501
AADACL3,40.5,0.399075196548237,0.562113974409261,-0.0246955265042952,0.0780941117706289,0.0246955265042952,0,0,0,0,0,,-0.0246955265042952,0.0246955265042952,0.0780941117706289,0.0780941117706289
AADACL4,45,1,1,-0.017976580835815,0.0568469399833087,0.017976580835815,-0.00918824608602426,0.081299436852109,0.0270998122840363,0,0.111111111111111,,-0.00878833474979074,0.00878833474979074,0.0992026865459598,0.0992026865459598
