gene,cim,cim_label,highlight,k_datasets,n_scope_datasets,k_concordant,direction_concordant,mean_abs_rrb,stouffer_padj,fisher_padj,stouffer_Z,is_proteostatic,proteostasis_branch
"MRPL3","Dys","Dys-CIM","Dys-CIM: Translation",2,2,2,"YES",0.542,0.000639010519479315,0.000252133547769428,4.13127032082455,TRUE,"Translation"
"RPLP0","Dys","Dys-CIM","Dys-CIM: Translation",2,2,2,"YES",0.48,0.000706911129635787,0.000846307752814161,4.09489032273923,TRUE,"Translation"
"FARSB","Dys","Dys-CIM","Dys-CIM: Translation",2,2,2,"YES",0.493,0.000860961358761008,0.000846307752814161,4.01453397289034,TRUE,"Translation"
"MRPL39","Dys","Dys-CIM","Dys-CIM: Translation",2,2,2,"YES",0.46,0.000940828861333414,0.00114320304894002,3.98508612739521,TRUE,"Translation"
"EIF3C","Dys","Dys-CIM","Dys-CIM: Translation",2,2,2,"YES",0.492,0.000973310595238535,0.000891649755732834,3.96880779521554,TRUE,"Translation"
"WDR12","Dys","Dys-CIM","Dys-CIM: Translation",2,2,2,"YES",0.493,0.000982123271930061,0.000878657087352309,3.96464640194054,TRUE,"Translation"
"RPS16","Dys","Dys-CIM","Dys-CIM: Translation",2,2,2,"YES",0.514,0.00110272758609174,0.000561123300802129,3.92703664961156,TRUE,"Translation"
"UTP18","Dys","Dys-CIM","Dys-CIM: Translation",2,2,2,"YES",0.519,0.00119871511155971,0.000482127998152182,3.90303867078592,TRUE,"Translation"
"MRPL30","Dys","Dys-CIM","Dys-CIM: Translation",2,2,2,"YES",0.505,0.00130977914765225,0.000726213775484226,3.8702217929082,TRUE,"Translation"
"STAT2","Fun","Fun-CIM","Fun-CIM: Immunostimulatory",2,2,2,"YES",0.677,0.0000013103758924832,0.000000986597867708256,5.80097390129374,FALSE,NA
"STING1","Fun","Fun-CIM","Fun-CIM: Immunostimulatory",2,2,2,"YES",0.645,0.00000571452743409246,0.00000489443036958731,5.30704723325827,FALSE,NA
"PTPRC","Fun","Fun-CIM","Fun-CIM: Immunostimulatory",2,2,2,"YES",0.496,0.0000610827286519445,0.000124172933992382,4.54499699066288,FALSE,NA
"CXCL12","Fun","Fun-CIM","Fun-CIM: Immunostimulatory",2,2,2,"YES",0.477,0.0000918633283830887,0.00018483745759253,4.41834952778651,FALSE,NA
"CD8B","Fun","Fun-CIM","Fun-CIM: Immunostimulatory",2,2,2,"YES",0.408,0.00125829188990725,0.00202746557407378,3.5330946058161,FALSE,NA
"CD8A","Fun","Fun-CIM","Fun-CIM: Immunostimulatory",2,2,2,"YES",0.407,0.00165418475035836,0.00248194445321609,3.43336875564055,FALSE,NA
"IL12B","Fun","Fun-CIM","Fun-CIM: Immunostimulatory",2,2,2,"YES",0.459,0.00190843044250248,0.00107818274346048,3.38041550634794,FALSE,NA
"CTLA4","Fun","Fun-CIM","Fun-CIM: Immunostimulatory",2,2,2,"YES",0.382,0.00335299964085251,0.00475651679689225,3.17754155031332,FALSE,NA
"TLR3","Fun","Fun-CIM","Fun-CIM: Immunostimulatory",2,2,2,"YES",0.375,0.00387261072552463,0.00548263855338003,3.11431067485592,FALSE,NA
"IRF1","Fun","Fun-CIM","Fun-CIM: Immunostimulatory",2,2,2,"YES",0.4,0.00402173036925829,0.00430867225007679,3.09695150037825,FALSE,NA
"GNLY","Fun","Fun-CIM","Fun-CIM: Immunostimulatory",2,2,2,"YES",0.379,0.00459521035240428,0.00585261256730528,3.04391951172471,FALSE,NA
"CXCL9","Fun","Fun-CIM","Fun-CIM: Immunostimulatory",2,2,2,"YES",0.398,0.00624132522560538,0.00473830253782968,2.92767530897839,FALSE,NA
"FCGR3A","Fun","Fun-CIM","Fun-CIM: Immunostimulatory",2,2,2,"YES",0.374,0.00659210382461724,0.00717016568114117,2.90316956062402,FALSE,NA
"HLA-C","Fun","Fun-CIM","Fun-CIM: Immunostimulatory",2,2,2,"YES",0.352,0.0106346526585178,0.01133858894826,2.70539944166523,FALSE,NA
"IL6","Fun","Fun-CIM","Fun-CIM: Immunostimulatory",2,2,2,"YES",0.34,0.0113310291660516,0.0132543269942003,2.67873382187501,FALSE,NA
"ATP5F1C","Dys","Dys-CIM","background",2,2,2,"YES",0.702,0.0000000566852597764275,0.000000155891589798988,6.62111019600298,FALSE,NA
"DOCK8","Fun","Fun-CIM","background",2,2,2,"YES",0.67,0.000000488596678136989,0.000000986597867708256,6.2183841632286,FALSE,NA
"IQGAP2","Fun","Fun-CIM","background",2,2,2,"YES",0.656,0.000000488596678136989,0.000000986597867708256,6.1339899796742,FALSE,NA
"CLIC2","Fun","Fun-CIM","background",2,2,2,"YES",0.654,0.000000488596678136989,0.000000986597867708256,6.12237963571963,FALSE,NA
"CCR2","Fun","Fun-CIM","background",2,2,2,"YES",0.672,0.00000074603685760387,0.000000986597867708256,5.97991600479003,FALSE,NA
"LYZ","Fun","Fun-CIM","background",2,2,2,"YES",0.672,0.00000074603685760387,0.000000986597867708256,5.97183288183967,FALSE,NA
