"k","silhouette_dim_reduce_space","silhouette_ge_space","silhouette_combined_avg","pac","avg_cluster_consensus","rank_silhouette_dim_reduce_space","rank_silhouette_ge_space","rank_silhouette_combined_avg","rank_pac","rank_item_cluster_consensus","overall_rank","metrics_used","metrics_used_for_tie"
2,0.885376675809969,0.263106738358702,0.574241707084336,0,1,1,1,1,1,1,3,"pac, silhouette_combined_avg, item_cluster_consensus","item_cluster_consensus"
3,0.71315983601687,0.135185175575488,0.424172505796179,0,1,2,2,2,1,1,4,"pac, silhouette_combined_avg, item_cluster_consensus","item_cluster_consensus"
4,0.690477060521929,0.087004299544594,0.388740680033262,0.0285714285714286,0.985890324725528,3,3,3,3,3,9,"pac, silhouette_combined_avg, item_cluster_consensus","item_cluster_consensus"
5,0.661436553118504,0.0780110490740702,0.369723801096287,0.0333333333333333,0.977350968888421,4,4,4,4,4,12,"pac, silhouette_combined_avg, item_cluster_consensus","item_cluster_consensus"
