"k","cluster","sample_id","item_consensus","stability"
5,3,"delta_Hs578t_EPI_R2",0,"Very Low (<50%)"
5,3,"delta_Hs578t_EPI_R3",0,"Very Low (<50%)"
5,3,"delta_MDAMB231_EPI_R1",0,"Very Low (<50%)"
5,3,"delta_MDAMB231_EPI_R2",0,"Very Low (<50%)"
5,3,"delta_MDAMB231_EPI_R3",0,"Very Low (<50%)"
5,3,"delta_MDAMB157_EPI_R1",0,"Very Low (<50%)"
5,3,"delta_MDAMB157_EPI_R2",0,"Very Low (<50%)"
5,3,"delta_MDAMB157_EPI_R3",0,"Very Low (<50%)"
5,4,"delta_DU4475_EPI_R2",0.0152363861069221,"Very Low (<50%)"
5,4,"delta_DU4475_EPI_R1",0.0117505168624078,"Very Low (<50%)"
5,4,"delta_DU4475_EPI_R3",0.0540827917435423,"Very Low (<50%)"
5,4,"delta_HCC1395_EPI_R1",0.0105814912852377,"Very Low (<50%)"
5,4,"delta_HCC1395_EPI_R2",0.0114592121072679,"Very Low (<50%)"
5,4,"delta_HCC1395_EPI_R3",0.011657438710331,"Very Low (<50%)"
5,4,"delta_HCC1806_EPI_R1",0.977118068217446,"Very High (>=87.5%)"
5,4,"delta_HCC1806_EPI_R2",0.975069911836497,"Very High (>=87.5%)"
5,4,"delta_HCC1806_EPI_R3",0.977493689101697,"Very High (>=87.5%)"
5,4,"delta_MDAMB468_EPI_R1",0.979758534708283,"Very High (>=87.5%)"
5,4,"delta_MDAMB468_EPI_R2",0.99394048476337,"Very High (>=87.5%)"
5,4,"delta_MDAMB468_EPI_R3",0.955982649683987,"Very High (>=87.5%)"
5,4,"delta_BT549_EPI_R2",0,"Very Low (<50%)"
5,4,"delta_BT549_EPI_R1",0,"Very Low (<50%)"
5,4,"delta_BT549_EPI_R3",0,"Very Low (<50%)"
5,4,"delta_HCC38_EPI_R1",0,"Very Low (<50%)"
5,4,"delta_HCC38_EPI_R2",0,"Very Low (<50%)"
5,4,"delta_HCC38_EPI_R3",0,"Very Low (<50%)"
5,4,"delta_Hs578t_EPI_R1",0,"Very Low (<50%)"
5,4,"delta_Hs578t_EPI_R2",0,"Very Low (<50%)"
5,4,"delta_Hs578t_EPI_R3",0,"Very Low (<50%)"
5,4,"delta_MDAMB231_EPI_R1",0,"Very Low (<50%)"
5,4,"delta_MDAMB231_EPI_R2",0,"Very Low (<50%)"
5,4,"delta_MDAMB231_EPI_R3",0,"Very Low (<50%)"
5,4,"delta_MDAMB157_EPI_R1",0,"Very Low (<50%)"
5,4,"delta_MDAMB157_EPI_R2",0,"Very Low (<50%)"
5,4,"delta_MDAMB157_EPI_R3",0,"Very Low (<50%)"
5,5,"delta_DU4475_EPI_R2",0,"Very Low (<50%)"
5,5,"delta_DU4475_EPI_R1",0,"Very Low (<50%)"
5,5,"delta_DU4475_EPI_R3",0,"Very Low (<50%)"
5,5,"delta_HCC1395_EPI_R1",0,"Very Low (<50%)"
5,5,"delta_HCC1395_EPI_R2",0,"Very Low (<50%)"
5,5,"delta_HCC1395_EPI_R3",0,"Very Low (<50%)"
5,5,"delta_HCC1806_EPI_R1",0,"Very Low (<50%)"
5,5,"delta_HCC1806_EPI_R2",0,"Very Low (<50%)"
5,5,"delta_HCC1806_EPI_R3",0,"Very Low (<50%)"
5,5,"delta_MDAMB468_EPI_R1",0,"Very Low (<50%)"
5,5,"delta_MDAMB468_EPI_R2",0,"Very Low (<50%)"
5,5,"delta_MDAMB468_EPI_R3",0,"Very Low (<50%)"
5,5,"delta_BT549_EPI_R2",0,"Very Low (<50%)"
5,5,"delta_BT549_EPI_R1",0.00279678336162888,"Very Low (<50%)"
5,5,"delta_BT549_EPI_R3",0.204535062788545,"Very Low (<50%)"
5,5,"delta_HCC38_EPI_R1",0,"Very Low (<50%)"
5,5,"delta_HCC38_EPI_R2",0,"Very Low (<50%)"
5,5,"delta_HCC38_EPI_R3",0,"Very Low (<50%)"
5,5,"delta_Hs578t_EPI_R1",0,"Very Low (<50%)"
5,5,"delta_Hs578t_EPI_R2",0,"Very Low (<50%)"
5,5,"delta_Hs578t_EPI_R3",0,"Very Low (<50%)"
5,5,"delta_MDAMB231_EPI_R1",1,"Very High (>=87.5%)"
5,5,"delta_MDAMB231_EPI_R2",1,"Very High (>=87.5%)"
5,5,"delta_MDAMB231_EPI_R3",1,"Very High (>=87.5%)"
5,5,"delta_MDAMB157_EPI_R1",1,"Very High (>=87.5%)"
5,5,"delta_MDAMB157_EPI_R2",1,"Very High (>=87.5%)"
5,5,"delta_MDAMB157_EPI_R3",1,"Very High (>=87.5%)"
