cohort,signature,n_scored,raw_median,z_median,raw_min,raw_max
METABRIC,Dys-CIM,412,0.7514332257467629,-0.01821328144254894,0.4186904467482084,1.016714676303281
METABRIC,Fun-CIM,412,0.23083688127430485,-0.03729392320029222,0.016714676303280964,0.43614322011731926
SCANB,Dys-CIM,2462,0.3886774662091883,-0.05189421448763552,-0.01578793108159166,0.8935652622039185
SCANB,Fun-CIM,2462,0.12885907966821492,-0.055289421812261076,-0.10643473779608145,0.4484769669914753
