cohort,gsva_version,interface,signature,sample_id,ssgsea_score,cim_z,n_scored,raw_median,z_median,raw_min,raw_max,median_group,at_raw_median
METABRIC,2.3.4,ssgseaParam,Dys-CIM,MB-0005,0.8179776515785073,0.5759842300244736,412,0.7514332257467629,-0.01821328144254894,0.4186904467482084,1.016714676303281,High,FALSE
METABRIC,2.3.4,ssgseaParam,Dys-CIM,MB-0006,0.9328291268469,1.6015315984148664,412,0.7514332257467629,-0.01821328144254894,0.4186904467482084,1.016714676303281,High,FALSE
METABRIC,2.3.4,ssgseaParam,Dys-CIM,MB-0008,0.8075259456133389,0.4826574397266527,412,0.7514332257467629,-0.01821328144254894,0.4186904467482084,1.016714676303281,High,FALSE
METABRIC,2.3.4,ssgseaParam,Dys-CIM,MB-0014,0.9354184656457224,1.6246526735669087,412,0.7514332257467629,-0.01821328144254894,0.4186904467482084,1.016714676303281,High,FALSE
METABRIC,2.3.4,ssgseaParam,Dys-CIM,MB-0020,0.7998620507845505,0.4142239506929454,412,0.7514332257467629,-0.01821328144254894,0.4186904467482084,1.016714676303281,High,FALSE
METABRIC,2.3.4,ssgseaParam,Dys-CIM,MB-0045,0.7044461639747275,-0.43777652550275803,412,0.7514332257467629,-0.01821328144254894,0.4186904467482084,1.016714676303281,Low,FALSE
METABRIC,2.3.4,ssgseaParam,Dys-CIM,MB-0048,0.7379732262019246,-0.13840213473752772,412,0.7514332257467629,-0.01821328144254894,0.4186904467482084,1.016714676303281,Low,FALSE
METABRIC,2.3.4,ssgseaParam,Dys-CIM,MB-0050,0.6897879121668667,-0.5686649754040396,412,0.7514332257467629,-0.01821328144254894,0.4186904467482084,1.016714676303281,Low,FALSE
METABRIC,2.3.4,ssgseaParam,Dys-CIM,MB-0060,0.9272839498213189,1.5520168517165398,412,0.7514332257467629,-0.01821328144254894,0.4186904467482084,1.016714676303281,High,FALSE
METABRIC,2.3.4,ssgseaParam,Dys-CIM,MB-0062,0.9633835601577974,1.8743623879317162,412,0.7514332257467629,-0.01821328144254894,0.4186904467482084,1.016714676303281,High,FALSE
METABRIC,2.3.4,ssgseaParam,Dys-CIM,MB-0079,0.817603266044704,0.572641215944261,412,0.7514332257467629,-0.01821328144254894,0.4186904467482084,1.016714676303281,High,FALSE
METABRIC,2.3.4,ssgseaParam,Dys-CIM,MB-0099,0.7913159872903123,0.33791328157762035,412,0.7514332257467629,-0.01821328144254894,0.4186904467482084,1.016714676303281,High,FALSE
METABRIC,2.3.4,ssgseaParam,Dys-CIM,MB-0100,0.820238861105325,0.596175328782134,412,0.7514332257467629,-0.01821328144254894,0.4186904467482084,1.016714676303281,High,FALSE
METABRIC,2.3.4,ssgseaParam,Dys-CIM,MB-0102,0.8080491270133585,0.4873291020342293,412,0.7514332257467629,-0.01821328144254894,0.4186904467482084,1.016714676303281,High,FALSE
METABRIC,2.3.4,ssgseaParam,Dys-CIM,MB-0106,0.7379772884443816,-0.13836586161128556,412,0.7514332257467629,-0.01821328144254894,0.4186904467482084,1.016714676303281,Low,FALSE
METABRIC,2.3.4,ssgseaParam,Dys-CIM,MB-0108,1.016714676303281,2.3505738226434736,412,0.7514332257467629,-0.01821328144254894,0.4186904467482084,1.016714676303281,High,FALSE
METABRIC,2.3.4,ssgseaParam,Dys-CIM,MB-0113,0.6889453618004097,-0.57618839039751,412,0.7514332257467629,-0.01821328144254894,0.4186904467482084,1.016714676303281,Low,FALSE
METABRIC,2.3.4,ssgseaParam,Dys-CIM,MB-0115,0.7588094823437849,0.047651789284409475,412,0.7514332257467629,-0.01821328144254894,0.4186904467482084,1.016714676303281,High,FALSE
METABRIC,2.3.4,ssgseaParam,Dys-CIM,MB-0116,0.8214519316788716,0.607007243056334,412,0.7514332257467629,-0.01821328144254894,0.4186904467482084,1.016714676303281,High,FALSE
METABRIC,2.3.4,ssgseaParam,Dys-CIM,MB-0124,0.6136499850624861,-1.248526079444082,412,0.7514332257467629,-0.01821328144254894,0.4186904467482084,1.016714676303281,Low,FALSE
METABRIC,2.3.4,ssgseaParam,Dys-CIM,MB-0127,0.8782769346678636,1.114416765989774,412,0.7514332257467629,-0.01821328144254894,0.4186904467482084,1.016714676303281,High,FALSE
METABRIC,2.3.4,ssgseaParam,Dys-CIM,MB-0129,0.9071347420237325,1.3720978129434025,412,0.7514332257467629,-0.01821328144254894,0.4186904467482084,1.016714676303281,High,FALSE
METABRIC,2.3.4,ssgseaParam,Dys-CIM,MB-0131,0.761849774545776,0.07479957871944745,412,0.7514332257467629,-0.01821328144254894,0.4186904467482084,1.016714676303281,High,FALSE
METABRIC,2.3.4,ssgseaParam,Dys-CIM,MB-0133,0.6636130776400284,-0.8023888575250421,412,0.7514332257467629,-0.01821328144254894,0.4186904467482084,1.016714676303281,Low,FALSE
METABRIC,2.3.4,ssgseaParam,Dys-CIM,MB-0158,0.8513903923106236,0.8743378057922767,412,0.7514332257467629,-0.01821328144254894,0.4186904467482084,1.016714676303281,High,FALSE
METABRIC,2.3.4,ssgseaParam,Dys-CIM,MB-0164,0.6936540197774955,-0.5341432030303803,412,0.7514332257467629,-0.01821328144254894,0.4186904467482084,1.016714676303281,Low,FALSE
METABRIC,2.3.4,ssgseaParam,Dys-CIM,MB-0165,0.5706448286052594,-1.6325335545667232,412,0.7514332257467629,-0.01821328144254894,0.4186904467482084,1.016714676303281,Low,FALSE
METABRIC,2.3.4,ssgseaParam,Dys-CIM,MB-0166,0.8116414300486047,0.5194059814617535,412,0.7514332257467629,-0.01821328144254894,0.4186904467482084,1.016714676303281,High,FALSE
METABRIC,2.3.4,ssgseaParam,Dys-CIM,MB-0172,0.8139169793876897,0.5397251252157858,412,0.7514332257467629,-0.01821328144254894,0.4186904467482084,1.016714676303281,High,FALSE
METABRIC,2.3.4,ssgseaParam,Dys-CIM,MB-0174,0.5673853258587028,-1.6616387485242303,412,0.7514332257467629,-0.01821328144254894,0.4186904467482084,1.016714676303281,Low,FALSE
METABRIC,2.3.4,ssgseaParam,Dys-CIM,MB-0176,0.8083402815202834,0.48992891834197816,412,0.7514332257467629,-0.01821328144254894,0.4186904467482084,1.016714676303281,High,FALSE
METABRIC,2.3.4,ssgseaParam,Dys-CIM,MB-0179,0.6353502717998956,-1.0547569362540539,412,0.7514332257467629,-0.01821328144254894,0.4186904467482084,1.016714676303281,Low,FALSE
METABRIC,2.3.4,ssgseaParam,Dys-CIM,MB-0188,0.8366119366093318,0.7423760149844851,412,0.7514332257467629,-0.01821328144254894,0.4186904467482084,1.016714676303281,High,FALSE
METABRIC,2.3.4,ssgseaParam,Dys-CIM,MB-0189,0.6290985311506823,-1.1105808266801647,412,0.7514332257467629,-0.01821328144254894,0.4186904467482084,1.016714676303281,Low,FALSE
