cohort,signature,n,raw_mean,raw_sd,raw_median,z_mean,z_sd
METABRIC,Dys-CIM,412,0.753472938691898,0.11199041488317918,0.7514332257467629,-2.9906032730463146e-16,1
METABRIC,Fun-CIM,412,0.23332218501088478,0.06664098392738875,0.23083688127430485,3.740971175635785e-17,1
SCANB,Dys-CIM,2462,0.3975187278667723,0.1703708543404293,0.3886774662091883,-1.2101070213572737e-16,1
SCANB,Fun-CIM,2462,0.13365690598597216,0.08677656883532976,0.12885907966821492,-5.7324173304419e-17,1
