scope,cim,cim_class,rho_threshold,gene,n_scope_datasets,k_datasets,all_datasets_contributed,k_concordant,direction_concordant,nki_smc,nki_smc_dir,neo,neo_dir,tnbc_cl,tnbc_cl_dir,fisher_stat,fisher_p,fisher_padj,fisher_sig,stouffer_Z,stouffer_p,stouffer_padj,stouffer_sig,mean_abs_rrb,rank_in_list,in_ora_universe,used_in_ora,analysis_label
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"BCL6",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",50.0222584296386,4.65301483454935e-09,7.25641290432929e-07,"YES",6.03382279689123,8.00628260343414e-10,2.55874861426049e-07,"YES",0.571,12,TRUE,TRUE,"ALL3_NKI.NEO.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"NFAM1",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",49.7123629450394,5.36840723449573e-09,7.74145208188774e-07,"YES",6.0222659725301,8.59959769190006e-10,2.55882512011744e-07,"YES",0.604,13,TRUE,TRUE,"ALL3_NKI.NEO.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"APOL3",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",52.3575634931476,1.58021817229043e-09,4.3666711407559e-07,"YES",6.00900902502043,9.33303677998879e-10,2.59789594756527e-07,"YES",0.59,14,TRUE,TRUE,"ALL3_NKI.NEO.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"GUSBP11",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",47.9839830666612,1.19035626554382e-08,1.31686977120226e-06,"YES",5.89472435758752,1.87653673028366e-09,3.9092492947381e-07,"YES",0.598,15,FALSE,FALSE,"ALL3_NKI.NEO.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"TVP23A",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",49.1360494335427,7.00278229788493e-09,9.44172007007016e-07,"YES",5.89687366720339,1.85226633063557e-09,3.9092492947381e-07,"YES",0.583,16,TRUE,TRUE,"ALL3_NKI.NEO.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"AKNA",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",48.3829584046344,9.90684174830041e-09,1.17104297871348e-06,"YES",5.88917516671286,1.94063944349375e-09,3.9092492947381e-07,"YES",0.577,17,TRUE,TRUE,"ALL3_NKI.NEO.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"APOL1",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",48.8109851417658,8.13442459932881e-09,1.03223455687659e-06,"YES",5.87413920289157,2.12523052984672e-09,4.07524760934385e-07,"YES",0.614,18,TRUE,TRUE,"ALL3_NKI.NEO.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"PML",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",53.967116048536,7.49065443719915e-10,3.75978561916524e-07,"YES",5.83254742199682,2.72937417272485e-09,4.90661869509223e-07,"YES",0.614,19,TRUE,TRUE,"ALL3_NKI.NEO.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"TRIM56",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",48.8380497415279,8.03362679448214e-09,1.03223455687659e-06,"YES",5.82024327978822,2.9381016992328e-09,5.13538766821053e-07,"YES",0.617,20,TRUE,TRUE,"ALL3_NKI.NEO.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"SYK",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",51.6734187202313,2.16915615688203e-09,4.62674510148062e-07,"YES",5.79800962514731,3.35533006835768e-09,5.56791214612663e-07,"YES",0.625,21,TRUE,TRUE,"ALL3_NKI.NEO.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
