cohort,gene,nonfinite_n,variance,finite_complete,variable,retained,exclusion_reason
METABRIC,ABCG5,0,0.033248276996063295,TRUE,TRUE,TRUE,retained
METABRIC,ABCG8,0,0.020232971040122224,TRUE,TRUE,TRUE,retained
METABRIC,ABHD1,0,0.08839609398254772,TRUE,TRUE,TRUE,retained
METABRIC,ABHD10,0,0.1664986488706463,TRUE,TRUE,TRUE,retained
METABRIC,ABHD11,0,0.5358277266557114,TRUE,TRUE,TRUE,retained
METABRIC,ABHD11-AS1,0,0.017758924937614252,TRUE,TRUE,TRUE,retained
METABRIC,ABHD12,0,0.4189171789638812,TRUE,TRUE,TRUE,retained
METABRIC,ABHD12B,0,0.13325333935780745,TRUE,TRUE,TRUE,retained
METABRIC,ABHD13,0,0.017298240180916722,TRUE,TRUE,TRUE,retained
METABRIC,ABHD14A,0,0.20561644072552404,TRUE,TRUE,TRUE,retained
METABRIC,ABHD14B,0,0.179462073507427,TRUE,TRUE,TRUE,retained
METABRIC,ABHD15,0,0.19855035236027982,TRUE,TRUE,TRUE,retained
METABRIC,ABHD16A,0,0.17095299102921271,TRUE,TRUE,TRUE,retained
METABRIC,ABHD16B,0,0.016374989567226186,TRUE,TRUE,TRUE,retained
METABRIC,ABHD17A,0,0.12899010847777365,TRUE,TRUE,TRUE,retained
METABRIC,ABHD17AP3,0,0.09430871638766902,TRUE,TRUE,TRUE,retained
METABRIC,ABHD17B,0,0.23544990941878796,TRUE,TRUE,TRUE,retained
METABRIC,ABHD17C,0,0.5401186124921378,TRUE,TRUE,TRUE,retained
METABRIC,ABHD18,0,0.0713868973794291,TRUE,TRUE,TRUE,retained
METABRIC,ABHD2,0,0.14604714316448308,TRUE,TRUE,TRUE,retained
METABRIC,ABHD3,0,0.328713679301849,TRUE,TRUE,TRUE,retained
METABRIC,ABHD4,0,0.12543971518501018,TRUE,TRUE,TRUE,retained
METABRIC,ABHD5,0,0.2242275480158069,TRUE,TRUE,TRUE,retained
METABRIC,ABHD6,0,0.113093819729994,TRUE,TRUE,TRUE,retained
METABRIC,ABHD8,0,0.25816846846791003,TRUE,TRUE,TRUE,retained
METABRIC,ABI1,0,0.14062409255073374,TRUE,TRUE,TRUE,retained
METABRIC,ABI2,0,0.2098796479739359,TRUE,TRUE,TRUE,retained
METABRIC,ABI3,0,0.18980445278039043,TRUE,TRUE,TRUE,retained
METABRIC,ABI3BP,0,0.6410158174148897,TRUE,TRUE,TRUE,retained
METABRIC,ABITRAM,0,0.18080348883797684,TRUE,TRUE,TRUE,retained
METABRIC,ABL1,0,0.1897844605326158,TRUE,TRUE,TRUE,retained
METABRIC,ABL2,0,0.05504073036644718,TRUE,TRUE,TRUE,retained
METABRIC,ABLIM1,0,0.6617707486840612,TRUE,TRUE,TRUE,retained
METABRIC,ABLIM2,0,0.16829356264306675,TRUE,TRUE,TRUE,retained
METABRIC,ABLIM3,0,0.18463818780351665,TRUE,TRUE,TRUE,retained
METABRIC,ABO,0,0.017597465640106284,TRUE,TRUE,TRUE,retained
METABRIC,ABR,0,0.20436952246222317,TRUE,TRUE,TRUE,retained
METABRIC,ABRA,0,0.015613304101188951,TRUE,TRUE,TRUE,retained
METABRIC,ABRACL,0,0.43696254591596023,TRUE,TRUE,TRUE,retained
METABRIC,ABRAXAS1,0,0.03329507950052727,TRUE,TRUE,TRUE,retained
METABRIC,ABRAXAS2,0,0.1109242482792223,TRUE,TRUE,TRUE,retained
METABRIC,ABT1,0,0.06509305407962752,TRUE,TRUE,TRUE,retained
METABRIC,ABTB1,0,0.23438136433166287,TRUE,TRUE,TRUE,retained
METABRIC,ABTB2,0,0.2358585819015282,TRUE,TRUE,TRUE,retained
METABRIC,ACAA1,0,0.2192825611765271,TRUE,TRUE,TRUE,retained
METABRIC,ACAA2,0,0.29385969442983373,TRUE,TRUE,TRUE,retained
METABRIC,ACACA,0,0.5617525515678861,TRUE,TRUE,TRUE,retained
METABRIC,ACACB,0,0.709126763251062,TRUE,TRUE,TRUE,retained
METABRIC,ACAD10,0,0.12414443632692845,TRUE,TRUE,TRUE,retained
METABRIC,ACAD11,0,0.22071644081861044,TRUE,TRUE,TRUE,retained
METABRIC,ACAD8,0,0.20363732913987626,TRUE,TRUE,TRUE,retained
METABRIC,ACAD9,0,0.11630171615466538,TRUE,TRUE,TRUE,retained
METABRIC,ACADL,0,0.196489304686506,TRUE,TRUE,TRUE,retained
METABRIC,ACADM,0,0.5157867816939659,TRUE,TRUE,TRUE,retained
METABRIC,ACADS,0,0.14853573444978269,TRUE,TRUE,TRUE,retained
METABRIC,ACADSB,0,0.2109666692571045,TRUE,TRUE,TRUE,retained
METABRIC,ACADVL,0,0.18824794085327054,TRUE,TRUE,TRUE,retained
METABRIC,ACAN,0,0.2453004584154321,TRUE,TRUE,TRUE,retained
METABRIC,ACAP1,0,0.6146166618165667,TRUE,TRUE,TRUE,retained
METABRIC,ACAP2,0,0.14278942340857073,TRUE,TRUE,TRUE,retained
METABRIC,ACAP3,0,0.06978528180207606,TRUE,TRUE,TRUE,retained
METABRIC,ACAT1,0,0.3751164986759369,TRUE,TRUE,TRUE,retained
METABRIC,ACAT2,0,0.5194581124998268,TRUE,TRUE,TRUE,retained
METABRIC,ACBD3,0,0.23977756991727336,TRUE,TRUE,TRUE,retained
METABRIC,ACBD4,0,0.04236605450854138,TRUE,TRUE,TRUE,retained
METABRIC,ACBD5,0,0.061187040541884556,TRUE,TRUE,TRUE,retained
METABRIC,ACBD6,0,0.14465445952372008,TRUE,TRUE,TRUE,retained
METABRIC,ACBD7,0,0.45841741033905314,TRUE,TRUE,TRUE,retained
METABRIC,ACCS,0,0.11043135078065792,TRUE,TRUE,TRUE,retained
