gene,signature,meta_scope_used,rho_threshold,k_datasets,n_scope_datasets,k_concordant,direction_concordant,fisher_padj,stouffer_padj,mean_abs_rrb,r_rb,source_p_adjust,passes_fisher,passes_stouffer,passes_k_mode,passes_effect_floor,selected,selection_source
RTKN,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,1,NO,0.0975424355201836,0.999999999890737,0.546,0.546,0.999999999890737,FALSE,FALSE,FALSE,TRUE,FALSE,cimic meta_results.csv
CACNG4,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,2,NO,0.0977102720491957,0.699551997036266,0.334,0.334,0.699551997036266,FALSE,FALSE,FALSE,TRUE,FALSE,cimic meta_results.csv
NOL7,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,1,NO,0.0977102720491957,0.999999999890737,0.564,0.564,0.999999999890737,FALSE,FALSE,FALSE,TRUE,FALSE,cimic meta_results.csv
APCDD1L,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,1,NO,0.0977102720491957,0.48844161258211,0.483,0.483,0.48844161258211,FALSE,FALSE,FALSE,TRUE,FALSE,cimic meta_results.csv
BMPR1A,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,1,NO,0.0978118994010015,0.491078696646681,0.477,0.477,0.491078696646681,FALSE,FALSE,FALSE,TRUE,FALSE,cimic meta_results.csv
ZNF451,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,1,NO,0.0979408575491934,0.345333383419478,0.421,0.421,0.345333383419478,FALSE,FALSE,FALSE,TRUE,FALSE,cimic meta_results.csv
HK2,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,1,NO,0.098056224309599,0.458557470450119,0.465,0.465,0.458557470450119,FALSE,FALSE,FALSE,TRUE,FALSE,cimic meta_results.csv
SPAG9,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,1,NO,0.0980664666548196,0.846677293811751,0.595,0.595,0.846677293811751,FALSE,FALSE,FALSE,TRUE,FALSE,cimic meta_results.csv
FXYD4,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,1,NO,0.0981408785627722,0.764117311848161,0.4,0.4,0.764117311848161,FALSE,FALSE,FALSE,TRUE,FALSE,cimic meta_results.csv
LRRC73,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,1,NO,0.0982677467074077,0.988310754092876,0.483,0.483,0.988310754092876,FALSE,FALSE,FALSE,TRUE,FALSE,cimic meta_results.csv
DLGAP4,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,1,NO,0.0982876164989613,0.298748827266028,0.399,0.399,0.298748827266028,FALSE,FALSE,FALSE,TRUE,FALSE,cimic meta_results.csv
SF3B1,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,1,NO,0.0983256745069517,0.738062362853597,0.557,0.557,0.738062362853597,FALSE,FALSE,FALSE,TRUE,FALSE,cimic meta_results.csv
POLR2F,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,1,NO,0.0983761823232776,0.999999999890737,0.541,0.541,0.999999999890737,FALSE,FALSE,FALSE,TRUE,FALSE,cimic meta_results.csv
ITGB5,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,1,NO,0.0985450498674002,0.838899293404226,0.591,0.591,0.838899293404226,FALSE,FALSE,FALSE,TRUE,FALSE,cimic meta_results.csv
GPATCH4,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,1,NO,0.0986014066248311,0.973265128663112,0.39,0.39,0.973265128663112,FALSE,FALSE,FALSE,TRUE,FALSE,cimic meta_results.csv
HDDC3,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,1,NO,0.0986423119239266,0.94560008483188,0.449,0.449,0.94560008483188,FALSE,FALSE,FALSE,TRUE,FALSE,cimic meta_results.csv
FRAT2,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,1,NO,0.0986423119239266,0.80853032463879,0.412,0.412,0.80853032463879,FALSE,FALSE,FALSE,TRUE,FALSE,cimic meta_results.csv
RBMX2,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,1,NO,0.0986439226574462,0.93063997201475,0.455,0.455,0.93063997201475,FALSE,FALSE,FALSE,TRUE,FALSE,cimic meta_results.csv
KRT80,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,2,NO,0.0986478637808179,0.944357584159621,0.385,0.385,0.944357584159621,FALSE,FALSE,FALSE,TRUE,FALSE,cimic meta_results.csv
WDR62,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,1,NO,0.0986478637808179,0.999999999890737,0.442,0.442,0.999999999890737,FALSE,FALSE,FALSE,TRUE,FALSE,cimic meta_results.csv
ACACA,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,1,NO,0.0986852294720561,0.476409535770717,0.471,0.471,0.476409535770717,FALSE,FALSE,FALSE,TRUE,FALSE,cimic meta_results.csv
SUN3,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,1,NO,0.0990094068617929,0.608497758901235,0.359,0.359,0.608497758901235,FALSE,FALSE,FALSE,TRUE,FALSE,cimic meta_results.csv
EIF2B2,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,1,NO,0.099227871830123,0.859442267856239,0.429,0.429,0.859442267856239,FALSE,FALSE,FALSE,TRUE,FALSE,cimic meta_results.csv
RITA1,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,1,NO,0.0992494151491021,0.999999999890737,0.477,0.477,0.999999999890737,FALSE,FALSE,FALSE,TRUE,FALSE,cimic meta_results.csv
KRT81,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,1,NO,0.099362151902202,0.93063997201475,0.454,0.454,0.93063997201475,FALSE,FALSE,FALSE,TRUE,FALSE,cimic meta_results.csv
NPEPPS,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,1,NO,0.099362151902202,0.714292610805326,0.548,0.548,0.714292610805326,FALSE,FALSE,FALSE,TRUE,FALSE,cimic meta_results.csv
PFN1,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,1,NO,0.0994864902038647,0.978288932731637,0.477,0.477,0.978288932731637,FALSE,FALSE,FALSE,TRUE,FALSE,cimic meta_results.csv
PPIP5K2,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,1,NO,0.0996537195628799,0.353108448600047,0.427,0.427,0.353108448600047,FALSE,FALSE,FALSE,TRUE,FALSE,cimic meta_results.csv
NCAPG2,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,1,NO,0.100497905049103,0.999999999890737,0.436,0.436,0.999999999890737,FALSE,FALSE,FALSE,TRUE,FALSE,cimic meta_results.csv
STK17A,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,1,NO,0.100497905049103,0.712633751589773,0.546,0.546,0.712633751589773,FALSE,FALSE,FALSE,TRUE,FALSE,cimic meta_results.csv
MAGEH1,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,1,NO,0.100572653982463,0.265546621584046,0.381,0.381,0.265546621584046,FALSE,FALSE,FALSE,TRUE,FALSE,cimic meta_results.csv
ETHE1,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,1,NO,0.101166478167844,0.317328294041105,0.404,0.404,0.317328294041105,FALSE,FALSE,FALSE,TRUE,FALSE,cimic meta_results.csv
AFF2,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,1,NO,0.101166478167844,0.188748842158497,0.328,0.328,0.188748842158497,FALSE,FALSE,FALSE,TRUE,FALSE,cimic meta_results.csv
CSPG5,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,1,NO,0.10136698139222,0.919733136549597,0.448,0.448,0.919733136549597,FALSE,FALSE,FALSE,TRUE,FALSE,cimic meta_results.csv
MTFR2,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,1,NO,0.101454831558316,0.999999999890737,0.498,0.498,0.999999999890737,FALSE,FALSE,FALSE,TRUE,FALSE,cimic meta_results.csv
ARVCF,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,1,NO,0.10151796058078,0.784902525849698,0.403,0.403,0.784902525849698,FALSE,FALSE,FALSE,TRUE,FALSE,cimic meta_results.csv
ZFP91,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,1,NO,0.101633941570143,0.445743883220227,0.456,0.456,0.445743883220227,FALSE,FALSE,FALSE,TRUE,FALSE,cimic meta_results.csv
SLBP,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,1,NO,0.101668019161669,0.998561738056605,0.488,0.488,0.998561738056605,FALSE,FALSE,FALSE,TRUE,FALSE,cimic meta_results.csv
LINC00662,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,1,NO,0.101668019161669,0.454416272896815,0.459,0.459,0.454416272896815,FALSE,FALSE,FALSE,TRUE,FALSE,cimic meta_results.csv
RAD54L,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,1,NO,0.101977068195698,0.999999999890737,0.452,0.452,0.999999999890737,FALSE,FALSE,FALSE,TRUE,FALSE,cimic meta_results.csv
PFAS,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,1,NO,0.102007256007894,0.364401403950017,0.424,0.424,0.364401403950017,FALSE,FALSE,FALSE,TRUE,FALSE,cimic meta_results.csv
CDYL,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,1,NO,0.102100603232333,0.406427811774691,0.44,0.44,0.406427811774691,FALSE,FALSE,FALSE,TRUE,FALSE,cimic meta_results.csv
MPC2,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,1,NO,0.10210184807875,0.901752225577856,0.357,0.357,0.901752225577856,FALSE,FALSE,FALSE,TRUE,FALSE,cimic meta_results.csv
PHF14,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,1,NO,0.10210184807875,0.999999999890737,0.519,0.519,0.999999999890737,FALSE,FALSE,FALSE,TRUE,FALSE,cimic meta_results.csv
TAMM41,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,1,NO,0.102111466631475,0.885515328352492,0.604,0.604,0.885515328352492,FALSE,FALSE,FALSE,TRUE,FALSE,cimic meta_results.csv
CMTM7,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,1,NO,0.102111466631475,0.751877406598807,0.557,0.557,0.751877406598807,FALSE,FALSE,FALSE,TRUE,FALSE,cimic meta_results.csv
CNGA2,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,1,NO,0.10214476831695,0.673580709087681,0.379,0.379,0.673580709087681,FALSE,FALSE,FALSE,TRUE,FALSE,cimic meta_results.csv
HAPSTR1,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,1,NO,0.102350658423088,0.622076687593831,0.515,0.515,0.622076687593831,FALSE,FALSE,FALSE,TRUE,FALSE,cimic meta_results.csv
DTD1,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,1,NO,0.10297550588624,0.601604747309575,0.508,0.508,0.601604747309575,FALSE,FALSE,FALSE,TRUE,FALSE,cimic meta_results.csv
SNAPC3,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,1,NO,0.102977978173306,0.330278101306884,0.408,0.408,0.330278101306884,FALSE,FALSE,FALSE,TRUE,FALSE,cimic meta_results.csv
EIF5A,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,1,NO,0.103116669327754,0.999999999890737,0.535,0.535,0.999999999890737,FALSE,FALSE,FALSE,TRUE,FALSE,cimic meta_results.csv
NAA35,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,1,NO,0.103138349170648,0.390510731598843,0.433,0.433,0.390510731598843,FALSE,FALSE,FALSE,TRUE,FALSE,cimic meta_results.csv
MAPRE1,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,1,NO,0.103229657247934,0.854739624260583,0.424,0.424,0.854739624260583,FALSE,FALSE,FALSE,TRUE,FALSE,cimic meta_results.csv
ZNF322,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,1,NO,0.103376117807605,0.570500508661252,0.497,0.497,0.570500508661252,FALSE,FALSE,FALSE,TRUE,FALSE,cimic meta_results.csv
ARPC5L,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,1,NO,0.103377977587667,0.999999999890737,0.479,0.479,0.999999999890737,FALSE,FALSE,FALSE,TRUE,FALSE,cimic meta_results.csv
NT5M,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,1,NO,0.103575637929292,0.999999999890737,0.51,0.51,0.999999999890737,FALSE,FALSE,FALSE,TRUE,FALSE,cimic meta_results.csv
CAMKMT,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,1,NO,0.103715595647802,0.999999999890737,0.503,0.503,0.999999999890737,FALSE,FALSE,FALSE,TRUE,FALSE,cimic meta_results.csv
APBB2,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,1,NO,0.103793082571622,0.567452623836366,0.495,0.495,0.567452623836366,FALSE,FALSE,FALSE,TRUE,FALSE,cimic meta_results.csv
HSPA5,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,1,NO,0.10396578756446,0.967087702335123,0.471,0.471,0.967087702335123,FALSE,FALSE,FALSE,TRUE,FALSE,cimic meta_results.csv
