column,normalized_symbol,selected_signature_gene,detection_method
HERC2P7,HERC2P7,FALSE,user-specified first gene-column index: 39
CD52,CD52,FALSE,user-specified first gene-column index: 39
ASB16-AS1,ASB16-AS1,FALSE,user-specified first gene-column index: 39
SLC6A17,SLC6A17,FALSE,user-specified first gene-column index: 39
ARPC5,ARPC5,FALSE,user-specified first gene-column index: 39
GABRA2,GABRA2,FALSE,user-specified first gene-column index: 39
AFAP1L1,AFAP1L1,FALSE,user-specified first gene-column index: 39
YIPF1,YIPF1,FALSE,user-specified first gene-column index: 39
ZNF385A,ZNF385A,FALSE,user-specified first gene-column index: 39
F11,F11,FALSE,user-specified first gene-column index: 39
DHX35,DHX35,FALSE,user-specified first gene-column index: 39
SUV39H1,SUV39H1,FALSE,user-specified first gene-column index: 39
FUBP1,FUBP1,FALSE,user-specified first gene-column index: 39
H1-6,H1-6,FALSE,user-specified first gene-column index: 39
SLC7A1,SLC7A1,FALSE,user-specified first gene-column index: 39
PRDM4,PRDM4,FALSE,user-specified first gene-column index: 39
KIAA1109,KIAA1109,FALSE,user-specified first gene-column index: 39
ZNF687-AS1,ZNF687-AS1,FALSE,user-specified first gene-column index: 39
LOC142937,LOC142937,FALSE,user-specified first gene-column index: 39
SEPTIN11,SEPTIN11,FALSE,user-specified first gene-column index: 39
HAUS3,HAUS3,FALSE,user-specified first gene-column index: 39
DPY19L2P2,DPY19L2P2,FALSE,user-specified first gene-column index: 39
MEIS2,MEIS2,FALSE,user-specified first gene-column index: 39
MKI67,MKI67,FALSE,user-specified first gene-column index: 39
RNF157,RNF157,FALSE,user-specified first gene-column index: 39
CISD1,CISD1,FALSE,user-specified first gene-column index: 39
CCDC179,CCDC179,FALSE,user-specified first gene-column index: 39
ZNF692,ZNF692,FALSE,user-specified first gene-column index: 39
RIPPLY2,RIPPLY2,FALSE,user-specified first gene-column index: 39
CHST6,CHST6,FALSE,user-specified first gene-column index: 39
CEBPB,CEBPB,FALSE,user-specified first gene-column index: 39
MEFV,MEFV,FALSE,user-specified first gene-column index: 39
MRPL36,MRPL36,FALSE,user-specified first gene-column index: 39
GRASP,GRASP,FALSE,user-specified first gene-column index: 39
TBC1D19,TBC1D19,FALSE,user-specified first gene-column index: 39
HIC1,HIC1,FALSE,user-specified first gene-column index: 39
RNF13,RNF13,FALSE,user-specified first gene-column index: 39
UBE2F,UBE2F,FALSE,user-specified first gene-column index: 39
BRF2,BRF2,FALSE,user-specified first gene-column index: 39
MASTL,MASTL,FALSE,user-specified first gene-column index: 39
PRR30,PRR30,FALSE,user-specified first gene-column index: 39
GALNT9-AS1,GALNT9-AS1,FALSE,user-specified first gene-column index: 39
CLDN3,CLDN3,FALSE,user-specified first gene-column index: 39
HDAC3,HDAC3,FALSE,user-specified first gene-column index: 39
LYZL4,LYZL4,FALSE,user-specified first gene-column index: 39
BIRC6,BIRC6,FALSE,user-specified first gene-column index: 39
ZNF700,ZNF700,TRUE,user-specified first gene-column index: 39
SLC29A2,SLC29A2,FALSE,user-specified first gene-column index: 39
TDRD12,TDRD12,FALSE,user-specified first gene-column index: 39
C1orf194,C1ORF194,FALSE,user-specified first gene-column index: 39
SLC14A2,SLC14A2,FALSE,user-specified first gene-column index: 39
MUC3A,MUC3A,FALSE,user-specified first gene-column index: 39
AKAP5,AKAP5,TRUE,user-specified first gene-column index: 39
ANTXR1,ANTXR1,FALSE,user-specified first gene-column index: 39
SIX4,SIX4,FALSE,user-specified first gene-column index: 39
ZNF613,ZNF613,FALSE,user-specified first gene-column index: 39
PSME4,PSME4,FALSE,user-specified first gene-column index: 39
BSG,BSG,FALSE,user-specified first gene-column index: 39
HINT3,HINT3,FALSE,user-specified first gene-column index: 39
COMMD5,COMMD5,FALSE,user-specified first gene-column index: 39
TEAD3,TEAD3,FALSE,user-specified first gene-column index: 39
OR2G3,OR2G3,FALSE,user-specified first gene-column index: 39
FOXN3-AS1,FOXN3-AS1,FALSE,user-specified first gene-column index: 39
REP15,REP15,FALSE,user-specified first gene-column index: 39
CDH16,CDH16,FALSE,user-specified first gene-column index: 39
TMEM65,TMEM65,FALSE,user-specified first gene-column index: 39
FOXP4,FOXP4,FALSE,user-specified first gene-column index: 39
VN1R1,VN1R1,FALSE,user-specified first gene-column index: 39
OR4D9,OR4D9,FALSE,user-specified first gene-column index: 39
HCFC1R1,HCFC1R1,FALSE,user-specified first gene-column index: 39
TEKT5,TEKT5,FALSE,user-specified first gene-column index: 39
DNAJC9,DNAJC9,FALSE,user-specified first gene-column index: 39
FAM69B,FAM69B,FALSE,user-specified first gene-column index: 39
FHOD1,FHOD1,FALSE,user-specified first gene-column index: 39
CMTM5,CMTM5,FALSE,user-specified first gene-column index: 39
LINC00229,LINC00229,FALSE,user-specified first gene-column index: 39
LINC00642,LINC00642,FALSE,user-specified first gene-column index: 39
ADGRG7,ADGRG7,FALSE,user-specified first gene-column index: 39
ANO2,ANO2,FALSE,user-specified first gene-column index: 39
ZNF516-DT,ZNF516-DT,FALSE,user-specified first gene-column index: 39
ACKR1,ACKR1,FALSE,user-specified first gene-column index: 39
ZNF318,ZNF318,FALSE,user-specified first gene-column index: 39
RAB25,RAB25,FALSE,user-specified first gene-column index: 39
