gene,n_input_columns,method,cohort
ACOT6,1,max_variance,METABRIC
ACOT7,1,max_variance,METABRIC
ACOT8,1,max_variance,METABRIC
ACOT9,1,max_variance,METABRIC
ACOX1,1,max_variance,METABRIC
ACOX2,1,max_variance,METABRIC
ACOX3,1,max_variance,METABRIC
ACOXL,1,max_variance,METABRIC
ACOXL-AS1,1,max_variance,METABRIC
ACP1,1,max_variance,METABRIC
ACP2,1,max_variance,METABRIC
ACP4,1,max_variance,METABRIC
ACP5,1,max_variance,METABRIC
ACP6,1,max_variance,METABRIC
ACP7,1,max_variance,METABRIC
ACPP,1,max_variance,METABRIC
ACR,1,max_variance,METABRIC
ACRBP,1,max_variance,METABRIC
ACRV1,1,max_variance,METABRIC
ACSBG1,1,max_variance,METABRIC
ACSBG2,1,max_variance,METABRIC
ACSF2,1,max_variance,METABRIC
ACSF3,1,max_variance,METABRIC
ACSL1,1,max_variance,METABRIC
ACSL3,1,max_variance,METABRIC
ACSL4,1,max_variance,METABRIC
ACSL5,1,max_variance,METABRIC
ACSL6,1,max_variance,METABRIC
ACSM1,1,max_variance,METABRIC
ACSM2A,1,max_variance,METABRIC
ACSM2A.1,1,max_variance,METABRIC
ACSM2B,1,max_variance,METABRIC
ACSM3,1,max_variance,METABRIC
ACSM4,1,max_variance,METABRIC
ACSM5,1,max_variance,METABRIC
ACSS1,1,max_variance,METABRIC
ACSS2,1,max_variance,METABRIC
ACSS3,1,max_variance,METABRIC
ACTA1,1,max_variance,METABRIC
ACTA2,1,max_variance,METABRIC
ACTB,1,max_variance,METABRIC
ACTBL2,1,max_variance,METABRIC
ACTC1,1,max_variance,METABRIC
ACTG1,1,max_variance,METABRIC
ACTG1P20,1,max_variance,METABRIC
ACTG2,1,max_variance,METABRIC
ACTL10,1,max_variance,METABRIC
ACTL6A,1,max_variance,METABRIC
ACTL6B,1,max_variance,METABRIC
ACTL7A,1,max_variance,METABRIC
ACTL7B,1,max_variance,METABRIC
ACTL8,1,max_variance,METABRIC
ACTL9,1,max_variance,METABRIC
ACTN1,1,max_variance,METABRIC
ACTN2,1,max_variance,METABRIC
ACTN3,1,max_variance,METABRIC
ACTN4,1,max_variance,METABRIC
ACTR10,1,max_variance,METABRIC
ACTR1A,1,max_variance,METABRIC
ACTR1B,1,max_variance,METABRIC
ACTR2,1,max_variance,METABRIC
ACTR3,1,max_variance,METABRIC
ACTR3B,1,max_variance,METABRIC
ACTR3BP2,1,max_variance,METABRIC
ACTR3BP5,1,max_variance,METABRIC
ACTR3C,1,max_variance,METABRIC
ACTR5,1,max_variance,METABRIC
ACTR6,1,max_variance,METABRIC
ACTR8,1,max_variance,METABRIC
ACTRT1,1,max_variance,METABRIC
ACTRT2,1,max_variance,METABRIC
ACTRT3,1,max_variance,METABRIC
ACVR1,1,max_variance,METABRIC
ACVR1B,1,max_variance,METABRIC
ACVR1C,1,max_variance,METABRIC
ACVR2A,1,max_variance,METABRIC
ACVR2B,1,max_variance,METABRIC
ACVRL1,1,max_variance,METABRIC
ACY1,1,max_variance,METABRIC
ACY3,1,max_variance,METABRIC
ACYP1,1,max_variance,METABRIC
ACYP2,1,max_variance,METABRIC
ADA,1,max_variance,METABRIC
ADA2,1,max_variance,METABRIC
ADAD1,1,max_variance,METABRIC
ADAD2,1,max_variance,METABRIC
ADAL,1,max_variance,METABRIC
ADAM10,1,max_variance,METABRIC
ADAM11,1,max_variance,METABRIC
ADAM12,1,max_variance,METABRIC
ADAM15,1,max_variance,METABRIC
ADAM17,1,max_variance,METABRIC
ADAM18,1,max_variance,METABRIC
ADAM19,1,max_variance,METABRIC
ADAM2,1,max_variance,METABRIC
ADAM20,1,max_variance,METABRIC
ADAM20P1,1,max_variance,METABRIC
ADAM21,1,max_variance,METABRIC
ADAM22,1,max_variance,METABRIC
ADAM23,1,max_variance,METABRIC
ADAM28,1,max_variance,METABRIC
ADAM29,1,max_variance,METABRIC
ADAM30,1,max_variance,METABRIC
ADAM32,1,max_variance,METABRIC
ADAM33,1,max_variance,METABRIC
ADAM3A,1,max_variance,METABRIC
ADAM5,1,max_variance,METABRIC
ADAM5.1,1,max_variance,METABRIC
ADAM6,1,max_variance,METABRIC
ADAM7,1,max_variance,METABRIC
ADAM8,1,max_variance,METABRIC
ADAM9,1,max_variance,METABRIC
ADAMDEC1,1,max_variance,METABRIC
ADAMTS1,1,max_variance,METABRIC
ADAMTS10,1,max_variance,METABRIC
ADAMTS12,1,max_variance,METABRIC
ADAMTS13,1,max_variance,METABRIC
ADAMTS14,1,max_variance,METABRIC
ADAMTS15,1,max_variance,METABRIC
ADAMTS16,1,max_variance,METABRIC
ADAMTS17,1,max_variance,METABRIC
ADAMTS18,1,max_variance,METABRIC
ADAMTS19,1,max_variance,METABRIC
ADAMTS2,1,max_variance,METABRIC
ADAMTS20,1,max_variance,METABRIC
ADAMTS3,1,max_variance,METABRIC
ADAMTS4,1,max_variance,METABRIC
ADAMTS5,1,max_variance,METABRIC
ADAMTS6,1,max_variance,METABRIC
ADAMTS7,1,max_variance,METABRIC
ADAMTS7P1,1,max_variance,METABRIC
ADAMTS8,1,max_variance,METABRIC
ADAMTS9,1,max_variance,METABRIC
ADAMTSL1,1,max_variance,METABRIC
ADAMTSL2,1,max_variance,METABRIC
ADAMTSL3,1,max_variance,METABRIC
ADAMTSL4,1,max_variance,METABRIC
ADAMTSL5,1,max_variance,METABRIC
ADAP1,1,max_variance,METABRIC
ADAP2,1,max_variance,METABRIC
ADAR,1,max_variance,METABRIC
ADARB1,1,max_variance,METABRIC
ADARB2,1,max_variance,METABRIC
ADARB2-AS1,1,max_variance,METABRIC
ADAT1,1,max_variance,METABRIC
ADAT2,1,max_variance,METABRIC
ADAT3,1,max_variance,METABRIC
ADCK1,1,max_variance,METABRIC
ADCK2,1,max_variance,METABRIC
ADCK5,1,max_variance,METABRIC
ADCY1,1,max_variance,METABRIC
ADCY10,1,max_variance,METABRIC
ADCY10P1,1,max_variance,METABRIC
ADCY2,1,max_variance,METABRIC
ADCY3,1,max_variance,METABRIC
ADCY4,1,max_variance,METABRIC
ADCY5,1,max_variance,METABRIC
ADCY6,1,max_variance,METABRIC
ADCY7,1,max_variance,METABRIC
ADCY8,1,max_variance,METABRIC
ADCY9,1,max_variance,METABRIC
ADCYAP1,1,max_variance,METABRIC
ADCYAP1R1,1,max_variance,METABRIC
ADD1,1,max_variance,METABRIC
ADD2,1,max_variance,METABRIC
ADD3,1,max_variance,METABRIC
ADGB,1,max_variance,METABRIC
ADGRA1,1,max_variance,METABRIC
ADGRA2,1,max_variance,METABRIC
ADGRA3,1,max_variance,METABRIC
ADGRB1,1,max_variance,METABRIC
ADGRB2,1,max_variance,METABRIC
ADGRB3,1,max_variance,METABRIC
ADGRD1,1,max_variance,METABRIC
ADGRD2,1,max_variance,METABRIC
ADGRE1,1,max_variance,METABRIC
ADGRE2,1,max_variance,METABRIC
ADGRE3,1,max_variance,METABRIC
ADGRE4P,1,max_variance,METABRIC
ADGRE5,1,max_variance,METABRIC
ADGRF1,1,max_variance,METABRIC
ADGRF2,1,max_variance,METABRIC
ADGRF3,1,max_variance,METABRIC
ADGRF4,1,max_variance,METABRIC
ADGRF5,1,max_variance,METABRIC
ADGRG1,1,max_variance,METABRIC
ADGRG2,1,max_variance,METABRIC
ADGRG3,1,max_variance,METABRIC
ADGRG4,1,max_variance,METABRIC
ADGRG5,1,max_variance,METABRIC
ADGRG6,1,max_variance,METABRIC
ADGRG7,1,max_variance,METABRIC
ADGRL1,1,max_variance,METABRIC
ADGRL2,1,max_variance,METABRIC
ADGRL3,1,max_variance,METABRIC
ADGRL3.1,1,max_variance,METABRIC
ADGRV1,1,max_variance,METABRIC
ADH1A,1,max_variance,METABRIC
ADH1B,1,max_variance,METABRIC
ADH1C,1,max_variance,METABRIC
ADH4,1,max_variance,METABRIC
ADH5,1,max_variance,METABRIC
ADH6,1,max_variance,METABRIC
ADH7,1,max_variance,METABRIC
ADHFE1,1,max_variance,METABRIC
ADI1,1,max_variance,METABRIC
ADIG,1,max_variance,METABRIC
ADIPOQ,1,max_variance,METABRIC
ADIPOR1,1,max_variance,METABRIC
ADIPOR2,1,max_variance,METABRIC
ADIRF,1,max_variance,METABRIC
ADK,1,max_variance,METABRIC
ADM,1,max_variance,METABRIC
ADM2,1,max_variance,METABRIC
ADM5,1,max_variance,METABRIC
ADNP,1,max_variance,METABRIC
ADNP2,1,max_variance,METABRIC
ADO,1,max_variance,METABRIC
ADORA1,1,max_variance,METABRIC
ADORA2A,1,max_variance,METABRIC
ADORA2A-AS1,1,max_variance,METABRIC
ADORA2B,1,max_variance,METABRIC
ADORA3,1,max_variance,METABRIC
ADPGK,1,max_variance,METABRIC
ADPRH,1,max_variance,METABRIC
ADPRHL1,1,max_variance,METABRIC
ADPRHL2,1,max_variance,METABRIC
ADPRM,1,max_variance,METABRIC
ADRA1A,1,max_variance,METABRIC
ADRA1B,1,max_variance,METABRIC
ADRA1D,1,max_variance,METABRIC
ADRA2A,1,max_variance,METABRIC
ADRA2B,1,max_variance,METABRIC
ADRA2C,1,max_variance,METABRIC
ADRB1,1,max_variance,METABRIC
ADRB2,1,max_variance,METABRIC
ADRB3,1,max_variance,METABRIC
ADRM1,1,max_variance,METABRIC
ADSL,1,max_variance,METABRIC
ADSS1,1,max_variance,METABRIC
ADSS2,1,max_variance,METABRIC
ADTRP,1,max_variance,METABRIC
AEBP1,1,max_variance,METABRIC
AEBP2,1,max_variance,METABRIC
AEN,1,max_variance,METABRIC
AFAP1,1,max_variance,METABRIC
AFAP1.1,1,max_variance,METABRIC
AFAP1L1,1,max_variance,METABRIC
AFAP1L2,1,max_variance,METABRIC
AFDN,1,max_variance,METABRIC
AFDN-DT,1,max_variance,METABRIC
AFF1,1,max_variance,METABRIC
AFF2,1,max_variance,METABRIC
AFF3,1,max_variance,METABRIC
AFF4,1,max_variance,METABRIC
AFG1L,1,max_variance,METABRIC
AFG3L1P,1,max_variance,METABRIC
AFG3L2,1,max_variance,METABRIC
AFM,1,max_variance,METABRIC
AFMID,1,max_variance,METABRIC
AFP,1,max_variance,METABRIC
AFTPH,1,max_variance,METABRIC
AGA,1,max_variance,METABRIC
AGA-DT,1,max_variance,METABRIC
AGAP1,1,max_variance,METABRIC
AGAP11,1,max_variance,METABRIC
AGAP2,1,max_variance,METABRIC
AGAP3,1,max_variance,METABRIC
AGAP4,1,max_variance,METABRIC
AGAP6,1,max_variance,METABRIC
AGAP7P,1,max_variance,METABRIC
AGBL1,1,max_variance,METABRIC
AGBL2,1,max_variance,METABRIC
AGBL4,1,max_variance,METABRIC
AGBL5,1,max_variance,METABRIC
AGER,1,max_variance,METABRIC
AGFG1,1,max_variance,METABRIC
AGFG2,1,max_variance,METABRIC
AGGF1,1,max_variance,METABRIC
AGK,1,max_variance,METABRIC
AGL,1,max_variance,METABRIC
AGMAT,1,max_variance,METABRIC
AGMO,1,max_variance,METABRIC
AGO1,1,max_variance,METABRIC
AGO2,1,max_variance,METABRIC
AGO3,1,max_variance,METABRIC
AGO4,1,max_variance,METABRIC
AGPAT1,1,max_variance,METABRIC
AGPAT2,1,max_variance,METABRIC
AGPAT3,1,max_variance,METABRIC
AGPAT4,1,max_variance,METABRIC
AGPAT4-IT1,1,max_variance,METABRIC
AGPAT5,1,max_variance,METABRIC
AGPHD1,1,max_variance,METABRIC
AGPS,1,max_variance,METABRIC
AGR2,1,max_variance,METABRIC
AGR3,1,max_variance,METABRIC
AGRN,1,max_variance,METABRIC
AGRP,1,max_variance,METABRIC
AGT,1,max_variance,METABRIC
AGTPBP1,1,max_variance,METABRIC
AGTR1,1,max_variance,METABRIC
AGTR2,1,max_variance,METABRIC
AGTRAP,1,max_variance,METABRIC
AGXT,1,max_variance,METABRIC
AGXT2,1,max_variance,METABRIC
AHCTF1,1,max_variance,METABRIC
AHCY,1,max_variance,METABRIC
AHCYL1,1,max_variance,METABRIC
AHCYL2,1,max_variance,METABRIC
AHDC1,1,max_variance,METABRIC
AHI1,1,max_variance,METABRIC
AHNAK,1,max_variance,METABRIC
AHNAK2,1,max_variance,METABRIC
AHR,1,max_variance,METABRIC
AHRR,1,max_variance,METABRIC
AHSA1,1,max_variance,METABRIC
AHSA2P,1,max_variance,METABRIC
AHSG,1,max_variance,METABRIC
AHSP,1,max_variance,METABRIC
AI636007,1,max_variance,METABRIC
AICDA,1,max_variance,METABRIC
