gene,n_input_columns,method,cohort
DDX47,1,max_variance,METABRIC
DDX49,1,max_variance,METABRIC
DDX5,1,max_variance,METABRIC
DDX50,1,max_variance,METABRIC
DDX51,1,max_variance,METABRIC
DDX52,1,max_variance,METABRIC
DDX53,1,max_variance,METABRIC
DDX54,1,max_variance,METABRIC
DDX55,1,max_variance,METABRIC
DDX56,1,max_variance,METABRIC
DDX58,1,max_variance,METABRIC
DDX59,1,max_variance,METABRIC
DDX6,1,max_variance,METABRIC
DDX60,1,max_variance,METABRIC
DEAF1,1,max_variance,METABRIC
DEC1,1,max_variance,METABRIC
DECR1,1,max_variance,METABRIC
DECR2,1,max_variance,METABRIC
DEDD,1,max_variance,METABRIC
DEDD2,1,max_variance,METABRIC
DEF6,1,max_variance,METABRIC
DEF8,1,max_variance,METABRIC
DEFA1,1,max_variance,METABRIC
DEFA4,1,max_variance,METABRIC
DEFA5,1,max_variance,METABRIC
DEFA6,1,max_variance,METABRIC
DEFB1,1,max_variance,METABRIC
DEFB103A,1,max_variance,METABRIC
DEFB103B,1,max_variance,METABRIC
DEFB104B,1,max_variance,METABRIC
DEFB105A,1,max_variance,METABRIC
DEFB106A,1,max_variance,METABRIC
DEFB106B,1,max_variance,METABRIC
DEFB107B,1,max_variance,METABRIC
DEFB108B,1,max_variance,METABRIC
DEFB109A,1,max_variance,METABRIC
DEFB109B,1,max_variance,METABRIC
DEFB110,1,max_variance,METABRIC
DEFB112,1,max_variance,METABRIC
DEFB114,1,max_variance,METABRIC
DEFB117,1,max_variance,METABRIC
DEFB118,1,max_variance,METABRIC
DEFB119,1,max_variance,METABRIC
DEFB121,1,max_variance,METABRIC
DEFB122,1,max_variance,METABRIC
DEFB123,1,max_variance,METABRIC
DEFB124,1,max_variance,METABRIC
DEFB125,1,max_variance,METABRIC
DEFB126,1,max_variance,METABRIC
DEFB127,1,max_variance,METABRIC
DEFB128,1,max_variance,METABRIC
DEFB129,1,max_variance,METABRIC
DEFB131A,1,max_variance,METABRIC
DEFB132,1,max_variance,METABRIC
DEFB134,1,max_variance,METABRIC
DEFB135,1,max_variance,METABRIC
DEFB136,1,max_variance,METABRIC
DEFB4A,1,max_variance,METABRIC
DEGS1,1,max_variance,METABRIC
DEGS2,1,max_variance,METABRIC
DEK,1,max_variance,METABRIC
DELE1,1,max_variance,METABRIC
DENND10,1,max_variance,METABRIC
DENND10P1,1,max_variance,METABRIC
DENND11,1,max_variance,METABRIC
DENND1A,1,max_variance,METABRIC
DENND1B,1,max_variance,METABRIC
DENND1C,1,max_variance,METABRIC
DENND2A,1,max_variance,METABRIC
DENND2B,1,max_variance,METABRIC
DENND2C,1,max_variance,METABRIC
DENND2D,1,max_variance,METABRIC
DENND3,1,max_variance,METABRIC
DENND4A,1,max_variance,METABRIC
DENND4C,1,max_variance,METABRIC
DENND5A,1,max_variance,METABRIC
DENND5B,1,max_variance,METABRIC
DENND6A,1,max_variance,METABRIC
DENND6B,1,max_variance,METABRIC
DENR,1,max_variance,METABRIC
DEPDC1,1,max_variance,METABRIC
DEPDC1B,1,max_variance,METABRIC
DEPDC4,1,max_variance,METABRIC
DEPDC4.1,1,max_variance,METABRIC
DEPDC5,1,max_variance,METABRIC
DEPDC7,1,max_variance,METABRIC
DEPP1,1,max_variance,METABRIC
DEPTOR,1,max_variance,METABRIC
DERA,1,max_variance,METABRIC
DERL1,1,max_variance,METABRIC
DERL2,1,max_variance,METABRIC
DERL3,1,max_variance,METABRIC
DES,1,max_variance,METABRIC
DESI1,1,max_variance,METABRIC
DESI2,1,max_variance,METABRIC
DET1,1,max_variance,METABRIC
DEUP1,1,max_variance,METABRIC
DEXI,1,max_variance,METABRIC
DFFA,1,max_variance,METABRIC
DFFB,1,max_variance,METABRIC
DGAT1,1,max_variance,METABRIC
DGAT2,1,max_variance,METABRIC
DGAT2L6,1,max_variance,METABRIC
DGCR2,1,max_variance,METABRIC
DGCR5,1,max_variance,METABRIC
DGCR6,1,max_variance,METABRIC
DGCR6L,1,max_variance,METABRIC
DGCR8,1,max_variance,METABRIC
DGKA,1,max_variance,METABRIC
DGKB,1,max_variance,METABRIC
DGKD,1,max_variance,METABRIC
DGKE,1,max_variance,METABRIC
DGKG,1,max_variance,METABRIC
DGKH,1,max_variance,METABRIC
DGKI,1,max_variance,METABRIC
DGKK,1,max_variance,METABRIC
DGKQ,1,max_variance,METABRIC
DGKZ,1,max_variance,METABRIC
DGLUCY,1,max_variance,METABRIC
DGUOK,1,max_variance,METABRIC
DHCR24,1,max_variance,METABRIC
DHCR7,1,max_variance,METABRIC
DHDDS,1,max_variance,METABRIC
DHDH,1,max_variance,METABRIC
DHFR,1,max_variance,METABRIC
DHFR2,1,max_variance,METABRIC
DHFRP3,1,max_variance,METABRIC
DHH,1,max_variance,METABRIC
DHODH,1,max_variance,METABRIC
DHPS,1,max_variance,METABRIC
DHRS1,1,max_variance,METABRIC
DHRS11,1,max_variance,METABRIC
DHRS12,1,max_variance,METABRIC
DHRS13,1,max_variance,METABRIC
DHRS2,1,max_variance,METABRIC
DHRS3,1,max_variance,METABRIC
DHRS4,1,max_variance,METABRIC
DHRS4L1,1,max_variance,METABRIC
DHRS4L2,1,max_variance,METABRIC
DHRS7,1,max_variance,METABRIC
DHRS7B,1,max_variance,METABRIC
DHRS7C,1,max_variance,METABRIC
DHRS9,1,max_variance,METABRIC
DHRSX,1,max_variance,METABRIC
DHTKD1,1,max_variance,METABRIC
DHX15,1,max_variance,METABRIC
DHX16,1,max_variance,METABRIC
DHX29,1,max_variance,METABRIC
DHX30,1,max_variance,METABRIC
DHX32,1,max_variance,METABRIC
DHX33,1,max_variance,METABRIC
DHX34,1,max_variance,METABRIC
DHX35,1,max_variance,METABRIC
DHX36,1,max_variance,METABRIC
DHX37,1,max_variance,METABRIC
DHX38,1,max_variance,METABRIC
DHX40,1,max_variance,METABRIC
DHX57,1,max_variance,METABRIC
DHX58,1,max_variance,METABRIC
DHX8,1,max_variance,METABRIC
DHX9,1,max_variance,METABRIC
DIABLO,1,max_variance,METABRIC
DIAPH1,1,max_variance,METABRIC
DIAPH2,1,max_variance,METABRIC
DIAPH3,1,max_variance,METABRIC
DICER1,1,max_variance,METABRIC
DICER1-AS1,1,max_variance,METABRIC
DIDO1,1,max_variance,METABRIC
DIMT1,1,max_variance,METABRIC
DIO1,1,max_variance,METABRIC
DIO2,1,max_variance,METABRIC
DIO3,1,max_variance,METABRIC
DIP2A,1,max_variance,METABRIC
DIP2B,1,max_variance,METABRIC
DIP2C,1,max_variance,METABRIC
DIPK1B,1,max_variance,METABRIC
DIPK1C,1,max_variance,METABRIC
DIPK2A,1,max_variance,METABRIC
DIPK2B,1,max_variance,METABRIC
DIRAS1,1,max_variance,METABRIC
DIRAS2,1,max_variance,METABRIC
DIRAS3,1,max_variance,METABRIC
DIRC1,1,max_variance,METABRIC
DIRC3,1,max_variance,METABRIC
DIS3,1,max_variance,METABRIC
DIS3L,1,max_variance,METABRIC
DIS3L2,1,max_variance,METABRIC
DISC1,1,max_variance,METABRIC
DISC1.1,1,max_variance,METABRIC
DISC2,1,max_variance,METABRIC
DISP1,1,max_variance,METABRIC
DISP2,1,max_variance,METABRIC
DISP3,1,max_variance,METABRIC
DIXDC1,1,max_variance,METABRIC
DJ031154,1,max_variance,METABRIC
DKC1,1,max_variance,METABRIC
DKFZP434A128,1,max_variance,METABRIC
DKFZP434C0631,1,max_variance,METABRIC
DKFZP434E2321,1,max_variance,METABRIC
DKFZP434O171,1,max_variance,METABRIC
DKFZP451A211,1,max_variance,METABRIC
DKFZP451B082,1,max_variance,METABRIC
DKFZP547H074,1,max_variance,METABRIC
DKFZP586I1420,1,max_variance,METABRIC
DKFZP667G2110,1,max_variance,METABRIC
DKFZP667P0924,1,max_variance,METABRIC
DKFZP686F0839,1,max_variance,METABRIC
DKFZP779L1853,1,max_variance,METABRIC
DKK1,1,max_variance,METABRIC
DKK2,1,max_variance,METABRIC
DKK3,1,max_variance,METABRIC
DKK4,1,max_variance,METABRIC
DKKL1,1,max_variance,METABRIC
DLAT,1,max_variance,METABRIC
DLC1,1,max_variance,METABRIC
DLD,1,max_variance,METABRIC
DLEC1,1,max_variance,METABRIC
DLEU1,1,max_variance,METABRIC
DLEU2,1,max_variance,METABRIC
DLEU2L,1,max_variance,METABRIC
DLEU7,1,max_variance,METABRIC
DLG1,1,max_variance,METABRIC
DLG2,1,max_variance,METABRIC
DLG3,1,max_variance,METABRIC
DLG4,1,max_variance,METABRIC
DLG5,1,max_variance,METABRIC
DLGAP1,1,max_variance,METABRIC
DLGAP1-AS5,1,max_variance,METABRIC
DLGAP2,1,max_variance,METABRIC
DLGAP2-AS1,1,max_variance,METABRIC
DLGAP3,1,max_variance,METABRIC
DLGAP4,1,max_variance,METABRIC
DLGAP5,1,max_variance,METABRIC
DLK1,1,max_variance,METABRIC
DLK2,1,max_variance,METABRIC
DLL1,1,max_variance,METABRIC
DLL3,1,max_variance,METABRIC
DLL4,1,max_variance,METABRIC
DLST,1,max_variance,METABRIC
DLX1,1,max_variance,METABRIC
DLX2,1,max_variance,METABRIC
DLX3,1,max_variance,METABRIC
DLX4,1,max_variance,METABRIC
DLX5,1,max_variance,METABRIC
DLX6,1,max_variance,METABRIC
DMAC1,1,max_variance,METABRIC
DMAC2,1,max_variance,METABRIC
DMAC2L,1,max_variance,METABRIC
DMAP1,1,max_variance,METABRIC
DMBT1,1,max_variance,METABRIC
DMBT1P1,1,max_variance,METABRIC
DMBX1,1,max_variance,METABRIC
DMC1,1,max_variance,METABRIC
DMD,1,max_variance,METABRIC
DMGDH,1,max_variance,METABRIC
DMKN,1,max_variance,METABRIC
DMP1,1,max_variance,METABRIC
DMPK,1,max_variance,METABRIC
DMRT1,1,max_variance,METABRIC
DMRT2,1,max_variance,METABRIC
DMRT3,1,max_variance,METABRIC
DMRTA1,1,max_variance,METABRIC
DMRTA2,1,max_variance,METABRIC
DMRTB1,1,max_variance,METABRIC
DMRTC1B,1,max_variance,METABRIC
DMRTC1B.1,1,max_variance,METABRIC
DMRTC2,1,max_variance,METABRIC
DMTF1,1,max_variance,METABRIC
DMTN,1,max_variance,METABRIC
DMWD,1,max_variance,METABRIC
DMXL1,1,max_variance,METABRIC
DMXL2,1,max_variance,METABRIC
DNA2,1,max_variance,METABRIC
DNAAF1,1,max_variance,METABRIC
DNAAF2,1,max_variance,METABRIC
DNAAF3,1,max_variance,METABRIC
DNAAF4,1,max_variance,METABRIC
DNAAF5,1,max_variance,METABRIC
DNAH1,1,max_variance,METABRIC
DNAH10,1,max_variance,METABRIC
DNAH10OS,1,max_variance,METABRIC
DNAH11,1,max_variance,METABRIC
DNAH12,1,max_variance,METABRIC
DNAH14,1,max_variance,METABRIC
DNAH17,1,max_variance,METABRIC
DNAH2,1,max_variance,METABRIC
DNAH3,1,max_variance,METABRIC
DNAH5,1,max_variance,METABRIC
DNAH6,1,max_variance,METABRIC
DNAH7,1,max_variance,METABRIC
DNAH8,1,max_variance,METABRIC
DNAH9,1,max_variance,METABRIC
DNAI1,1,max_variance,METABRIC
DNAI2,1,max_variance,METABRIC
DNAJA1,1,max_variance,METABRIC
DNAJA2,1,max_variance,METABRIC
DNAJA3,1,max_variance,METABRIC
DNAJA4,1,max_variance,METABRIC
DNAJB1,1,max_variance,METABRIC
DNAJB11,1,max_variance,METABRIC
DNAJB12,1,max_variance,METABRIC
DNAJB13,1,max_variance,METABRIC
DNAJB14,1,max_variance,METABRIC
DNAJB2,1,max_variance,METABRIC
DNAJB3,1,max_variance,METABRIC
DNAJB4,1,max_variance,METABRIC
DNAJB5,1,max_variance,METABRIC
DNAJB6,1,max_variance,METABRIC
DNAJB7,1,max_variance,METABRIC
DNAJB8,1,max_variance,METABRIC
DNAJB9,1,max_variance,METABRIC
DNAJC1,1,max_variance,METABRIC
DNAJC10,1,max_variance,METABRIC
DNAJC11,1,max_variance,METABRIC
DNAJC12,1,max_variance,METABRIC
DNAJC13,1,max_variance,METABRIC
DNAJC14,1,max_variance,METABRIC
DNAJC15,1,max_variance,METABRIC
DNAJC16,1,max_variance,METABRIC
DNAJC17,1,max_variance,METABRIC
DNAJC18,1,max_variance,METABRIC
DNAJC19,1,max_variance,METABRIC
DNAJC2,1,max_variance,METABRIC
DNAJC21,1,max_variance,METABRIC
DNAJC22,1,max_variance,METABRIC
DNAJC24,1,max_variance,METABRIC
DNAJC25,1,max_variance,METABRIC
DNAJC25-GNG10,1,max_variance,METABRIC
DNAJC27,1,max_variance,METABRIC
DNAJC28,1,max_variance,METABRIC
DNAJC3,1,max_variance,METABRIC
DNAJC3-DT,1,max_variance,METABRIC
DNAJC30,1,max_variance,METABRIC
DNAJC5,1,max_variance,METABRIC
DNAJC5B,1,max_variance,METABRIC
DNAJC5G,1,max_variance,METABRIC
DNAJC6,1,max_variance,METABRIC
DNAJC7,1,max_variance,METABRIC
DNAJC8,1,max_variance,METABRIC
DNAJC9,1,max_variance,METABRIC
DNAL1,1,max_variance,METABRIC
DNAL4,1,max_variance,METABRIC
DNALI1,1,max_variance,METABRIC
DNASE1,1,max_variance,METABRIC
DNASE1L1,1,max_variance,METABRIC
DNASE1L2,1,max_variance,METABRIC
DNASE1L3,1,max_variance,METABRIC
DNASE2,1,max_variance,METABRIC
DNASE2B,1,max_variance,METABRIC
DND1,1,max_variance,METABRIC
DND1.1,1,max_variance,METABRIC
DNER,1,max_variance,METABRIC
DNHD1,1,max_variance,METABRIC
DNLZ,1,max_variance,METABRIC
DNM1,1,max_variance,METABRIC
DNM1L,1,max_variance,METABRIC
DNM1P46,1,max_variance,METABRIC
DNM2,1,max_variance,METABRIC
DNM3,1,max_variance,METABRIC
DNMBP,1,max_variance,METABRIC
DNMT1,1,max_variance,METABRIC
DNMT3A,1,max_variance,METABRIC
DNMT3B,1,max_variance,METABRIC
DNMT3L,1,max_variance,METABRIC
DNPEP,1,max_variance,METABRIC
DNPH1,1,max_variance,METABRIC
DNTT,1,max_variance,METABRIC
DNTTIP1,1,max_variance,METABRIC
DNTTIP2,1,max_variance,METABRIC
DOC2A,1,max_variance,METABRIC
DOCK1,1,max_variance,METABRIC
DOCK10,1,max_variance,METABRIC
DOCK11,1,max_variance,METABRIC
DOCK2,1,max_variance,METABRIC
DOCK3,1,max_variance,METABRIC
DOCK5,1,max_variance,METABRIC
DOCK6,1,max_variance,METABRIC
DOCK7,1,max_variance,METABRIC
DOCK8,1,max_variance,METABRIC
DOCK8-AS1,1,max_variance,METABRIC
DOCK9,1,max_variance,METABRIC
DOHH,1,max_variance,METABRIC
DOK1,1,max_variance,METABRIC
DOK2,1,max_variance,METABRIC
DOK3,1,max_variance,METABRIC
DOK4,1,max_variance,METABRIC
DOK5,1,max_variance,METABRIC
DOK6,1,max_variance,METABRIC
DOK7,1,max_variance,METABRIC
DOLK,1,max_variance,METABRIC
DOLPP1,1,max_variance,METABRIC
DONSON,1,max_variance,METABRIC
DOP1A,1,max_variance,METABRIC
DOP1B,1,max_variance,METABRIC
DOT1L,1,max_variance,METABRIC
DPAGT1,1,max_variance,METABRIC
DPCD,1,max_variance,METABRIC
DPEP1,1,max_variance,METABRIC
DPEP2,1,max_variance,METABRIC
DPEP3,1,max_variance,METABRIC
DPF1,1,max_variance,METABRIC
DPF2,1,max_variance,METABRIC
DPF3,1,max_variance,METABRIC
DPH1,1,max_variance,METABRIC
DPH2,1,max_variance,METABRIC
DPH3,1,max_variance,METABRIC
DPH5,1,max_variance,METABRIC
DPH6,1,max_variance,METABRIC
DPH6-DT,1,max_variance,METABRIC
DPH7,1,max_variance,METABRIC
DPM1,1,max_variance,METABRIC
DPM2,1,max_variance,METABRIC
DPM3,1,max_variance,METABRIC
DPP10,1,max_variance,METABRIC
DPP3,1,max_variance,METABRIC
DPP4,1,max_variance,METABRIC
DPP6,1,max_variance,METABRIC
DPP7,1,max_variance,METABRIC
DPP8,1,max_variance,METABRIC
DPP9,1,max_variance,METABRIC
DPPA2,1,max_variance,METABRIC
DPPA3,1,max_variance,METABRIC
DPPA4,1,max_variance,METABRIC
DPPA5,1,max_variance,METABRIC
DPRX,1,max_variance,METABRIC
DPRXP4,1,max_variance,METABRIC
DPT,1,max_variance,METABRIC
DPY19L1,1,max_variance,METABRIC
DPY19L2,1,max_variance,METABRIC
DPY19L2P2,1,max_variance,METABRIC
DPY19L2P4,1,max_variance,METABRIC
DPY19L3,1,max_variance,METABRIC
DPY19L4,1,max_variance,METABRIC
DPY30,1,max_variance,METABRIC
DPYD,1,max_variance,METABRIC
DPYS,1,max_variance,METABRIC
DPYSL2,1,max_variance,METABRIC
DPYSL3,1,max_variance,METABRIC
DPYSL4,1,max_variance,METABRIC
DPYSL5,1,max_variance,METABRIC
DQ581928,1,max_variance,METABRIC
DQX1,1,max_variance,METABRIC
DR1,1,max_variance,METABRIC
DRAIC,1,max_variance,METABRIC
DRAM1,1,max_variance,METABRIC
DRAM2,1,max_variance,METABRIC
DRAP1,1,max_variance,METABRIC
DRAXIN,1,max_variance,METABRIC
DRAXIN.1,1,max_variance,METABRIC
DRC1,1,max_variance,METABRIC
DRC3,1,max_variance,METABRIC
DRC7,1,max_variance,METABRIC
DRD1,1,max_variance,METABRIC
DRD2,1,max_variance,METABRIC
DRD3,1,max_variance,METABRIC
DRD4,1,max_variance,METABRIC
DRD5,1,max_variance,METABRIC
DRG1,1,max_variance,METABRIC
DRG2,1,max_variance,METABRIC
DRGX,1,max_variance,METABRIC
DRICH1,1,max_variance,METABRIC
DROSHA,1,max_variance,METABRIC
DRP2,1,max_variance,METABRIC
DSC1,1,max_variance,METABRIC
DSC2,1,max_variance,METABRIC
DSC3,1,max_variance,METABRIC
DSCAM,1,max_variance,METABRIC
DSCAML1,1,max_variance,METABRIC
DSCC1,1,max_variance,METABRIC
DSCR10,1,max_variance,METABRIC
DSCR4,1,max_variance,METABRIC
DSCR8,1,max_variance,METABRIC
DSCR9,1,max_variance,METABRIC
DSE,1,max_variance,METABRIC
DSEL,1,max_variance,METABRIC
DSG1,1,max_variance,METABRIC
DSG2,1,max_variance,METABRIC
DSG3,1,max_variance,METABRIC
DSG4,1,max_variance,METABRIC
DSN1,1,max_variance,METABRIC
DSP,1,max_variance,METABRIC
DSPP,1,max_variance,METABRIC
DST,1,max_variance,METABRIC
DSTN,1,max_variance,METABRIC
DSTYK,1,max_variance,METABRIC
DTD1,1,max_variance,METABRIC
DTD2,1,max_variance,METABRIC
DTHD1,1,max_variance,METABRIC
DTL,1,max_variance,METABRIC
DTNA,1,max_variance,METABRIC
DTNB,1,max_variance,METABRIC
DTNBP1,1,max_variance,METABRIC
DTWD1,1,max_variance,METABRIC
DTWD2,1,max_variance,METABRIC
DTX1,1,max_variance,METABRIC
DTX2,1,max_variance,METABRIC
DTX2P1-UPK3BP1-PMS2P11,1,max_variance,METABRIC
DTX3,1,max_variance,METABRIC
DTX3L,1,max_variance,METABRIC
DTX4,1,max_variance,METABRIC
DTYMK,1,max_variance,METABRIC
DUBR,1,max_variance,METABRIC
DUOX1,1,max_variance,METABRIC
DUOX2,1,max_variance,METABRIC
DUOXA1,1,max_variance,METABRIC
DUOXA2,1,max_variance,METABRIC
DUPD1,1,max_variance,METABRIC
DUS1L,1,max_variance,METABRIC
DUS2,1,max_variance,METABRIC
DUS3L,1,max_variance,METABRIC
DUS4L,1,max_variance,METABRIC
DUSP1,1,max_variance,METABRIC
DUSP10,1,max_variance,METABRIC
DUSP11,1,max_variance,METABRIC
DUSP12,1,max_variance,METABRIC
DUSP13,1,max_variance,METABRIC
DUSP14,1,max_variance,METABRIC
DUSP15,1,max_variance,METABRIC
DUSP16,1,max_variance,METABRIC
DUSP18,1,max_variance,METABRIC
DUSP19,1,max_variance,METABRIC
DUSP2,1,max_variance,METABRIC
DUSP21,1,max_variance,METABRIC
DUSP22,1,max_variance,METABRIC
DUSP23,1,max_variance,METABRIC
DUSP26,1,max_variance,METABRIC
DUSP27,1,max_variance,METABRIC
DUSP28,1,max_variance,METABRIC
DUSP3,1,max_variance,METABRIC
DUSP4,1,max_variance,METABRIC
DUSP5,1,max_variance,METABRIC
DUSP5P,1,max_variance,METABRIC
DUSP5P1,1,max_variance,METABRIC
DUSP6,1,max_variance,METABRIC
DUSP7,1,max_variance,METABRIC
DUSP8,1,max_variance,METABRIC
DUSP9,1,max_variance,METABRIC
DUT,1,max_variance,METABRIC
DUX1,1,max_variance,METABRIC
DUX3,1,max_variance,METABRIC
DUX4L1,1,max_variance,METABRIC
DUX4L4,1,max_variance,METABRIC
DUX4L9,1,max_variance,METABRIC
DUXA,1,max_variance,METABRIC
DUXAP10,1,max_variance,METABRIC
DUXAP9,1,max_variance,METABRIC
DUXAP9.1,1,max_variance,METABRIC
DVL1,1,max_variance,METABRIC
DVL2,1,max_variance,METABRIC
DVL3,1,max_variance,METABRIC
DXO,1,max_variance,METABRIC
DYDC1,1,max_variance,METABRIC
DYDC2,1,max_variance,METABRIC
DYM,1,max_variance,METABRIC
DYNAP,1,max_variance,METABRIC
DYNC1H1,1,max_variance,METABRIC
DYNC1I1,1,max_variance,METABRIC
DYNC1I2,1,max_variance,METABRIC
DYNC1LI1,1,max_variance,METABRIC
DYNC1LI2,1,max_variance,METABRIC
DYNC2H1,1,max_variance,METABRIC
DYNC2LI1,1,max_variance,METABRIC
DYNLL1,1,max_variance,METABRIC
DYNLL2,1,max_variance,METABRIC
DYNLRB1,1,max_variance,METABRIC
DYNLRB1.1,1,max_variance,METABRIC
DYNLRB2,1,max_variance,METABRIC
DYNLT1,1,max_variance,METABRIC
DYNLT3,1,max_variance,METABRIC
DYRK1A,1,max_variance,METABRIC
DYRK1B,1,max_variance,METABRIC
DYRK2,1,max_variance,METABRIC
DYRK3,1,max_variance,METABRIC
DYRK4,1,max_variance,METABRIC
DYSF,1,max_variance,METABRIC
DYTN,1,max_variance,METABRIC
DZANK1,1,max_variance,METABRIC
DZIP1,1,max_variance,METABRIC
DZIP1L,1,max_variance,METABRIC
DZIP3,1,max_variance,METABRIC
E2F1,1,max_variance,METABRIC
E2F2,1,max_variance,METABRIC
E2F3,1,max_variance,METABRIC
E2F4,1,max_variance,METABRIC
E2F5,1,max_variance,METABRIC
E2F6,1,max_variance,METABRIC
E2F7,1,max_variance,METABRIC
E2F8,1,max_variance,METABRIC
E4F1,1,max_variance,METABRIC
EAF1,1,max_variance,METABRIC
EAF2,1,max_variance,METABRIC
EAPP,1,max_variance,METABRIC
EARS2,1,max_variance,METABRIC
EBAG9,1,max_variance,METABRIC
EBF1,1,max_variance,METABRIC
EBF2,1,max_variance,METABRIC
EBF3,1,max_variance,METABRIC
EBI3,1,max_variance,METABRIC
EBLN1,1,max_variance,METABRIC
EBLN2,1,max_variance,METABRIC
EBNA1BP2,1,max_variance,METABRIC
EBP,1,max_variance,METABRIC
EBPL,1,max_variance,METABRIC
ECD,1,max_variance,METABRIC
ECE1,1,max_variance,METABRIC
ECE2,1,max_variance,METABRIC
ECEL1,1,max_variance,METABRIC
ECH1,1,max_variance,METABRIC
ECHDC1,1,max_variance,METABRIC
ECHDC2,1,max_variance,METABRIC
ECHDC3,1,max_variance,METABRIC
ECHS1,1,max_variance,METABRIC
ECI1,1,max_variance,METABRIC
ECI2,1,max_variance,METABRIC
ECI2-DT,1,max_variance,METABRIC
ECM1,1,max_variance,METABRIC
ECM2,1,max_variance,METABRIC
ECPAS,1,max_variance,METABRIC
ECRG4,1,max_variance,METABRIC
ECSCR,1,max_variance,METABRIC
ECSIT,1,max_variance,METABRIC
ECT2,1,max_variance,METABRIC
ECT2L,1,max_variance,METABRIC
EDA,1,max_variance,METABRIC
EDA2R,1,max_variance,METABRIC
EDAR,1,max_variance,METABRIC
EDARADD,1,max_variance,METABRIC
EDC3,1,max_variance,METABRIC
EDC4,1,max_variance,METABRIC
EDDM3A,1,max_variance,METABRIC
EDDM3B,1,max_variance,METABRIC
EDEM1,1,max_variance,METABRIC
EDEM2,1,max_variance,METABRIC
EDEM3,1,max_variance,METABRIC
EDF1,1,max_variance,METABRIC
EDIL3,1,max_variance,METABRIC
EDN1,1,max_variance,METABRIC
EDN2,1,max_variance,METABRIC
EDN3,1,max_variance,METABRIC
EDNRA,1,max_variance,METABRIC
EDNRB,1,max_variance,METABRIC
EDNRB-AS1,1,max_variance,METABRIC
EDRF1,1,max_variance,METABRIC
EEA1,1,max_variance,METABRIC
EED,1,max_variance,METABRIC
EEF1A1,1,max_variance,METABRIC
EEF1A2,1,max_variance,METABRIC
EEF1AKMT1,1,max_variance,METABRIC
EEF1AKMT2,1,max_variance,METABRIC
EEF1AKMT3,1,max_variance,METABRIC
EEF1AKNMT,1,max_variance,METABRIC
EEF1B2,1,max_variance,METABRIC
EEF1D,1,max_variance,METABRIC
EEF1DP3,1,max_variance,METABRIC
EEF1E1,1,max_variance,METABRIC
EEF1G,1,max_variance,METABRIC
EEF2,1,max_variance,METABRIC
EEF2K,1,max_variance,METABRIC
EEF2KMT,1,max_variance,METABRIC
EEFSEC,1,max_variance,METABRIC
EEPD1,1,max_variance,METABRIC
EFCAB1,1,max_variance,METABRIC
EFCAB11,1,max_variance,METABRIC
EFCAB12,1,max_variance,METABRIC
EFCAB13,1,max_variance,METABRIC
EFCAB14,1,max_variance,METABRIC
EFCAB2,1,max_variance,METABRIC
EFCAB3,1,max_variance,METABRIC
EFCAB4B,1,max_variance,METABRIC
EFCAB5,1,max_variance,METABRIC
EFCAB6,1,max_variance,METABRIC
EFCAB7,1,max_variance,METABRIC
EFCAB8,1,max_variance,METABRIC
EFCAB9,1,max_variance,METABRIC
EFCC1,1,max_variance,METABRIC
EFEMP1,1,max_variance,METABRIC
EFEMP2,1,max_variance,METABRIC
EFHB,1,max_variance,METABRIC
EFHC1,1,max_variance,METABRIC
EFHC2,1,max_variance,METABRIC
EFHD1,1,max_variance,METABRIC
EFHD2,1,max_variance,METABRIC
EFL1,1,max_variance,METABRIC
EFNA1,1,max_variance,METABRIC
EFNA2,1,max_variance,METABRIC
EFNA3,1,max_variance,METABRIC
EFNA4,1,max_variance,METABRIC
EFNA5,1,max_variance,METABRIC
EFNB1,1,max_variance,METABRIC
EFNB2,1,max_variance,METABRIC
EFNB3,1,max_variance,METABRIC
EFR3A,1,max_variance,METABRIC
EFR3B,1,max_variance,METABRIC
EFS,1,max_variance,METABRIC
EFTUD2,1,max_variance,METABRIC
EGF,1,max_variance,METABRIC
EGFEM1P,1,max_variance,METABRIC
EGFL6,1,max_variance,METABRIC
EGFL7,1,max_variance,METABRIC
EGFL8,1,max_variance,METABRIC
EGFLAM,1,max_variance,METABRIC
EGFR,1,max_variance,METABRIC
EGLN1,1,max_variance,METABRIC
EGLN2,1,max_variance,METABRIC
EGLN3,1,max_variance,METABRIC
EGR1,1,max_variance,METABRIC
EGR2,1,max_variance,METABRIC
EGR3,1,max_variance,METABRIC
EGR4,1,max_variance,METABRIC
EHBP1,1,max_variance,METABRIC
EHD1,1,max_variance,METABRIC
EHD2,1,max_variance,METABRIC
EHD3,1,max_variance,METABRIC
EHD4,1,max_variance,METABRIC
EHF,1,max_variance,METABRIC
EHHADH,1,max_variance,METABRIC
EHMT1,1,max_variance,METABRIC
EHMT2,1,max_variance,METABRIC
EI24,1,max_variance,METABRIC
EID1,1,max_variance,METABRIC
EID2,1,max_variance,METABRIC
EID2B,1,max_variance,METABRIC
EID3,1,max_variance,METABRIC
EIF1,1,max_variance,METABRIC
EIF1AD,1,max_variance,METABRIC
EIF1AX,1,max_variance,METABRIC
EIF1AY,1,max_variance,METABRIC
EIF1B,1,max_variance,METABRIC
EIF2A,1,max_variance,METABRIC
EIF2AK1,1,max_variance,METABRIC
EIF2AK2,1,max_variance,METABRIC
EIF2AK3,1,max_variance,METABRIC
