model_id,model_label,covariates,model_role,color
M0,M0: Unadjusted,,Primary univariable,#4DAF4A
M2,M2: Prespecified adjusted,age_5y + tumor_size + grade + clinical_subtype,Primary adjusted,#E41A1C
