cohort,endpoint_original,endpoint_harmonized,signature,model_id,model_label,model_role,parameterization,exposure_variable,sample_mode,formula_text,configured_covariates,raw_median_cutoff,z_median_cutoff,n,events,censored,low_n,high_n,low_events,high_events,n_endpoint_score,excluded_covariate_missing,term,harmonized_variable,display_label,reference_level,comparison_level,estimate,hazard_ratio,conf_low,conf_high,p_value,term_ph_p,model_status,warning_text,p_adjust_model_terms,p_adjust_signature,exposure_coefficient,cox_fdr_supported,significance_value,significance_cutoff,significant,model_color,source_column,source_derivation
METABRIC,RFI,RFI,Fun-CIM,M0,M0: Unadjusted,Primary univariable,median_split,median_group,available,"survival::Surv(time, event) ~ median_group",,0.23083688127430485,-0.03729392320029222,410,220,190,206,204,115,105,410,0,median_groupHigh,median_group,CIM score: High vs Low,Low,High,-0.20380028247827736,0.8156252495754168,0.6252885820242003,1.063900040508359,0.13280857147410213,NA,converged,NA,0.13280857147410213,0.26561714294820427,TRUE,FALSE,0.26561714294820427,0.05,FALSE,#4DAF4A,ssGSEA score,fixed raw-score median within cohort and signature
METABRIC,RFI,RFI,Fun-CIM,M2,M2: Prespecified adjusted,Primary adjusted,median_split,median_group,available,"survival::Surv(time, event) ~ median_group + age_5y + tumor_size + grade + clinical_subtype",age_5y; tumor_size; grade; clinical_subtype,0.23083688127430485,-0.03729392320029222,400,215,185,202,198,112,103,410,10,median_groupHigh,median_group,CIM score: High vs Low,Low,High,-0.16863237267278447,0.8448194250116162,0.6437246790142827,1.1087346565147336,0.2240667640061699,NA,converged,NA,0.29875568534155983,0.4481335280123398,TRUE,FALSE,0.4481335280123398,0.05,FALSE,#E41A1C,ssGSEA score,fixed raw-score median within cohort and signature
SCANB,OS,OS,Dys-CIM,M0,M0: Unadjusted,Primary univariable,median_split,median_group,available,"survival::Surv(time, event) ~ median_group",,0.3886774662091883,-0.05189421448763552,2462,261,2201,1231,1231,130,131,2462,0,median_groupHigh,median_group,CIM score: High vs Low,Low,High,0.13100351292627524,1.1399717859417962,0.8938620031229785,1.4538437344948165,0.29109002380011373,NA,converged,NA,0.29109002380011373,0.29109002380011373,TRUE,FALSE,0.29109002380011373,0.05,FALSE,#4DAF4A,ssGSEA score,fixed raw-score median within cohort and signature
SCANB,OS,OS,Dys-CIM,M2,M2: Prespecified adjusted,Primary adjusted,median_split,median_group,available,"survival::Surv(time, event) ~ median_group + age_5y + tumor_size + grade + clinical_subtype",age_5y; tumor_size; grade; clinical_subtype,0.3886774662091883,-0.05189421448763552,2462,261,2201,1231,1231,130,131,2462,0,median_groupHigh,median_group,CIM score: High vs Low,Low,High,0.22197803562087245,1.2485439540703467,0.9757812825272262,1.5975526823062633,0.07755998403331738,NA,converged,NA,0.1240959744533078,0.13265839870906362,TRUE,FALSE,0.13265839870906362,0.05,FALSE,#E41A1C,ssGSEA score,fixed raw-score median within cohort and signature
SCANB,OS,OS,Fun-CIM,M0,M0: Unadjusted,Primary univariable,median_split,median_group,available,"survival::Surv(time, event) ~ median_group",,0.12885907966821492,-0.055289421812261076,2462,261,2201,1231,1231,126,135,2462,0,median_groupHigh,median_group,CIM score: High vs Low,Low,High,-0.17521219172051802,0.8392789138367459,0.6565048810259159,1.072938093179511,0.162060904759928,NA,converged,NA,0.162060904759928,0.29109002380011373,TRUE,FALSE,0.29109002380011373,0.05,FALSE,#4DAF4A,ssGSEA score,fixed raw-score median within cohort and signature
SCANB,OS,OS,Fun-CIM,M2,M2: Prespecified adjusted,Primary adjusted,median_split,median_group,available,"survival::Surv(time, event) ~ median_group + age_5y + tumor_size + grade + clinical_subtype",age_5y; tumor_size; grade; clinical_subtype,0.12885907966821492,-0.055289421812261076,2462,261,2201,1231,1231,126,135,2462,0,median_groupHigh,median_group,CIM score: High vs Low,Low,High,-0.1913851340568491,0.8258144776175562,0.6434946028663311,1.0597906313511354,0.13265839870906362,NA,converged,NA,0.2122534379345018,0.13265839870906362,TRUE,FALSE,0.13265839870906362,0.05,FALSE,#E41A1C,ssGSEA score,fixed raw-score median within cohort and signature
SCANB,DRFi,DRFi,Dys-CIM,M0,M0: Unadjusted,Primary univariable,median_split,median_group,available,"survival::Surv(time, event) ~ median_group",,0.3886774662091883,-0.05189421448763552,1867,177,1690,982,885,95,82,1867,0,median_groupHigh,median_group,CIM score: High vs Low,Low,High,0.010476284805089718,1.010531353212853,0.7519286140562039,1.3580725573370331,0.9446195732003398,NA,converged,NA,0.9446195732003398,0.9446195732003398,TRUE,FALSE,0.9446195732003398,0.05,FALSE,#4DAF4A,ssGSEA score,fixed raw-score median within cohort and signature
SCANB,DRFi,DRFi,Dys-CIM,M2,M2: Prespecified adjusted,Primary adjusted,median_split,median_group,available,"survival::Surv(time, event) ~ median_group + age_5y + tumor_size + grade + clinical_subtype",age_5y; tumor_size; grade; clinical_subtype,0.3886774662091883,-0.05189421448763552,1867,177,1690,982,885,95,82,1867,0,median_groupHigh,median_group,CIM score: High vs Low,Low,High,-0.008767302307703683,0.9912710184156122,0.7335694168369404,1.3395027238017254,0.954484738456316,NA,converged,NA,0.954484738456316,0.954484738456316,TRUE,FALSE,0.954484738456316,0.05,FALSE,#E41A1C,ssGSEA score,fixed raw-score median within cohort and signature
SCANB,DRFi,DRFi,Fun-CIM,M0,M0: Unadjusted,Primary univariable,median_split,median_group,available,"survival::Surv(time, event) ~ median_group",,0.12885907966821492,-0.055289421812261076,1867,177,1690,808,1059,77,100,1867,0,median_groupHigh,median_group,CIM score: High vs Low,Low,High,-0.1313141589852168,0.8769422318295788,0.6511099834294073,1.181102574891819,0.3873957154299034,NA,converged,NA,0.3873957154299034,0.7747914308598068,TRUE,FALSE,0.7747914308598068,0.05,FALSE,#4DAF4A,ssGSEA score,fixed raw-score median within cohort and signature
SCANB,DRFi,DRFi,Fun-CIM,M2,M2: Prespecified adjusted,Primary adjusted,median_split,median_group,available,"survival::Surv(time, event) ~ median_group + age_5y + tumor_size + grade + clinical_subtype",age_5y; tumor_size; grade; clinical_subtype,0.12885907966821492,-0.055289421812261076,1867,177,1690,808,1059,77,100,1867,0,median_groupHigh,median_group,CIM score: High vs Low,Low,High,-0.08518063973461104,0.9183463795711195,0.6786481103407085,1.2427059915454302,0.580978930026219,NA,converged,NA,0.580978930026219,0.954484738456316,TRUE,FALSE,0.954484738456316,0.05,FALSE,#E41A1C,ssGSEA score,fixed raw-score median within cohort and signature
SCANB,RFi,RFI,Dys-CIM,M0,M0: Unadjusted,Primary univariable,median_split,median_group,available,"survival::Surv(time, event) ~ median_group",,0.3886774662091883,-0.05189421448763552,1866,214,1652,981,885,110,104,1866,0,median_groupHigh,median_group,CIM score: High vs Low,Low,High,0.1055370243417925,1.1113072491806006,0.8498528586244846,1.453197208844186,0.44060937754384877,NA,converged,NA,0.44060937754384877,0.44060937754384877,TRUE,FALSE,0.44060937754384877,0.05,FALSE,#4DAF4A,ssGSEA score,fixed raw-score median within cohort and signature
SCANB,RFi,RFI,Dys-CIM,M2,M2: Prespecified adjusted,Primary adjusted,median_split,median_group,available,"survival::Surv(time, event) ~ median_group + age_5y + tumor_size + grade + clinical_subtype",age_5y; tumor_size; grade; clinical_subtype,0.3886774662091883,-0.05189421448763552,1866,214,1652,981,885,110,104,1866,0,median_groupHigh,median_group,CIM score: High vs Low,Low,High,0.10738581252320112,1.1133637212937137,0.8471408483392204,1.4632499168504525,0.44118864768433347,NA,converged,NA,0.5882515302457779,0.44118864768433347,TRUE,FALSE,0.44118864768433347,0.05,FALSE,#E41A1C,ssGSEA score,fixed raw-score median within cohort and signature
SCANB,RFi,RFI,Fun-CIM,M0,M0: Unadjusted,Primary univariable,median_split,median_group,available,"survival::Surv(time, event) ~ median_group",,0.12885907966821492,-0.055289421812261076,1866,214,1652,807,1059,96,118,1866,0,median_groupHigh,median_group,CIM score: High vs Low,Low,High,-0.19129961657330088,0.8258851022133356,0.6304848100615784,1.0818439892173033,0.16488146843790372,NA,converged,NA,0.16488146843790372,0.32976293687580743,TRUE,FALSE,0.32976293687580743,0.05,FALSE,#4DAF4A,ssGSEA score,fixed raw-score median within cohort and signature
SCANB,RFi,RFI,Fun-CIM,M2,M2: Prespecified adjusted,Primary adjusted,median_split,median_group,available,"survival::Surv(time, event) ~ median_group + age_5y + tumor_size + grade + clinical_subtype",age_5y; tumor_size; grade; clinical_subtype,0.12885907966821492,-0.055289421812261076,1866,214,1652,807,1059,96,118,1866,0,median_groupHigh,median_group,CIM score: High vs Low,Low,High,-0.1685716185063371,0.8448707528707562,0.6422863863375295,1.1113525122752392,0.22814091515340928,NA,converged,NA,0.3650254642454549,0.44118864768433347,TRUE,FALSE,0.44118864768433347,0.05,FALSE,#E41A1C,ssGSEA score,fixed raw-score median within cohort and signature
METABRIC,OS,OS,Dys-CIM,M0,M0: Unadjusted,Primary univariable,median_split,median_group,common,"survival::Surv(time, event) ~ median_group",,0.7514332257467629,-0.01821328144254894,402,216,186,199,203,100,116,412,0,median_groupHigh,median_group,CIM score: High vs Low,Low,High,0.12982310428633534,1.1386269472821235,0.8708427554385834,1.4887547918155037,0.3426099562521747,NA,converged,NA,0.3426099562521747,0.3426099562521747,TRUE,FALSE,0.3426099562521747,0.05,FALSE,#4DAF4A,ssGSEA score,fixed raw-score median within cohort and signature
METABRIC,OS,OS,Dys-CIM,M2,M2: Prespecified adjusted,Primary adjusted,median_split,median_group,common,"survival::Surv(time, event) ~ median_group + age_5y + tumor_size + grade + clinical_subtype",age_5y; tumor_size; grade; clinical_subtype,0.7514332257467629,-0.01821328144254894,402,216,186,199,203,100,116,412,10,median_groupHigh,median_group,CIM score: High vs Low,Low,High,0.047062290056874984,1.0481872986926388,0.7951520045747152,1.3817441279396714,0.7384848593881725,NA,converged,NA,0.7384848593881725,0.7384848593881725,TRUE,FALSE,0.7384848593881725,0.05,FALSE,#E41A1C,ssGSEA score,fixed raw-score median within cohort and signature
METABRIC,OS,OS,Fun-CIM,M0,M0: Unadjusted,Primary univariable,median_split,median_group,common,"survival::Surv(time, event) ~ median_group",,0.23083688127430485,-0.03729392320029222,402,216,186,202,200,120,96,412,0,median_groupHigh,median_group,CIM score: High vs Low,Low,High,-0.3719727194601668,0.6893730487366154,0.5260153523939588,0.9034626045828581,0.0070244603295510685,NA,converged,NA,0.0070244603295510685,0.014048920659102137,TRUE,TRUE,0.014048920659102137,0.05,TRUE,#4DAF4A,ssGSEA score,fixed raw-score median within cohort and signature
METABRIC,OS,OS,Fun-CIM,M2,M2: Prespecified adjusted,Primary adjusted,median_split,median_group,common,"survival::Surv(time, event) ~ median_group + age_5y + tumor_size + grade + clinical_subtype",age_5y; tumor_size; grade; clinical_subtype,0.23083688127430485,-0.03729392320029222,402,216,186,202,200,120,96,412,10,median_groupHigh,median_group,CIM score: High vs Low,Low,High,-0.3764131510134019,0.6863187211838981,0.5218033767767392,0.9027028340773644,0.007101704805396846,NA,converged,NA,0.018937879481058253,0.014203409610793692,TRUE,TRUE,0.014203409610793692,0.05,TRUE,#E41A1C,ssGSEA score,fixed raw-score median within cohort and signature
