cohort,endpoint_original,endpoint_harmonized,signature,model_id,variable,variable_type,level,reference_level,n_model,events_model,level_n,level_events,mean,sd,minimum,maximum
METABRIC,RFI,RFI,Dys-CIM,M2,grade,categorical,1-2,1-2,400,215,81,40,NA,NA,NA,NA
METABRIC,RFI,RFI,Dys-CIM,M2,grade,categorical,3,1-2,400,215,319,175,NA,NA,NA,NA
METABRIC,RFI,RFI,Dys-CIM,M2,clinical_subtype,categorical,HR+/HER2-,HR+/HER2-,400,215,140,75,NA,NA,NA,NA
METABRIC,RFI,RFI,Dys-CIM,M2,clinical_subtype,categorical,HR+/HER2+,HR+/HER2-,400,215,26,15,NA,NA,NA,NA
METABRIC,RFI,RFI,Dys-CIM,M2,clinical_subtype,categorical,HR-/HER2+,HR+/HER2-,400,215,74,45,NA,NA,NA,NA
METABRIC,RFI,RFI,Dys-CIM,M2,clinical_subtype,categorical,HR-/HER2-,HR+/HER2-,400,215,160,80,NA,NA,NA,NA
METABRIC,RFI,RFI,Fun-CIM,M2,age_5y,continuous,NA,per 5-year increase,400,215,400,NA,10.102265,2.20174902900895,4.386,17.247999999999998
METABRIC,RFI,RFI,Fun-CIM,M2,tumor_size,categorical,≤20 mm,≤20 mm,400,215,118,56,NA,NA,NA,NA
METABRIC,RFI,RFI,Fun-CIM,M2,tumor_size,categorical,21-50 mm,≤20 mm,400,215,237,133,NA,NA,NA,NA
METABRIC,RFI,RFI,Fun-CIM,M2,tumor_size,categorical,>50 mm,≤20 mm,400,215,45,26,NA,NA,NA,NA
METABRIC,RFI,RFI,Fun-CIM,M2,grade,categorical,1-2,1-2,400,215,81,40,NA,NA,NA,NA
METABRIC,RFI,RFI,Fun-CIM,M2,grade,categorical,3,1-2,400,215,319,175,NA,NA,NA,NA
METABRIC,RFI,RFI,Fun-CIM,M2,clinical_subtype,categorical,HR+/HER2-,HR+/HER2-,400,215,140,75,NA,NA,NA,NA
METABRIC,RFI,RFI,Fun-CIM,M2,clinical_subtype,categorical,HR+/HER2+,HR+/HER2-,400,215,26,15,NA,NA,NA,NA
METABRIC,RFI,RFI,Fun-CIM,M2,clinical_subtype,categorical,HR-/HER2+,HR+/HER2-,400,215,74,45,NA,NA,NA,NA
METABRIC,RFI,RFI,Fun-CIM,M2,clinical_subtype,categorical,HR-/HER2-,HR+/HER2-,400,215,160,80,NA,NA,NA,NA
SCANB,OS,OS,Dys-CIM,M2,age_5y,continuous,NA,per 5-year increase,2462,261,2462,NA,11.755077173030056,2.330766218284858,5,17
SCANB,OS,OS,Dys-CIM,M2,tumor_size,categorical,≤20 mm,≤20 mm,2462,261,1414,109,NA,NA,NA,NA
SCANB,OS,OS,Dys-CIM,M2,tumor_size,categorical,21-50 mm,≤20 mm,2462,261,962,132,NA,NA,NA,NA
SCANB,OS,OS,Dys-CIM,M2,tumor_size,categorical,>50 mm,≤20 mm,2462,261,86,20,NA,NA,NA,NA
SCANB,OS,OS,Dys-CIM,M2,grade,categorical,1-2,1-2,2462,261,1002,88,NA,NA,NA,NA
SCANB,OS,OS,Dys-CIM,M2,grade,categorical,3,1-2,2462,261,1460,173,NA,NA,NA,NA
SCANB,OS,OS,Dys-CIM,M2,clinical_subtype,categorical,HR+/HER2-,HR+/HER2-,2462,261,1454,125,NA,NA,NA,NA
SCANB,OS,OS,Dys-CIM,M2,clinical_subtype,categorical,HR+/HER2+,HR+/HER2-,2462,261,419,33,NA,NA,NA,NA
SCANB,OS,OS,Dys-CIM,M2,clinical_subtype,categorical,HR-/HER2+,HR+/HER2-,2462,261,173,23,NA,NA,NA,NA
SCANB,OS,OS,Dys-CIM,M2,clinical_subtype,categorical,HR-/HER2-,HR+/HER2-,2462,261,416,80,NA,NA,NA,NA
