cohort,endpoint_original,endpoint_harmonized,signature,model_id,model_label,model_role,parameterization,exposure_variable,sample_mode,formula_text,configured_covariates,raw_median_cutoff,z_median_cutoff,n,events,censored,low_n,high_n,low_events,high_events,n_endpoint_score,excluded_covariate_missing,term,harmonized_variable,display_label,reference_level,comparison_level,estimate,hazard_ratio,conf_low,conf_high,p_value,term_ph_p,model_status,warning_text,p_adjust_model_terms,p_adjust_signature,exposure_coefficient,cox_fdr_supported,significance_value,significance_cutoff,significant,model_color,source_column,source_derivation
SCANB,RFi,RFI,Fun-CIM,M0,M0: Unadjusted,Primary univariable,continuous,cim_z,available,"survival::Surv(time, event) ~ cim_z",,0.12885907966821492,-0.055289421812261076,1866,214,1652,807,1059,96,118,1866,0,cim_z,cim_z,CIM score (per 1 SD),per 1-SD increase,+1 SD,-0.14944116997661752,0.8611891003043624,0.7464611625030664,0.9935502390989974,0.04049446527808786,0.6832217925462876,converged,NA,0.04049446527808786,0.08098893055617572,TRUE,FALSE,0.08098893055617572,0.05,FALSE,#4DAF4A,ssGSEA score,within-cohort z standardization
SCANB,RFi,RFI,Fun-CIM,M2,M2: Prespecified adjusted,Primary adjusted,continuous,cim_z,available,"survival::Surv(time, event) ~ cim_z + age_5y + tumor_size + grade + clinical_subtype",age_5y; tumor_size; grade; clinical_subtype,0.12885907966821492,-0.055289421812261076,1866,214,1652,807,1059,96,118,1866,0,cim_z,cim_z,CIM score (per 1 SD),per 1-SD increase,+1 SD,-0.13843577182220873,0.8707191741791092,0.7520633492461386,1.0080957688512735,0.06401300360510795,0.6466907740356432,converged,NA,0.10242080576817272,0.1280260072102159,TRUE,FALSE,0.1280260072102159,0.05,FALSE,#E41A1C,ssGSEA score,within-cohort z standardization
METABRIC,OS,OS,Dys-CIM,M0,M0: Unadjusted,Primary univariable,continuous,cim_z,common,"survival::Surv(time, event) ~ cim_z",,0.7514332257467629,-0.01821328144254894,402,216,186,199,203,100,116,412,0,cim_z,cim_z,CIM score (per 1 SD),per 1-SD increase,+1 SD,0.05416267631563165,1.0556563184680745,0.9248927167912296,1.2049075990000662,0.4221145726976488,0.23044620471532223,converged,NA,0.4221145726976488,0.4221145726976488,TRUE,FALSE,0.4221145726976488,0.05,FALSE,#4DAF4A,ssGSEA score,within-cohort z standardization
METABRIC,OS,OS,Dys-CIM,M2,M2: Prespecified adjusted,Primary adjusted,continuous,cim_z,common,"survival::Surv(time, event) ~ cim_z + age_5y + tumor_size + grade + clinical_subtype",age_5y; tumor_size; grade; clinical_subtype,0.7514332257467629,-0.01821328144254894,402,216,186,199,203,100,116,412,10,cim_z,cim_z,CIM score (per 1 SD),per 1-SD increase,+1 SD,0.0371789115917829,1.0378786927572312,0.9064949089685669,1.1883047220917282,0.5903134388478849,0.273959304977722,converged,NA,0.5903134388478849,0.5903134388478849,TRUE,FALSE,0.5903134388478849,0.05,FALSE,#E41A1C,ssGSEA score,within-cohort z standardization
METABRIC,OS,OS,Fun-CIM,M0,M0: Unadjusted,Primary univariable,continuous,cim_z,common,"survival::Surv(time, event) ~ cim_z",,0.23083688127430485,-0.03729392320029222,402,216,186,202,200,120,96,412,0,cim_z,cim_z,CIM score (per 1 SD),per 1-SD increase,+1 SD,-0.1289146267752194,0.8790490095908505,0.7681877459278835,1.00590925246964,0.06088885768723045,0.3324169491188355,converged,NA,0.06088885768723045,0.1217777153744609,TRUE,FALSE,0.1217777153744609,0.05,FALSE,#4DAF4A,ssGSEA score,within-cohort z standardization
METABRIC,OS,OS,Fun-CIM,M2,M2: Prespecified adjusted,Primary adjusted,continuous,cim_z,common,"survival::Surv(time, event) ~ cim_z + age_5y + tumor_size + grade + clinical_subtype",age_5y; tumor_size; grade; clinical_subtype,0.23083688127430485,-0.03729392320029222,402,216,186,202,200,120,96,412,10,cim_z,cim_z,CIM score (per 1 SD),per 1-SD increase,+1 SD,-0.1419120037701433,0.8676976072446685,0.7580520106571822,0.9932024808764877,0.03950170011527509,0.3580073466012612,converged,NA,0.09261882089375638,0.07900340023055018,TRUE,FALSE,0.07900340023055018,0.05,FALSE,#E41A1C,ssGSEA score,within-cohort z standardization
METABRIC,DSS,DSS,Dys-CIM,M0,M0: Unadjusted,Primary univariable,continuous,cim_z,common,"survival::Surv(time, event) ~ cim_z",,0.7514332257467629,-0.01821328144254894,402,195,207,199,203,90,105,412,0,cim_z,cim_z,CIM score (per 1 SD),per 1-SD increase,+1 SD,0.0715675894514595,1.074190752211443,0.9338924960963881,1.2355659532116978,0.3162454724157868,0.1961158039594769,converged,NA,0.3162454724157868,0.3162454724157868,TRUE,FALSE,0.3162454724157868,0.05,FALSE,#4DAF4A,ssGSEA score,within-cohort z standardization
METABRIC,DSS,DSS,Dys-CIM,M2,M2: Prespecified adjusted,Primary adjusted,continuous,cim_z,common,"survival::Surv(time, event) ~ cim_z + age_5y + tumor_size + grade + clinical_subtype",age_5y; tumor_size; grade; clinical_subtype,0.7514332257467629,-0.01821328144254894,402,195,207,199,203,90,105,412,10,cim_z,cim_z,CIM score (per 1 SD),per 1-SD increase,+1 SD,0.04597557255610821,1.0470488339179052,0.9069589499222186,1.208777156565758,0.5304212172931696,0.17346360407029285,converged,NA,0.5304212172931696,0.5304212172931696,TRUE,FALSE,0.5304212172931696,0.05,FALSE,#E41A1C,ssGSEA score,within-cohort z standardization
METABRIC,DSS,DSS,Fun-CIM,M0,M0: Unadjusted,Primary univariable,continuous,cim_z,common,"survival::Surv(time, event) ~ cim_z",,0.23083688127430485,-0.03729392320029222,402,195,207,202,200,107,88,412,0,cim_z,cim_z,CIM score (per 1 SD),per 1-SD increase,+1 SD,-0.09859416382730306,0.9061103657769825,0.7861338901996189,1.0443971506685912,0.17366337689740152,0.6427764336788994,converged,NA,0.17366337689740152,0.3162454724157868,TRUE,FALSE,0.3162454724157868,0.05,FALSE,#4DAF4A,ssGSEA score,within-cohort z standardization
METABRIC,DSS,DSS,Fun-CIM,M2,M2: Prespecified adjusted,Primary adjusted,continuous,cim_z,common,"survival::Surv(time, event) ~ cim_z + age_5y + tumor_size + grade + clinical_subtype",age_5y; tumor_size; grade; clinical_subtype,0.23083688127430485,-0.03729392320029222,402,195,207,202,200,107,88,412,10,cim_z,cim_z,CIM score (per 1 SD),per 1-SD increase,+1 SD,-0.11580354370696043,0.8906501799439897,0.7724262139723436,1.0269689566266629,0.11099758640135274,0.7300956693027864,converged,NA,0.21186476950008162,0.22199517280270548,TRUE,FALSE,0.22199517280270548,0.05,FALSE,#E41A1C,ssGSEA score,within-cohort z standardization
