cohort,endpoint_original,endpoint_harmonized,signature,model_id,model_label,model_role,parameterization,exposure_variable,sample_mode,formula_text,configured_covariates,raw_median_cutoff,z_median_cutoff,n,events,censored,low_n,high_n,low_events,high_events,n_endpoint_score,excluded_covariate_missing,term,harmonized_variable,display_label,reference_level,comparison_level,estimate,hazard_ratio,conf_low,conf_high,p_value,term_ph_p,model_status,warning_text,p_adjust_model_terms,p_adjust_signature,exposure_coefficient,cox_fdr_supported,significance_value,significance_cutoff,significant,model_color,source_column,source_derivation
METABRIC,DSS,DSS,Dys-CIM,M0,M0: Unadjusted,Primary univariable,median_split,median_group,available,"survival::Surv(time, event) ~ median_group",,0.7514332257467629,-0.01821328144254894,412,200,212,206,206,93,107,412,0,median_groupHigh,median_group,CIM score: High vs Low,Low,High,0.1715624534638995,1.1871582825640623,0.8989755504425508,1.5677231568385332,0.2265531623380097,NA,converged,NA,0.2265531623380097,0.2265531623380097,TRUE,FALSE,0.2265531623380097,0.05,FALSE,#4DAF4A,ssGSEA score,fixed raw-score median within cohort and signature
METABRIC,DSS,DSS,Dys-CIM,M2,M2: Prespecified adjusted,Primary adjusted,median_split,median_group,available,"survival::Surv(time, event) ~ median_group + age_5y + tumor_size + grade + clinical_subtype",age_5y; tumor_size; grade; clinical_subtype,0.7514332257467629,-0.01821328144254894,402,195,207,199,203,90,105,412,10,median_groupHigh,median_group,CIM score: High vs Low,Low,High,0.07500337686903084,1.0778877907643851,0.8062866731061288,1.4409789076669977,0.6126091830927322,NA,converged,NA,0.6126091830927322,0.6126091830927322,TRUE,FALSE,0.6126091830927322,0.05,FALSE,#E41A1C,ssGSEA score,fixed raw-score median within cohort and signature
METABRIC,DSS,DSS,Fun-CIM,M0,M0: Unadjusted,Primary univariable,continuous,cim_z,available,"survival::Surv(time, event) ~ cim_z",,0.23083688127430485,-0.03729392320029222,412,200,212,206,206,110,90,412,0,cim_z,cim_z,CIM score (per 1 SD),per 1-SD increase,+1 SD,-0.12087546213390032,0.886144311242832,0.7704666868972929,1.019189737469741,0.09033448295927231,0.6701727816058024,converged,NA,0.09033448295927231,0.17834538234768832,TRUE,FALSE,0.17834538234768832,0.05,FALSE,#4DAF4A,ssGSEA score,within-cohort z standardization
METABRIC,DSS,DSS,Fun-CIM,M2,M2: Prespecified adjusted,Primary adjusted,continuous,cim_z,available,"survival::Surv(time, event) ~ cim_z + age_5y + tumor_size + grade + clinical_subtype",age_5y; tumor_size; grade; clinical_subtype,0.23083688127430485,-0.03729392320029222,402,195,207,202,200,107,88,412,10,cim_z,cim_z,CIM score (per 1 SD),per 1-SD increase,+1 SD,-0.11580354370696043,0.8906501799439897,0.7724262139723436,1.0269689566266629,0.11099758640135274,0.7300956693027864,converged,NA,0.21186476950008162,0.22199517280270548,TRUE,FALSE,0.22199517280270548,0.05,FALSE,#E41A1C,ssGSEA score,within-cohort z standardization
METABRIC,DSS,DSS,Fun-CIM,M0,M0: Unadjusted,Primary univariable,median_split,median_group,available,"survival::Surv(time, event) ~ median_group",,0.23083688127430485,-0.03729392320029222,412,200,212,206,206,110,90,412,0,median_groupHigh,median_group,CIM score: High vs Low,Low,High,-0.3372881315017256,0.7137031699080089,0.5395266495021209,0.9441094618899595,0.018133904786719782,NA,converged,NA,0.018133904786719782,0.036267809573439565,TRUE,TRUE,0.036267809573439565,0.05,TRUE,#4DAF4A,ssGSEA score,fixed raw-score median within cohort and signature
METABRIC,DSS,DSS,Fun-CIM,M2,M2: Prespecified adjusted,Primary adjusted,median_split,median_group,available,"survival::Surv(time, event) ~ median_group + age_5y + tumor_size + grade + clinical_subtype",age_5y; tumor_size; grade; clinical_subtype,0.23083688127430485,-0.03729392320029222,402,195,207,202,200,107,88,412,10,median_groupHigh,median_group,CIM score: High vs Low,Low,High,-0.3296962937188379,0.7191421082446685,0.5399441126276936,0.9578127805371337,0.024149789187623266,NA,converged,NA,0.06439943783366203,0.04829957837524653,TRUE,TRUE,0.04829957837524653,0.05,TRUE,#E41A1C,ssGSEA score,fixed raw-score median within cohort and signature
METABRIC,RFI,RFI,Dys-CIM,M0,M0: Unadjusted,Primary univariable,continuous,cim_z,available,"survival::Surv(time, event) ~ cim_z",,0.7514332257467629,-0.01821328144254894,410,220,190,204,206,106,114,410,0,cim_z,cim_z,CIM score (per 1 SD),per 1-SD increase,+1 SD,0.028166079258228255,1.0285664937974135,0.9039876483574316,1.170313592320675,0.6689484563401943,0.03827776643842803,converged,NA,0.6689484563401943,0.6689484563401943,TRUE,FALSE,0.6689484563401943,0.05,FALSE,#4DAF4A,ssGSEA score,within-cohort z standardization
METABRIC,RFI,RFI,Dys-CIM,M2,M2: Prespecified adjusted,Primary adjusted,continuous,cim_z,available,"survival::Surv(time, event) ~ cim_z + age_5y + tumor_size + grade + clinical_subtype",age_5y; tumor_size; grade; clinical_subtype,0.7514332257467629,-0.01821328144254894,400,215,185,197,203,103,112,410,10,cim_z,cim_z,CIM score (per 1 SD),per 1-SD increase,+1 SD,-0.010780897641966646,0.9892770079567559,0.8636198575104651,1.1332173408947024,0.8763877604025772,0.026359375539283445,converged,NA,0.8763877604025772,0.8763877604025772,TRUE,FALSE,0.8763877604025772,0.05,FALSE,#E41A1C,ssGSEA score,within-cohort z standardization
METABRIC,RFI,RFI,Dys-CIM,M0,M0: Unadjusted,Primary univariable,median_split,median_group,available,"survival::Surv(time, event) ~ median_group",,0.7514332257467629,-0.01821328144254894,410,220,190,204,206,106,114,410,0,median_groupHigh,median_group,CIM score: High vs Low,Low,High,0.09660032295060221,1.1014200733128585,0.8453887846048401,1.4349920415179793,0.47420394396151594,NA,converged,NA,0.47420394396151594,0.47420394396151594,TRUE,FALSE,0.47420394396151594,0.05,FALSE,#4DAF4A,ssGSEA score,fixed raw-score median within cohort and signature
METABRIC,RFI,RFI,Dys-CIM,M2,M2: Prespecified adjusted,Primary adjusted,median_split,median_group,available,"survival::Surv(time, event) ~ median_group + age_5y + tumor_size + grade + clinical_subtype",age_5y; tumor_size; grade; clinical_subtype,0.7514332257467629,-0.01821328144254894,400,215,185,197,203,103,112,410,10,median_groupHigh,median_group,CIM score: High vs Low,Low,High,0.012727601714011095,1.0128089423608335,0.7693734040163103,1.3332693180856618,0.9276973683396662,NA,converged,NA,0.9276973683396662,0.9276973683396662,TRUE,FALSE,0.9276973683396662,0.05,FALSE,#E41A1C,ssGSEA score,fixed raw-score median within cohort and signature
METABRIC,RFI,RFI,Fun-CIM,M0,M0: Unadjusted,Primary univariable,continuous,cim_z,available,"survival::Surv(time, event) ~ cim_z",,0.23083688127430485,-0.03729392320029222,410,220,190,206,204,115,105,410,0,cim_z,cim_z,CIM score (per 1 SD),per 1-SD increase,+1 SD,-0.09862292337795418,0.906084306824746,0.79367399893762125,1.0344156066256698,0.14448433556933293,0.76231608274084806,converged,NA,0.14448433556933293,0.28896867113866587,TRUE,FALSE,0.28896867113866587,0.05,FALSE,#4DAF4A,ssGSEA score,within-cohort z standardization
METABRIC,RFI,RFI,Fun-CIM,M2,M2: Prespecified adjusted,Primary adjusted,continuous,cim_z,available,"survival::Surv(time, event) ~ cim_z + age_5y + tumor_size + grade + clinical_subtype",age_5y; tumor_size; grade; clinical_subtype,0.23083688127430485,-0.03729392320029222,400,215,185,202,198,112,103,410,10,cim_z,cim_z,CIM score (per 1 SD),per 1-SD increase,+1 SD,-0.08009321975726807,0.9230302977156759,0.80626420383302555,1.056706879023904,0.24578051122614508,0.8410545937384333,converged,NA,0.32770734830152676,0.49156102245229016,TRUE,FALSE,0.49156102245229016,0.05,FALSE,#E41A1C,ssGSEA score,within-cohort z standardization
METABRIC,RFI,RFI,Fun-CIM,M0,M0: Unadjusted,Primary univariable,median_split,median_group,available,"survival::Surv(time, event) ~ median_group",,0.23083688127430485,-0.03729392320029222,410,220,190,206,204,115,105,410,0,median_groupHigh,median_group,CIM score: High vs Low,Low,High,-0.20380028247827736,0.8156252495754168,0.6252885820242003,1.063900040508359,0.13280857147410213,NA,converged,NA,0.13280857147410213,0.26561714294820427,TRUE,FALSE,0.26561714294820427,0.05,FALSE,#4DAF4A,ssGSEA score,fixed raw-score median within cohort and signature
METABRIC,RFI,RFI,Fun-CIM,M2,M2: Prespecified adjusted,Primary adjusted,median_split,median_group,available,"survival::Surv(time, event) ~ median_group + age_5y + tumor_size + grade + clinical_subtype",age_5y; tumor_size; grade; clinical_subtype,0.23083688127430485,-0.03729392320029222,400,215,185,202,198,112,103,410,10,median_groupHigh,median_group,CIM score: High vs Low,Low,High,-0.16863237267278447,0.8448194250116162,0.6437246790142827,1.1087346565147336,0.2240667640061699,NA,converged,NA,0.29875568534155983,0.4481335280123398,TRUE,FALSE,0.4481335280123398,0.05,FALSE,#E41A1C,ssGSEA score,fixed raw-score median within cohort and signature
SCANB,OS,OS,Dys-CIM,M0,M0: Unadjusted,Primary univariable,continuous,cim_z,available,"survival::Surv(time, event) ~ cim_z",,0.3886774662091883,-0.05189421448763552,2462,261,2201,1231,1231,130,131,2462,0,cim_z,cim_z,CIM score (per 1 SD),per 1-SD increase,+1 SD,0.09595475248809968,1.100709258511927,0.9751512758583993,1.242433765681506,0.12047736960188131,0.8230292855191512,converged,NA,0.12047736960188131,0.12047736960188131,TRUE,FALSE,0.12047736960188131,0.05,FALSE,#4DAF4A,ssGSEA score,within-cohort z standardization
