scope,cim,cim_class,rho_threshold,gene,n_scope_datasets,k_datasets,all_datasets_contributed,k_concordant,direction_concordant,nki_smc,nki_smc_dir,neo,neo_dir,tnbc_cl,tnbc_cl_dir,fisher_stat,fisher_p,fisher_padj,fisher_sig,stouffer_Z,stouffer_p,stouffer_padj,stouffer_sig,mean_abs_rrb,rank_in_list,in_ora_universe,used_in_ora,analysis_label
"NKI.TNBCCL","Dys","Dys_only",0.3,"ATP5F1C",2,2,"YES",2,"YES","YES","Dys","NO",NA,"YES","Dys",54.1471401007271,4.90225125154051e-11,1.55891589798988e-07,"YES",6.62111019600298,1.78255533888137e-11,5.66852597764275e-08,"YES",0.702,1,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Dys-CIM | rho>=0.3 | all genes"
"NKI.TNBCCL","Dys","Dys_only",0.3,"HMGA1",2,2,"YES",2,"YES","YES","Dys","NO",NA,"YES","Dys",45.2354828809209,3.55204176079807e-09,1.75060424518983e-06,"YES",5.78054262029807,3.7230035498226e-09,5.91957564421793e-06,"YES",0.671,2,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Dys-CIM | rho>=0.3 | all genes"
"NKI.TNBCCL","Dys","Dys_only",0.3,"OLA1",2,2,"YES",2,"YES","YES","Dys","NO",NA,"YES","Dys",45.0653306879811,3.85353135733611e-09,1.75060424518983e-06,"YES",5.67613699556279,6.88852294814264e-09,7.3018343250312e-06,"YES",0.672,3,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Dys-CIM | rho>=0.3 | all genes"
"NKI.TNBCCL","Dys","Dys_only",0.3,"RAC3",2,2,"YES",2,"YES","YES","Dys","NO",NA,"YES","Dys",42.3508731111364,1.4109022639096e-08,4.48666919923254e-06,"YES",5.55773694304152,1.36647425270261e-08,8.6907762471886e-06,"YES",0.651,4,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Dys-CIM | rho>=0.3 | all genes"
"NKI.TNBCCL","Dys","Dys_only",0.3,"NTHL1",2,2,"YES",2,"YES","YES","Dys","NO",NA,"YES","Dys",40.1056412619603,4.11605286160554e-08,1.09075400832547e-05,"YES",5.55861914542109,1.35958654865075e-08,8.6907762471886e-06,"YES",0.604,5,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Dys-CIM | rho>=0.3 | all genes"
"NKI.TNBCCL","Dys","Dys_only",0.3,"DAP3",2,2,"YES",2,"YES","YES","Dys","NO",NA,"YES","Dys",51.2331617935945,1.99531991667015e-10,3.17255866750554e-07,"YES",5.44396025698612,2.60544254873901e-08,1.38088455083167e-05,"YES",0.681,6,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Dys-CIM | rho>=0.3 | all genes"
"NKI.TNBCCL","Dys","Dys_only",0.3,"YWHAE",2,2,"YES",2,"YES","YES","Dys","NO",NA,"YES","Dys",45.1489308298716,3.70233823087776e-09,1.75060424518983e-06,"YES",5.33786225211591,4.70244328370096e-08,2.13625280602415e-05,"YES",0.664,7,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Dys-CIM | rho>=0.3 | all genes"
"NKI.TNBCCL","Dys","Dys_only",0.3,"PSMD14",2,2,"YES",2,"YES","YES","Dys","NO",NA,"YES","Dys",44.2573331098932,5.67273920804675e-09,2.25491383519858e-06,"YES",5.09528280977579,1.74110515478692e-07,5.13162859375334e-05,"YES",0.649,8,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Dys-CIM | rho>=0.3 | all genes"
"NKI.TNBCCL","Dys","Dys_only",0.3,"TRAP1",2,2,"YES",2,"YES","YES","Dys","NO",NA,"YES","Dys",45.6575329169962,2.9019789592162e-09,1.75060424518983e-06,"YES",4.97605872144375,3.24459844309786e-07,5.13162859375334e-05,"YES",0.643,9,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Dys-CIM | rho>=0.3 | all genes"
"NKI.TNBCCL","Dys","Dys_only",0.3,"BZW2",2,2,"YES",2,"YES","YES","Dys","NO",NA,"YES","Dys",39.3066746562987,6.02080117555438e-08,1.318611867e-05,"YES",5.00903178531545,2.7352269498736e-07,5.13162859375334e-05,"YES",0.629,10,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Dys-CIM | rho>=0.3 | all genes"
"NKI.TNBCCL","Dys","Dys_only",0.3,"SNHG16",2,2,"YES",2,"YES","YES","Dys","NO",NA,"YES","Dys",37.3621323488248,1.51692694586872e-07,2.67990427103474e-05,"YES",4.96762969970062,3.38881133549749e-07,5.13162859375334e-05,"YES",0.617,11,FALSE,FALSE,"NKI.TNBCCL | k_all_concordant | Dys-CIM | rho>=0.3 | all genes"
