gene_id,H_value,p_value.x,stat_test_adj_p,cluster1_mean,cluster1_sd,cluster1_sem,cluster1_penetrance,cluster2_mean,cluster2_sd,cluster2_sem,cluster2_penetrance,cluster1_cluster2_differential,cluster2_cluster1_differential,cluster1_cluster2_sd,cluster2_cluster1_sd,limma_test,r_rb,p_value.y,padj,trajectory
BAD,245,6.43496347316995e-05,0.00178191213662806,0.541827128746509,0.413412317365204,0.124648503673792,0.909090909090909,-0.110530934633569,0.397241749972132,0.0794483499944264,0.32,0.652358063380078,-0.652358063380078,0.573333020216166,0.573333020216166,limma_2grp(mod_t),-0.604461046218693,6.43496347316995e-05,0.00178191213662806,Dys-CIM
NDUFAB1,260,3.29515357313925e-06,0.000354098729418615,0.456384875362869,0.242499733572074,0.0731164207290654,1,-0.262708944943117,0.404350044193488,0.0808700088386975,0.28,0.719093820305986,-0.719093820305986,0.471492395507926,0.471492395507926,limma_2grp(mod_t),-0.678135336811256,3.29515357313925e-06,0.000354098729418615,Dys-CIM
CCDC124,248,1.64346516727216e-05,0.000788781746970693,0.576206526495111,0.500029865451816,0.150764677061415,0.909090909090909,-0.159681812048164,0.371989791259764,0.0743979582519527,0.44,0.735888338543275,-0.735888338543275,0.623222489280709,0.623222489280709,limma_2grp(mod_t),-0.640716309221603,1.64346516727216e-05,0.000788781746970693,Dys-CIM
RPUSD1,248,1.19530988967834e-05,0.000690928306722268,0.548291082977954,0.399460026762131,0.12044172977412,0.818181818181818,-0.155855188717062,0.382397674087967,0.0764795348175933,0.36,0.704146271695016,-0.704146271695016,0.552988511751093,0.552988511751093,limma_2grp(mod_t),-0.648549591947218,1.19530988967834e-05,0.000690928306722268,Dys-CIM
HMGB3,242,6.32869081627243e-05,0.00176402876033016,0.560099669992838,0.75826467715401,0.228625402354529,0.727272727272727,-0.818930499916953,0.88346108782262,0.176692217564524,0.2,1.37903016990979,-1.37903016990979,1.16424602825872,1.16424602825872,limma_2grp(mod_t),-0.604931617702855,6.32869081627243e-05,0.00176402876033016,Dys-CIM
RAD51,249,4.19832312484355e-05,0.00140050417073589,0.662108677744334,0.891487962256723,0.268793734174915,0.818181818181818,-0.909858164440291,0.960374331151856,0.192074866230371,0.12,1.57196684218462,-1.57196684218462,1.31037004040234,1.31037004040234,limma_2grp(mod_t),-0.616298506516998,4.19832312484355e-05,0.00140050417073589,Dys-CIM
MRPS24,237,2.0153281983228e-05,0.000893842418526565,0.373751142686882,0.44630569214152,0.134566229330299,0.818181818181818,-0.2555470151545,0.310170120209,0.0620340240418,0.16,0.629298157841382,-0.629298157841382,0.543501862286034,0.543501862286034,limma_2grp(mod_t),-0.63558059356487,2.0153281983228e-05,0.000893842418526565,Dys-CIM
ISOC2,253,2.02544397005746e-05,0.000896449636622083,0.285949111708271,0.300568040438774,0.0906246740097983,0.909090909090909,-0.361367436443422,0.381705589489514,0.0763411178979028,0.12,0.647316548151693,-0.647316548151693,0.485839792504424,0.485839792504424,limma_2grp(mod_t),-0.635137934341368,2.02544397005746e-05,0.000896449636622083,Dys-CIM
NTHL1,256,1.24391026429156e-06,0.000212559187668673,0.621838153138692,0.539519724015803,0.162671317414229,0.818181818181818,-0.454848694591316,0.504945518469111,0.100989103693822,0.24,1.07668684773001,-1.07668684773001,0.738952981741144,0.738952981741144,limma_2grp(mod_t),-0.698477109901044,1.24391026429156e-06,0.000212559187668673,Dys-CIM
TRIP13,242,7.85775499142865e-06,0.000552287922254699,0.53829795056295,0.935979809592573,0.282208530887896,0.818181818181818,-1.0385922991724,0.793336839680583,0.158667367936117,0.08,1.57689024973535,-1.57689024973535,1.22696436181306,1.22696436181306,limma_2grp(mod_t),-0.65854211605255,7.85775499142865e-06,0.000552287922254699,Dys-CIM
MRPS34,253,1.17035870826134e-05,0.000682096662037931,0.444203732504552,0.379519497090339,0.114429433861185,0.909090909090909,-0.360474133382259,0.46127590913257,0.0922551818265141,0.16,0.804677865886811,-0.804677865886811,0.597336180904676,0.597336180904676,limma_2grp(mod_t),-0.649060860563812,1.17035870826134e-05,0.000682096662037931,Dys-CIM
EXOSC5,246,3.42339662001671e-05,0.00125520587336349,0.469341539175564,0.435119941057769,0.131193598480925,0.909090909090909,-0.297017994530643,0.459268474474468,0.0918536948948935,0.28,0.766359533706208,-0.766359533706208,0.632658592569659,0.632658592569659,limma_2grp(mod_t),-0.62179020378059,3.42339662001671e-05,0.00125520587336349,Dys-CIM
PAFAH1B3,243,4.98923141412279e-05,0.00152573077475682,0.418508612688108,0.646388215834264,0.194893380075411,0.818181818181818,-0.718903312036185,0.698620405556449,0.13972408111129,0.12,1.13741192472429,-1.13741192472429,0.951781590822842,0.951781590822842,limma_2grp(mod_t),-0.611571453961882,4.98923141412279e-05,0.00152573077475682,Dys-CIM
MRPL28,246,5.56471953554051e-05,0.00162158686630709,0.553002755472842,0.416416408828535,0.125554271330135,0.909090909090909,-0.137825883177889,0.425051643347242,0.0850103286694485,0.4,0.690828638650731,-0.690828638650731,0.595039095399491,0.595039095399491,limma_2grp(mod_t),-0.608541992104109,5.56471953554051e-05,0.00162158686630709,Dys-CIM
AURKA,250,2.1007951864131e-05,0.000922083463978333,0.702749681151017,0.704507654951321,0.2124170503097,0.909090909090909,-0.985736552558999,1.05177827296943,0.210355654593885,0.16,1.68848623371002,-1.68848623371002,1.26592597389245,1.26592597389245,limma_2grp(mod_t),-0.634523314454947,2.1007951864131e-05,0.000922083463978333,Dys-CIM
BIRC5,255,1.27750626162317e-05,0.000706358810568957,0.654950920046366,0.644301886050041,0.194264327976937,0.818181818181818,-1.56018552970995,1.3880683728859,0.27761367457718,0.08,2.21513644975632,-2.21513644975632,1.53031327778783,1.53031327778783,limma_2grp(mod_t),-0.646931566056969,1.27750626162317e-05,0.000706358810568957,Dys-CIM
CDC45,250,3.46373077101368e-05,0.00126560774078697,0.44962215064051,0.71558344848394,0.215756527709986,0.727272727272727,-1.22127021402079,1.07126867691496,0.214253735382991,0.08,1.6708923646613,-1.6708923646613,1.2882842271344,1.2882842271344,limma_2grp(mod_t),-0.621477757845039,3.46373077101368e-05,0.00126560774078697,Dys-CIM
NUBP2,253,5.87852050984215e-06,0.000483914318701247,0.52361510300234,0.344892326304503,0.103988949038623,0.909090909090909,-0.176822352781902,0.378820016304249,0.0757640032608498,0.4,0.700437455784242,-0.700437455784242,0.512303934687684,0.512303934687684,limma_2grp(mod_t),-0.665246102343446,5.87852050984215e-06,0.000483914318701247,Dys-CIM
MRPS18A,252,2.59369029657153e-05,0.00103924454383082,0.607135796150392,0.368995554270375,0.111256345711278,1,-0.0921195972109572,0.416631731797962,0.0833263463595923,0.44,0.699255393361349,-0.699255393361349,0.556542647972525,0.556542647972525,limma_2grp(mod_t),-0.629096701020585,2.59369029657153e-05,0.00103924454383082,Dys-CIM
PSMD8,255,4.73877007395763e-06,0.000419470375249572,0.562931043991481,0.406289190003304,0.122500799965307,0.909090909090909,-0.158578474305453,0.360160811800439,0.0720321623600878,0.32,0.721509518296933,-0.721509518296933,0.542942645470304,0.542942645470304,limma_2grp(mod_t),-0.670118889924952,4.73877007395763e-06,0.000419470375249572,Dys-CIM
NDUFB7,242,2.54780375039965e-05,0.00102976932248798,0.476683514492801,0.525007821654357,0.158295814220848,0.909090909090909,-0.263903108773823,0.382192605041209,0.0764385210082418,0.28,0.740586623266624,-0.740586623266624,0.649387711730395,0.649387711730395,limma_2grp(mod_t),-0.629560305150526,2.54780375039965e-05,0.00102976932248798,Dys-CIM
TIMM13,251,6.23945237520948e-06,0.00049421686082131,0.515620382522262,0.465541417074326,0.140366018618717,0.909090909090909,-0.400255979374376,0.487625617296932,0.0975251234593863,0.2,0.915876361896638,-0.915876361896638,0.674171753825229,0.674171753825229,limma_2grp(mod_t),-0.663883086985539,6.23945237520948e-06,0.00049421686082131,Dys-CIM
CDC34,243,4.71053443717393e-05,0.00149409395131712,0.409373566138785,0.320205239284333,0.0965455122374639,0.909090909090909,-0.187474708432583,0.376824430432162,0.0753648860864324,0.32,0.596848274571367,-0.596848274571367,0.494497772124062,0.494497772124062,limma_2grp(mod_t),-0.613154187792938,4.71053443717393e-05,0.00149409395131712,Dys-CIM
RANBP1,242,3.49293621372766e-05,0.00127014326526696,0.519902648517569,0.604982829262039,0.182409186297257,0.818181818181818,-0.389875110701665,0.506437706511597,0.101287541302319,0.16,0.909777759219235,-0.909777759219235,0.788976155709808,0.788976155709808,limma_2grp(mod_t),-0.62125357520406,3.49293621372766e-05,0.00127014326526696,Dys-CIM
DDT,249,3.08065649167933e-05,0.00117088761627395,0.389909886186835,0.348064143128699,0.104945287794041,0.909090909090909,-0.245496063178112,0.380157784244397,0.0760315568488794,0.2,0.635405949364947,-0.635405949364947,0.515430488672842,0.515430488672842,limma_2grp(mod_t),-0.624589078342582,3.08065649167933e-05,0.00117088761627395,Dys-CIM
POLR2F,249,4.78966906207533e-06,0.00042085785120298,0.621932501921107,0.592474089029313,0.178637659210714,0.909090909090909,-0.195814872557173,0.332845342048838,0.0665690684097675,0.28,0.817747374478279,-0.817747374478279,0.679567191596771,0.679567191596771,limma_2grp(mod_t),-0.669879435897159,4.78966906207533e-06,0.00042085785120298,Dys-CIM
CENPM,256,7.71545210435709e-06,0.000549589578181073,0.448669497357228,0.619646630590754,0.186830488752499,0.818181818181818,-1.16150247010269,0.93146114846444,0.186292229692888,0.04,1.61017196745992,-1.61017196745992,1.11874117556348,1.11874117556348,limma_2grp(mod_t),-0.658969260081522,7.71545210435709e-06,0.000549589578181073,Dys-CIM
MCAT,237,7.18636691823825e-05,0.00190102859925063,0.410528025483417,0.40955266955407,0.12348477607266,0.818181818181818,-0.206584642266617,0.374438033565924,0.0748876067131848,0.24,0.617112667750034,-0.617112667750034,0.554920922402085,0.554920922402085,limma_2grp(mod_t),-0.601321319794732,7.18636691823825e-05,0.00190102859925063,Dys-CIM
CDKN3,258,1.11707374824371e-05,0.000665713020220958,0.503655613158497,0.64956472579713,0.195851133865379,0.909090909090909,-1.3111396916937,1.09546720876048,0.219093441752095,0.08,1.8147953048522,-1.8147953048522,1.27357086118887,1.27357086118887,limma_2grp(mod_t),-0.650186875878134,1.11707374824371e-05,0.000665713020220958,Dys-CIM
ERH,248,5.2270994992957e-05,0.00156034607942715,0.381093162772945,0.386297998346718,0.116473228889218,0.909090909090909,-0.280305840923274,0.405774281379929,0.0811548562759859,0.24,0.661399003696219,-0.661399003696219,0.560248972293639,0.560248972293639,limma_2grp(mod_t),-0.610282747141235,5.2270994992957e-05,0.00156034607942715,Dys-CIM
PSMA7,261,6.34063753865027e-07,0.000154992603185642,0.568765225885877,0.475681787921206,0.143423455467277,0.909090909090909,-0.225203992614573,0.313676675433555,0.062735335086711,0.24,0.79396921850045,-0.79396921850045,0.569794892984277,0.569794892984277,limma_2grp(mod_t),-0.711638022482214,6.34063753865027e-07,0.000154992603185642,Dys-CIM
MRGBP,254,9.6106619255225e-06,0.000614269376726145,0.661701041853561,0.458489728300519,0.138239854454983,1,-0.0980460382619614,0.388425172512301,0.0776850345024602,0.44,0.759747080115522,-0.759747080115522,0.60090510531888,0.60090510531888,limma_2grp(mod_t),-0.653790730434401,9.6106619255225e-06,0.000614269376726145,Dys-CIM
ACOT8,257,1.01255649901999e-05,0.000643292651449458,0.615229604029547,0.360707040039583,0.108757264641,1,0.00579812408595848,0.310486160150727,0.0620972320301455,0.48,0.609431479943588,-0.609431479943588,0.475931953517791,0.475931953517791,limma_2grp(mod_t),-0.652545705800663,1.01255649901999e-05,0.000643292651449458,Dys-CIM
NAA10,263,1.12167740801873e-07,8.9378769538389e-05,0.500679869737845,0.302121427718629,0.0910930378971973,1,-0.259918046196196,0.327888236053475,0.0655776472106951,0.28,0.760597915934041,-0.760597915934041,0.445856537945786,0.445856537945786,limma_2grp(mod_t),-0.742447043105429,1.12167740801873e-07,8.9378769538389e-05,Dys-CIM
EMD,245,3.82245850899163e-05,0.00131914770333003,0.633590287343166,0.326024160730542,0.0982999830667025,1,0.000901884114882779,0.390083745312398,0.0780167490624796,0.48,0.632688403228283,-0.632688403228283,0.508386744257757,0.508386744257757,limma_2grp(mod_t),-0.618835601932758,3.82245850899163e-05,0.00131914770333003,Dys-CIM
ELOB,244,4.89678940858361e-05,0.00151620120121676,0.446032582481947,0.324926885323116,0.0979691420832376,0.909090909090909,-0.199615106316519,0.417227839880701,0.0834455679761403,0.36,0.645647688798466,-0.645647688798466,0.528825634001698,0.528825634001698,limma_2grp(mod_t),-0.612087353934834,4.89678940858361e-05,0.00151620120121676,Dys-CIM
MCM4,250,1.53661449805025e-05,0.000764908619311791,0.733946443726932,0.573046752760548,0.172780096930754,0.909090909090909,-0.700864200482592,0.880867419610421,0.176173483922084,0.2,1.43481064420952,-1.43481064420952,1.05086154738887,1.05086154738887,limma_2grp(mod_t),-0.64238858305806,1.53661449805025e-05,0.000764908619311791,Dys-CIM
RNASEH2A,247,2.1523361674076e-05,0.000936930534108545,0.560246402395694,0.810173681563955,0.244276556069865,0.909090909090909,-0.662279075383487,0.642712138589006,0.128542427717801,0.2,1.22252547777918,-1.22252547777918,1.03414713043577,1.03414713043577,limma_2grp(mod_t),-0.633904493391477,2.1523361674076e-05,0.000936930534108545,Dys-CIM
ASF1B,252,7.11979360389899e-05,0.00189594840646038,0.536565102037152,0.754470144419122,0.227481307687589,0.818181818181818,-1.39215822240034,1.33788026847373,0.267576053694745,0.2,1.92872332443749,-1.92872332443749,1.53595208635919,1.53595208635919,limma_2grp(mod_t),-0.60158718982016,7.11979360389899e-05,0.00189594840646038,Dys-CIM
HACL2,253,1.03425559054599e-05,0.000645448710135427,0.624428075241906,0.288914589769756,0.0871110264296123,1,-0.0753056051029661,0.410142447468192,0.0820284894936385,0.36,0.699733680344872,-0.699733680344872,0.501685626061805,0.501685626061805,limma_2grp(mod_t),-0.652038266479289,1.03425559054599e-05,0.000645448710135427,Dys-CIM
PDCD5,243,1.81670920367688e-05,0.000844709888197541,0.366283753095079,0.53052857245137,0.159960383216734,0.909090909090909,-0.425149189768419,0.397522902001749,0.0795045804003499,0.12,0.791432942863498,-0.791432942863498,0.662936666509842,0.662936666509842,limma_2grp(mod_t),-0.638204644700668,1.81670920367688e-05,0.000844709888197541,Dys-CIM
TIMM50,251,5.91177133420246e-06,0.000484243220096257,0.551428718652633,0.423133212392517,0.127579463803976,0.909090909090909,-0.160061543355733,0.352017340528834,0.0704034681057668,0.28,0.711490262008366,-0.711490262008366,0.550416136629918,0.550416136629918,limma_2grp(mod_t),-0.665117379075363,5.91177133420246e-06,0.000484243220096257,Dys-CIM
TBCB,254,2.33739599412961e-05,0.000977634668821059,0.443601556604074,0.401724028018831,0.121124351837153,0.909090909090909,-0.252781896084709,0.399987354424103,0.0799974708848207,0.16,0.696383452688783,-0.696383452688783,0.566896885144792,0.566896885144792,limma_2grp(mod_t),-0.631788447546502,2.33739599412961e-05,0.000977634668821059,Dys-CIM
