rowname,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0099024,GO:0099024,plasma membrane invagination,14/1487,55/16754,0.254545454545455,2.86795867212814,4.33040286590845,0.000237771016072224,0.00234600854674141,0.00175940636799571,ABCA1/ABCA7/AIF1/ARHGAP25/BIN2/C3/CD36/ELMO1/FCER1G/FCGR2B/ITGAM/ITGB2/MSR1/NCKAP1L,14
GO:0141201,GO:0141201,pyroptotic cell death,7/1487,16/16754,0.4375,4.92930396772024,4.90736953019757,0.000238417638108769,0.00234600854674141,0.00175940636799571,CARD8/CASP1/CASP4/GSDME/GZMB/NLRP1/PRF1,7
GO:0032956,GO:0032956,regulation of actin cytoskeleton organization,50/1487,339/16754,0.147492625368732,1.66179653357615,3.84174751760354,0.000245223525915868,0.00240631000518857,0.00180462989036469,ADD3/AKAP13/ARAP1/ARAP2/ARAP3/ARHGAP18/ARHGAP28/ARHGAP6/ARHGEF15/BST1/CCDC88A/CCL24/CORO2B/CSF1R/CXCL12/CYRIA/FCHSD1/FCHSD2/GMFG/HCK/HCLS1/IQGAP2/JAM3/KANK3/KIRREL1/LMOD1/LRP1/NCKAP1L/PDGFRA/PDGFRB/PLEK/PLEKHG2/PLEKHH2/PRKD1/PROX1/PTGER4/PTK2B/RAC2/RAPGEF3/RHOQ/RICTOR/S1PR1/SEMA5A/SHANK3/SLIT2/SYNPO/SYNPO2/TACR1/VILL/WAS,50
GO:0010742,GO:0010742,macrophage derived foam cell differentiation,11/1487,37/16754,0.297297297297297,3.34964285065159,4.46527767024314,0.000253313791031551,0.00246393134043649,0.00184784343462411,ABCA1/CD36/CETP/CSF1/IL18/MSR1/NFKBIA/PPARA/PPARG/PRKCH/WNT5A,11
GO:0033028,GO:0033028,myeloid cell apoptotic process,11/1487,37/16754,0.297297297297297,3.34964285065159,4.46527767024314,0.000253313791031551,0.00246393134043649,0.00184784343462411,CCR5/CTSL/FCER1G/GAS6/ITPKB/MEF2C/PIK3CD/PLEKHO2/SNAI2/STAT5A/STAT5B,11
GO:0014910,GO:0014910,regulation of smooth muscle cell migration,15/1487,62/16754,0.241935483870968,2.72588237846281,4.24891239684274,0.000264421834542968,0.00254965081432577,0.00191212938466105,AIF1/DOCK4/FAT1/HAS2/IGF1/LRP1/MEF2C/PDGFD/PDGFRB/POSTN/PRKG1/SEMA6D/SLIT2/TACR1/TLR4,15
GO:0098761,GO:0098761,cellular response to interleukin-7,8/1487,21/16754,0.380952380952381,4.29218304672239,4.71120108915276,0.000267976411390414,0.00257053711375192,0.00192779321856535,BTK/IL2RG/IL7/IL7R/JAK1/JAK3/LSP1/STAT5A,8
GO:0002357,GO:0002357,defense response to tumor cell,6/1487,12/16754,0.5,5.63349024882313,5.01095073861613,0.000279473450069593,0.00263530652238798,0.00197636751304687,ABI3/DAPK1/LAPTM5/PRF1/SPI1/TNFRSF10B,6
GO:0097011,GO:0097011,cellular response to granulocyte macrophage colony-stimulating factor stimulus,6/1487,12/16754,0.5,5.63349024882313,5.01095073861613,0.000279473450069593,0.00263530652238798,0.00197636751304687,CD4/NPR2/PDE1B/PDE2A/STAT5A/ZFP36,6
GO:0097012,GO:0097012,response to granulocyte macrophage colony-stimulating factor,6/1487,12/16754,0.5,5.63349024882313,5.01095073861613,0.000279473450069593,0.00263530652238798,0.00197636751304687,CD4/NPR2/PDE1B/PDE2A/STAT5A/ZFP36,6
GO:0141084,GO:0141084,inflammasome-mediated signaling pathway,16/1487,69/16754,0.231884057971015,2.6126331588745,4.18911180009871,0.00028214028986174,0.00264250787502885,0.00198176822043651,BTK/CARD8/CASP4/CD36/GBP2/IFI16/KCNJ8/NEK9/NLRP1/NLRP3/OGT/P2RX7/PRKD1/PTPN22/TLR4/TLR6,16
GO:0007584,GO:0007584,response to nutrient,28/1487,158/16754,0.177215189873418,1.99668008819048,3.92832615066193,0.00030475261326362,0.00282427676564738,0.00211808713713524,ABCA1/ABCB1/ACACB/ALDH1A2/ALPL/ARSB/C2/CD4/CD40/COL1A1/CYBB/CYP26B1/FES/GAS6/GPRIN3/KAT2B/MAF/MAFB/MAP1B/MLXIPL/NCOA1/OGT/POSTN/PPARA/PPARG/SNAI2/SOD2/VCAM1,28
GO:0010743,GO:0010743,regulation of macrophage derived foam cell differentiation,10/1487,32/16754,0.3125,3.52093140551446,4.45468330160715,0.000307141369544656,0.00282427676564738,0.00211808713713524,ABCA1/CD36/CETP/CSF1/IL18/MSR1/NFKBIA/PPARA/PPARG/PRKCH,10
GO:0141087,GO:0141087,positive regulation of inflammasome-mediated signaling pathway,10/1487,32/16754,0.3125,3.52093140551446,4.45468330160715,0.000307141369544656,0.00282427676564738,0.00211808713713524,BTK/CD36/GBP2/NEK9/NLRP3/P2RX7/PRKD1/PTPN22/TLR4/TLR6,10
GO:0051607,GO:0051607,defense response to virus,48/1487,325/16754,0.147692307692308,1.6640463504216,3.77276222959046,0.000313112636217665,0.00287442575463291,0.00215569674034502,ABCC9/APOBEC3C/APOBEC3D/APOBEC3G/APOBEC3H/CARD8/CASP1/CD40/DDX17/EPG5/FGL2/GBP2/HCFC2/IFI16/IFNGR1/IL12RB1/IL15/IL33/IRF5/ITGAX/KCNJ8/LILRB1/LYST/MAP3K14/MLKL/NLRC5/NLRP1/PRF1/PTPRC/RIPK3/RNASE6/RNASEL/SAMHD1/SENP7/SLFN11/SLFN13/SPN/STAT2/STING1/TLR2/TLR7/TLR8/TNFAIP3/TRIM22/TRIM38/TRIM52/TRIM56/TSPAN32,48
GO:0048660,GO:0048660,regulation of smooth muscle cell proliferation,25/1487,135/16754,0.185185185185185,2.08647786993449,3.9555807144485,0.000315040983009716,0.00288735580798014,0.00216539372897246,AIF1/CALCRL/ERN1/HMOX1/IGF1/IL10/IL18/IL6R/JAK2/MEF2C/MMP2/NPR1/PDE1A/PDGFD/PDGFRB/PPARG/PRKG1/PTEN/PTGIR/RGS5/S1PR1/SOD2/TACR1/TLR4/TNFAIP3,25
GO:0002526,GO:0002526,acute inflammatory response,21/1487,105/16754,0.2,2.25339609952925,4.02081264880902,0.000316262856329158,0.00289377908410567,0.00217021091215551,APOL2/BTK/C2CD4B/C3/CD163/DNASE1L3/EDNRB/FCER1G/FCGR1BP/FCGR2A/FCGR2B/HLA-E/IL6R/ITIH4/NLRP3/OSM/OSMR/PIK3CG/PLA2G2D/PTGS2/SPN,21
GO:0046683,GO:0046683,response to organophosphorus,24/1487,128/16754,0.1875,2.11255884330868,3.94329267999115,0.000339965204102034,0.00307519013612817,0.00230626146516672,ABCC9/AQP9/CDO1/COL1A1/CRTC1/FOSB/KCNE1/KCNJ8/MMP19/NPR2/P2RX1/P2RX7/P2RY1/P2RY12/PDE2A/PDE4D/PIK3CG/PKD2/RAPGEF1/RAPGEF2/RAPGEF3/THBD/TIFAB/TLR7,24
