rowname,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0007059,GO:0007059,chromosome segregation,87/735,416/16754,0.209134615384615,4.76713108320251,16.6659553884676,2.19240680630416e-35,7.86416321421304e-32,6.9187743213683e-32,ACTL6A/ANAPC11/ANAPC15/AURKA/AURKB/BCCIP/BCL7C/BIRC5/BUB1/BUB1B/BUB3/CCDC86/CCNB1/CCNB2/CDC20/CDC6/CDCA2/CDCA8/CDK1/CDT1/CENPH/CENPI/CENPM/CENPN/CENPS/CENPU/CENPW/CHMP4C/DCAF13/DLGAP5/ECT2/ESCO2/FAM83D/GPSM2/HASPIN/HAUS8/HJURP/KIF11/KIF15/KIF18A/KIF22/KIF23/KIF2C/KIF4A/KIFC1/KNSTRN/LCMT1/MAD2L1/MIS18A/MND1/MYBL2/NCAPG/NCAPG2/NCAPH/NDC80/NEK2/NTMT1/NUF2/NUP37/NUSAP1/OIP5/PLK1/PRC1/PSRC1/PTTG1/RACGAP1/RAD21/RAN/RCC1/RMI2/RRS1/SGO2/SKA2/SKA3/SLC25A5/SPAG5/SPC24/SPC25/SPDL1/STIL/TACC3/TPX2/TRIP13/TTK/TUBG1/UBE2C/ZWINT,87
GO:0032543,GO:0032543,mitochondrial translation,47/735,127/16754,0.37007874015748,8.43578124163051,18.0174688405322,2.17087754367103e-31,3.89346887457399e-28,3.42541625048723e-28,AURKAIP1/C1QBP/CHCHD1/GADD45GIP1/MALSU1/MPV17L2/MRPL11/MRPL12/MRPL13/MRPL14/MRPL17/MRPL19/MRPL2/MRPL21/MRPL23/MRPL24/MRPL27/MRPL28/MRPL36/MRPL37/MRPL38/MRPL4/MRPL47/MRPL48/MRPL51/MRPL52/MRPL57/MRPL58/MRPS12/MRPS15/MRPS16/MRPS17/MRPS18A/MRPS2/MRPS23/MRPS24/MRPS26/MRPS28/MRPS30/MRPS34/MRPS7/RPUSD3/TACO1/TRMT10C/TRUB2/UQCC2/YARS2,47
GO:0000070,GO:0000070,mitotic sister chromatid segregation,56/735,190/16754,0.294736842105263,6.71839598997494,16.9801170214692,3.32861497732241e-31,3.97991397455183e-28,3.50146936912722e-28,ANAPC11/ANAPC15/AURKB/BCCIP/BIRC5/BUB1/BUB1B/BUB3/CCNB1/CDC20/CDCA8/CDK1/CDT1/CENPI/CHMP4C/DLGAP5/HASPIN/KIF11/KIF15/KIF18A/KIF22/KIF23/KIF2C/KIF4A/KIFC1/KNSTRN/LCMT1/MAD2L1/MYBL2/NCAPG/NCAPG2/NCAPH/NDC80/NEK2/NUF2/NUSAP1/PLK1/PRC1/PSRC1/RACGAP1/RAD21/RAN/RCC1/RRS1/SKA2/SKA3/SPAG5/SPC24/SPC25/SPDL1/TPX2/TRIP13/TTK/TUBG1/UBE2C/ZWINT,56
GO:0098813,GO:0098813,nuclear chromosome segregation,68/735,309/16754,0.220064724919094,5.01627809699932,15.2636479519056,3.66112695137051e-29,2.18874372909434e-26,1.92562431582611e-26,ACTL6A/ANAPC11/ANAPC15/AURKA/AURKB/BCCIP/BCL7C/BIRC5/BUB1/BUB1B/BUB3/CCNB1/CCNB2/CDC20/CDC6/CDCA8/CDK1/CDT1/CENPI/CHMP4C/DCAF13/DLGAP5/ECT2/FAM83D/HASPIN/KIF11/KIF15/KIF18A/KIF22/KIF23/KIF2C/KIF4A/KIFC1/KNSTRN/LCMT1/MAD2L1/MND1/MYBL2/NCAPG/NCAPG2/NCAPH/NDC80/NEK2/NUF2/NUSAP1/PLK1/PRC1/PSRC1/PTTG1/RACGAP1/RAD21/RAN/RCC1/RMI2/RRS1/SKA2/SKA3/SPAG5/SPC24/SPC25/SPDL1/TACC3/TPX2/TRIP13/TTK/TUBG1/UBE2C/ZWINT,68
GO:0000280,GO:0000280,nuclear division,79/735,432/16754,0.18287037037037,4.16844923154447,14.2913811674304,5.46934188799964e-28,2.8026470503221e-25,2.46572736544705e-25,ANAPC11/ANAPC15/ANLN/AURKA/AURKB/BANF1/BCCIP/BIRC5/BUB1/BUB1B/BUB3/CCDC86/CCNB1/CCNB2/CDC20/CDC25C/CDCA2/CDCA8/CDK1/CDT1/CENPI/CENPS/CHEK1/CHMP4C/CKS2/DCAF13/DLGAP5/EME1/HASPIN/KIF11/KIF15/KIF18A/KIF22/KIF23/KIF2C/KIF4A/KIFC1/KNSTRN/LCMT1/MAD2L1/MASTL/MND1/MYBL2/NCAPG/NCAPG2/NCAPH/NDC80/NEK2/NUF2/NUSAP1/PKMYT1/PLK1/PRC1/PSRC1/PTTG1/RACGAP1/RAD21/RAD51/RAD51AP1/RAD51C/RAD54B/RAN/RANBP1/RCC1/RRS1/SKA2/SKA3/SPAG5/SPC24/SPC25/SPDL1/TESMIN/TPX2/TRIP13/TTK/TUBG1/UBE2C/UBE2S/ZWINT,79
GO:0140053,GO:0140053,mitochondrial gene expression,49/735,164/16754,0.298780487804878,6.81056910569106,16.017313088795,9.91520564765641e-28,4.44573033226795e-25,3.91128770153604e-25,AURKAIP1/C1QBP/CHCHD1/GADD45GIP1/HSD17B10/MALSU1/MPV17L2/MRPL11/MRPL12/MRPL13/MRPL14/MRPL17/MRPL19/MRPL2/MRPL21/MRPL23/MRPL24/MRPL27/MRPL28/MRPL36/MRPL37/MRPL38/MRPL4/MRPL47/MRPL48/MRPL51/MRPL52/MRPL57/MRPL58/MRPS12/MRPS15/MRPS16/MRPS17/MRPS18A/MRPS2/MRPS23/MRPS24/MRPS26/MRPS28/MRPS30/MRPS34/MRPS7/RPUSD3/SLIRP/TACO1/TRMT10C/TRUB2/UQCC2/YARS2,49
GO:0006119,GO:0006119,oxidative phosphorylation,40/735,128/16754,0.3125,7.12329931972789,14.8959720591867,1.14516447785242e-23,4.10770498205663e-21,3.61389800484375e-21,ANTKMT/ATP5F1C/ATP5IF1/ATP5ME/ATP5MF/ATP5PD/CCNB1/CDK1/CHCHD2/COX5A/COX5B/COX6A1/COX6B1/COX6C/COX7A2/COX8A/COXFA4/CYC1/FXN/MTCH2/NDUFA11/NDUFA13/NDUFA7/NDUFA8/NDUFA9/NDUFAB1/NDUFB11/NDUFB2/NDUFB4/NDUFB7/NDUFB9/NDUFS3/NDUFS6/NDUFS8/NDUFV2/STOML2/UQCC2/UQCRC1/UQCRH/UQCRQ,40
GO:1905818,GO:1905818,regulation of chromosome separation,29/735,76/16754,0.381578947368421,8.69792337987827,14.4072356126274,2.85785245737627e-20,9.31919705873518e-18,8.19889154757327e-18,ANAPC11/ANAPC15/AURKB/BIRC5/BUB1/BUB1B/BUB3/CCNB1/CDC20/CDCA8/DLGAP5/HASPIN/LCMT1/MAD2L1/NCAPG/NCAPG2/NCAPH/NDC80/NUF2/PLK1/RAD21/SKA3/SPC24/SPC25/SPDL1/TRIP13/TTK/UBE2C/ZWINT,29
GO:1902850,GO:1902850,microtubule cytoskeleton organization involved in mitosis,41/735,168/16754,0.244047619047619,5.56295756397797,12.7321721855993,9.30042217022719e-20,2.56620110189269e-17,2.25770572197094e-17,AURKA/AURKB/BCCIP/BIRC5/CCNB1/CDC20/CDCA8/CDK1/CENPA/CENPH/CHMP4C/DLGAP5/GPSM2/KIF11/KIF15/KIF23/KIF4A/KIFC1/MAD2L1/MYBL2/NDC80/NEK2/NUF2/NUSAP1/PLK1/POC1A/PRC1/PSRC1/RACGAP1/RAN/RCC1/SAPCD2/SPC25/SPDL1/STIL/STMN1/TACC3/TPX2/TTK/TUBG1/WDR62,41
GO:0009142,GO:0009142,nucleoside triphosphate biosynthetic process,34/735,114/16754,0.298245614035088,6.7983768946175,13.3062129299712,1.40061893151025e-19,3.58858579094804e-17,3.15718462907348e-17,ALDOA/ANTKMT/ATP5F1C/ATP5IF1/ATP5MC1/ATP5MC3/ATP5ME/ATP5MF/ATP5MK/ATP5PD/CTPS1/DTYMK/ENO1/IMPDH2/NDUFA11/NDUFA13/NDUFA7/NDUFA8/NDUFA9/NDUFAB1/NDUFB11/NDUFB2/NDUFB4/NDUFB7/NDUFB9/NDUFS3/NDUFS6/NDUFS8/NDUFV2/NME1/NME2/NME4/STOML2/TYMS,34
