"gene_id","r_rb","p_value","padj","trajectory"
"MAST4",0.516766924749049,0.0227594762631041,0.149664423838334,"NS"
"MAST4-AS1",0,1,1,"NS"
"CD180",-0.164711682625491,0.498151261818843,0.957592928940213,"NS"
"LOC101928819",0,1,1,"NS"
"LINC02242",0.248451987882987,0.302510956227863,0.74339308847199,"NS"
"LOC105379005",0,1,1,"NS"
"LINC02997",0,1,1,"NS"
"LOC105379007",-0.223606534413848,0.354918040149091,0.763014401006015,"NS"
"LOC107986420",0,1,1,"NS"
"LINC02219",0,1,1,"NS"
"PIK3R1",0.202332122736348,0.403662559263912,0.833524554449664,"NS"
"LOC105379013",-0.223605513751627,0.354920294030481,0.763014401006015,"NS"
"LOC105379012",0,1,1,"NS"
"LOC105379011",0,1,1,"NS"
"LOC105379010",0,1,1,"NS"
"LOC105379014",0,1,1,"NS"
"LOC105379015",-0.248451649429454,0.302511636390832,0.74339308847199,"NS"
"LOC107984116",0.223606774211299,0.354917510616612,0.763014401006015,"NS"
"LINC02198",0,1,1,"NS"
"SLC30A5",0.178870503789071,0.461393477649362,0.910803736135152,"NS"
"SNORA50D",0,1,1,"NS"
"CCNB1",-0.107607266262597,0.659359973286104,1,"NS"
"LOC112267932",0,1,1,"NS"
"CENPH",-0.00455416906113984,0.985159319113291,1,"NS"
"KGD4",-0.08561350617019,0.726094330851065,1,"NS"
"CDK7",-0.0604125706147787,0.804927324736668,1,"NS"
"CCDC125",0.0385526518116533,0.874832694712869,1,"NS"
"AK6",-0.383845938447608,0.102896235968825,0.418394958871062,"NS"
"TAF9",0.338743632821733,0.15382687315073,0.538723390992373,"NS"
"RAD17",0.240788261062792,0.318148899417312,0.763014401006015,"NS"
"MARVELD2",0.267948807370801,0.26486838416967,0.741899821212691,"NS"
"LOC101928924",0.248451990578344,0.302510950811224,0.74339308847199,"NS"
"OCLN",-0.0589929590581805,0.809429994921696,1,"NS"
"SNORD13B-1",0,1,1,"NS"
"GTF2H2C",0.361620316731862,0.126188422561746,0.477724614233024,"NS"
"GUSBP3",0.15845497001969,0.514832548150463,0.979301856089881,"NS"
"LOC107986357",0,1,1,"NS"
"LOC105379623",0,1,1,"NS"
"LOC105369228",-0.325239811408267,0.171971706022351,0.575433110115777,"NS"
"LOC112267941",-0.322751663181257,0.175367454846939,0.578603355213942,"NS"
"SERF1B",-0.0926538969125311,0.704498597656842,1,"NS"
"LOC107986372",0,1,1,"NS"
"SMN2",-0.147876349187279,0.543623118252925,1,"NS"
"GUSBP14",-0.0833126907537127,0.733195926387812,1,"NS"
"LOC112267939",0.253349201288048,0.292766335592694,0.74339308847199,"NS"
"LOC112267940",0.234955333357374,0.330367434866021,0.763014401006015,"NS"
"LOC107986356",0,1,1,"NS"
"LOC105379021",0,1,1,"NS"
"GTF2H2B",0.125776119910523,0.606009108109486,1,"NS"
"GUSBP15",0.0153187025257173,0.950107905736754,1,"NS"
"LOC441081",0.0959531300933164,0.694451459756124,1,"NS"
"LOC105379020",0,1,1,"NS"
"LOC107986355",0,1,1,"NS"
"LOC107986358",0,1,1,"NS"
"GUSBP16",0.0388251146150428,0.873954807606801,1,"NS"
"LOC101929599",-0.169222151212297,0.486290339915553,0.942965151375319,"NS"
"SERF1A",-0.0717703780898711,0.769125647103448,1,"NS"
"LOC107986373",0,1,1,"NS"
"SMN1",-0.0198216117740253,0.935468019603947,1,"NS"
"NAIP",0.244442681780673,0.310632984987339,0.756193982614122,"NS"
"LOC112267942",0.134910271024921,0.579872212084042,1,"NS"
"GTF2H2",0.24697858242953,0.305480702088767,0.748198071202378,"NS"
"OCLNP1",-0.155162114852187,0.523716390124849,0.990822385528351,"NS"
"SNORD13B-2",0,1,1,"NS"
"GUSBP17",0.179553220912349,0.459656712453804,0.908918246913665,"NS"
"LOC105379016",0.118848853629168,0.626144006201327,1,"NS"
"LOC107986421",0,1,1,"NS"
"LINC02197",0,1,1,"NS"
"LOC105379026",0,1,1,"NS"
"LOC105379025",0.248445530383372,0.302223253147959,0.74339308847199,"NS"
"PMCHL2",0.261656991743208,0.276679312540772,0.74339308847199,"NS"
"BDP1",0.0872896138808431,0.720934344169343,1,"NS"
"MCCC2",0.237225954655163,0.325578639185809,0.763014401006015,"NS"
"CARTPT",-0.048255157717613,0.843664437739631,1,"NS"
"LOC105379027",0,1,1,"NS"
"LOC107986382",0,1,1,"NS"
"LOC105379028",0,1,1,"NS"
"MAP1B",0.33685937175994,0.156275710728278,0.5446757925676,"NS"
"MIR4803",0,1,1,"NS"
"MRPS27",0.707438458848981,0.000659931488630001,0.0157688681145011,"Fun-CIM"
"LOC107986422",0.285907388925037,0.232921402804157,0.683270286932282,"NS"
"PTCD2",0.242928906008709,0.313733276296436,0.76062895501474,"NS"
"ZNF366",0.383177689119114,0.103547527731081,0.420216290179294,"NS"
"LOC102503427",0.248451987562687,0.302510956871544,0.74339308847199,"NS"
"TNPO1-DT",0,1,1,"NS"
"TNPO1",0.260983913033941,0.277961820992437,0.74339308847199,"NS"
"MIR4804",0,1,1,"NS"
"FCHO2",0.266941081352041,0.266738479208054,0.74339308847199,"NS"
"TMEM171",0.414405180013094,0.0761733364029488,0.344019029936894,"NS"
"LOC105379030",0,1,1,"NS"
"TMEM174",0.289820135241198,0.226306633509089,0.67098951173879,"NS"
"LOC340090",0,1,1,"NS"
"LOC105379031",0,1,1,"NS"
"LINC02230",0,1,1,"NS"
"LOC107986383",0,1,1,"NS"
"FOXD1",0.470052255730518,0.0411993185876159,0.226596252231887,"NS"
"LINC01386",0,1,1,"NS"
"BTF3",0.321306576832423,0.177519271772135,0.581254606749912,"NS"
"ANKRA2",0.250097374044216,0.299215291659562,0.74339308847199,"NS"
"UTP15",0.373211477574792,0.11361720346149,0.446012394087756,"NS"
"ARHGEF28",0.196115526742029,0.418561777428788,0.8546035375534,"NS"
"LOC107986423",0,1,1,"NS"
"LOC105379034",0,1,1,"NS"
"LINC02122",0,1,1,"NS"
