"gene_id","r_rb","p_value","padj","trajectory"
"COX4I2",-0.298755345143105,0.128466764505674,0.644521027796796,"NS"
"BPIFA3",-0.194385711747283,0.329209760937114,0.944928030321716,"NS"
"ZNF341",-0.499851583636687,0.00767258363371195,0.202949951684779,"NS"
"GGT7",0.139041816676214,0.487299794961707,1,"NS"
"DEFB118",-0.252966965807865,0.201073053272049,0.779638367189144,"NS"
"ACSS2",0.402166770180036,0.0367605551361129,0.407450806351243,"NS"
"EDA2R",-0.0110911565425806,0.956027358068918,1,"NS"
"ARHGEF9",0.202788446629704,0.3083143504829,0.919201824827809,"NS"
"C1QL1",-0.514670598501709,0.00580715838591265,0.176500048408493,"NS"
"GFAP",-0.523947011201045,0.00484719270762553,0.161094153599283,"NS"
"PYY",-0.2398617766431,0.226202556286767,0.816848845093515,"NS"
"HIGD1B",-0.376587044490708,0.051846427006329,0.456318240524366,"NS"
"ATP6V1E1",-0.554431813419227,0.00258001542679776,0.113895848807607,"NS"
"ZNF227",-0.32733169417082,0.0941798273217488,0.59274693831858,"NS"
"ZNF428",-0.418602688625645,0.0290832787294211,0.380507416654804,"NS"
"TEX101",-0.231484538504063,0.243323529310392,0.84109536288664,"NS"
"ZNF141",-0.0923135525941458,0.645583427919344,1,"NS"
"CCL25",-0.299976015168837,0.126838174840538,0.641357515471709,"NS"
"COX4I1",-0.247183017500779,0.211916855344087,0.796654869565955,"NS"
"EMC8",-0.11117044344556,0.57931232379276,1,"NS"
"GSE1",-0.307102407706358,0.117630276914962,0.619316503298542,"NS"
"ENSG00000131152",0.0237693024383849,0.905923678419591,1,"NS"
"GINS2",-0.394553672693618,0.040826922580132,0.408797495001266,"NS"
"CHMP1A",-0.0980255663114859,0.625197242525267,1,"NS"
"SH3BGRL",0.219806566574895,0.268582752873319,0.875399796074301,"NS"
"COX7B",-0.433286994729456,0.0233719658209044,0.343090200144249,"NS"
"SLC34A1",0.0811604463517663,0.686106734306624,1,"NS"
"F12",0.220088876583541,0.267952906617363,0.874547586219057,"NS"
"PRR7",0.0688544065310463,0.731819758546169,1,"NS"
"NFATC1",0.0680865593737584,0.734703815446231,1,"NS"
"IDO1",-0.708997358564724,3.21989512704102e-05,0.00988921253570435,"Fun-CIM"
"GJA9",-0.197212791741148,0.322085544067843,0.936247188788502,"NS"
"CAP1",0.678053503951263,9.50256470585056e-05,0.0192322163426204,"Dys-CIM"
"PPT1",0.173747380473192,0.384079100208228,0.989349884843869,"NS"
"RAB11FIP4",-0.394101635090575,0.0410791810242889,0.409900291076599,"NS"
"RLIM",0.452895665823691,0.0172035530290711,0.299069136523948,"NS"
"CDX4",-0.363787879360473,0.0610295966116433,0.492403978304224,"NS"
"ABCB7",0.477678499810316,0.0113880791833453,0.248691157082887,"NS"
"TRAF3",0.555391848126688,0.00252683605985283,0.112810081378,"NS"
