"Gene","logFC","AveExpr","t","PValue","adj.P.Val"
"CGAS",-0.0893611722537937,-0.00155519307661416,-0.393516832802502,0.696113375345346,0.727051747582917
"STING1",-0.985897783207145,0.223178052466083,-4.22866086185565,0.000140305949255073,0.00219812653832948
"IFI16",-1.19047316981028,0.352877515549026,-4.09769290832379,0.000208186129546997,0.00244618702217722
"AIM2",-1.01507454063241,-0.30083435411885,-3.55853260054464,0.00101132655366071,0.00792205800367559
"ZBP1",-1.03513442076841,-0.303686100399059,-3.01866205108199,0.00449273209755833,0.0211158408585242
"RIGI",0.0611015538477579,0.0608002384140508,0.209060764898707,0.835505421955145,0.835505421955145
"IFIH1",-0.232790022235909,0.141422240247668,-0.823675946669433,0.415208047650587,0.573964065869929
"DHX58",-0.391920087812292,0.0834767867727658,-1.54135975680109,0.131426998356989,0.244981809921795
"TLR3",-0.649961747239957,0.382996116152595,-2.72527389627076,0.00962189196622104,0.0411117202193081
"TLR7",-1.11625453160842,0.143467297305269,-3.16557000086841,0.00302646849515612,0.0158048910302597
"TLR8",-1.27426122486328,0.14462570005505,-5.01376972350888,1.24061872888311e-05,0.000330507674771903
"TLR9",-0.600173060152466,-0.0979865185674214,-3.3803431921081,0.00167359640421289,0.0107877016469075
"MAVS",-0.220958686380107,-0.021657996823758,-1.14507276616411,0.259262790884881,0.39307584424482
"TBK1",-0.195751896751505,0.0783656222316984,-1.41026457851338,0.166507362654341,0.279494501598359
"IRF3",-0.296966206665122,0.0373065797758941,-1.96317033449109,0.0568956887100566,0.133704868468633
"IRF7",-0.465822789432557,-0.170089059211804,-1.50902289936307,0.139474181818326,0.244981809921795
"STAT1",-0.470265845826942,0.0199200789959591,-1.50409580549711,0.14073423123167,0.244981809921795
"STAT2",-1.16092439270172,0.0819193912345423,-4.97377770731338,1.40641563732725e-05,0.000330507674771903
"IFIT1",0.224900881034597,0.0941598120066681,0.485445517606142,0.630117477423386,0.688733056718584
"IFIT2",-0.231093844610923,0.3024471327622,-0.659671807749331,0.513400002680528,0.652156760161751
"IFIT3",-0.333970118966077,0.201827678084401,-0.834383535523551,0.409223505719825,0.573964065869929
"OAS1",-0.253489882767821,0.161165699700584,-0.569354816571112,0.572429609529424,0.665341565775984
"OAS2",-0.287013794133501,0.199684667417789,-0.665530515521957,0.509687622893802,0.652156760161751
"OAS3",-0.236549918092249,0.055313301627628,-0.54178688610478,0.591094036574732,0.665341565775984
"RNASEL",-0.76010728475816,0.272464648917971,-3.64221319488965,0.000795500033268575,0.0074777003127246
"MX1",-0.224407639481794,0.141173613716523,-0.456381109379001,0.650685755796324,0.695050693691528
"MX2",-0.893856244887513,0.432042667844711,-2.50493983358448,0.0166031274581647,0.0557390707524102
"ISG15",0.848635115421495,-0.216686144646742,1.87179678177125,0.0688629195929052,0.147116237312116
"RSAD2",-0.269168448180514,0.146439670557844,-0.62410698097148,0.536246114260474,0.663251772901112
"BST2",-0.164447836079606,-0.301409215935903,-0.545860565538274,0.588317768144532,0.665341565775984
"IFI44",-0.554431118003085,-0.0216876755992964,-1.52477462827839,0.135506321157146,0.244981809921795
"IFI44L",-1.01580070809111,0.000875296405930373,-2.17299072052846,0.0360135685209911,0.0995669247345047
"IFI6",0.584438405416628,-0.126961760406196,0.99186427379997,0.327470223507804,0.480971890777087
"EIF2AK2",-0.0568580714252206,0.150447319268427,-0.220708256568262,0.826488412350732,0.835505421955145
"B2M",-0.706960640005019,-0.0627927334385144,-2.65716726066119,0.0114182229278523,0.0412812675083889
"HLA-A",-0.524104958698881,-0.00664627301364259,-1.89930439427737,0.0650521051504093,0.145592806765202
"HLA-B",-0.798565010538496,0.0470104309200518,-2.68561255770452,0.010633291254259,0.0412812675083889
"HLA-C",-0.454233192641955,0.0408278143939526,-2.05850502676533,0.0463698489613827,0.12107682784361
"TAP1",-0.381169957280977,-0.143285949893921,-1.27349769718152,0.210493231742486,0.341144203168856
"TAPBP",-0.54245886992151,0.00736033242551554,-2.45540788868128,0.0187066256699605,0.0586140937658762
"PSMB8",-0.261120809799873,-0.0229260999582751,-1.17350781350633,0.247816624713422,0.388246045384361
"PSMB9",-0.468297670506453,-0.0613327278400871,-1.79621038178952,0.0803284147006764,0.164149369170947
"NLRC5",-0.921927658396676,-0.0666540439138353,-3.34712231125787,0.00183620453564383,0.0107877016469075
"CXCL9",-1.24231337514694,-0.678167011960227,-2.21384869526989,0.0328470959889989,0.0964883444676843
"CXCL10",-0.308310573296765,-0.504747045640173,-0.536713208573194,0.594560548140241,0.665341565775984
"CXCL11",-0.361789815411749,-0.484827896521247,-0.74270339369028,0.46217880189967,0.620640105408128
"CCL5",-0.912056073295706,-0.0634201425179567,-2.02201844447122,0.0501784267069329,0.124125581853992
