"gene_id","r_rb","p_value","padj","trajectory"
"ADIG",-0.0777509191571824,0.643665630283857,0.798861320795804,"NS"
"USH1G",-0.244287046447033,0.141018401644017,0.307280389863098,"NS"
"TRPC2",0.338496137734859,0.0387388302383996,0.126416580676166,"NS"
"MGAT4C",-0.0185587761646079,0.912205121681974,0.965040905029264,"NS"
"TRIM49B",0.0725419100682256,0.66610220723799,0.814225131406434,"NS"
"IDH2",-0.294204818760933,0.0746240552938558,0.199790750923413,"NS"
"OR52A1",0.0543569147402145,0.74658496484637,0.86863691564513,"NS"
"PTCHD3",0.242047603375423,0.145445187388329,0.314432698179797,"NS"
"OR6B2",0.0243627596574397,0.884909829866039,0.95002295547782,"NS"
"TMEM259",0.421037541398875,0.00885884906105248,0.0445702284745841,"NS"
"GET1",-0.20725666745843,0.214432766887177,0.409767827320488,"NS"
"TNRC18",0.278978538319088,0.0916925085364741,0.22994863805093,"NS"
"FAM181B",0.0800688261325868,0.634681109020692,0.792967196742559,"NS"
"CDC50B",-0.0387426436981338,0.818383228330427,0.91200013850043,"NS"
"DEXI",0.00343253553278935,0.983774698011658,1,"NS"
"ZNF716",-0.128141591918562,0.444639054850494,0.650448336635116,"NS"
"NOP10",-0.39665391174023,0.0142236833729071,0.0621207298202118,"NS"
"FAM89A",0.25715718114878,0.121195536798081,0.277624033972,"NS"
"KCNIP1",0.112675752835279,0.503043565367153,0.699596389667743,"NS"
"TDRKH",-0.130201790701348,0.438508647964064,0.644730588793529,"NS"
"ZNF708",0.201781314320876,0.227059467052763,0.426348636280133,"NS"
"IST1",0.38765762573581,0.0167980221384203,0.070149813730837,"NS"
"ERCC6L2",0.330019971404129,0.0442160379124302,0.138932793416809,"NS"
"MRPL41",-0.509480211983903,0.00116013417918224,0.0108060070059319,"NS"
"ENPP7",0.095560016244342,0.569371189752159,0.747539171614662,"NS"
"CREB3L2",0.527196366058012,0.000720695783181706,0.00785035679523893,"NS"
"P2RY8",0.660636047807615,7.1823997257163e-06,0.000532280131094716,"Fun-CIM"
"TP53TG1",-0.125025213627848,0.457080239341962,0.661421993400721,"NS"
"UNC5C",0.415658379116443,0.00986299907303959,0.0481119687316637,"NS"
"MRGPRG",-0.0232272935219282,0.890240476228484,0.953157048106864,"NS"
"TSEN54",-0.520103105346248,0.000874742050447507,0.0089617640771271,"NS"
"RGMA",0.40918155809172,0.0111993353766504,0.0526303661327961,"NS"
"ASB18",0.113971182737209,0.497188601646983,0.694934068211124,"NS"
"UBA7",0.588639483341295,0.000110973191352137,0.00244069797829627,"NS"
"MRPS16",-0.569141431288035,0.000209158967478473,0.00353997369277967,"NS"
"SHISAL2A",0.248791245959828,0.134217033392719,0.297157511213614,"NS"
"RAD51B",0.120437106726474,0.473887641782059,0.675896106623154,"NS"
