GeneSet,AnalysisPool,CohortType,Contrast,FryTest,CameraTest,PrimaryInference,Fry_NGenes,Fry_Direction,Fry_PValue,Fry_FDR,Fry_PValue.Mixed,Fry_FDR.Mixed,Camera_NGenes,Camera_Direction,Camera_PValue,Camera_FDR,MeanZscore_Cluster1_DysCIM,MeanZscore_Cluster2_FunCIM,MeanZscore_Delta_DysCIM_minus_FunCIM
"Apoptosis","Five a priori ICD programs","human","Dys-CIM - Fun-CIM","fry with independent patient samples","camera","Nominal PValue",20,"Down",0.000146780597703397,0.000366951494258491,1.00088493151778e-08,5.00442465758889e-08,20,"Down",0.0128168350484858,0.0320420876212145,-0.347521399128634,0.31276925921577,-0.660290658344404
"Necroptosis","Five a priori ICD programs","human","Dys-CIM - Fun-CIM","fry with independent patient samples","camera","Nominal PValue",8,"Down",1.78400121538847e-05,8.92000607694237e-05,0.000205677497544147,0.000514193743860367,8,"Down",0.00155469770734024,0.00777348853670121,-0.493980909403986,0.444582818463587,-0.938563727867573
"Pyroptosis","Five a priori ICD programs","human","Dys-CIM - Fun-CIM","fry with independent patient samples","camera","Nominal PValue",12,"Down",0.00509623938960914,0.00637029923701143,0.00388218045394077,0.00647030075656795,12,"Down",0.056055092845849,0.0700688660573113,-0.352651309279748,0.317386178351773,-0.670037487631521
"PANoptosis","Five a priori ICD programs","human","Dys-CIM - Fun-CIM","fry with independent patient samples","camera","Nominal PValue",9,"Down",0.00262058585836973,0.00436764309728288,0.0692035323117293,0.0865044153896617,9,"Down",0.0349623002993386,0.0582705004988977,-0.404319572714637,0.363887615443173,-0.76820718815781
"Ferroptosis","Five a priori ICD programs","human","Dys-CIM - Fun-CIM","fry with independent patient samples","camera","Nominal PValue",5,"Down",0.0153783972438223,0.0153783972438223,0.766026943182213,0.766026943182213,5,"Down",0.265187819071948,0.265187819071948,-0.338348643486335,0.304513779137702,-0.642862422624037
"GOBP_INFLAMMATORY_CELL_APOPTOTIC_PROCESS","Standalone prespecified pathway","human","Dys-CIM - Fun-CIM","fry with independent patient samples","camera","Nominal PValue",23,"Down",0.000154341008100854,NA,7.7343075069599e-08,NA,23,"Down",0.00273768223214034,NA,-0.373462585681527,0.336116327113374,-0.709578912794901
