"","x"
"284","TRBV10-3"
"285","TRBV11-1"
"286","TRBV11-2"
"287","TRBV11-3"
"288","TRBV12-3"
"289","TRBV12-4"
"290","TRBV12-5"
"291","TRBV13"
"292","TRBV14"
"293","TRBV16"
"294","TRBV17"
"295","TRBV18"
"296","TRBV19"
"297","TRBV2"
"298","TRBV20-1"
"299","TRBV23-1"
"300","TRBV24-1"
"301","TRBV25-1"
"302","TRBV27"
"303","TRBV28"
"304","TRBV29-1"
"305","TRBV3-1"
"306","TRBV30"
"307","TRBV4-1"
"308","TRBV4-2"
"309","TRBV5-1"
"310","TRBV5-3"
"311","TRBV5-4"
"312","TRBV5-5"
"313","TRBV5-6"
"314","TRBV5-7"
"315","TRBV6-1"
"316","TRBV6-4"
"317","TRBV6-5"
"318","TRBV6-6"
"319","TRBV6-7"
"320","TRBV6-8"
"321","TRBV7-1"
"322","TRBV7-2"
"323","TRBV7-3"
"324","TRBV7-4"
"325","TRBV7-6"
"326","TRBV7-7"
"327","TRBV7-9"
"328","TRBV9"
"329","TRDC"
"330","TRDD1"
"331","TRDJ1"
"332","TRDV1"
"333","TRDV2"
"334","TRDV3"
"335","TRGC1"
"336","TRGC2"
"337","TRGV1"
"338","TRGV10"
"339","TRGV11"
"340","TRGV2"
"341","TRGV3"
"342","TRGV4"
"343","TRGV5"
"344","TRGV8"
"345","TRGV9"
