scope,cim,cim_class,rho_threshold,gene,n_scope_datasets,k_datasets,all_datasets_contributed,k_concordant,direction_concordant,nki_smc,nki_smc_dir,neo,neo_dir,tnbc_cl,tnbc_cl_dir,fisher_stat,fisher_p,fisher_padj,fisher_sig,stouffer_Z,stouffer_p,stouffer_padj,stouffer_sig,mean_abs_rrb,rank_in_list,in_ora_universe,used_in_ora,analysis_label
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"MAP3K14",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",45.1492712678917,4.37120355775846e-08,2.5314842617381e-06,"YES",5.65145679723165,7.95468382837356e-09,8.26999599458259e-07,"YES",0.584,33,TRUE,TRUE,"ALL3_NKI.NEO.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"SLC36A1",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",46.1430474932814,2.77262145929627e-08,1.97872347898287e-06,"YES",5.6388039819128,8.56176613952768e-09,8.49189425494073e-07,"YES",0.56,34,TRUE,TRUE,"ALL3_NKI.NEO.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"HLA-E",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",46.5158639737478,2.33681019317685e-08,1.84690014211263e-06,"YES",5.62315948971145,9.37480727229784e-09,8.98905071406414e-07,"YES",0.572,35,TRUE,TRUE,"ALL3_NKI.NEO.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"CLDN15",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",44.9004710683536,4.89823983556457e-08,2.62527400876315e-06,"YES",5.62314616100486,9.37553093366291e-09,8.98905071406414e-07,"YES",0.569,36,TRUE,TRUE,"ALL3_NKI.NEO.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"TNFRSF1B",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",44.5305881748642,5.80088630367861e-08,2.99735616254148e-06,"YES",5.60883282523541,1.01847831741797e-08,9.65763670439525e-07,"YES",0.539,37,TRUE,TRUE,"ALL3_NKI.NEO.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"HAAO",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",44.251313240381,6.59050794589563e-08,3.19491534073783e-06,"YES",5.59898542884332,1.07804958648361e-08,9.93525294043402e-07,"YES",0.543,38,TRUE,TRUE,"ALL3_NKI.NEO.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"NBPF12",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",44.948574045002,4.79163143431402e-08,2.60043947463495e-06,"YES",5.58403054666214,1.17503700330844e-08,1.04529838160294e-06,"YES",0.586,39,TRUE,TRUE,"ALL3_NKI.NEO.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"TSHZ2",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",47.2787051873797,1.6462772444842e-08,1.49533961501622e-06,"YES",5.58111677871244,1.19489557234967e-08,1.04797016315776e-06,"YES",0.532,40,TRUE,TRUE,"ALL3_NKI.NEO.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"TMEM91",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",44.1582285963419,6.8767837023183e-08,3.26042673446729e-06,"YES",5.57340988794422,1.24900445736817e-08,1.0670949963e-06,"YES",0.57,41,TRUE,TRUE,"ALL3_NKI.NEO.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"RANBP10",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",46.5445276832317,2.30627633965027e-08,1.84690014211263e-06,"YES",5.56562694436333,1.3060576993335e-08,1.08089057842259e-06,"YES",0.56,42,TRUE,TRUE,"ALL3_NKI.NEO.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
