"Method","Cell_Type","cluster","n_candidates","n_pairs_used","n_dropped","n_missing_biopsy","n_missing_surgery","n_missing_both","dropped_patient_ids"
"consensus_tme","T cell CD4+","C2",11,11,0,0,0,0,""
"consensus_tme","T cell CD8+","C2",11,11,0,0,0,0,""
"consensus_tme","T cell gamma delta","C2",11,11,0,0,0,0,""
"consensus_tme","T cell regulatory (Tregs)","C2",11,11,0,0,0,0,""
"consensus_tme","cytotoxicity score","C2",11,11,0,0,0,0,""
"consensus_tme","immune score","C2",11,11,0,0,0,0,""
"consensus_tme","B cell","C3",11,11,0,0,0,0,""
"consensus_tme","Cancer associated fibroblast","C3",11,11,0,0,0,0,""
"consensus_tme","Endothelial cell","C3",11,11,0,0,0,0,""
"consensus_tme","Eosinophil","C3",11,11,0,0,0,0,""
"consensus_tme","Macrophage","C3",11,11,0,0,0,0,""
"consensus_tme","Macrophage M1","C3",11,11,0,0,0,0,""
"consensus_tme","Macrophage M2","C3",11,11,0,0,0,0,""
"consensus_tme","Mast cell","C3",11,11,0,0,0,0,""
"consensus_tme","Monocyte","C3",11,11,0,0,0,0,""
"consensus_tme","Myeloid dendritic cell","C3",11,11,0,0,0,0,""
"consensus_tme","NK cell","C3",11,11,0,0,0,0,""
"consensus_tme","Neutrophil","C3",11,11,0,0,0,0,""
"consensus_tme","T cell CD4+","C3",11,11,0,0,0,0,""
"consensus_tme","T cell CD8+","C3",11,11,0,0,0,0,""
"consensus_tme","T cell gamma delta","C3",11,11,0,0,0,0,""
"consensus_tme","T cell regulatory (Tregs)","C3",11,11,0,0,0,0,""
"consensus_tme","cytotoxicity score","C3",11,11,0,0,0,0,""
"consensus_tme","immune score","C3",11,11,0,0,0,0,""
"epic","B cell","C1",14,14,0,0,0,0,""
"epic","Cancer associated fibroblast","C1",14,14,0,0,0,0,""
"epic","Endothelial cell","C1",14,14,0,0,0,0,""
"epic","Macrophage","C1",14,14,0,0,0,0,""
"epic","NK cell","C1",14,14,0,0,0,0,""
"epic","T cell CD4+","C1",14,14,0,0,0,0,""
"epic","T cell CD8+","C1",14,14,0,0,0,0,""
"epic","uncharacterized cell","C1",14,14,0,0,0,0,""
"epic","B cell","C2",11,11,0,0,0,0,""
"epic","Cancer associated fibroblast","C2",11,11,0,0,0,0,""
"epic","Endothelial cell","C2",11,11,0,0,0,0,""
"epic","Macrophage","C2",11,11,0,0,0,0,""
"epic","NK cell","C2",11,11,0,0,0,0,""
"epic","T cell CD4+","C2",11,11,0,0,0,0,""
"epic","T cell CD8+","C2",11,11,0,0,0,0,""
"epic","uncharacterized cell","C2",11,11,0,0,0,0,""
"epic","B cell","C3",11,11,0,0,0,0,""
"epic","Cancer associated fibroblast","C3",11,11,0,0,0,0,""
"epic","Endothelial cell","C3",11,11,0,0,0,0,""
"epic","Macrophage","C3",11,11,0,0,0,0,""
"epic","NK cell","C3",11,11,0,0,0,0,""
"epic","T cell CD4+","C3",11,11,0,0,0,0,""
"epic","T cell CD8+","C3",11,11,0,0,0,0,""
"epic","uncharacterized cell","C3",11,11,0,0,0,0,""
"estimate","ESTIMATEScore","C1",14,14,0,0,0,0,""
"estimate","ImmuneScore","C1",14,14,0,0,0,0,""
"estimate","StromalScore","C1",14,14,0,0,0,0,""
"estimate","TumorPurity","C1",14,14,0,0,0,0,""
"estimate","ESTIMATEScore","C2",11,11,0,0,0,0,""
"estimate","ImmuneScore","C2",11,11,0,0,0,0,""
"estimate","StromalScore","C2",11,11,0,0,0,0,""
"estimate","TumorPurity","C2",11,11,0,0,0,0,""
"estimate","ESTIMATEScore","C3",11,11,0,0,0,0,""
"estimate","ImmuneScore","C3",11,11,0,0,0,0,""
"estimate","StromalScore","C3",11,11,0,0,0,0,""
"estimate","TumorPurity","C3",11,11,0,0,0,0,""
"mcp_counter","B cell","C1",14,14,0,0,0,0,""
"mcp_counter","Cancer associated fibroblast","C1",14,14,0,0,0,0,""
"mcp_counter","Endothelial cell","C1",14,14,0,0,0,0,""
"mcp_counter","Macrophage/Monocyte","C1",14,14,0,0,0,0,""
"mcp_counter","Monocyte","C1",14,14,0,0,0,0,""
"mcp_counter","Myeloid dendritic cell","C1",14,14,0,0,0,0,""
"mcp_counter","NK cell","C1",14,14,0,0,0,0,""
"mcp_counter","Neutrophil","C1",14,14,0,0,0,0,""
"mcp_counter","T cell","C1",14,14,0,0,0,0,""
"mcp_counter","T cell CD8+","C1",14,14,0,0,0,0,""
"mcp_counter","cytotoxicity score","C1",14,14,0,0,0,0,""
"mcp_counter","B cell","C2",11,11,0,0,0,0,""
"mcp_counter","Cancer associated fibroblast","C2",11,11,0,0,0,0,""
"mcp_counter","Endothelial cell","C2",11,11,0,0,0,0,""
"mcp_counter","Macrophage/Monocyte","C2",11,11,0,0,0,0,""
"mcp_counter","Monocyte","C2",11,11,0,0,0,0,""
"mcp_counter","Myeloid dendritic cell","C2",11,11,0,0,0,0,""
"mcp_counter","NK cell","C2",11,11,0,0,0,0,""
"mcp_counter","Neutrophil","C2",11,11,0,0,0,0,""
"mcp_counter","T cell","C2",11,11,0,0,0,0,""
"mcp_counter","T cell CD8+","C2",11,11,0,0,0,0,""
"mcp_counter","cytotoxicity score","C2",11,11,0,0,0,0,""
"mcp_counter","B cell","C3",11,11,0,0,0,0,""
"mcp_counter","Cancer associated fibroblast","C3",11,11,0,0,0,0,""
"mcp_counter","Endothelial cell","C3",11,11,0,0,0,0,""
"mcp_counter","Macrophage/Monocyte","C3",11,11,0,0,0,0,""
"mcp_counter","Monocyte","C3",11,11,0,0,0,0,""
"mcp_counter","Myeloid dendritic cell","C3",11,11,0,0,0,0,""
"mcp_counter","NK cell","C3",11,11,0,0,0,0,""
"mcp_counter","Neutrophil","C3",11,11,0,0,0,0,""
"mcp_counter","T cell","C3",11,11,0,0,0,0,""
"mcp_counter","T cell CD8+","C3",11,11,0,0,0,0,""
"mcp_counter","cytotoxicity score","C3",11,11,0,0,0,0,""
"quantiseq","B cell","C1",14,14,0,0,0,0,""
"quantiseq","Macrophage M1","C1",14,14,0,0,0,0,""
"quantiseq","Macrophage M2","C1",14,14,0,0,0,0,""
"quantiseq","Monocyte","C1",14,14,0,0,0,0,""
"quantiseq","Myeloid dendritic cell","C1",14,14,0,0,0,0,""
"quantiseq","NK cell","C1",14,14,0,0,0,0,""
"quantiseq","Neutrophil","C1",14,14,0,0,0,0,""
