"Method","Cell_Type","Timepoint","test","p_value","FDR","n_clusters","note","C1_n","C2_n","C3_n","C1_mean","C2_mean","C3_mean","C1_sd","C2_sd","C3_sd"
"CIBERSORTx","Monocytes","Biopsy","kruskal",0.477195227599289,0.551198765569232,3,NA,14,11,11,0.0228179405936467,0.0194499196801955,0.0100165974755036,0.0273164191779419,0.0215869220812097,0.00902219833013993
"CIBERSORTx","NK cells activated","Biopsy","kruskal",0.0513439478073588,0.115523882566557,3,NA,14,11,11,0.0172504789897525,0.0352836208235052,0.015193602562867,0.0155754063236122,0.025393604618729,0.0102136044142065
"CIBERSORTx","NK cells resting","Biopsy","kruskal",0.15452693759642,0.241625552642801,3,NA,14,11,11,0.0110829317994427,0.00313765641306731,0.00739553174859477,0.01095275551687,0.00385226518394863,0.0107187801216324
"CIBERSORTx","Neutrophils","Biopsy","kruskal",0.116417554335666,0.19800150973625,3,NA,14,11,11,0.00481513733445415,0.00196312996613605,0.00403702262586266,0.00463677708821696,0.00429942853884294,0.00373739582642968
"CIBERSORTx","Plasma cells","Biopsy","kruskal",0.347477766996751,0.433845073244499,3,NA,14,11,11,0.00472485460392193,0.00560769977956455,0.0114288923274988,0.00768340894254565,0.00922874059947654,0.0186066914260361
"CIBERSORTx","T cells CD4+ (general)","Biopsy","kruskal",0.842923838476302,0.87957270101875,3,NA,14,11,11,0.149970395554944,0.14456721707441,0.145709065788034,0.0681524794402321,0.0462097034911995,0.0504247851302615
"CIBERSORTx","T cells CD8+ (total)","Biopsy","kruskal",0.0386745312598684,0.0968686390639124,3,NA,14,11,11,0.0879176044748044,0.120083996038496,0.0850286919987375,0.0359591322546678,0.0304767576438416,0.0322635783160669
"CIBERSORTx","T cells follicular helper","Biopsy","kruskal",0.369745722923672,0.443694867508406,3,NA,14,11,11,0.0648498398324561,0.074103393514171,0.0613063059462416,0.0326682203373247,0.0291139262836468,0.0311274787614807
"CIBERSORTx","T cells gamma delta","Biopsy","kruskal",0.13819917574388,0.224443774140437,3,NA,14,11,11,0.00455733979591168,0.0212611900715018,0.00379140883237874,0.0132573471578412,0.0329275626461239,0.00851262684842701
"CIBERSORTx","T cells regulatory (Tregs)","Biopsy","kruskal",0.630388356001277,0.680819424481379,3,NA,14,11,11,0.0274112238265097,0.0201356891828751,0.026295973364998,0.0184131465321771,0.0148367914938519,0.019567747555501
"consensus_tme","B cell","Biopsy","kruskal",0.0141329969098639,0.0517608195590682,3,NA,14,11,11,-0.0604241524705152,0.0437145632248607,-0.100256622176346,0.0840405675881478,0.119424011694826,0.0996464433413083
"consensus_tme","Cancer associated fibroblast","Biopsy","kruskal",0.324343990944018,0.415322923958348,3,NA,14,11,11,0.251876393853267,0.235818751170768,0.298535941960495,0.160155548049647,0.0774916797303338,0.106361359515952
