signature,n,events,HR_per_1SD_delta,conf_low,conf_high,p_value,proportional_hazards_p,model_status,p_adjust_bh
Dys-CIM,20,6,2.8571739488919548,1.075217997171347,7.592360800975247,0.03525585431696991,0.24750415797657663,converged,0.03525585431696991
Fun-CIM,20,6,0.3214620850222837,0.12442456559319057,0.8305262840518153,0.019108500771194182,0.4559630351685869,converged,0.03525585431696991
