"Method","Cell_Type","Timepoint","test","p_value","FDR","n_clusters","note","Dys-CIM_n","Fun-CIM_n","Dys-CIM_mean","Fun-CIM_mean","Dys-CIM_sd","Fun-CIM_sd"
"CIBERSORTx","B cells memory","Biopsy","wilcox_rank_sum",0.902523250177679,1,2,NA,9,10,0.0320086999498689,0.0407034455601453,0.0253212782225979,0.0539950089542061
"CIBERSORTx","B cells naive","Biopsy","wilcox_rank_sum",0.133698900382488,0.97332032972522,2,NA,9,10,0.00173783019977957,0.00635000523586909,0.00386850532264762,0.0103647599796921
"CIBERSORTx","Dendritic cells activated","Biopsy","wilcox_rank_sum",0.916112144802164,1,2,NA,9,10,0.00400880244797409,0.00212958457068292,0.00932849352648805,0.0056545934362802
"CIBERSORTx","Dendritic cells resting","Biopsy","wilcox_rank_sum",0.59561089947573,0.97332032972522,2,NA,9,10,0.0317947288246626,0.0157990498971566,0.0452517481561233,0.00677289440816101
"CIBERSORTx","Eosinophils","Biopsy","wilcox_rank_sum",0.813556658028305,0.994853851974387,2,NA,9,10,0.00450064883802285,0.00164698926062644,0.0115824134471604,0.00270835694175351
"CIBERSORTx","Macrophages M0","Biopsy","wilcox_rank_sum",0.485748834976158,0.97332032972522,2,NA,9,10,0.0959653223230137,0.0262824029964707,0.131904201482109,0.0286377595939391
"CIBERSORTx","Macrophages M1","Biopsy","wilcox_rank_sum",0.205667179617355,0.97332032972522,2,NA,9,10,0.0648620171499776,0.0913081536579127,0.0314775648463738,0.0439071537697835
"CIBERSORTx","Macrophages M2","Biopsy","wilcox_rank_sum",0.54029137460742,0.97332032972522,2,NA,9,10,0.226123528867466,0.258404789586223,0.0842242068308166,0.0923161493027123
"CIBERSORTx","Mast cells activated","Biopsy","wilcox_rank_sum",0.651949338618715,0.97332032972522,2,NA,9,10,0.0293253648412518,0.0395685356813557,0.0400269554324262,0.0612334678902268
"CIBERSORTx","Mast cells resting","Biopsy","wilcox_rank_sum",0.343476943858725,0.97332032972522,2,NA,9,10,0.0686152792412543,0.0470645853824595,0.0587886962895994,0.0611554833179228
"CIBERSORTx","Monocytes","Biopsy","wilcox_rank_sum",0.345496347757784,0.97332032972522,2,NA,9,10,0.0114157204872485,0.00282199350206825,0.0171208218330656,0.00680432661931551
"CIBERSORTx","NK cells activated","Biopsy","wilcox_rank_sum",1,1,2,NA,9,10,0.068271314956583,0.0684411989105338,0.0483661052789207,0.0384656384312757
"CIBERSORTx","NK cells resting","Biopsy","wilcox_rank_sum",0.330554543864976,0.97332032972522,2,NA,9,10,0.00424933741367959,0.0039306116189758,0.00835656942601006,0.0124296853134854
"CIBERSORTx","Neutrophils","Biopsy","wilcox_rank_sum",0.391267279282639,0.97332032972522,2,NA,9,10,0.0165324057319739,0.0196309571587503,0.0104021495716615,0.00990844839793722
"CIBERSORTx","Plasma cells","Biopsy","wilcox_rank_sum",0.390434615842279,0.97332032972522,2,NA,9,10,0.0100741848679454,0.00455328796949568,0.0119354102851372,0.00691017352272383
"CIBERSORTx","T cells CD4+ (general)","Biopsy","wilcox_rank_sum",0.391267279282639,0.97332032972522,2,NA,9,10,0.133751859420225,0.161748997398754,0.0790989193896135,0.0701860164903687
"CIBERSORTx","T cells CD8+ (total)","Biopsy","wilcox_rank_sum",0.775051373670082,0.97332032972522,2,NA,9,10,0.134773402446421,0.124113765724268,0.0645126680774966,0.0433888724467584
"CIBERSORTx","T cells follicular helper","Biopsy","wilcox_rank_sum",0.452982008051273,0.97332032972522,2,NA,9,10,0.016616628895899,0.0179057530432559,0.0404011162192447,0.0280868947396161
"CIBERSORTx","T cells gamma delta","Biopsy","wilcox_rank_sum",0.435922949545335,0.97332032972522,2,NA,9,10,0.0451732163777004,0.0674327603248012,0.0464257642828335,0.0611918909260063
"CIBERSORTx","T cells regulatory (Tregs)","Biopsy","wilcox_rank_sum",0.938959222325739,1,2,NA,9,10,0.000199706719053194,0.000163132520194833,0.000599120157159583,0.000515870324259087
"consensus_tme","B cell","Biopsy","wilcox_rank_sum",0.487668353458931,0.97332032972522,2,NA,9,10,0.520957770411871,0.502743784127511,0.137865964001995,0.185609868697785
"consensus_tme","Cancer associated fibroblast","Biopsy","wilcox_rank_sum",0.967435545139537,1,2,NA,9,10,0.762235094128017,0.802120017106023,0.201747304767618,0.0940548895502118
"consensus_tme","Endothelial cell","Biopsy","wilcox_rank_sum",0.27034414065478,0.97332032972522,2,NA,9,10,0.764762226957712,0.840034997886561,0.19337704266355,0.0728773113998747
"consensus_tme","Eosinophil","Biopsy","wilcox_rank_sum",0.967435545139537,1,2,NA,9,10,0.868281239662747,0.871797934094306,0.14201144276621,0.150507494478483
"consensus_tme","Macrophage","Biopsy","wilcox_rank_sum",0.59561089947573,0.97332032972522,2,NA,9,10,0.81099113216097,0.803410781120155,0.203988769221455,0.132324828446951
"consensus_tme","Macrophage M1","Biopsy","wilcox_rank_sum",0.775051373670082,0.97332032972522,2,NA,9,10,0.817733436755322,0.829330255892747,0.225181126524825,0.127518596555547
"consensus_tme","Macrophage M2","Biopsy","wilcox_rank_sum",0.838256486385826,0.994853851974387,2,NA,9,10,0.922695387969558,0.936893439001001,0.183275824131008,0.125788025734028
"consensus_tme","Mast cell","Biopsy","wilcox_rank_sum",0.775051373670082,0.97332032972522,2,NA,9,10,0.792138989584595,0.820113862869257,0.178692778970036,0.156007518428565
