"Method","Cell_Type","cluster","n_candidates","n_pairs","n_dropped","n_zero_delta","n_nonzero_delta","mean_biopsy","sd_biopsy","mean_surgery","sd_surgery","mean_delta","sd_delta","p_value","note","FDR"
"CIBERSORTx","Mast cells resting","Fun-CIM",10,10,0,2,8,0.0470645853824595,0.0611554833179228,0.0744375932218479,0.0824177695444081,0.0273730078393884,0.0877062410886789,0.293621543928906,NA,0.836984466893639
"CIBERSORTx","Monocytes","Fun-CIM",10,10,0,5,5,0.00282199350206825,0.00680432661931551,0.00561524702601059,0.00924146154004693,0.00279325352394234,0.00932573727088656,0.41849223344682,NA,0.836984466893639
"CIBERSORTx","NK cells activated","Fun-CIM",10,10,0,0,10,0.0684411989105338,0.0384656384312757,0.0857651967460871,0.035885143761173,0.0173239978355533,0.0534150219411091,0.414823067184775,NA,0.836984466893639
"CIBERSORTx","NK cells resting","Fun-CIM",10,10,0,8,2,0.0039306116189758,0.0124296853134854,0.00227900781499446,0.00720685550070613,-0.00165160380398134,0.0150446759898277,1,NA,1
"CIBERSORTx","Neutrophils","Fun-CIM",10,10,0,0,10,0.0196309571587503,0.00990844839793722,0.0168300666578308,0.00913768237244629,-0.00280089050091946,0.0114068826605852,0.610298655976554,NA,0.911307869601901
"CIBERSORTx","Plasma cells","Fun-CIM",10,10,0,1,9,0.00455328796949568,0.00691017352272383,0.00405598963787712,0.00451650846418997,-0.000497298331618559,0.00779558068769533,0.812703686128436,NA,0.956121983680513
"CIBERSORTx","T cells CD4+ (general)","Fun-CIM",10,10,0,0,10,0.161748997398754,0.0701860164903687,0.126637975415804,0.0583854334463041,-0.0351110219829503,0.0909657354790431,0.262192602406773,NA,0.836984466893639
"CIBERSORTx","T cells CD8+ (total)","Fun-CIM",10,10,0,0,10,0.124113765724268,0.0433888724467584,0.131567439011888,0.0652550136969487,0.00745367328761981,0.0748683370568819,0.683480902201426,NA,0.911307869601901
"CIBERSORTx","T cells follicular helper","Fun-CIM",10,10,0,3,7,0.0179057530432559,0.0280868947396161,0.0102603667128973,0.0234926381738917,-0.00764538633035862,0.0231502975341761,0.554113130069446,NA,0.911307869601901
"CIBERSORTx","T cells gamma delta","Fun-CIM",10,10,0,1,9,0.0674327603248012,0.0611918909260063,0.0657053068329913,0.0509360900860209,-0.00172745349180997,0.0478818243056313,1,NA,1
"CIBERSORTx","T cells regulatory (Tregs)","Fun-CIM",10,10,0,9,1,0.000163132520194833,0.000515870324259087,0.00334117269681898,0.0105657157779152,0.00317804017662415,0.0100498454536561,1,NA,1
"consensus_tme","B cell","Dys-CIM",9,9,0,0,9,0.520957770411871,0.137865964001995,0.565637367396457,0.110322212230571,0.0446795969845857,0.228721048269916,0.553616991965781,NA,1
"consensus_tme","Cancer associated fibroblast","Dys-CIM",9,9,0,0,9,0.762235094128017,0.201747304767618,0.771058397523797,0.0549253719965508,0.00882330339578025,0.172888821049413,0.47719661998877,NA,1
"consensus_tme","Endothelial cell","Dys-CIM",9,9,0,0,9,0.764762226957712,0.19337704266355,0.783708782432823,0.0579069740048542,0.0189465554751109,0.165937773242909,1,NA,1
"consensus_tme","Eosinophil","Dys-CIM",9,9,0,0,9,0.868281239662747,0.14201144276621,0.905213717317162,0.07780423772545,0.0369324776544158,0.147499155781932,0.635586122278767,NA,1
"consensus_tme","Macrophage","Dys-CIM",9,9,0,0,9,0.81099113216097,0.203988769221455,0.811328061515038,0.0890903312123003,0.00033692935406765,0.208682483102435,0.635586122278767,NA,1
"consensus_tme","Macrophage M1","Dys-CIM",9,9,0,0,9,0.817733436755322,0.225181126524825,0.863044424835705,0.092020427488671,0.045310988080383,0.235017252042472,0.812703686128436,NA,1
"consensus_tme","Macrophage M2","Dys-CIM",9,9,0,0,9,0.922695387969558,0.183275824131008,0.935235496699618,0.0685476684058821,0.0125401087300601,0.188075912323029,0.635586122278767,NA,1
"consensus_tme","Mast cell","Dys-CIM",9,9,0,0,9,0.792138989584595,0.178692778970036,0.79212604470262,0.115834156976317,-0.0000129448819743601,0.229857934440493,1,NA,1
"consensus_tme","Monocyte","Dys-CIM",9,9,0,0,9,0.747069810049219,0.145606449183592,0.715086959931002,0.0760584449657834,-0.0319828501182171,0.164443205266801,0.47719661998877,NA,1
"consensus_tme","Myeloid dendritic cell","Dys-CIM",9,9,0,0,9,0.745600929185414,0.184751280282454,0.791116981334654,0.0677671850046581,0.0455160521492392,0.188757842190394,0.635586122278767,NA,1
"consensus_tme","NK cell","Dys-CIM",9,9,0,0,9,0.608353356754136,0.256486166899785,0.638256336907732,0.118661891337102,0.0299029801535962,0.313558083076659,0.812703686128436,NA,1
"consensus_tme","Neutrophil","Dys-CIM",9,9,0,0,9,0.67145537485928,0.152714982972501,0.63540118152334,0.118273015166477,-0.0360541933359406,0.204529992370192,0.722282962716192,NA,1
"consensus_tme","T cell CD4+","Dys-CIM",9,9,0,0,9,0.708374192825816,0.150303008323623,0.727009310255079,0.0912260676879887,0.0186351174292628,0.187158835418668,0.722282962716192,NA,1
"consensus_tme","T cell CD8+","Dys-CIM",9,9,0,0,9,0.688001060931376,0.174296493318236,0.697684033662068,0.0892651983560764,0.00968297273069155,0.213303722785343,0.722282962716192,NA,1
"consensus_tme","T cell gamma delta","Dys-CIM",9,9,0,0,9,0.676950302582077,0.201179310215456,0.713751420050583,0.0965133459061861,0.036801117468506,0.243354392282424,0.635586122278767,NA,1
"consensus_tme","T cell regulatory (Tregs)","Dys-CIM",9,9,0,0,9,0.707117790406944,0.1557814334598,0.702111833870417,0.117665383238924,-0.00500595653652734,0.205369174315157,1,NA,1
"consensus_tme","cytotoxicity score","Dys-CIM",9,9,0,0,9,0.682986289732938,0.229385851115976,0.750299389004815,0.0796483567759571,0.0673130992718764,0.263326819630509,0.47719661998877,NA,1
