"Patient_ID","Biopsy","Surgery","Delta","Method","Cell_Type","cluster"
"OB_0095",0.0191730985717061,0.00413805581346916,-0.0150350427582369,"CIBERSORTx","B cells naive","Dys-CIM"
"OB_0157",0.0136103961596861,0.0060425102674334,-0.0075678858922527,"CIBERSORTx","B cells naive","Dys-CIM"
"OB_0190",0.0137238804266142,0.00885842941603897,-0.00486545101057523,"CIBERSORTx","B cells naive","Dys-CIM"
"OB_0234",0,0,0,"CIBERSORTx","B cells naive","Dys-CIM"
"OB_0237",0.0627988076233074,0.0090663226313125,-0.0537324849919949,"CIBERSORTx","B cells naive","Dys-CIM"
"OB_0261",0,0,0,"CIBERSORTx","B cells naive","Dys-CIM"
"OB_0273",0,0,0,"CIBERSORTx","B cells naive","Dys-CIM"
"OB_0344",0.0404782989978655,0.0143693383897587,-0.0261089606081068,"CIBERSORTx","B cells naive","Dys-CIM"
"2271",0.00146869330167913,0,-0.00146869330167913,"CIBERSORTx","Dendritic cells activated","Fun-CIM"
"2472",0,0.0676182727030741,0.0676182727030741,"CIBERSORTx","Dendritic cells activated","Fun-CIM"
"2653",0,0,0,"CIBERSORTx","Dendritic cells activated","Fun-CIM"
"2661",0.00376596073667382,0,-0.00376596073667382,"CIBERSORTx","Dendritic cells activated","Fun-CIM"
"2677",0,0,0,"CIBERSORTx","Dendritic cells activated","Fun-CIM"
"2739",0,0,0,"CIBERSORTx","Dendritic cells activated","Fun-CIM"
"2789",0,0,0,"CIBERSORTx","Dendritic cells activated","Fun-CIM"
"2817",0,0,0,"CIBERSORTx","Dendritic cells activated","Fun-CIM"
"2852",0,0,0,"CIBERSORTx","Dendritic cells activated","Fun-CIM"
"2976",0,0,0,"CIBERSORTx","Dendritic cells activated","Fun-CIM"
"3001",0,0,0,"CIBERSORTx","Dendritic cells activated","Fun-CIM"
"3036",0,0,0,"CIBERSORTx","Dendritic cells activated","Fun-CIM"
"3065",0,0,0,"CIBERSORTx","Dendritic cells activated","Fun-CIM"
"3067",0,0,0,"CIBERSORTx","Dendritic cells activated","Fun-CIM"
"3130",0,0,0,"CIBERSORTx","Dendritic cells activated","Fun-CIM"
"3161",0,0,0,"CIBERSORTx","Dendritic cells activated","Fun-CIM"
"97",0,0,0,"CIBERSORTx","Dendritic cells activated","Fun-CIM"
"OB_0001",0,0,0,"CIBERSORTx","Dendritic cells activated","Fun-CIM"
"OB_0038",0,0.00400181539487281,0.00400181539487281,"CIBERSORTx","Dendritic cells activated","Fun-CIM"
"OB_0080",0,0,0,"CIBERSORTx","Dendritic cells activated","Fun-CIM"
"OB_0139",0,0,0,"CIBERSORTx","Dendritic cells activated","Fun-CIM"
"OB_0163",0,0,0,"CIBERSORTx","Dendritic cells activated","Fun-CIM"
"OB_0168",0,0,0,"CIBERSORTx","Dendritic cells activated","Fun-CIM"
"OB_0235",0,0,0,"CIBERSORTx","Dendritic cells activated","Fun-CIM"
"OB_0315",0,0,0,"CIBERSORTx","Dendritic cells activated","Fun-CIM"
"2046",0,0,0,"CIBERSORTx","Dendritic cells activated","Dys-CIM"
"2492",0,0,0,"CIBERSORTx","Dendritic cells activated","Dys-CIM"
"2691",0,0,0,"CIBERSORTx","Dendritic cells activated","Dys-CIM"
"OB_0095",0,0,0,"CIBERSORTx","Dendritic cells activated","Dys-CIM"
"OB_0157",0,0,0,"CIBERSORTx","Dendritic cells activated","Dys-CIM"
"OB_0190",0,0,0,"CIBERSORTx","Dendritic cells activated","Dys-CIM"
"OB_0234",0,0.0568983084866732,0.0568983084866732,"CIBERSORTx","Dendritic cells activated","Dys-CIM"
"OB_0237",0,0,0,"CIBERSORTx","Dendritic cells activated","Dys-CIM"
"OB_0261",0,0,0,"CIBERSORTx","Dendritic cells activated","Dys-CIM"
"OB_0273",0,0,0,"CIBERSORTx","Dendritic cells activated","Dys-CIM"
"OB_0344",0.00442967612890026,0,-0.00442967612890026,"CIBERSORTx","Dendritic cells activated","Dys-CIM"
"2271",0,0,0,"CIBERSORTx","Dendritic cells resting","Fun-CIM"
"2472",0,0,0,"CIBERSORTx","Dendritic cells resting","Fun-CIM"
"2653",0.00410420484908567,0,-0.00410420484908567,"CIBERSORTx","Dendritic cells resting","Fun-CIM"
"2661",0,0,0,"CIBERSORTx","Dendritic cells resting","Fun-CIM"
"2677",0.0203754882663323,0,-0.0203754882663323,"CIBERSORTx","Dendritic cells resting","Fun-CIM"
"2739",0.00343362988818485,0,-0.00343362988818485,"CIBERSORTx","Dendritic cells resting","Fun-CIM"
"2789",0,0.00969430988239223,0.00969430988239223,"CIBERSORTx","Dendritic cells resting","Fun-CIM"
"2817",0,0.0169743569436273,0.0169743569436273,"CIBERSORTx","Dendritic cells resting","Fun-CIM"
"2852",0.0163384457633003,0.019910520975655,0.0035720752123547,"CIBERSORTx","Dendritic cells resting","Fun-CIM"
"2976",0.000149980524483601,0,-0.000149980524483601,"CIBERSORTx","Dendritic cells resting","Fun-CIM"
"3001",0,0,0,"CIBERSORTx","Dendritic cells resting","Fun-CIM"
"3036",0.00478138235102592,0.0142324931385589,0.00945111078753298,"CIBERSORTx","Dendritic cells resting","Fun-CIM"
"3065",0.00180152079217018,0,-0.00180152079217018,"CIBERSORTx","Dendritic cells resting","Fun-CIM"
"3067",0,0,0,"CIBERSORTx","Dendritic cells resting","Fun-CIM"
"3130",0.017006217152218,0.0118812423392632,-0.0051249748129548,"CIBERSORTx","Dendritic cells resting","Fun-CIM"
"3161",0,0,0,"CIBERSORTx","Dendritic cells resting","Fun-CIM"
"97",0,0,0,"CIBERSORTx","Dendritic cells resting","Fun-CIM"
"OB_0001",0.0211091428085658,0.00606785623284584,-0.01504128657572,"CIBERSORTx","Dendritic cells resting","Fun-CIM"
"OB_0038",0.00204308313401594,0.0303524981519041,0.0283094150178882,"CIBERSORTx","Dendritic cells resting","Fun-CIM"
"OB_0080",0,0,0,"CIBERSORTx","Dendritic cells resting","Fun-CIM"
"OB_0139",0,0,0,"CIBERSORTx","Dendritic cells resting","Fun-CIM"
"OB_0163",0.00192008189266979,0.0275765752323982,0.0256564933397284,"CIBERSORTx","Dendritic cells resting","Fun-CIM"
"OB_0168",0.00194338411649679,0.0111691799610704,0.00922579584457361,"CIBERSORTx","Dendritic cells resting","Fun-CIM"
"OB_0235",0.0195526415326138,0.0318743329897757,0.0123216914571619,"CIBERSORTx","Dendritic cells resting","Fun-CIM"
"OB_0315",0.00888604454308303,0.00752552100410173,-0.0013605235389813,"CIBERSORTx","Dendritic cells resting","Fun-CIM"
"2046",0.0117405237403346,0.0189443999314278,0.0072038761910932,"CIBERSORTx","Dendritic cells resting","Dys-CIM"
"2492",0.0351481917283077,0.0114644132150131,-0.0236837785132946,"CIBERSORTx","Dendritic cells resting","Dys-CIM"
"2691",0,0.00109050812258544,0.00109050812258544,"CIBERSORTx","Dendritic cells resting","Dys-CIM"
"OB_0095",0.000513300680747267,0,-0.000513300680747267,"CIBERSORTx","Dendritic cells resting","Dys-CIM"
"OB_0157",0.00141872658987679,0.0136927616332676,0.0122740350433908,"CIBERSORTx","Dendritic cells resting","Dys-CIM"
"OB_0190",0.0235035017009969,0,-0.0235035017009969,"CIBERSORTx","Dendritic cells resting","Dys-CIM"
"OB_0234",0.089807468767087,0.0269290849090286,-0.0628783838580584,"CIBERSORTx","Dendritic cells resting","Dys-CIM"
"OB_0237",0.0433485277891849,0,-0.0433485277891849,"CIBERSORTx","Dendritic cells resting","Dys-CIM"
"OB_0261",0.13058409258572,0.0483431368667437,-0.0822409557189763,"CIBERSORTx","Dendritic cells resting","Dys-CIM"
"OB_0273",0.130651924998846,0,-0.130651924998846,"CIBERSORTx","Dendritic cells resting","Dys-CIM"
"OB_0344",0,0.135803469971192,0.135803469971192,"CIBERSORTx","Dendritic cells resting","Dys-CIM"
"2271",0,0,0,"CIBERSORTx","Eosinophils","Fun-CIM"
"2472",0,0,0,"CIBERSORTx","Eosinophils","Fun-CIM"
"2653",0,0,0,"CIBERSORTx","Eosinophils","Fun-CIM"
"2661",0,0,0,"CIBERSORTx","Eosinophils","Fun-CIM"
"2677",0,0,0,"CIBERSORTx","Eosinophils","Fun-CIM"
"2739",0,0,0,"CIBERSORTx","Eosinophils","Fun-CIM"
"2789",0,0,0,"CIBERSORTx","Eosinophils","Fun-CIM"
"2817",0,0,0,"CIBERSORTx","Eosinophils","Fun-CIM"
"2852",0,0,0,"CIBERSORTx","Eosinophils","Fun-CIM"
"2976",0,0,0,"CIBERSORTx","Eosinophils","Fun-CIM"
"3001",0,0,0,"CIBERSORTx","Eosinophils","Fun-CIM"
"3036",0,0,0,"CIBERSORTx","Eosinophils","Fun-CIM"
"3065",0,0,0,"CIBERSORTx","Eosinophils","Fun-CIM"
"3067",0,0,0,"CIBERSORTx","Eosinophils","Fun-CIM"
"3130",0,0,0,"CIBERSORTx","Eosinophils","Fun-CIM"
"3161",0,0,0,"CIBERSORTx","Eosinophils","Fun-CIM"
"97",0,0,0,"CIBERSORTx","Eosinophils","Fun-CIM"
"OB_0001",0,0,0,"CIBERSORTx","Eosinophils","Fun-CIM"
"OB_0038",0,0,0,"CIBERSORTx","Eosinophils","Fun-CIM"
"OB_0080",0,0,0,"CIBERSORTx","Eosinophils","Fun-CIM"
"OB_0139",0,0,0,"CIBERSORTx","Eosinophils","Fun-CIM"
"OB_0163",0,0,0,"CIBERSORTx","Eosinophils","Fun-CIM"
"OB_0168",0,0,0,"CIBERSORTx","Eosinophils","Fun-CIM"
"OB_0235",0,0,0,"CIBERSORTx","Eosinophils","Fun-CIM"
"OB_0315",0,0,0,"CIBERSORTx","Eosinophils","Fun-CIM"
"2046",0,0,0,"CIBERSORTx","Eosinophils","Dys-CIM"
"2492",0,0,0,"CIBERSORTx","Eosinophils","Dys-CIM"
"2691",0,0,0,"CIBERSORTx","Eosinophils","Dys-CIM"
"OB_0095",0,0,0,"CIBERSORTx","Eosinophils","Dys-CIM"
"OB_0157",0,0,0,"CIBERSORTx","Eosinophils","Dys-CIM"
"OB_0190",0,0,0,"CIBERSORTx","Eosinophils","Dys-CIM"
"OB_0234",0,0,0,"CIBERSORTx","Eosinophils","Dys-CIM"
"OB_0237",0,0,0,"CIBERSORTx","Eosinophils","Dys-CIM"
"OB_0261",0,0,0,"CIBERSORTx","Eosinophils","Dys-CIM"
"OB_0273",0,0,0,"CIBERSORTx","Eosinophils","Dys-CIM"
"OB_0344",0,0,0,"CIBERSORTx","Eosinophils","Dys-CIM"
"2271",0.308173108947087,0.178487718895033,-0.129685390052054,"CIBERSORTx","Macrophages M0","Fun-CIM"
"2472",0.0682123687120827,0.142481603240469,0.0742692345283863,"CIBERSORTx","Macrophages M0","Fun-CIM"
"2653",0,0.247563047134088,0.247563047134088,"CIBERSORTx","Macrophages M0","Fun-CIM"
"2661",0.0177784211568222,0.155610291863638,0.137831870706816,"CIBERSORTx","Macrophages M0","Fun-CIM"
"2677",0,0,0,"CIBERSORTx","Macrophages M0","Fun-CIM"
"2739",0,0,0,"CIBERSORTx","Macrophages M0","Fun-CIM"
"2789",0.0526426020553572,0.0346500764971873,-0.0179925255581699,"CIBERSORTx","Macrophages M0","Fun-CIM"
"2817",0.00144647091880431,0,-0.00144647091880431,"CIBERSORTx","Macrophages M0","Fun-CIM"
"2852",0.0170426078512347,0,-0.0170426078512347,"CIBERSORTx","Macrophages M0","Fun-CIM"
"2976",0.0617993702993713,0.191219870980784,0.129420500681413,"CIBERSORTx","Macrophages M0","Fun-CIM"
"3001",0.109002946935188,0,-0.109002946935188,"CIBERSORTx","Macrophages M0","Fun-CIM"
"3036",0.156887243567296,0.0221006613678096,-0.134786582199486,"CIBERSORTx","Macrophages M0","Fun-CIM"
"3065",0,0,0,"CIBERSORTx","Macrophages M0","Fun-CIM"
"3067",0,0,0,"CIBERSORTx","Macrophages M0","Fun-CIM"
"3130",0.0103307197920916,0,-0.0103307197920916,"CIBERSORTx","Macrophages M0","Fun-CIM"
"3161",0.20007724932874,0.0177030582198816,-0.182374191108858,"CIBERSORTx","Macrophages M0","Fun-CIM"
"97",0.100584054178919,0.265606678466276,0.165022624287357,"CIBERSORTx","Macrophages M0","Fun-CIM"
"OB_0001",0,0,0,"CIBERSORTx","Macrophages M0","Fun-CIM"
"OB_0038",0.17932897551444,0.232581593891912,0.053252618377472,"CIBERSORTx","Macrophages M0","Fun-CIM"
"OB_0080",0.252671885336532,0.142609583293046,-0.110062302043486,"CIBERSORTx","Macrophages M0","Fun-CIM"
"OB_0139",0.102668625170729,0.109701817827527,0.007033192656798,"CIBERSORTx","Macrophages M0","Fun-CIM"
"OB_0163",0.443844786443684,0.115197860815078,-0.328646925628606,"CIBERSORTx","Macrophages M0","Fun-CIM"
"OB_0168",0,0,0,"CIBERSORTx","Macrophages M0","Fun-CIM"
"OB_0235",0,0,0,"CIBERSORTx","Macrophages M0","Fun-CIM"
"OB_0315",0.0674917060129793,0,-0.0674917060129793,"CIBERSORTx","Macrophages M0","Fun-CIM"
"2046",0.167828187587224,0.213952897386732,0.046124709799508,"CIBERSORTx","Macrophages M0","Dys-CIM"
"2492",0.136651524080258,0.15374595573879,0.017094431658532,"CIBERSORTx","Macrophages M0","Dys-CIM"
"2691",0.102396450653501,0.0269458255049359,-0.0754506251485651,"CIBERSORTx","Macrophages M0","Dys-CIM"
"OB_0095",0.0157353784233168,0,-0.0157353784233168,"CIBERSORTx","Macrophages M0","Dys-CIM"
"OB_0157",0.0652090492874355,0.0114649933680913,-0.0537440559193442,"CIBERSORTx","Macrophages M0","Dys-CIM"
"OB_0190",0,0.179343286814909,0.179343286814909,"CIBERSORTx","Macrophages M0","Dys-CIM"
"OB_0234",0.0385740236051218,0.0815391896802429,0.0429651660751211,"CIBERSORTx","Macrophages M0","Dys-CIM"
"OB_0237",0.0579699459384168,0.069994998364245,0.0120250524258282,"CIBERSORTx","Macrophages M0","Dys-CIM"
"OB_0261",0.0125261295106555,0.14513007302411,0.132603943513455,"CIBERSORTx","Macrophages M0","Dys-CIM"
"OB_0273",0.0237986268500108,0.049568518794957,0.0257698919449462,"CIBERSORTx","Macrophages M0","Dys-CIM"
"OB_0344",0.00241259972419494,0.0204280771430033,0.0180154774188084,"CIBERSORTx","Macrophages M0","Dys-CIM"
"2271",0.0275885257494897,0.0141342254856984,-0.0134543002637913,"CIBERSORTx","Macrophages M1","Fun-CIM"
