"version","plot_type","Method","Cell_Type","Timepoint","cluster","n_values","n_groups","output_file","file_exists","status","error_message"
"AGGREGATED","paired","CIBERSORTx","Macrophages M1",NA,"Fun-CIM",3888,1,"C:/Users/lopesdelima.i/OneDrive - University of Florida/Gbadamosi Lab/Mohammed Gbadamosi/Gbadamosi_Lab_GitHub/CIMIC/oncoimmunology_paper/Results/nki_smc_immunodeconv_res/figures/AGGREGATED/paired_split/Paired_CIBERSORTx_Macrophages_M1_clusterFun_CIM.png",TRUE,"saved",NA
"AGGREGATED","paired","CIBERSORTx","Macrophages M1",NA,"Dys-CIM",3888,1,"C:/Users/lopesdelima.i/OneDrive - University of Florida/Gbadamosi Lab/Mohammed Gbadamosi/Gbadamosi_Lab_GitHub/CIMIC/oncoimmunology_paper/Results/nki_smc_immunodeconv_res/figures/AGGREGATED/paired_split/Paired_CIBERSORTx_Macrophages_M1_clusterDys_CIM.png",TRUE,"saved",NA
"AGGREGATED","paired","CIBERSORTx","Macrophages M2",NA,"Fun-CIM",3888,1,"C:/Users/lopesdelima.i/OneDrive - University of Florida/Gbadamosi Lab/Mohammed Gbadamosi/Gbadamosi_Lab_GitHub/CIMIC/oncoimmunology_paper/Results/nki_smc_immunodeconv_res/figures/AGGREGATED/paired_split/Paired_CIBERSORTx_Macrophages_M2_clusterFun_CIM.png",TRUE,"saved",NA
"AGGREGATED","paired","CIBERSORTx","Macrophages M2",NA,"Dys-CIM",3888,1,"C:/Users/lopesdelima.i/OneDrive - University of Florida/Gbadamosi Lab/Mohammed Gbadamosi/Gbadamosi_Lab_GitHub/CIMIC/oncoimmunology_paper/Results/nki_smc_immunodeconv_res/figures/AGGREGATED/paired_split/Paired_CIBERSORTx_Macrophages_M2_clusterDys_CIM.png",TRUE,"saved",NA
"AGGREGATED","paired","CIBERSORTx","Mast cells activated",NA,"Fun-CIM",3888,1,"C:/Users/lopesdelima.i/OneDrive - University of Florida/Gbadamosi Lab/Mohammed Gbadamosi/Gbadamosi_Lab_GitHub/CIMIC/oncoimmunology_paper/Results/nki_smc_immunodeconv_res/figures/AGGREGATED/paired_split/Paired_CIBERSORTx_Mast_cells_activated_clusterFun_CIM.png",TRUE,"saved",NA
"AGGREGATED","paired","CIBERSORTx","Mast cells activated",NA,"Dys-CIM",3888,1,"C:/Users/lopesdelima.i/OneDrive - University of Florida/Gbadamosi Lab/Mohammed Gbadamosi/Gbadamosi_Lab_GitHub/CIMIC/oncoimmunology_paper/Results/nki_smc_immunodeconv_res/figures/AGGREGATED/paired_split/Paired_CIBERSORTx_Mast_cells_activated_clusterDys_CIM.png",TRUE,"saved",NA
"AGGREGATED","paired","CIBERSORTx","Mast cells resting",NA,"Fun-CIM",3888,1,"C:/Users/lopesdelima.i/OneDrive - University of Florida/Gbadamosi Lab/Mohammed Gbadamosi/Gbadamosi_Lab_GitHub/CIMIC/oncoimmunology_paper/Results/nki_smc_immunodeconv_res/figures/AGGREGATED/paired_split/Paired_CIBERSORTx_Mast_cells_resting_clusterFun_CIM.png",TRUE,"saved",NA
"AGGREGATED","paired","CIBERSORTx","Mast cells resting",NA,"Dys-CIM",3888,1,"C:/Users/lopesdelima.i/OneDrive - University of Florida/Gbadamosi Lab/Mohammed Gbadamosi/Gbadamosi_Lab_GitHub/CIMIC/oncoimmunology_paper/Results/nki_smc_immunodeconv_res/figures/AGGREGATED/paired_split/Paired_CIBERSORTx_Mast_cells_resting_clusterDys_CIM.png",TRUE,"saved",NA
"AGGREGATED","paired","CIBERSORTx","Monocytes",NA,"Fun-CIM",3888,1,"C:/Users/lopesdelima.i/OneDrive - University of Florida/Gbadamosi Lab/Mohammed Gbadamosi/Gbadamosi_Lab_GitHub/CIMIC/oncoimmunology_paper/Results/nki_smc_immunodeconv_res/figures/AGGREGATED/paired_split/Paired_CIBERSORTx_Monocytes_clusterFun_CIM.png",TRUE,"saved",NA
"AGGREGATED","paired","CIBERSORTx","Monocytes",NA,"Dys-CIM",3888,1,"C:/Users/lopesdelima.i/OneDrive - University of Florida/Gbadamosi Lab/Mohammed Gbadamosi/Gbadamosi_Lab_GitHub/CIMIC/oncoimmunology_paper/Results/nki_smc_immunodeconv_res/figures/AGGREGATED/paired_split/Paired_CIBERSORTx_Monocytes_clusterDys_CIM.png",TRUE,"saved",NA
