ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Cytonuclear proteostasis,Cytonuclear proteostasis,18/332,30/864,0.6,1.56144578313253,2.47117811933491,0.0122243043223339,0.08462880185104,0.0668122119876632,GAK/HSPB1/CDC37/SGTA/TBCC/DNAJB2/WDTC1/NUDC/PIH1D1/FKBPL/HSPA2/AIP/HSPA12B/DNAJA4/DNAJC9/NASP/PDRG1/DNAAF6,18
Ubiquitin Proteasome System,Ubiquitin Proteasome System,171/332,406/864,0.421182266009852,1.09608878865215,2.09952775299115,0.02115720046276,0.08462880185104,0.0668122119876632,UNK/PML/COPS7B/TECR/KEAP1/SYVN1/USP11/TMUB2/OTUD5/TMEM259/MARK2/RNF167/TRIM39/RNF25/MIB2/ASCC2/IRF2BP1/ANAPC2/TRIM56/NFATC2IP/ARMC5/FBXL12/ZNFX1/BTBD6/INPPL1/RANBP10/DTX2/TOLLIP/DDB2/VPS18/CHD3/GNB2/TRIM11/KCTD13/FBXW5/UBE2A/ASB6/CBX4/SF3A1/TRIM26/ZFAND2B/OPTN/SART1/UBE2Q1/PEX10/RING1/OTUB1/RBM10/SHARPIN/ALAD/RNF40/TRIM4/MAP1LC3A/TRIM38/RNF114/PITHD1/DNAJB2/ZSWIM8/URM1/TRIM41/E4F1/WDTC1/PARP10/UBR4/UBE2QL1/FEM1A/PSMB8/DNMT1/NXF1/PPP1R11/UBALD1/ZC3HC1/FBXL18/TMUB1/HECW2/UBL7/SUMO3/AP1G2/RBBP6/WRNIP1/GCH1/PCGF2/UBE2U/GNB3/RMND5B/KCTD7/PSMB4/NOSIP/COPS6/UBB/TRAF4/UHRF1/CDK2/FBXO46/ATG4D/KCTD5/OTUD1/NEURL1B/MOCS3/UBR7/SPSB1/MAGEF1/UFD1/RCBTB2/GABARAPL1/RFPL1/KLHL25/RBBP7/DTX3/USP54/DTX3L/EPN1/RHBDD3/KMT2A/RNF5/MAP1LC3B/RNF113A/KLHL3/MYLIP/ASH2L/CUEDC1/ZFAND2A/CUEDC2/ZFTRAF1/UBAP1L/EGR2/BTBD16/RNF122/UBA7/PSMC3/RNFT1/RNF185/TRIM21/PSMB5/KBTBD12/UBE2L6/PSMB10/VHL/PEF1/SPSB4/OTUD7A/RFC1/SNRNP25/RNF227/KLF4/DTX1/DMRTA2/CDK5RAP3/USP2/RNF212/MYB/TRIM45/IKBKG/FBXO6/PCGF5/PSMD4/RNF168/FBXO48/ANAPC13/FBXO2/PDZRN4/SANBR/SENP3/KLHL6/FBXL14/SQSTM1/SAYSD1/OTULINL/BRAP/RUFY1/ANAPC16,171
PN regulation,PN regulation,5/332,12/864,0.416666666666667,1.08433734939759,0.232278705401592,0.517027687575475,0.999782245349073,0.789301772644005,KEAP1/HSF1/PPP1R15A/DDIT3/ATF3,5
Nuclear proteostasis,Nuclear proteostasis,12/332,33/864,0.363636363636364,0.946330777656079,-0.24819920386551,0.662420665922886,0.999782245349073,0.789301772644005,RANBP3/DDX19B/CHAF1A/ASF1B/RBBP7/SUPT6H/MCM2/CHAF1B/NUP62/NASP/GLE1/NUP42,12
Mitochondrial proteostasis,Mitochondrial proteostasis,7/332,25/864,0.28,0.728674698795181,-1.08692090391562,0.904974008446895,0.999782245349073,0.789301772644005,MTCH1/HSPB1/DNAJC30/TIMM22/PARK7/HSCB/TIMM44,7
Translation,Translation,39/332,118/864,0.330508474576271,0.860118439861139,-1.29107264939679,0.919239114632995,0.999782245349073,0.789301772644005,NGRN/PELP1/RNF25/ASCC2/CSNK2B/ERAL1/TSR2/MTG2/AARS1/DDX27/UPF2/MTRFR/UPF3A/EIF2B1/HARS1/EEF1D/MRM2/MRPL44/MRPL37/MRPS18A/EIF4EBP3/UFD1/MRPL49/AIMP2/RPS27L/NOP2/MRM3/MRPL18/MRPL34/MRPS11/CDK5RAP3/EXOSC10/MRPL28/MRPS24/MRPL46/MRPS16/MRPL43/ZFP42/EIF5B,39
Autophagy-Lysosome Pathway,Autophagy-Lysosome Pathway,96/332,274/864,0.35036496350365,0.911793158033594,-1.39498703930656,0.9297255011958,0.999782245349073,0.789301772644005,PRKACA/STING1/PML/GUSB/KEAP1/LITAF/TMEM175/TBC1D2/ATP6V0C/ZFYVE1/SYT11/MARK2/GAA/CSNK2B/VPS37C/CASTOR2/GALNS/CPTP/ATF5/TOLLIP/ARSA/GBA1/NEU1/VPS18/WDR24/FBXW5/CTSA/FOS/GRN/MAN2B2/CLU/OPTN/MAP2K2/BORCS6/PHAF1/MAP1LC3A/FLCN/CHMP4B/HYAL3/PINK1/MLST8/EXOC7/HRAS/KXD1/BSG/DDIT3/DAGLB/NFKBIB/GSK3A/SIRT2/ATP5IF1/E2F1/CEBPB/SRC/DEPDC5/SZT2/RARA/SPNS1/NRBF2/ATG4D/GATA1/BMAL1/ABHD6/SPHK2/GABARAPL1/RGS19/LGMN/PARK7/PRKAR1B/TFE3/RNF5/MAP1LC3B/IFI30/CTSD/DAPK2/TP53INP2/RNF185/TRIM21/SNAP29/STAT1/ATG14/HYAL1/DAPK3/LAMTOR4/GLA/GFAP/PSAP/IL10RA/SLC25A4/CDK5RAP3/RAB17/IKBKG/RRAGC/ABHD5/RAB32/SQSTM1,96
ER proteostasis,ER proteostasis,23/332,99/864,0.232323232323232,0.60460021905805,-3.30097266238661,0.999782245349073,0.999782245349073,0.789301772644005,SYVN1/RHBDD2/CNPY3/SGTA/OS9/OTUB1/COPE/BSG/TMUB1/P4HB/UFD1/EMC9/TMED1/RNF5/SRP19/EMC10/RNFT1/RNF185/DNAJC22/EMC7/FKBP2/EMC4/COPZ2,23
